date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-01-24,12.75,12.75,12.75,12.75,1000,0.0,1.0
2011-01-25,12.75,12.75,12.75,12.75,0,0.0,1.0
2011-01-26,12.75,12.75,12.75,12.75,0,0.0,1.0
2011-01-27,12.75,12.75,12.75,12.75,0,0.0,1.0
2011-01-28,12.65,12.65,12.65,12.65,700,0.0,1.0
2011-01-31,12.75,12.75,12.65,12.65,0,0.0,1.0
2011-02-01,12.75,12.75,12.65,12.65,0,0.0,1.0
2011-02-02,12.85,12.85,12.85,12.85,180,0.0,1.0
2011-02-03,12.25,12.85,12.25,12.85,810,0.0,1.0
2011-02-04,13.0,13.0,12.8,12.8,380,0.0,1.0
2011-02-07,12.0,12.0,12.0,12.0,910,0.0,1.0
2011-02-08,12.5,12.5,12.38,12.38,1400,0.0,1.0
2011-02-09,12.25,12.25,12.25,12.25,920,0.0,1.0
2011-02-10,12.25,12.25,12.25,12.25,0,0.0,1.0
2011-02-11,11.4,11.8,11.4,11.8,400,0.0,1.0
2011-02-14,11.8,11.8,11.8,11.8,0,0.0,1.0
2011-02-15,11.8,11.8,11.8,11.8,0,0.0,1.0
2011-02-16,11.8,11.8,11.8,11.8,0,0.0,1.0
2011-02-17,12.75,12.75,12.75,12.75,520,0.0,1.0
2011-02-18,12.75,12.75,12.25,12.25,2600,0.0,1.0
2011-02-22,12.5,12.5,12.5,12.5,440,0.0,1.0
2011-02-23,12.4,12.4,11.5,11.8,1700,0.0,1.0
2011-02-24,12.25,12.25,12.25,12.25,1600,0.0,1.0
2011-02-25,12.25,12.25,12.25,12.25,0,0.0,1.0
2011-02-28,12.56,12.56,12.56,12.56,300,0.0,1.0
2011-03-01,12.25,12.75,12.25,12.7,740,0.0,1.0
2011-03-02,13.0,13.0,12.91,12.91,660,0.0,1.0
2011-03-03,12.91,12.91,12.91,12.91,0,0.0,1.0
2011-03-04,13.21,13.21,13.21,13.21,270,0.0,1.0
2011-03-07,13.21,13.21,13.21,13.21,0,0.0,1.0
2011-03-08,12.9,13.35,12.9,13.3,2000,0.0,1.0
2011-03-09,13.12,13.55,13.12,13.5,1100,0.0,1.0
2011-03-10,13.45,13.45,13.4,13.4,970,0.0,1.0
2011-03-11,13.25,13.25,13.25,13.25,1000,0.0,1.0
2011-03-14,13.3,13.3,13.3,13.3,230,0.0,1.0
2011-03-15,13.5,13.5,13.36,13.36,2400,0.0,1.0
2011-03-16,13.5,13.5,13.5,13.5,210,0.0,1.0
2011-03-17,13.25,13.25,13.25,13.25,150,0.0,1.0
2011-03-18,13.25,13.25,13.25,13.25,0,0.0,1.0
2011-03-21,13.32,13.32,13.32,13.32,800,0.0,1.0
2011-03-22,13.32,13.32,13.32,13.32,0,0.0,1.0
2011-03-23,13.15,13.25,13.15,13.25,730,0.0,1.0
2011-03-24,13.5,13.5,13.5,13.5,840,0.0,1.0
2011-03-25,13.75,13.75,13.75,13.75,41600,0.0,1.0
2011-03-28,13.75,13.75,13.25,13.25,2400,0.0,1.0
2011-03-29,13.5,13.65,13.5,13.65,680,0.0,1.0
2011-03-30,14.0,14.0,13.95,13.95,1200,0.0,1.0
2011-03-31,14.4,14.4,14.0,14.0,1000,0.0,1.0
2011-04-01,14.65,14.65,14.65,14.65,260,0.0,1.0
2011-04-04,14.61,14.75,14.61,14.75,4000,0.0,1.0
2011-04-05,14.62,14.8,14.58,14.8,1700,0.0,1.0
2011-04-06,14.75,15.05,14.75,14.75,3300,0.0,1.0
2011-04-07,14.45,14.5,14.45,14.5,1600,0.0,1.0
2011-04-08,14.64,14.64,14.64,14.64,1800,0.0,1.0
2011-04-11,14.89,14.89,14.75,14.75,780,0.0,1.0
2011-04-12,14.95,14.95,14.95,14.95,150,0.0,1.0
2011-04-13,15.0,15.0,15.0,15.0,770,0.0,1.0
2011-04-14,15.0,15.0,15.0,15.0,1200,0.0,1.0
2011-04-15,15.0,15.0,15.0,15.0,240,0.0,1.0
2011-04-18,14.78,14.85,14.24,14.24,1800,0.0,1.0
2011-04-19,14.85,14.85,14.85,14.85,340,0.0,1.0
2011-04-20,15.49,15.49,14.71,14.71,1100,0.0,1.0
2011-04-21,15.14,15.56,14.81,15.01,18600,0.0,1.0
2011-04-25,15.01,15.01,15.01,15.01,0,0.0,1.0
2011-04-26,15.01,15.01,15.01,15.01,0,0.0,1.0
2011-04-27,15.0,15.63,15.0,15.63,3300,0.0,1.0
2011-04-28,15.0,15.0,15.0,15.0,410,0.0,1.0
2011-04-29,15.18,15.18,14.99,14.99,1700,0.0,1.0
2011-05-02,15.0,15.05,14.99,14.99,1900,0.0,1.0
2011-05-03,15.05,15.05,14.99,14.99,660,0.0,1.0
2011-05-04,14.76,14.76,14.2,14.2,1600,0.0,1.0
2011-05-05,14.89,14.89,14.66,14.66,800,0.0,1.0
2011-05-06,14.95,14.95,14.91,14.95,500,0.0,1.0
2011-05-09,14.97,14.97,14.97,14.97,1200,0.0,1.0
2011-05-10,14.97,14.97,14.8,14.97,2200,0.0,1.0
2011-05-11,14.86,14.86,14.86,14.86,300,0.0,1.0
2011-05-12,14.65,14.75,14.65,14.75,570,0.0,1.0
2011-05-13,14.75,14.75,14.39,14.67,500,0.0,1.0
2011-05-16,14.55,14.74,14.55,14.74,550,0.0,1.0
2011-05-17,14.64,14.64,14.64,14.64,120,0.0,1.0
2011-05-18,15.0,15.07,15.0,15.07,760,0.0,1.0
2011-05-19,15.07,15.07,15.07,15.07,840,0.0,1.0
2011-05-20,15.02,15.02,15.02,15.02,1900,0.0,1.0
2011-05-23,14.6,14.64,14.32,14.64,1200,0.0,1.0
2011-05-24,14.9,14.9,14.9,14.9,990,0.0,1.0
2011-05-25,14.87,14.87,14.87,14.87,1700,0.0,1.0
2011-05-26,14.75,14.8,14.75,14.8,1100,0.0,1.0
2011-05-27,15.0,15.0,14.75,15.0,3600,0.0,1.0
2011-05-31,15.12,15.5,15.12,15.5,330,0.0,1.0
2011-06-01,15.0,15.0,15.0,15.0,100,0.0,1.0
2011-06-02,14.05,14.4,14.05,14.4,1500,0.0,1.0
2011-06-03,14.02,14.1,14.02,14.1,480,0.0,1.0
2011-06-06,14.0,14.05,14.0,14.05,4500,0.0,1.0
2011-06-07,14.15,14.15,14.0,14.0,2500,0.1691,1.0
2011-06-08,13.6,14.07,13.6,14.05,7000,0.0,1.0
2011-06-09,13.3,13.3,13.3,13.3,150,0.0,1.0
2011-06-10,13.15,13.15,13.14,13.14,920,0.0,1.0
2011-06-13,13.47,13.47,13.45,13.45,280,0.0,1.0
2011-06-14,13.45,13.45,13.45,13.45,1600,0.0,1.0
2011-06-15,13.3,13.34,13.23,13.23,720,0.0,1.0
2011-06-16,12.99,13.09,12.99,13.09,330,0.0,1.0
2011-06-17,13.06,13.11,13.06,13.07,1500,0.0,1.0
2011-06-20,12.82,12.82,12.82,12.82,1200,0.0,1.0
2011-06-21,12.83,12.83,12.8,12.8,830,0.0,1.0
2011-06-22,12.5,12.5,12.47,12.47,2100,0.0,1.0
2011-06-23,12.1,12.16,12.1,12.16,1100,0.0,1.0
2011-06-24,12.74,12.98,12.74,12.98,920,0.0,1.0
2011-06-27,12.86,13.2,12.86,13.2,580,0.0,1.0
2011-06-28,13.29,13.34,13.29,13.34,1900,0.0,1.0
2011-06-29,13.08,13.08,13.08,13.08,550,0.0,1.0
2011-06-30,13.34,13.34,13.34,13.34,1100,0.0,1.0
2011-07-01,13.42,13.42,13.42,13.42,150,0.0,1.0
2011-07-05,13.6,13.6,13.6,13.6,210,0.0,1.0
2011-07-06,12.99,12.99,12.61,12.99,3000,0.0,1.0
2011-07-07,12.96,12.96,12.96,12.96,140,0.0,1.0
2011-07-08,12.61,12.61,12.61,12.61,1600,0.0,1.0
2011-07-11,12.73,12.73,12.51,12.72,670,0.0,1.0
2011-07-12,12.47,12.47,12.34,12.34,2100,0.0,1.0
2011-07-13,12.34,12.34,12.34,12.34,0,0.0,1.0
2011-07-14,12.85,12.85,12.85,12.85,110,0.0,1.0
2011-07-15,12.85,12.85,12.85,12.85,200,0.0,1.0
2011-07-18,12.85,12.85,12.85,12.85,0,0.0,1.0
2011-07-19,12.91,13.01,12.91,13.01,1200,0.0,1.0
2011-07-20,13.39,13.39,13.39,13.39,200,0.0,1.0
2011-07-21,13.39,13.39,13.39,13.39,0,0.0,1.0
2011-07-22,13.3,13.3,13.3,13.3,3400,0.0,1.0
2011-07-25,13.33,13.33,13.33,13.33,6800,0.0,1.0
2011-07-26,13.5,13.5,13.5,13.5,460,0.0,1.0
2011-07-27,13.43,13.43,13.43,13.43,150,0.0,1.0
2011-07-28,13.4,13.68,13.4,13.68,930,0.0,1.0
2011-07-29,13.3,13.71,13.3,13.71,550,0.0,1.0
2011-08-01,13.73,13.73,13.66,13.66,640,0.0,1.0
2011-08-02,13.48,13.48,13.45,13.45,1100,0.0,1.0
2011-08-03,13.24,13.24,13.24,13.24,1800,0.0,1.0
2011-08-04,12.9,12.9,12.35,12.35,6400,0.0,1.0
2011-08-05,12.46,12.87,12.46,12.81,6600,0.0,1.0
2011-08-08,12.29,12.29,12.29,12.29,420,0.0,1.0
2011-08-09,12.12,12.6,12.12,12.6,2600,0.0,1.0
2011-08-10,12.07,12.2,12.01,12.2,2200,0.0,1.0
2011-08-11,12.45,12.88,12.45,12.88,940,0.0,1.0
2011-08-12,12.49,12.55,12.45,12.45,920,0.0,1.0
2011-08-15,12.37,12.87,12.37,12.87,1900,0.0,1.0
2011-08-16,12.4,12.7,12.4,12.7,2300,0.0,1.0
2011-08-17,12.49,12.49,12.2,12.39,820,0.0,1.0
