date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,48.5,48.69,47.94,48.06,1184400,0.0,1.0
1999-11-02,48.0,48.38,47.25,47.56,1229000,0.0,1.0
1999-11-03,47.5,47.81,46.63,47.13,1644700,0.0,1.0
1999-11-04,47.38,47.38,46.5,46.69,2105200,0.0,1.0
1999-11-05,47.25,47.88,47.13,47.75,1532500,0.0,1.0
1999-11-08,47.88,48.69,47.44,48.63,1331700,0.0,1.0
1999-11-09,48.75,48.75,47.81,48.13,880700,0.0,1.0
1999-11-10,48.38,48.88,47.88,48.56,1433800,0.0,1.0
1999-11-11,48.81,49.44,48.56,49.31,1001900,0.0,1.0
1999-11-12,49.19,49.94,49.19,49.56,1361400,0.0,1.0
1999-11-15,49.63,49.81,49.19,49.63,1131700,0.0,1.0
1999-11-16,49.94,51.0,49.44,50.94,1780600,0.0,1.0
1999-11-17,50.94,51.25,50.5,50.69,950000,0.0,1.0
1999-11-18,51.06,51.06,49.69,50.13,1438600,0.0,1.0
1999-11-19,49.88,50.5,49.69,50.44,1164100,0.0,1.0
1999-11-22,50.5,51.0,49.69,50.06,1443500,0.0,1.0
1999-11-23,49.81,49.94,49.0,49.0,1393000,0.0,1.0
1999-11-24,48.75,50.06,48.44,49.94,1528000,0.0,1.0
1999-11-26,49.44,50.06,49.31,50.0,339000,0.0,1.0
1999-11-29,49.38,49.88,48.25,49.13,1011400,0.0,1.0
1999-11-30,49.13,49.63,49.06,49.38,1063700,0.0,1.0
1999-12-01,49.0,49.56,48.38,48.56,1165900,0.0,1.0
1999-12-02,49.0,50.44,48.94,50.19,1068000,0.0,1.0
1999-12-03,50.0,51.88,50.0,51.25,1684600,0.0,1.0
1999-12-06,50.88,51.0,49.94,50.38,1011500,0.0,1.0
1999-12-07,50.44,51.69,50.38,51.13,1531800,0.0,1.0
1999-12-08,51.63,51.75,50.75,50.94,1237500,0.0875,1.0
1999-12-09,51.13,51.75,50.63,51.25,1642100,0.0,1.0
1999-12-10,51.25,51.25,49.81,50.25,1188500,0.0,1.0
1999-12-13,50.31,51.13,50.06,50.5,1044900,0.0,1.0
1999-12-14,50.75,51.25,50.38,50.44,1263400,0.0,1.0
1999-12-15,50.06,50.63,49.44,49.83,1324000,0.0,1.0
1999-12-16,49.56,50.88,49.31,50.75,1297200,0.0,1.0
1999-12-17,50.06,51.19,49.88,50.06,2287800,0.0,1.0
1999-12-20,50.25,52.31,50.25,50.94,1431200,0.0,1.0
1999-12-21,51.38,52.94,51.0,52.94,1413700,0.0,1.0
1999-12-22,52.81,52.81,50.94,51.38,1248100,0.0,1.0
1999-12-23,51.75,52.75,51.56,52.5,629600,0.0,1.0
1999-12-27,52.44,52.88,51.81,52.88,1264300,0.0,1.0
1999-12-28,52.81,53.19,52.0,52.25,1013900,0.0,1.0
1999-12-29,52.5,53.81,52.38,53.56,1010900,0.0,1.0
1999-12-30,53.31,54.69,53.31,54.69,1099700,0.0,1.0
1999-12-31,54.69,54.81,53.38,53.88,512400,0.0,1.0
2000-01-03,53.5,53.94,51.94,52.0,2698900,0.0,1.0
2000-01-04,51.63,53.0,51.5,52.0,3141100,0.0,1.0
2000-01-05,51.94,51.94,50.69,51.56,3008800,0.0,1.0
2000-01-06,51.88,52.94,51.31,52.19,2121700,0.0,1.0
2000-01-07,53.38,53.81,52.5,53.38,1892300,0.0,1.0
2000-01-10,53.0,54.75,52.88,54.69,1722200,0.0,1.0
2000-01-11,54.13,54.38,53.31,53.63,1087900,0.0,1.0
2000-01-12,53.63,53.88,52.75,53.13,1108900,0.0,1.0
2000-01-13,53.13,53.13,52.44,52.81,1314600,0.0,1.0
2000-01-14,51.88,52.88,51.0,52.25,2138500,0.0,1.0
2000-01-18,51.75,52.06,49.06,49.25,2826300,0.0,1.0
2000-01-19,49.38,54.5,49.31,54.06,4264400,0.0,1.0
2000-01-20,53.38,54.0,50.38,50.81,3220200,0.0,1.0
2000-01-21,51.56,51.56,50.0,50.56,2826200,0.0,1.0
2000-01-24,51.0,51.0,49.75,50.0,2919500,0.0,1.0
2000-01-25,50.5,51.31,50.19,51.06,2439700,0.0,1.0
2000-01-26,51.88,51.88,50.06,51.0,1759300,0.0,1.0
2000-01-27,51.25,51.69,47.56,50.19,2568300,0.0,1.0
2000-01-28,49.94,50.0,48.25,48.94,1732100,0.0,1.0
2000-01-31,48.94,48.94,46.81,47.44,2152300,0.0,1.0
2000-02-01,47.5,48.63,46.69,48.19,1747500,0.0,1.0
2000-02-02,48.25,48.25,44.25,45.56,2998300,0.0,1.0
2000-02-03,46.0,49.0,45.81,48.63,3202300,0.0,1.0
2000-02-04,48.56,49.25,47.88,48.0,1296600,0.0,1.0
2000-02-07,48.0,48.25,46.5,46.5,1554500,0.0,1.0
2000-02-08,47.0,47.0,46.0,46.56,2684900,0.0,1.0
2000-02-09,46.56,46.94,44.81,45.0,2266800,0.0,1.0
2000-02-10,45.19,47.88,45.06,47.38,2229900,0.0,1.0
2000-02-11,47.0,47.0,45.5,45.81,1208300,0.0,1.0
2000-02-14,45.94,47.75,45.63,46.31,1729900,0.0,1.0
2000-02-15,46.56,47.0,45.44,46.06,2317100,0.0,1.0
2000-02-16,46.25,46.31,45.5,45.88,2399200,0.0,1.0
2000-02-17,45.94,46.06,45.06,45.44,1387600,0.0,1.0
2000-02-18,45.44,45.56,43.63,44.5,1585800,0.0,1.0
2000-02-22,44.5,44.56,40.0,41.88,4049700,0.0,1.0
2000-02-23,41.94,44.44,41.81,43.44,2999700,0.0,1.0
2000-02-24,44.38,45.06,44.06,44.63,2610800,0.0,1.0
2000-02-25,44.63,45.06,42.94,42.94,2241700,0.0,1.0
2000-02-28,42.88,45.0,42.75,44.5,2535600,0.0,1.0
2000-02-29,44.88,45.31,43.19,43.56,2114100,0.0,1.0
2000-03-01,43.56,44.94,43.56,44.25,1471600,0.0,1.0
2000-03-02,44.19,44.31,43.25,43.25,1323400,0.0,1.0
2000-03-03,42.5,44.5,42.5,43.19,2809500,0.0,1.0
2000-03-06,43.19,44.38,43.19,43.94,2528900,0.0,1.0
2000-03-07,44.0,44.88,43.44,43.5,2734600,0.0,1.0
2000-03-08,43.38,44.13,43.25,43.25,2231500,0.0875,1.0
2000-03-09,43.25,44.13,43.13,44.0,3092700,0.0,1.0
2000-03-10,44.06,44.75,43.63,44.13,2254100,0.0,1.0
2000-03-13,44.0,45.38,43.81,45.06,1792900,0.0,1.0
2000-03-14,48.0,48.0,46.25,47.25,2700300,0.0,1.0
2000-03-15,47.25,49.5,47.19,49.13,4394400,0.0,1.0
2000-03-16,50.0,55.44,50.0,54.75,6838200,0.0,1.0
2000-03-17,54.75,54.75,53.0,54.0,3553700,0.0,1.0
2000-03-20,53.5,53.69,51.25,52.25,2472200,0.0,1.0
2000-03-21,51.13,53.0,51.13,52.5,2277100,0.0,1.0
2000-03-22,51.75,52.5,50.31,51.38,2591800,0.0,1.0
2000-03-23,50.38,51.94,50.38,51.44,2529000,0.0,1.0
2000-03-24,51.0,52.94,51.0,52.0,2204400,0.0,1.0
2000-03-27,51.75,53.5,51.75,51.94,2425500,0.0,1.0
2000-03-28,51.94,52.19,48.44,48.44,2987500,0.0,1.0
2000-03-29,49.13,49.75,47.0,47.63,2327200,0.0,1.0
2000-03-30,48.25,49.44,47.06,47.44,2316200,0.0,1.0
2000-03-31,47.44,49.19,47.38,48.25,3128700,0.0,1.0
2000-04-03,49.75,51.81,49.38,50.0,2632600,0.0,1.0
2000-04-04,50.94,53.13,49.5,51.0,3094000,0.0,1.0
2000-04-05,51.94,51.94,48.44,50.19,3224300,0.0,1.0
2000-04-06,50.44,52.88,50.38,52.44,1799300,0.0,1.0
2000-04-07,52.63,52.88,51.75,52.13,1735900,0.0,1.0
2000-04-10,52.88,52.88,50.63,51.81,1938800,0.0,1.0
2000-04-11,51.81,52.25,50.88,51.0,1954500,0.0,1.0
2000-04-12,51.0,51.0,48.38,49.75,2969600,0.0,1.0
2000-04-13,49.75,50.19,47.81,47.81,1902000,0.0,1.0
2000-04-14,46.0,47.31,45.75,46.0,3484900,0.0,1.0
2000-04-17,46.13,47.31,44.69,46.63,3125100,0.0,1.0
2000-04-18,48.63,50.31,48.06,49.0,3127600,0.0,1.0
2000-04-19,49.0,50.19,48.56,49.13,1430900,0.0,1.0
2000-04-20,50.0,51.63,49.69,50.63,2597000,0.0,1.0
2000-04-24,50.63,54.13,49.69,53.94,3467700,0.0,1.0
2000-04-25,53.5,53.94,52.56,53.94,1818000,0.0,1.0
2000-04-26,53.31,54.13,52.88,53.25,1673500,0.0,1.0
2000-04-27,52.25,54.88,52.25,54.25,2810000,0.0,1.0
2000-04-28,54.88,55.19,53.5,53.81,1769000,0.0,1.0
2000-05-01,53.75,56.0,53.63,53.94,2003800,0.0,1.0
2000-05-02,53.94,53.94,52.19,53.19,1740300,0.0,1.0
2000-05-03,53.0,53.25,50.25,52.13,1819200,0.0,1.0
2000-05-04,52.13,53.06,51.81,52.19,1623900,0.0,1.0
2000-05-05,51.94,52.81,50.75,51.81,1669900,0.0,1.0
2000-05-08,52.06,52.31,51.19,52.0,684000,0.0,1.0
2000-05-09,52.0,52.75,49.0,50.5,1400600,0.0,1.0
2000-05-10,50.56,51.88,49.88,51.06,2437900,0.0,1.0
2000-05-11,52.0,53.75,51.44,52.69,1954400,0.0,1.0
2000-05-12,52.5,52.75,51.0,51.75,862000,0.0,1.0
2000-05-15,51.75,52.25,50.69,51.88,994300,0.0,1.0
2000-05-16,52.88,53.81,51.88,53.38,1363300,0.0,1.0
2000-05-17,52.94,52.94,51.06,52.5,1067000,0.0,1.0
2000-05-18,53.81,53.81,51.38,51.44,1144400,0.0,1.0
2000-05-19,52.81,52.81,50.88,51.13,1218200,0.0,1.0
2000-05-22,51.63,53.0,49.75,52.69,2136800,0.0,1.0
2000-05-23,52.75,53.81,52.25,53.75,2137400,0.0,1.0
2000-05-24,53.75,55.5,53.5,55.5,2674800,0.0,1.0
2000-05-25,55.75,56.25,54.38,56.0,2684600,0.0,1.0
2000-05-26,55.5,55.56,52.81,53.56,1703400,0.0,1.0
2000-05-30,53.56,55.94,53.25,55.75,2466700,0.0,1.0
2000-05-31,55.94,55.94,54.88,54.94,2438700,0.0,1.0
2000-06-01,54.94,55.44,54.56,55.13,3427800,0.0,1.0
2000-06-02,56.0,57.0,55.94,57.0,3064800,0.0,1.0
2000-06-05,56.0,57.94,56.0,57.13,1777500,0.0,1.0
2000-06-06,56.75,57.81,56.63,57.69,1694700,0.0,1.0
2000-06-07,57.31,57.75,56.69,57.38,1281000,0.0875,1.0
2000-06-08,57.19,57.19,55.38,55.75,1264200,0.0,1.0
2000-06-09,55.69,56.75,55.5,56.19,1364100,0.0,1.0
2000-06-12,55.94,56.13,55.15,55.15,540300,0.0,1.0
2000-06-13,55.25,55.63,53.75,54.19,1892400,0.0,1.0
2000-06-14,54.06,54.69,53.25,54.56,2257500,0.0,1.0
2000-06-15,54.44,55.56,54.31,54.69,1494500,0.0,1.0
2000-06-16,54.75,55.38,54.25,54.88,3170100,0.0,1.0
2000-06-19,54.38,55.0,53.5,54.63,1225000,0.0,1.0
2000-06-20,54.56,54.56,52.0,52.25,1647100,0.0,1.0
2000-06-21,53.0,54.0,52.06,52.44,1686500,0.0,1.0
2000-06-22,52.44,53.19,52.06,52.63,1582200,0.0,1.0
2000-06-23,53.0,53.5,52.31,53.0,5689000,0.0,1.0
2000-06-26,53.0,53.13,52.13,52.88,2077100,0.0,1.0
2000-06-27,52.88,53.13,51.75,52.19,1136300,0.0,1.0
2000-06-28,52.19,54.13,52.06,53.86,1752000,0.0,1.0
2000-06-29,53.56,53.56,51.5,51.56,1838800,0.0,1.0
2000-06-30,51.81,53.69,51.13,53.56,2611800,0.0,1.0
2000-07-03,53.81,53.94,51.94,52.31,682700,0.0,1.0
2000-07-05,53.0,53.13,51.63,52.25,1189000,0.0,1.0
2000-07-06,52.31,53.0,52.25,52.75,1534100,0.0,1.0
2000-07-07,52.94,53.38,50.88,51.75,1753300,0.0,1.0
2000-07-10,52.0,52.44,51.75,52.06,1893800,0.0,1.0
2000-07-11,52.5,52.56,51.13,51.5,2703300,0.0,1.0
2000-07-12,52.0,53.19,51.81,52.69,1264100,0.0,1.0
2000-07-13,52.88,54.0,52.19,53.5,1589000,0.0,1.0
2000-07-14,53.19,53.88,52.44,53.19,1294900,0.0,1.0
2000-07-17,53.19,53.88,53.06,53.63,1093700,0.0,1.0
2000-07-18,54.0,54.75,53.44,53.56,1187100,0.0,1.0
