date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-10-03,12.63,12.63,12.63,12.63,200000,0.0,1.0
2019-10-04,13.15,13.3,12.8,12.8,23350,0.0,1.0
2019-10-07,13.35,15.45,13.19,15.45,796393,0.0,1.0
2019-10-08,15.4,15.4,12.9,13.3,377778,0.0,1.0
2019-10-09,13.2,13.4,13.12,13.32,336044,0.0,1.0
2019-10-10,13.52,13.84,13.4,13.79,377541,0.0,1.0
2019-10-11,14.02,14.35,14.02,14.16,441621,0.0,1.0
2019-10-14,14.12,14.13,14.01,14.13,10607,0.0,1.0
2019-10-15,14.27,14.42,14.15,14.39,3976,0.0,1.0
2019-10-16,14.16,14.2,14.03,14.06,3610,0.0,1.0
2019-10-17,14.24,14.24,13.92,14.03,9255,0.0,1.0
2019-10-18,13.99,13.99,13.78,13.88,311709,0.0,1.0
2019-10-21,13.9,13.94,13.81,13.89,303421,0.0,1.0
2019-10-22,13.7,13.7,13.52,13.52,307220,0.0,1.0
2019-10-23,13.5,13.5,13.42,13.5,121607,0.0,1.0
2019-10-24,13.51,13.75,13.51,13.72,4650,0.0,1.0
2019-10-25,13.9,14.09,13.84,14.09,7894,0.0,1.0
2019-10-28,13.98,14.1,13.98,14.1,5299,0.0,1.0
2019-10-29,14.15,14.27,14.15,14.16,8841,0.0,1.0
2019-10-30,13.99,14.25,13.99,14.07,14519,0.0,1.0
2019-10-31,14.12,14.17,14.03,14.14,6824,0.0,1.0
2019-11-01,14.23,14.27,14.13,14.27,1808,0.0,1.0
2019-11-04,14.29,14.4,14.29,14.4,4395,0.0,1.0
2019-11-05,14.3,14.3,14.16,14.3,6558,0.0,1.0
2019-11-06,14.45,14.45,14.41,14.41,4713,0.0,1.0
2019-11-07,14.19,14.3,14.11,14.26,10109,0.0,1.0
2019-11-08,14.0,14.17,13.97,13.97,6664,0.0,1.0
2019-11-11,14.29,14.29,14.18,14.29,13119,0.0,1.0
2019-11-12,14.09,14.18,14.09,14.1,5260,0.0,1.0
2019-11-13,14.2,14.29,14.12,14.12,6782,0.0,1.0
2019-11-14,14.28,14.48,14.28,14.44,54789,0.0,1.0
2019-11-15,14.38,14.42,14.22,14.42,6484,0.0,1.0
2019-11-18,14.3,14.45,14.14,14.45,5800,0.0,1.0
2019-11-19,14.52,14.55,14.47,14.55,3524,0.0,1.0
2019-11-20,14.64,14.73,14.55,14.7,61513,0.0,1.0
2019-11-21,14.64,14.71,14.61,14.67,469262,0.0,1.0
2019-11-22,14.64,14.66,14.63,14.64,23934,0.0,1.0
2019-11-25,14.75,14.82,14.54,14.65,18205,0.0,1.0
2019-11-26,15.12,15.14,15.02,15.05,12121,0.0,1.0
2019-11-27,15.1,15.33,15.08,15.33,9208,0.0,1.0
2019-11-29,15.4,15.5,15.35,15.5,3481,0.0,1.0
2019-12-02,15.23,15.23,15.07,15.21,7284,0.0,1.0
2019-12-03,15.23,15.55,15.23,15.55,12280,0.0,1.0
2019-12-04,15.74,15.76,15.5,15.5,4687,0.0,1.0
2019-12-05,15.67,15.85,15.55,15.84,10519,0.0,1.0
2019-12-06,15.8,15.8,15.58,15.63,14881,0.0,1.0
2019-12-09,15.5,15.61,15.35,15.42,9422,0.0,1.0
2019-12-10,15.29,15.5,15.24,15.45,9800,0.0,1.0
2019-12-11,15.2,15.35,15.19,15.35,8783,0.0,1.0
2019-12-12,15.8,15.8,15.45,15.74,19089,0.0,1.0
2019-12-13,15.81,15.85,15.65,15.79,483006,0.0,1.0
2019-12-16,15.78,15.94,15.72,15.87,17672,0.0,1.0
2019-12-17,16.04,16.27,16.0,16.01,10074,0.0,1.0
2019-12-18,16.18,16.43,16.18,16.36,592651,0.0,1.0
2019-12-19,16.6,16.6,16.28,16.39,93021,0.0,1.0
2019-12-20,16.69,16.69,16.34,16.44,16080,0.0,1.0
2019-12-23,16.2,16.38,16.15,16.26,21616,0.0,1.0
2019-12-24,16.51,16.6,16.42,16.45,4072,0.0,1.0
2019-12-26,16.6,16.6,16.45,16.6,31590,0.0,1.0
2019-12-27,16.55,16.67,16.49,16.56,7491,0.0,1.0
2019-12-30,16.38,16.59,16.25,16.4,161267,0.0,1.0
2019-12-31,16.7,16.7,16.36,16.46,89221,0.0,1.0
2020-01-02,16.72,16.86,16.59,16.83,15533,0.0,1.0
2020-01-03,16.34,16.76,16.28,16.72,87375,0.0,1.0
2020-01-06,16.6,16.63,16.4,16.63,135559,0.0,1.0
2020-01-07,16.67,16.67,16.46,16.6,373770,0.0,1.0
2020-01-08,16.5,16.57,16.35,16.57,208085,0.0,1.0
2020-01-09,16.66,16.77,16.47,16.62,18786,0.0,1.0
2020-01-10,16.67,16.79,16.6,16.65,24889,0.0,1.0
2020-01-13,16.71,16.97,16.71,16.9,19449,0.0,1.0
2020-01-14,16.9,17.0,16.82,16.9,18752,0.0,1.0
2020-01-15,17.08,17.16,17.01,17.08,17875,0.0,1.0
2020-01-16,17.47,17.47,17.21,17.44,30115,0.0,1.0
2020-01-17,17.47,17.47,17.2,17.28,35593,0.0,1.0
2020-01-21,17.46,17.57,17.38,17.57,31089,0.0,1.0
2020-01-22,17.73,17.85,17.73,17.85,29315,0.0,1.0
2020-01-23,17.94,18.16,17.92,18.14,2415387,0.0,1.0
2020-01-24,18.55,18.55,18.34,18.35,2045096,0.0,1.0
2020-01-27,18.03,18.06,17.87,17.9,685866,0.0,1.0
2020-01-28,18.05,18.32,18.0,18.32,224006,0.0,1.0
2020-01-29,18.41,18.58,18.4,18.5,1226157,0.0,1.0
2020-01-30,18.33,18.44,18.28,18.44,394819,0.0,1.0
2020-01-31,18.5,18.5,18.31,18.36,43846,0.0,1.0
2020-02-03,18.67,18.97,18.67,18.9,392895,0.0,1.0
2020-02-04,18.92,19.17,18.91,19.15,629900,0.0,1.0
2020-02-05,19.41,19.7,19.34,19.58,864106,0.0,1.0
2020-02-06,19.22,19.51,19.15,19.4,44736,0.0,1.0
2020-02-07,19.04,19.14,19.0,19.08,71721,0.0,1.0
2020-02-10,18.98,19.05,18.94,19.05,60780,0.0,1.0
2020-02-11,19.33,19.41,19.1,19.33,28567,0.0,1.0
2020-02-12,19.25,19.42,19.16,19.38,32656,0.0,1.0
2020-02-13,18.8,19.14,18.79,19.0,26210,0.0,1.0
2020-02-14,19.02,19.24,19.02,19.13,25090,0.0,1.0
2020-02-18,19.07,19.29,19.06,19.27,37421,0.0,1.0
2020-02-19,19.39,19.4,19.27,19.37,30194,0.0,1.0
2020-02-20,19.15,19.18,18.75,18.99,26403,0.0,1.0
2020-02-21,19.01,19.01,18.65,18.77,75187,0.0,1.0
2020-02-24,17.85,18.11,17.81,18.0,370609,0.0,1.0
2020-02-25,18.02,18.02,17.49,17.74,411106,0.0,1.0
2020-02-26,17.57,17.73,17.18,17.35,394589,0.0,1.0
2020-02-27,17.12,17.84,17.09,17.58,476921,0.0,1.0
2020-02-28,16.99,17.83,16.96,17.56,386668,0.0,1.0
2020-03-02,17.46,17.73,17.28,17.6,197653,0.0,1.0
2020-03-03,18.06,18.55,17.91,18.32,398811,0.0,1.0
2020-03-04,18.01,18.51,17.86,18.35,1227266,0.0,1.0
2020-03-05,18.42,18.5,18.07,18.1,294111,0.0,1.0
2020-03-06,18.13,18.44,17.99,18.03,230412,0.0,1.0
2020-03-09,17.25,17.74,17.01,17.5,117051,0.0,1.0
2020-03-10,17.6,17.84,17.05,17.66,62904,0.0,1.0
2020-03-11,16.72,17.14,16.4,16.67,84364,0.0,1.0
2020-03-12,15.64,16.5,15.32,15.69,90612,0.0,1.0
2020-03-13,16.72,17.33,16.07,16.85,110596,0.0,1.0
2020-03-16,15.17,16.2,15.0,15.89,165468,0.0,1.0
2020-03-17,15.71,16.66,15.33,16.34,107139,0.0,1.0
2020-03-18,14.54,15.64,14.26,15.12,169787,0.0,1.0
2020-03-19,15.0,15.67,14.68,15.05,2338085,0.0,1.0
2020-03-20,15.67,16.5,15.24,15.57,125762,0.0,1.0
2020-03-23,15.46,15.53,14.86,15.06,160427,0.0,1.0
2020-03-24,15.43,15.84,15.16,15.6,191014,0.0,1.0
2020-03-25,15.57,16.31,15.46,15.98,307930,0.0,1.0
2020-03-26,16.18,17.24,16.18,16.91,2653551,0.0,1.0
2020-03-27,16.97,17.89,16.9,17.67,969261,0.0,1.0
2020-03-30,17.1,17.67,16.84,17.45,1879085,0.0,1.0
2020-03-31,16.77,17.27,16.44,17.13,437266,0.0,1.0
2020-04-01,16.03,16.34,16.02,16.1,149888,0.0,1.0
2020-04-02,16.03,16.3,15.83,16.25,1279146,0.0,1.0
2020-04-03,15.16,15.18,14.73,15.01,678337,0.0,1.0
2020-04-06,15.59,16.12,15.58,16.12,135734,0.0,1.0
2020-04-07,16.72,16.99,16.19,16.5,75364,0.0,1.0
2020-04-08,16.79,17.04,16.7,17.03,112660,0.0,1.0
2020-04-09,17.1,17.44,16.67,16.91,78931,0.0,1.0
2020-04-13,16.5,17.63,16.5,17.08,128888,0.0,1.0
2020-04-14,17.32,17.4,16.92,17.04,687656,0.0,1.0
2020-04-15,16.65,17.39,16.5,17.07,117789,0.0,1.0
2020-04-16,16.99,17.08,16.5,16.56,132857,0.0,1.0
2020-04-17,16.96,17.35,16.68,17.3,94245,0.0,1.0
2020-04-20,17.25,17.71,16.99,17.36,129385,0.0,1.0
2020-04-21,18.42,19.0,18.41,18.95,120107,0.0,1.0
2020-04-22,18.46,18.46,18.11,18.4,102756,0.0,1.0
2020-04-23,18.18,18.72,18.01,18.3,94028,0.0,1.0
2020-04-24,18.77,19.01,18.66,18.9,77230,0.0,1.0
2020-04-27,18.92,19.34,18.9,19.34,102009,0.0,1.0
2020-04-28,18.97,19.2,18.82,18.9,138981,0.0,1.0
2020-04-29,19.1,19.3,19.07,19.25,52253,0.0,1.0
2020-04-30,19.81,19.82,19.43,19.74,228846,0.0,1.0
2020-05-01,18.85,20.0,18.85,19.19,89226,0.0,1.0
2020-05-04,19.0,19.75,19.0,19.74,296143,0.0,1.0
2020-05-05,19.89,20.36,19.8,19.82,216289,0.0,1.0
2020-05-06,20.49,20.8,20.38,20.4,131370,0.0,1.0
2020-05-07,20.33,20.79,20.24,20.62,137593,0.0,1.0
2020-05-08,21.12,21.51,21.09,21.28,95836,0.0,1.0
2020-05-11,21.46,22.02,21.43,21.56,86158,0.0,1.0
2020-05-12,21.2,21.49,20.94,21.24,156228,0.0,1.0
2020-05-13,22.38,22.64,21.86,21.88,132418,0.0,1.0
2020-05-14,20.97,21.48,20.95,21.31,76051,0.0,1.0
2020-05-15,21.51,21.64,21.18,21.37,100220,0.0,1.0
2020-05-18,22.44,22.86,22.32,22.8,110097,0.0,1.0
2020-05-19,22.4,23.13,22.36,22.94,73865,0.0,1.0
2020-05-20,23.52,23.98,23.49,23.91,128440,0.0,1.0
2020-05-21,23.92,23.96,23.47,23.7,52503,0.0,1.0
2020-05-22,24.16,25.24,24.16,25.07,521112,0.0,1.0
2020-05-26,24.82,24.83,24.34,24.35,223122,0.0,1.0
2020-05-27,23.44,23.94,23.19,23.88,126471,0.0,1.0
2020-05-28,24.58,25.11,24.44,24.8,103948,0.0,1.0
2020-05-29,25.71,26.28,25.43,26.2,160776,0.0,1.0
2020-06-01,26.16,26.84,26.1,26.84,192544,0.0,1.0
2020-06-02,26.92,27.14,26.84,26.99,719562,0.0,1.0
2020-06-03,26.83,27.18,26.79,27.16,112580,0.0,1.0
