date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,56.69,56.94,56.06,56.38,568300,0.0,1.0
1999-11-02,56.63,57.38,56.31,57.38,899900,0.0,1.0
1999-11-03,57.63,57.88,55.88,55.94,857000,0.0,1.0
1999-11-04,56.19,56.63,55.63,55.75,363900,0.0,1.0
1999-11-05,56.75,57.88,56.5,56.94,594800,0.0,1.0
1999-11-08,56.75,57.0,56.5,56.69,260200,0.0,1.0
1999-11-09,56.81,56.88,56.0,56.56,467700,0.0,1.0
1999-11-10,56.56,57.75,56.56,57.44,813800,0.0,1.0
1999-11-11,57.38,58.75,57.38,57.81,993500,0.0,1.0
1999-11-12,57.88,58.5,57.31,58.44,643000,0.0,1.0
1999-11-15,58.81,59.94,58.5,59.75,711000,0.0,1.0
1999-11-16,59.25,61.25,59.25,61.13,1092200,0.0,1.0
1999-11-17,61.0,61.25,60.19,60.31,766900,0.0,1.0
1999-11-18,60.31,61.56,60.25,61.25,801000,0.0,1.0
1999-11-19,61.13,61.38,60.88,60.94,608300,0.0,1.0
1999-11-22,62.0,62.31,60.0,60.31,670100,0.0,1.0
1999-11-23,60.25,60.25,58.44,58.56,539800,0.0,1.0
1999-11-24,58.56,58.56,55.56,56.69,824400,0.0,1.0
1999-11-26,56.75,57.25,56.63,56.94,625600,0.0,1.0
1999-11-29,56.94,57.25,54.31,56.63,768400,0.0,1.0
1999-11-30,56.63,59.0,56.63,57.94,843200,0.0,1.0
1999-12-01,57.75,58.0,57.56,58.0,518200,0.0,1.0
1999-12-02,57.88,58.44,57.63,58.44,427400,0.0,1.0
1999-12-03,58.44,60.5,58.44,59.31,694300,0.0,1.0
1999-12-06,60.25,60.5,58.63,58.69,361900,0.0,1.0
1999-12-07,58.75,60.81,58.5,60.69,833900,0.0,1.0
1999-12-08,60.75,62.25,60.19,61.5,1263100,0.0,1.0
1999-12-09,63.0,64.88,63.0,63.69,720000,0.0,1.0
1999-12-10,63.5,63.5,61.69,61.81,514400,0.0,1.0
1999-12-13,61.88,62.0,61.06,61.56,773900,0.0,1.0
1999-12-14,61.31,61.63,60.81,61.5,871900,0.0,1.0
1999-12-15,61.38,62.88,61.13,62.75,601400,0.0,1.0
1999-12-16,63.75,63.75,60.94,61.0,807400,0.0,1.0
1999-12-17,61.25,65.0,61.0,65.0,1081400,0.0,1.0
1999-12-20,64.88,68.0,64.75,67.5,1144200,0.0,1.0
1999-12-21,67.0,70.38,66.88,70.38,1508400,0.0,1.0
1999-12-22,70.88,70.88,67.63,68.31,1183900,0.0,1.0
1999-12-23,66.38,68.63,66.38,67.94,681100,0.0,1.0
1999-12-27,69.0,71.88,69.0,71.06,663300,0.0,1.0
1999-12-28,71.0,71.06,69.75,71.06,306500,0.0,1.0
1999-12-29,71.19,71.88,69.88,71.38,297800,0.0,1.0
1999-12-30,71.0,73.5,71.0,72.0,644000,0.0,1.0
1999-12-31,72.0,76.38,71.56,74.75,518800,0.0,1.0
2000-01-03,74.75,74.75,71.25,72.5,667200,0.0,1.0
2000-01-04,71.88,71.94,69.25,69.63,742400,0.0,1.0
2000-01-05,69.69,70.25,68.5,70.06,784900,0.0,1.0
2000-01-06,70.63,71.63,70.0,70.94,854200,0.0,1.0
2000-01-07,70.69,72.31,70.19,72.31,724700,0.0,1.0
2000-01-10,72.5,75.94,72.5,75.56,1728900,0.0,1.0
2000-01-11,75.94,76.63,74.56,75.94,1305000,0.0,1.0
2000-01-12,76.0,78.94,76.0,77.5,1410000,0.0,1.0
2000-01-13,77.38,80.69,76.75,78.81,1661300,0.0,1.0
2000-01-14,81.0,83.38,80.63,83.25,1066300,0.0,1.0
2000-01-18,81.75,81.75,77.75,77.94,937200,0.0,1.0
2000-01-19,78.0,79.38,77.63,78.38,1174000,0.0,1.0
2000-01-20,79.0,79.0,77.5,77.69,734900,0.0,1.0
2000-01-21,78.5,80.0,78.13,80.0,824400,0.0,1.0
2000-01-24,80.0,81.44,79.44,80.0,1738800,0.0,1.0
2000-01-25,80.0,80.56,75.88,76.0,1027300,0.0,1.0
2000-01-26,75.75,75.75,72.44,72.44,1461100,0.0,1.0
2000-01-27,73.5,77.56,73.44,75.88,1142400,0.0,1.0
2000-01-28,76.13,76.69,74.88,76.38,635200,0.0,1.0
2000-01-31,78.0,80.94,77.06,80.13,918700,0.0,1.0
2000-02-01,80.13,81.5,78.38,80.75,1016100,0.0,1.0
2000-02-02,80.69,81.38,77.5,79.31,939800,0.0,1.0
2000-02-03,79.81,82.81,78.81,80.38,1303700,0.0,1.0
2000-02-04,80.38,80.38,72.63,75.25,2203800,0.0,1.0
2000-02-07,77.0,80.5,76.5,80.0,1297800,0.0,1.0
