date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,22.8,23.02,22.8,22.84,1671,0.0,1.0
2016-01-05,22.9,22.9,22.82,22.9,987,0.0,1.0
2016-01-06,22.64,22.64,22.27,22.61,2220,0.0,1.0
2016-01-07,22.4,22.6,22.4,22.6,2628,0.0,1.0
2016-01-08,22.34,22.52,22.34,22.52,1411,0.0,1.0
2016-01-11,22.29,22.36,22.24,22.36,1204,0.0,1.0
2016-01-12,22.7,22.7,22.47,22.59,2559,0.0,1.0
2016-01-13,22.47,22.54,22.24,22.24,4476,0.0,1.0
2016-01-14,22.26,22.31,22.16,22.31,1996,0.0,1.0
2016-01-19,21.87,21.91,21.79,21.86,2722,0.0,1.0
2016-01-20,21.28,21.28,21.03,21.03,3952,0.0,1.0
2016-01-21,21.01,21.12,21.01,21.03,1201,0.0,1.0
2016-01-22,21.47,21.48,21.3,21.44,21816,0.0,1.0
2016-01-25,21.66,22.27,21.66,21.77,13733,0.0,1.0
2016-01-26,21.79,21.92,21.69,21.92,8996,0.0,1.0
2016-01-27,22.22,22.22,22.05,22.22,9683,0.0,1.0
2016-01-28,22.45,22.82,22.45,22.82,4871,0.0,1.0
2016-01-29,23.68,23.9,23.59,23.81,40586,0.0,1.0
2016-02-01,25.72,25.74,25.51,25.65,309392,0.0,1.0
2016-02-02,25.63,25.63,25.45,25.48,103568,0.0,1.0
2016-02-03,25.79,26.0,25.79,26.0,2149,0.0,1.0
2016-02-04,25.84,25.93,25.8,25.8,13544,0.0,1.0
2016-02-05,24.88,24.88,24.73,24.73,2206,0.0,1.0
2016-02-08,24.91,24.91,24.75,24.75,1416,0.0,1.0
2016-02-09,25.2,25.2,24.98,24.98,2109,0.0,1.0
2016-02-10,25.02,25.02,25.02,25.02,508,0.0,1.0
2016-02-11,24.52,24.6,24.52,24.56,4199,0.0,1.0
2016-02-12,24.56,24.56,24.56,24.56,56,0.0,1.0
2016-02-16,24.56,24.56,24.56,24.56,113,0.0,1.0
2016-02-17,24.37,24.4,24.37,24.37,3972,0.0,1.0
2016-02-18,24.37,24.37,24.37,24.37,170,0.0,1.0
2016-02-19,24.55,24.55,24.55,24.55,464,0.0,1.0
2016-02-22,25.27,25.27,25.26,25.26,564,0.0,1.0
2016-02-23,24.73,24.73,24.73,24.73,215,0.0,1.0
2016-02-24,24.74,24.86,24.74,24.86,1322,0.0,1.0
2016-02-25,25.08,25.13,25.08,25.13,1238,0.0,1.0
2016-02-26,25.3,25.3,25.07,25.18,726,0.0,1.0
2016-03-01,24.48,24.91,24.48,24.8,8652,0.0,1.0
2016-03-02,25.02,25.02,25.02,25.02,607,0.0,1.0
2016-03-03,24.87,24.87,24.81,24.87,942,0.0,1.0
2016-03-04,25.2,25.2,25.06,25.06,1160,0.0,1.0
2016-03-07,24.13,24.23,24.13,24.21,6413,0.0,1.0
2016-03-08,24.1,24.1,23.89,23.92,4612,0.0,1.0
2016-03-09,24.24,24.24,24.23,24.24,643,0.0,1.0
2016-03-10,24.24,24.37,24.24,24.34,1751,0.0,1.0
2016-03-11,24.9,24.9,24.9,24.9,739,0.0,1.0
2016-03-14,24.62,24.63,24.52,24.52,5694,0.0,1.0
2016-03-15,24.38,24.38,24.33,24.38,5071,0.0,1.0
2016-03-16,24.56,24.69,24.56,24.69,702,0.0,1.0
2016-03-17,24.49,24.92,24.49,24.81,3172,0.0,1.0
2016-03-18,24.45,24.45,24.45,24.45,725,0.0,1.0
2016-03-21,24.45,24.45,24.45,24.45,3,0.0,1.0
2016-03-22,24.03,24.03,23.96,23.98,689,0.0,1.0
2016-03-23,24.04,24.04,24.04,24.04,305,0.0,1.0
2016-03-28,24.41,24.41,24.41,24.41,1935,0.1452,1.0
2016-04-01,21.56,21.89,21.56,21.89,1401,0.0,1.0
2016-04-04,22.32,22.88,22.32,22.88,3899,0.0,1.0
2016-04-05,21.81,22.02,21.81,21.81,5588,0.0,1.0
2016-04-06,22.18,22.62,22.18,22.62,3499,0.0,1.0
2016-04-07,22.61,22.82,22.61,22.82,949,0.0,1.0
2016-04-08,22.74,22.74,22.74,22.74,173,0.0,1.0
2016-04-11,23.5,23.5,23.19,23.19,1519,0.0,1.0
2016-04-12,22.6,22.98,22.6,22.98,737,0.0,1.0
2016-04-13,23.41,23.41,23.41,23.41,833,0.0,1.0
2016-04-14,23.23,23.59,23.23,23.23,437,0.0,1.0
2016-04-15,23.41,23.41,23.41,23.41,905,0.0,1.0
2016-04-18,23.66,23.66,23.66,23.66,164,0.0,1.0
2016-04-19,23.66,23.66,23.66,23.66,253,0.0,1.0
2016-04-20,23.66,23.66,23.66,23.66,10,0.0,1.0
2016-04-21,24.34,24.34,24.34,24.34,188,0.0,1.0
2016-05-02,23.45,23.58,23.45,23.58,1291,0.0,1.0
2016-05-03,23.52,23.52,23.52,23.52,392,0.0,1.0
2016-05-04,23.52,23.52,23.52,23.52,238,0.0,1.0
2016-05-05,23.52,23.52,23.52,23.52,89,0.0,1.0
2016-05-06,23.01,23.01,23.01,23.01,792,0.0,1.0
2016-05-09,23.4,23.4,23.27,23.27,1708,0.0,1.0
2016-05-10,23.96,24.06,23.74,24.06,887,0.0,1.0
2016-05-11,23.46,23.46,23.46,23.46,160,0.0,1.0
2016-05-12,23.46,23.46,23.46,23.46,93,0.0,1.0
2016-05-13,23.02,23.02,22.98,22.98,673,0.0,1.0
2016-05-16,22.67,22.94,22.67,22.83,4598,0.0,1.0
2016-05-17,22.97,22.97,22.97,22.97,307,0.0,1.0
2016-05-18,22.97,22.97,22.97,22.97,62,0.0,1.0
2016-05-19,22.43,22.43,22.43,22.43,100,0.0,1.0
2016-05-20,22.64,22.83,22.64,22.83,561,0.0,1.0
2016-05-23,22.42,22.42,22.16,22.2,6748,0.0,1.0
2016-05-24,22.27,22.4,22.27,22.29,3640,0.0,1.0
2016-05-25,22.65,22.65,22.65,22.65,493,0.0,1.0
2016-05-26,23.0,23.0,22.87,22.87,2104,0.0,1.0
2016-05-27,23.66,23.66,23.66,23.66,1201,0.0,1.0
2016-05-31,23.66,23.66,23.66,23.66,139,0.0,1.0
2016-06-01,23.66,23.66,23.66,23.66,8,0.0,1.0
2016-06-02,22.71,22.71,22.7,22.7,1897,0.0,1.0
2016-06-03,23.11,23.38,23.11,23.38,647,0.0,1.0
2016-06-06,23.38,23.38,23.38,23.38,23,0.0,1.0
2016-06-07,23.38,23.38,23.38,23.38,27,0.0,1.0
2016-06-09,23.38,23.38,23.38,23.38,5,0.0,1.0
2016-06-13,23.38,23.38,23.38,23.38,44,0.0,1.0
2016-06-14,23.38,23.38,23.38,23.38,14,0.0,1.0
2016-06-15,23.38,23.38,23.38,23.38,64,0.0,1.0
2016-06-16,23.38,23.38,23.38,23.38,41,0.0,1.0
2016-06-17,23.41,23.59,23.41,23.59,2906,0.0,1.0
2016-06-20,23.59,23.59,23.59,23.59,40,0.0,1.0
2016-06-22,23.59,23.59,23.59,23.59,43,0.0,1.0
2016-06-23,23.59,23.59,23.59,23.59,144,0.0,1.0
2016-06-24,22.86,22.86,22.75,22.75,33888,0.0,1.0
2016-06-27,23.8,23.8,23.77,23.77,2791,0.0,1.0
2016-06-28,24.42,24.42,24.38,24.38,927,0.0,1.0
2016-06-29,24.12,24.24,24.12,24.2,69777,0.0,1.0
2016-06-30,23.49,23.49,23.49,23.49,836,0.0,1.0
2016-07-01,23.49,23.49,23.49,23.49,61,0.0,1.0
2016-07-05,24.7,24.7,24.54,24.54,907,0.0,1.0
2016-07-06,24.35,24.81,24.35,24.81,525,0.0,1.0
2016-07-07,24.88,24.88,24.83,24.83,556,0.0,1.0
2016-07-08,24.85,24.85,24.81,24.81,1045,0.0,1.0
2016-07-11,25.05,25.05,25.05,25.05,212,0.0,1.0
2016-07-12,24.91,24.91,24.91,24.91,556,0.0,1.0
2016-07-13,24.91,24.91,24.91,24.91,65,0.0,1.0
2016-07-14,24.91,24.91,24.91,24.91,64,0.0,1.0
2016-07-15,23.46,23.46,23.46,23.46,234,0.0,1.0
2016-07-18,23.84,24.12,23.84,24.12,739,0.0,1.0
2016-07-19,23.93,24.44,23.93,24.44,1133,0.0,1.0
2016-07-20,24.32,24.45,24.32,24.45,1008,0.0,1.0
2016-07-21,24.45,24.45,24.45,24.45,70,0.0,1.0
2016-07-22,24.31,24.31,24.31,24.31,209,0.0,1.0
2016-07-25,24.03,24.03,23.68,23.68,907,0.0,1.0
2016-07-26,24.33,24.42,24.24,24.42,1544,0.0,1.0
2016-07-27,24.42,24.42,24.42,24.42,67,0.0,1.0
2016-07-28,24.42,24.42,24.42,24.42,135,0.0,1.0
2016-07-29,25.04,25.04,25.04,25.04,746,0.0,1.0
2016-08-01,25.04,25.04,25.04,25.04,203,0.0,1.0
2016-08-02,25.04,25.04,25.04,25.04,132,0.0,1.0
2016-08-03,23.82,23.82,23.59,23.59,490,0.0,1.0
2016-08-04,23.59,23.59,23.59,23.59,201,0.0,1.0
2016-08-05,23.59,23.59,23.59,23.59,20,0.0,1.0
2016-08-08,23.59,23.59,23.59,23.59,46,0.0,1.0
2016-08-09,23.59,23.59,23.59,23.59,116,0.0,1.0
2016-08-10,23.55,23.55,23.55,23.55,214,0.0,1.0
2016-08-12,23.92,23.92,23.92,23.92,196,0.0,1.0
2016-08-15,24.44,24.44,24.44,24.44,198,0.0,1.0
2016-08-16,23.9,23.9,23.8,23.9,2137,0.0,1.0
2016-08-17,23.9,23.9,23.9,23.9,63,0.0,1.0
2016-08-18,23.9,23.9,23.9,23.9,31,0.0,1.0
2016-08-19,22.65,22.65,22.65,22.65,181,0.0,1.0
2016-08-22,22.65,22.65,22.65,22.65,114,0.0,1.0
2016-08-23,22.91,23.06,22.89,22.89,741,0.0,1.0
2016-08-24,22.89,22.89,22.89,22.89,82,0.0,1.0
2016-08-25,22.59,22.59,22.59,22.59,191,0.0,1.0
2016-08-26,22.48,22.48,22.48,22.48,1656,0.0,1.0
2016-08-29,22.12,22.12,22.12,22.12,196,0.0,1.0
2016-08-30,22.12,22.12,22.12,22.12,220,0.0,1.0
2016-08-31,21.01,21.01,21.01,21.01,379,0.0,1.0
2016-09-01,21.5,21.6,21.5,21.6,2764,0.0,1.0
2016-09-02,21.6,21.6,21.6,21.6,116,0.0,1.0
2016-09-06,21.9,21.92,21.9,21.92,3236,0.0,1.0
2016-09-07,22.25,22.25,22.06,22.06,749,0.0,1.0
2016-09-08,22.21,22.21,22.21,22.21,292,0.0,1.0
2016-09-09,21.57,21.57,21.57,21.57,220,0.0,1.0
2016-09-12,21.69,21.72,21.69,21.72,610,0.0,1.0
2016-09-13,21.66,21.66,21.56,21.56,2109,0.0,1.0
2016-09-14,21.77,21.77,21.77,21.77,519,0.0,1.0
2016-09-15,21.88,21.88,21.88,21.88,692,0.0,1.0
2016-09-16,21.33,21.33,21.33,21.33,333,0.0,1.0
2016-09-19,21.56,21.56,21.56,21.56,337,0.0,1.0
2016-09-20,21.73,21.73,21.73,21.73,282,0.0,1.0
2016-09-21,22.09,22.25,22.04,22.25,735,0.0,1.0
2016-09-22,22.44,22.44,22.44,22.44,127,0.0,1.0
2016-09-23,22.38,22.38,22.38,22.38,218,0.0,1.0
2016-09-26,22.38,22.38,22.38,22.38,88,0.0,1.0
2016-09-27,22.45,22.81,22.45,22.77,2016,0.1308,1.0
2016-09-30,22.07,22.21,22.07,22.21,620,0.0,1.0
2016-10-03,22.05,22.05,22.05,22.05,150,0.0,1.0
2016-10-04,22.05,22.05,22.05,22.05,18,0.0,1.0
2016-10-05,21.68,21.68,21.68,21.68,320,0.0,1.0
2016-10-06,21.8,21.8,21.8,21.8,1600,0.0,1.0
2016-10-07,22.14,22.14,21.59,21.59,713,0.0,1.0
2016-10-10,22.02,22.02,22.02,22.02,943,0.0,1.0
2016-10-11,22.01,22.11,22.0,22.11,10698,0.0,1.0
2016-10-12,21.81,22.16,21.81,22.16,437,0.0,1.0
2016-10-17,21.74,21.74,21.55,21.55,1161,0.0,1.0
2016-10-18,21.59,21.59,21.58,21.58,994,0.0,1.0
2016-10-19,21.91,21.91,21.91,21.91,655,0.0,1.0
2016-10-20,21.82,21.87,21.82,21.87,517,0.0,1.0
2016-10-21,21.9,22.14,21.9,22.14,464,0.0,1.0
2016-10-24,21.87,22.37,21.87,22.37,313,0.0,1.0
2016-10-25,22.08,22.08,22.08,22.08,260,0.0,1.0
2016-10-26,21.91,21.91,21.91,21.91,280,0.0,1.0
2016-10-27,22.19,22.19,22.19,22.19,72975,0.0,1.0
2016-10-28,22.4,22.4,22.4,22.4,190,0.0,1.0
2016-10-31,22.4,22.4,22.4,22.4,104,0.0,1.0
2016-12-01,19.52,19.95,19.52,19.95,1114,0.0,1.0
2016-12-02,19.37,19.62,19.37,19.62,1149,0.0,1.0
2016-12-05,19.98,19.98,19.47,19.94,2299,0.0,1.0
2016-12-06,18.91,19.3,18.86,19.18,12513,0.0,1.0
2016-12-07,18.87,19.39,18.87,19.36,3622,0.0,1.0
2016-12-08,19.27,19.27,19.27,19.27,558,0.0,1.0
2016-12-09,19.22,19.27,19.22,19.22,4706,0.0,1.0
2016-12-12,20.0,20.51,20.0,20.0,4597,0.0,1.0
2016-12-13,20.22,20.85,20.22,20.22,3544,0.0,1.0
2016-12-14,20.39,20.59,20.15,20.15,9457,0.0,1.0
2016-12-15,20.43,20.43,19.96,20.15,1935,0.0,1.0
2016-12-16,19.97,20.53,19.97,19.97,1965,0.0,1.0
2016-12-19,20.36,20.77,20.36,20.36,4919,0.0,1.0
2016-12-20,20.62,20.62,20.4,20.4,720,0.0,1.0
2016-12-21,20.3,20.41,20.28,20.41,1395,0.0,1.0
2016-12-22,19.74,20.2,19.74,19.74,1140,0.0,1.0
2016-12-23,20.02,20.02,20.02,20.02,368,0.0,1.0
2016-12-27,19.88,20.35,19.88,20.35,1962,0.0,1.0
2016-12-28,20.32,20.32,20.32,20.32,201,0.0,1.0
