date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-08-11,16.6,16.6,16.6,16.6,143,0.0,1.0
2010-08-12,16.54,16.74,16.42,16.42,1552,0.0,1.0
2010-08-13,17.0,17.0,16.4,16.4,315,0.0,1.0
2010-08-16,16.33,16.68,16.33,16.68,1029,0.0,1.0
2010-08-17,16.6,17.0,16.33,16.68,0,0.0,1.0
2010-08-18,16.6,17.0,16.33,16.68,0,0.0,1.0
2010-08-19,17.0,17.0,16.28,16.6,774,0.0,1.0
2010-08-20,16.6,17.0,16.28,16.6,0,0.0,1.0
2010-08-23,16.6,17.0,16.28,16.6,0,0.0,1.0
2010-08-24,16.6,17.0,16.28,16.6,0,0.0,1.0
2010-08-25,16.6,17.0,16.28,16.6,0,0.0,1.0
2010-08-26,16.6,17.0,16.28,16.6,0,0.0,1.0
2010-08-27,16.6,17.0,16.28,16.7,4014,0.0,1.0
2010-08-30,16.6,17.0,16.28,16.7,0,0.0,1.0
2010-08-31,16.6,17.0,16.28,16.7,0,0.0,1.0
2010-09-01,16.6,17.0,16.28,16.7,0,0.0,1.0
2010-09-02,16.6,17.0,16.28,16.5,4118,0.0,1.0
2010-09-03,16.6,17.0,16.28,16.5,0,0.0,1.0
2010-09-07,16.6,17.0,16.28,16.5,0,0.0,1.0
2010-09-08,16.6,17.0,16.28,16.55,4505,0.0,1.0
2010-09-09,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-10,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-13,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-14,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-15,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-16,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-17,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-20,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-21,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-22,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-23,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-24,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-27,16.6,17.0,16.28,16.55,0,0.0,1.0
2010-09-28,18.55,18.55,18.55,18.55,11705,0.0,1.0
2010-09-29,18.55,18.55,18.55,18.55,0,0.0,1.0
2010-09-30,18.55,18.55,18.55,18.55,0,0.0,1.0
2010-10-01,18.55,18.55,18.55,18.55,0,0.0,1.0
2010-10-04,18.55,18.55,18.55,18.55,0,0.0,1.0
2010-10-05,18.55,18.55,18.55,18.55,0,0.0,1.0
2010-10-06,19.04,19.1,19.04,19.04,12015,0.0,1.0
2010-10-07,19.16,19.16,19.16,19.16,12135,0.0,1.0
2010-10-08,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-11,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-12,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-13,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-14,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-15,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-18,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-19,18.83,19.25,18.83,19.25,1424,0.0,1.0
2010-10-20,19.16,19.16,19.16,19.16,247,0.0,1.0
2010-10-21,19.16,19.16,19.16,19.16,0,0.0,1.0
2010-10-22,19.16,19.16,19.16,19.16,377,0.0,1.0
2010-10-25,19.7,19.7,19.7,19.7,12304,0.0,1.0
2010-10-26,19.7,19.7,19.7,19.7,0,0.0,1.0
2010-10-27,20.05,20.05,20.05,20.05,12684,0.0,1.0
2010-10-28,20.05,20.05,20.05,20.05,0,0.0,1.0
2010-10-29,20.6,20.6,20.6,20.6,12854,0.0,1.0
2010-11-01,20.6,20.6,20.6,20.6,0,0.0,1.0
2010-11-02,20.5,20.5,20.5,20.5,118,0.0,1.0
2010-11-03,20.65,20.65,20.65,20.65,121,0.0,1.0
2010-11-04,20.5,20.65,20.5,20.5,13659,0.0,1.0
2010-11-05,20.5,20.65,20.5,20.5,0,0.0,1.0
2010-11-08,20.5,20.65,20.5,20.5,0,0.0,1.0
2010-11-09,20.5,20.65,20.5,20.5,0,0.0,1.0
2010-11-10,20.5,20.65,20.5,20.5,0,0.0,1.0
2010-11-11,20.5,20.65,20.5,20.5,0,0.0,1.0
2010-11-12,20.0,20.0,20.0,20.0,19140,0.0,1.0
2010-11-15,19.95,19.95,19.95,19.95,690,0.0,1.0
2010-11-16,20.0,20.65,20.0,20.0,38389,0.0,1.0
2010-11-17,20.0,20.65,20.0,20.0,0,0.0,1.0
2010-11-18,20.5,20.65,20.5,20.5,39209,0.0,1.0
2010-11-19,20.3,20.3,20.3,20.3,1820,0.0,1.0
2010-11-22,20.14,20.15,19.87,19.87,990,0.0,1.0
2010-11-23,20.25,20.25,19.85,20.0,1910,0.0,1.0
2010-11-24,20.0,20.65,20.0,20.0,0,0.0,1.0
2010-11-26,20.0,20.65,20.0,20.0,0,0.0,1.0
2010-11-29,18.9,20.65,18.9,18.9,48939,0.0,1.0
2010-11-30,19.57,20.65,19.57,19.57,65029,0.0,1.0
2010-12-01,19.4,19.4,19.25,19.25,248,0.0,1.0
2010-12-02,19.25,20.65,19.25,19.25,0,0.0,1.0
2010-12-03,19.25,20.65,19.25,19.25,0,0.0,1.0
2010-12-06,19.25,20.65,19.25,19.25,0,0.0,1.0
2010-12-07,19.25,20.65,19.25,19.25,0,0.0,1.0
2010-12-08,19.25,20.65,19.25,19.25,0,0.0,1.0
2010-12-09,20.0,20.65,20.0,20.0,65606,0.0,1.0
2010-12-10,20.0,20.65,20.0,20.0,0,0.0,1.0
2010-12-13,20.3,20.3,20.3,20.3,750,0.0,1.0
2010-12-14,20.9,20.9,20.9,20.9,540,0.0,1.0
2010-12-15,21.2,21.2,21.2,21.2,430,0.0,1.0
2010-12-16,20.5,21.2,20.5,20.5,67426,0.0,1.0
2010-12-17,20.5,21.2,20.5,20.5,0,0.0,1.0
2010-12-20,20.5,21.2,20.5,20.5,0,0.0,1.0
2010-12-21,20.5,21.2,20.5,20.5,0,0.0,1.0
2010-12-22,20.5,21.2,20.5,20.5,0,0.0,1.0
2010-12-23,20.15,21.2,20.15,20.15,67738,0.0,1.0
2010-12-27,20.3,20.3,20.25,20.25,338,0.0,1.0
2010-12-28,20.25,21.2,20.25,20.25,0,0.0,1.0
2010-12-29,20.25,21.2,20.25,20.25,0,0.0,1.0
2010-12-30,20.5,20.5,20.5,20.5,190,0.0,1.0
2010-12-31,21.25,21.5,21.25,21.25,68543,0.0,1.0
2011-01-03,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-04,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-05,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-06,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-07,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-10,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-11,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-12,21.25,21.5,21.25,21.25,180,0.0,1.0
2011-01-13,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-14,21.25,21.5,21.25,21.25,289,0.0,1.0
2011-01-18,21.25,21.5,21.25,21.25,10000,0.0,1.0
2011-01-19,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-20,19.51,19.72,19.51,19.51,49450,0.0,1.0
2011-01-21,19.51,19.51,19.51,19.51,0,0.0,1.0
2011-01-24,19.4,19.4,19.4,19.4,274,0.0,1.0
2011-01-25,20.15,20.15,20.15,20.15,289,0.0,1.0
2011-01-26,20.55,20.55,20.55,20.55,200,0.0,1.0
2011-01-27,21.05,21.1,21.05,21.1,440,0.0,1.0
2011-01-28,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-01-31,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-02-01,21.25,21.5,21.25,21.25,0,0.0,1.0
2011-02-02,20.6,20.6,20.6,20.6,69928,0.0,1.0
2011-02-03,20.6,20.6,20.6,20.6,0,0.0,1.0
2011-02-04,21.6,21.6,21.6,21.6,70260,0.0,1.0
2011-02-07,20.6,20.6,20.6,20.6,110,0.0,1.0
2011-02-08,20.85,21.6,20.85,20.85,70543,0.0,1.0
2011-02-09,20.85,21.6,20.85,20.85,0,0.0,1.0
2011-02-10,20.7,20.7,20.7,20.7,310,0.0,1.0
2011-02-11,20.05,20.05,20.05,20.05,105,0.0,1.0
2011-02-14,20.0,20.0,20.0,20.0,192,0.0,1.0
2011-02-15,19.9,19.9,19.9,19.9,288,0.0,1.0
2011-02-16,19.6,21.6,19.6,19.6,71766,0.0,1.0
2011-02-17,19.6,21.6,19.6,19.6,0,0.0,1.0
2011-02-18,20.85,21.6,20.85,20.85,72386,0.0,1.0
2011-02-22,19.45,19.45,19.45,19.45,125,0.0,1.0
2011-02-23,20.1,20.1,20.1,20.1,200,0.0,1.0
2011-02-24,20.25,20.25,20.25,20.25,107,0.0,1.0
2011-02-25,19.0,19.0,19.0,19.0,753,0.0,1.0
2011-02-28,18.95,18.95,18.95,18.95,406,0.0,1.0
2011-03-01,18.65,18.65,18.65,18.65,103,0.0,1.0
2011-03-02,18.8,18.8,18.8,18.8,160,0.0,1.0
2011-03-03,20.4,21.6,20.4,20.4,74350,0.0,1.0
2011-03-04,20.4,21.6,20.4,20.4,0,0.0,1.0
2011-03-07,19.13,21.6,19.13,19.13,74524,0.0,1.0
2011-03-08,19.13,21.6,19.13,19.13,0,0.0,1.0
2011-03-09,20.15,21.6,20.15,20.15,74634,0.0,1.0
2011-03-10,20.15,21.6,20.15,20.15,0,0.0,1.0
2011-03-11,18.0,21.6,18.0,18.0,74740,0.0,1.0
2011-03-14,18.0,21.6,18.0,18.0,0,0.0,1.0
2011-03-15,19.3,19.3,19.3,19.3,114,0.0,1.0
2011-03-16,18.0,18.0,18.0,18.0,134,0.0,1.0
2011-03-17,18.2,18.2,18.2,18.2,140,0.0,1.0
2011-03-18,19.25,21.6,19.25,19.25,75328,0.0,1.0
2011-03-21,19.25,21.6,19.25,19.25,0,0.0,1.0
2011-03-22,18.7,19.7,18.7,19.7,420,0.0,1.0
2011-03-23,19.7,19.7,19.7,19.7,0,0.0,1.0
2011-03-24,20.5,20.5,19.45,19.45,496,0.0,1.0
2011-03-25,19.95,19.95,18.61,18.61,660,0.0,1.0
2011-03-28,18.61,21.6,18.61,18.61,0,0.0,1.0
2011-03-29,18.61,21.6,18.61,18.61,0,0.0,1.0
2011-03-30,20.0,21.6,20.0,20.0,77184,0.0,1.0
2011-03-31,20.0,21.6,20.0,20.0,0,0.0,1.0
2011-04-01,20.0,21.6,20.0,20.0,0,0.0,1.0
2011-04-04,20.0,21.6,20.0,20.0,0,0.0,1.0
2011-04-05,19.05,19.05,19.05,19.05,2120,0.0,1.0
2011-04-06,19.0,19.0,19.0,19.0,100,0.0,1.0
2011-04-07,19.07,19.07,19.07,19.07,215,0.0,1.0
2011-04-08,20.3,20.3,20.3,20.3,109,0.0,1.0
2011-04-11,20.3,20.3,20.3,20.3,0,0.0,1.0
2011-04-12,20.35,20.35,20.35,20.35,185,0.0,1.0
2011-04-13,21.1,21.1,21.1,21.1,580,0.0,1.0
2011-04-14,21.22,21.22,21.22,21.22,160,0.0,1.0
2011-04-15,21.22,21.22,21.22,21.22,0,0.0,1.0
2011-04-18,21.22,21.22,21.22,21.22,0,0.0,1.0
2011-04-19,20.5,20.5,19.55,19.55,316,0.0,1.0
2011-04-20,19.55,19.55,19.55,19.55,0,0.0,1.0
2011-04-21,20.35,20.55,20.35,20.55,703,0.0,1.0
2011-04-25,20.35,20.55,20.35,20.55,0,0.0,1.0
2011-04-26,20.35,20.55,20.35,20.55,0,0.0,1.0
2011-04-27,20.25,20.25,20.25,20.25,597,0.0,1.0
2011-04-28,20.25,20.25,20.25,20.25,0,0.0,1.0
2011-04-29,20.46,20.46,20.41,20.41,269,0.0,1.0
2011-05-02,20.55,20.55,20.55,20.55,153,0.0,1.0
2011-05-03,20.4,20.45,20.21,20.21,525,0.0,1.0
2011-05-04,20.05,20.05,20.05,20.05,180,0.0,1.0
2011-05-05,20.05,20.05,20.05,20.05,0,0.0,1.0
2011-05-06,19.77,19.77,19.77,19.77,158,0.0,1.0
2011-05-09,20.9,20.9,20.9,20.9,840,0.0,1.0
2011-05-10,19.75,19.75,19.75,19.75,101,0.0,1.0
2011-05-11,19.75,19.75,19.75,19.75,0,0.0,1.0
2011-05-12,19.75,19.75,19.75,19.75,0,0.0,1.0
2011-05-13,19.0,19.0,19.0,19.0,270,0.0,1.0
2011-05-16,19.3,19.3,19.3,19.3,254,0.0,1.0
2011-05-17,19.3,19.3,19.3,19.3,0,0.0,1.0
2011-05-18,19.3,19.3,19.3,19.3,0,0.0,1.0
2011-05-19,19.3,19.3,19.3,19.3,0,0.0,1.0
2011-05-20,20.47,20.47,20.47,20.47,130,0.0,1.0
2011-05-23,18.96,18.96,18.96,18.96,194,0.0,1.0
2011-05-24,19.38,19.38,19.38,19.38,103,0.0,1.0
2011-05-25,19.55,19.55,19.55,19.55,562,0.0,1.0
2011-05-26,19.05,19.1,19.05,19.1,1309,0.0,1.0
2011-05-27,19.4,19.45,19.4,19.45,278,0.0,1.0
2011-05-31,20.0,20.05,20.0,20.05,366,0.0,1.0
2011-06-01,20.81,20.81,20.12,20.12,21127,0.0,1.0
2011-06-02,20.16,20.16,20.16,20.16,286,0.0,1.0
2011-06-03,20.3,20.3,20.3,20.3,361,0.0,1.0
2011-06-06,20.25,20.25,20.2,20.2,436,0.0,1.0
2011-06-07,20.25,20.25,20.25,20.25,307,0.0,1.0
