date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,89.44,91.88,87.5,87.75,6228500,0.0,1.0
1999-11-02,89.31,93.13,88.06,91.13,7662600,0.0,1.0
1999-11-03,93.25,94.75,92.63,94.44,7370100,0.0,1.0
1999-11-04,94.25,94.38,91.0,92.75,6391700,0.0,1.0
1999-11-05,94.13,98.06,93.88,98.0,6471300,0.0,1.0
1999-11-08,97.0,98.25,96.06,97.19,3690000,0.0,1.0
1999-11-09,99.13,100.1,96.0,97.38,6790700,0.0,1.0
1999-11-10,99.44,102.5,99.38,101.8,8297600,0.0,1.0
1999-11-11,102.8,108.6,102.8,108.5,7690600,0.0,1.0
1999-11-12,107.8,109.0,105.4,109.0,7612000,0.0,1.0
1999-11-15,108.9,109.3,104.0,105.3,7382000,0.0,1.0
1999-11-16,104.9,109.0,103.5,105.5,8051600,0.0,1.0
1999-11-17,109.0,113.3,106.0,110.0,14903700,0.0,1.0
1999-11-18,108.1,108.4,105.0,107.0,11543300,0.0,1.0
1999-11-19,107.4,110.3,106.1,107.3,8405000,0.0,1.0
1999-11-22,107.6,108.5,102.9,103.3,8265800,0.0,1.0
1999-11-23,103.8,105.6,100.5,102.9,5811900,0.0,1.0
1999-11-24,102.4,102.9,100.1,102.4,4629300,0.0,1.0
1999-11-26,102.8,103.9,101.9,102.0,2390300,0.0,1.0
1999-11-29,101.8,103.3,99.81,101.3,5667800,0.0,1.0
1999-11-30,101.0,102.0,97.38,97.44,6976100,0.0,1.0
1999-12-01,98.75,101.6,98.13,100.5,5602000,0.0,1.0
1999-12-02,100.7,107.9,100.7,107.8,6764900,0.0,1.0
1999-12-03,109.9,111.0,107.6,110.3,7786700,0.0,1.0
1999-12-06,109.5,115.1,107.9,114.9,6159600,0.0,1.0
1999-12-07,113.5,113.6,108.9,111.3,6153700,0.0,1.0
1999-12-08,110.3,115.1,108.3,114.8,8515000,0.0,1.0
1999-12-09,115.0,115.4,110.0,112.7,6160600,0.0,1.0
1999-12-10,113.0,113.0,106.6,109.4,5781200,0.0,1.0
1999-12-13,109.3,111.9,107.8,108.1,4193600,0.0,1.0
1999-12-14,109.4,109.4,104.4,104.6,8305200,0.0,1.0
1999-12-15,104.9,106.3,100.0,103.3,7427900,0.0,1.0
1999-12-16,104.7,110.7,104.6,110.6,6687000,0.0,1.0
1999-12-17,114.9,115.0,110.3,110.8,5603100,0.0,1.0
1999-12-20,113.8,118.6,113.5,116.3,6086200,0.0,1.0
1999-12-21,115.4,123.9,114.7,123.6,5772800,0.0,1.0
1999-12-22,122.0,122.9,118.5,120.9,4752300,0.0,1.0
1999-12-23,121.4,123.0,118.0,121.6,3043400,0.0,1.0
1999-12-27,121.8,127.8,120.1,127.7,3516900,0.0,1.0
1999-12-28,127.0,127.5,122.8,126.1,2555000,0.0,1.0
1999-12-29,124.6,127.0,124.6,126.4,1676300,0.0,1.0
1999-12-30,126.6,126.7,123.0,124.4,1788300,0.0,1.0
1999-12-31,124.6,129.0,124.1,126.7,1615700,0.0,1.0
2000-01-03,128.4,128.4,125.3,126.5,3589100,0.0,1.0
2000-01-04,121.8,125.3,120.0,120.3,5705600,0.0,1.0
2000-01-05,118.1,120.2,113.6,115.2,6947800,0.0,1.0
2000-01-06,114.3,118.9,112.3,115.9,5609500,0.0,1.0
2000-01-07,112.8,117.1,111.0,116.9,9433100,0.0,1.0
2000-01-10,119.1,127.2,118.5,126.4,7553600,0.0,1.0
2000-01-11,123.8,129.7,120.2,120.8,6816000,0.0,1.0
2000-01-12,122.0,127.3,117.9,127.1,7637600,0.0,1.0
2000-01-13,123.6,127.5,119.6,124.5,11049100,0.0,1.0
2000-01-14,129.8,139.0,129.5,135.6,15353800,0.0,1.0
2000-01-18,133.9,137.8,132.1,135.1,6933400,0.0,1.0
2000-01-19,135.5,143.3,134.3,142.4,7273100,0.0,1.0
2000-01-20,143.9,145.4,138.6,140.0,7045000,0.0,1.0
2000-01-21,141.6,142.8,137.8,141.3,7711500,0.0,1.0
2000-01-24,140.3,146.6,140.3,140.5,6338200,0.0,1.0
2000-01-25,141.4,145.3,135.3,144.4,8213700,0.0,1.0
2000-01-26,144.1,144.4,134.1,134.3,6806900,0.0,1.0
2000-01-27,137.2,140.3,133.4,135.5,6746500,0.0,1.0
2000-01-28,134.6,138.4,128.6,129.8,7873700,0.0,1.0
2000-01-31,128.7,137.6,128.3,137.3,7587800,0.0,1.0
2000-02-01,133.8,141.4,133.3,140.5,5698700,0.0,1.0
2000-02-02,140.1,147.0,139.6,143.8,6974300,0.0,1.0
2000-02-03,144.9,150.0,144.9,148.5,5899300,0.0,1.0
2000-02-04,149.6,150.9,144.9,145.4,4749500,0.0,1.0
2000-02-07,145.5,154.2,144.0,153.6,5359500,0.0,1.0
2000-02-08,154.8,161.5,152.5,161.0,9275100,0.0,1.0
2000-02-09,159.2,168.6,159.1,163.7,9439300,0.0,1.0
2000-02-10,163.8,174.8,161.3,174.8,6914700,0.0,1.0
2000-02-11,172.9,174.3,163.5,165.0,8284100,0.0,1.0
2000-02-14,167.6,169.6,159.8,161.1,7676300,0.0,1.0
2000-02-15,163.9,169.3,159.8,166.5,10276200,0.0,1.0
2000-02-16,175.0,177.8,171.5,173.4,12741500,0.0,1.0
2000-02-17,174.1,188.9,169.9,188.4,11884100,0.0,1.0
2000-02-18,188.3,189.3,177.0,177.8,8818200,0.0,1.0
2000-02-22,176.4,184.0,173.4,178.8,7543900,0.0,1.0
2000-02-23,178.5,184.3,177.6,181.0,5999500,0.0,1.0
2000-02-24,180.3,186.8,178.8,183.5,6785800,0.0,1.0
2000-02-25,183.7,185.4,171.0,172.3,6556200,0.0,1.0
2000-02-28,173.8,179.3,167.1,176.9,8512000,0.0,1.0
2000-02-29,180.0,184.5,179.6,182.9,6808600,0.0,1.0
2000-03-01,183.5,185.5,181.4,184.6,4921500,0.0,1.0
2000-03-02,183.3,186.9,180.3,180.5,4343200,0.0,1.0
2000-03-03,184.4,191.0,183.9,190.8,5857800,0.0,1.0
2000-03-06,191.2,193.4,181.6,184.0,5362100,0.0,1.0
2000-03-07,186.3,191.7,183.5,184.1,6225700,0.0,1.0
2000-03-08,185.5,185.8,173.1,179.4,8233700,0.0,1.0
2000-03-09,178.5,190.5,174.1,190.3,5656800,0.0,1.0
2000-03-10,188.1,196.9,186.9,193.1,6207200,0.0,1.0
2000-03-13,185.5,191.0,184.5,187.9,6955900,0.0,1.0
2000-03-14,191.5,192.3,178.5,178.8,8731300,0.0,1.0
2000-03-15,178.9,180.8,168.5,171.2,12537300,0.0,1.0
2000-03-16,87.5,90.75,81.5,87.94,7918500,0.0,2.0
2000-03-17,90.13,96.56,89.94,95.86,12620300,0.0,1.0
2000-03-20,95.19,97.5,93.13,94.0,11005700,0.0,1.0
2000-03-21,94.44,98.88,92.0,98.0,9954700,0.0,1.0
2000-03-22,97.94,105.1,97.0,104.8,9283000,0.0,1.0
2000-03-23,104.3,109.3,102.0,102.4,9544800,0.0,1.0
2000-03-24,105.44,110.0,103.5,106.81,10777400,0.0,1.0
2000-03-27,107.9,110.0,105.5,108.6,7228700,0.0,1.0
2000-03-28,107.9,108.3,101.0,102.1,9379300,0.0,1.0
2000-03-29,102.6,102.7,96.13,96.81,11336900,0.0,1.0
2000-03-30,94.63,98.0,87.25,93.0,14063200,0.0,1.0
2000-03-31,94.0,96.94,88.13,94.25,17375200,0.0,1.0
2000-04-03,95.56,96.75,87.0,89.25,12879200,0.0,1.0
2000-04-04,93.38,100.3,85.0,98.13,23795300,0.0,1.0
2000-04-05,96.25,110.3,96.0,104.2,21832200,0.0,1.0
2000-04-06,106.5,111.3,104.4,106.7,13953200,0.0,1.0
2000-04-07,108.0,115.0,107.1,114.9,12250300,0.0,1.0
2000-04-10,114.4,114.6,103.3,103.4,15979800,0.0,1.0
2000-04-11,101.8,111.3,99.69,104.6,19063500,0.0,1.0
2000-04-12,107.1,108.8,95.13,97.56,19326200,0.0,1.0
2000-04-13,101.0,102.3,88.94,89.0,25150500,0.0,1.0
2000-04-14,88.31,88.38,78.0,80.31,28250400,0.0,1.0
2000-04-17,81.13,96.69,78.94,96.63,21085200,0.0,1.0
2000-04-18,97.0,101.1,95.0,101.0,17513400,0.0,1.0
2000-04-19,101.9,102.0,90.13,91.5,13201800,0.0,1.0
