date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-07-31,16.5,16.5,16.5,16.5,131,0.0,1.0
2017-08-01,16.5,16.5,16.5,16.5,0,0.0,1.0
2017-08-02,16.5,16.5,16.5,16.5,0,0.0,1.0
2017-08-03,16.5,16.5,16.5,16.5,0,0.0,1.0
2017-08-04,16.5,16.5,16.5,16.5,0,0.0,1.0
2017-08-07,16.5,16.5,16.5,16.5,0,0.0,1.0
2017-08-08,17.14,17.14,17.14,17.14,132,0.0,1.0
2017-08-09,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-10,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-11,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-14,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-15,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-16,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-17,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-18,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-21,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-22,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-23,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-24,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-25,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-28,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-29,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-30,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-08-31,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-01,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-05,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-06,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-07,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-08,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-11,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-12,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-13,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-14,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-15,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-18,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-19,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-20,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-21,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-22,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-25,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-26,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-27,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-28,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-09-29,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-10-02,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-10-03,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-10-04,17.14,17.14,17.14,17.14,0,0.0,1.0
2017-10-05,17.14,17.14,17.14,17.14,9,0.0,1.0
2017-12-14,17.1,17.1,17.1,17.1,39,0.0384,1.0
2017-12-19,21.4,21.4,20.9,20.9,1648,0.0,1.0
2018-04-13,16.72,16.72,16.72,16.72,28,0.0,1.0
2018-04-16,16.72,16.72,16.72,16.72,1,0.0,1.0
2018-04-17,16.72,16.72,16.72,16.72,1,0.0,1.0
2018-05-04,16.72,16.72,16.72,16.72,19,0.0,1.0
2018-06-11,34.1,34.1,34.1,34.1,575,0.0,1.0
2018-06-26,34.1,34.1,34.1,34.1,1,0.0,1.0
2018-07-05,33.2,33.2,33.2,33.2,500,0.0,1.0
2018-07-17,35.2,35.2,35.2,35.2,200,0.0,1.0
2018-07-27,35.2,35.2,35.2,35.2,81,0.0,1.0
2018-08-01,35.2,35.2,35.2,35.2,10,0.0,1.0
2018-08-03,35.2,35.2,35.2,35.2,10,0.0,1.0
2018-08-16,35.2,35.2,35.2,35.2,4,0.0,1.0
