date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,1.38,1.5,1.38,1.5,1500,0.0,1.0
1999-11-02,1.5,1.59,1.5,1.59,3375,0.0,1.0
1999-11-03,1.47,1.47,1.47,1.47,2250,0.0,1.0
1999-11-04,1.44,1.56,1.44,1.5,6975,0.0,1.0
1999-11-05,1.44,1.56,1.44,1.5,9975,0.0,1.0
1999-11-08,1.5,1.5,1.5,1.5,0,0.0,1.0
1999-11-09,1.44,1.5,1.44,1.44,4950,0.0,1.0
1999-11-10,1.31,1.31,1.0,1.31,115275,0.0,1.0
1999-11-11,1.38,1.38,1.25,1.34,39900,0.0,1.0
1999-11-12,1.38,1.5,1.31,1.5,9975,0.0,1.0
1999-11-15,1.38,1.5,1.31,1.5,12750,0.0,1.0
1999-11-16,1.38,1.5,1.38,1.5,5100,0.0,1.0
1999-11-17,1.5,1.56,1.5,1.5,6075,0.0,1.0
1999-11-18,1.44,1.56,1.19,1.38,70800,0.0,1.0
1999-11-19,1.31,1.31,1.25,1.31,7950,0.0,1.0
1999-11-22,1.25,1.31,1.25,1.31,11250,0.0,1.0
1999-11-23,1.19,1.38,1.19,1.38,6450,0.0,1.0
1999-11-24,1.44,1.44,1.38,1.38,2475,0.0,1.0
1999-11-26,1.5,1.5,1.44,1.44,7050,0.0,1.0
1999-11-29,1.44,1.5,1.25,1.25,15900,0.0,1.0
1999-11-30,1.31,1.31,1.31,1.31,150,0.0,1.0
1999-12-01,1.44,1.44,1.44,1.44,2475,0.0,1.0
1999-12-02,1.38,1.38,1.38,1.38,375,0.0,1.0
1999-12-03,1.38,1.38,1.38,1.38,975,0.0,1.0
1999-12-06,1.38,1.44,1.38,1.44,2400,0.0,1.0
1999-12-07,1.5,1.56,1.44,1.52,30150,0.0,1.0
1999-12-08,1.44,1.44,1.41,1.41,1950,0.0,1.0
1999-12-09,1.5,1.5,1.38,1.44,3075,0.0,1.0
1999-12-10,1.75,1.88,1.38,1.56,57075,0.0,1.0
1999-12-13,1.38,1.5,1.38,1.5,5550,0.0,1.0
1999-12-14,1.41,1.44,1.41,1.44,5475,0.0,1.0
1999-12-15,1.44,1.62,1.38,1.62,18150,0.0,1.0
1999-12-16,1.56,1.69,1.56,1.56,3675,0.0,1.0
1999-12-17,1.5,1.5,1.5,1.5,4800,0.0,1.0
1999-12-20,1.38,1.69,1.38,1.56,25200,0.0,1.0
1999-12-21,1.38,1.56,1.38,1.38,3750,0.0,1.0
1999-12-22,1.5,1.5,1.41,1.45,4950,0.0,1.0
1999-12-23,1.38,1.45,1.38,1.44,3300,0.0,1.0
1999-12-27,1.5,1.53,1.41,1.44,17700,0.0,1.0
1999-12-28,1.44,1.53,1.44,1.44,6975,0.0,1.0
1999-12-29,1.53,1.53,1.44,1.44,1050,0.0,1.0
