date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-09-14,19.25,19.5,19.25,19.25,1710,0.0,1.0
2009-09-15,19.25,19.25,19.25,19.25,1290,0.0,1.0
2009-09-16,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-17,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-18,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-21,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-22,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-23,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-24,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-25,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-28,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-29,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-09-30,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-01,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-02,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-05,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-06,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-07,19.25,19.25,19.25,19.25,0,0.4536,1.0
2009-10-08,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-09,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-12,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-13,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-14,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-15,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-16,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-19,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-20,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-21,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-22,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-23,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-26,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-27,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-28,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-29,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-10-30,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-02,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-03,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-04,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-05,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-06,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-09,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-10,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-11,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-12,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-13,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-16,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-17,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-18,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-19,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-20,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-23,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-24,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-25,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-27,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-11-30,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-01,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-02,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-03,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-04,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-07,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-08,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-09,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-10,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-11,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-14,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-15,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-16,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-17,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-18,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-21,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-22,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-23,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-24,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-28,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-29,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-30,19.25,19.25,19.25,19.25,0,0.0,1.0
2009-12-31,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-04,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-05,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-06,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-07,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-08,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-11,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-12,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-13,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-14,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-15,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-19,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-20,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-21,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-22,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-25,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-26,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-27,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-28,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-01-29,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-01,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-02,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-03,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-04,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-05,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-08,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-09,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-10,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-11,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-12,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-16,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-17,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-18,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-19,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-22,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-23,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-24,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-25,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-02-26,19.25,19.25,19.25,19.25,0,0.0,1.0
2010-03-01,19.25,19.25,19.25,19.25,0,0.0,1.0
