date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-28,5075.0,5075.0,5075.0,5075.0,3,0.0,1.0
2008-10-29,5075.0,5075.0,5075.0,5075.0,0,0.0,1.0
2008-10-30,5075.0,5075.0,5075.0,5075.0,0,0.0,1.0
2008-10-31,5300.0,5300.0,5300.0,5300.0,8,0.0,1.0
2008-11-03,5665.0,5665.0,5665.0,5665.0,6,0.0,1.0
2008-11-04,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-05,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-06,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-07,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-10,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-11,5665.0,5665.0,5665.0,5665.0,0,0.0,1.0
2008-11-12,5095.0,5095.0,4800.0,5095.0,3,0.0,1.0
2008-11-13,5000.0,5150.0,5000.0,5000.0,3,0.0,1.0
2008-11-14,5100.0,5100.0,5100.0,5100.0,4,0.0,1.0
2008-11-17,5000.0,5000.0,5000.0,5000.0,3,0.0,1.0
2008-11-18,4850.0,4875.0,4850.0,4850.0,5,0.0,1.0
2008-11-19,4850.0,4875.0,4850.0,4850.0,0,0.0,1.0
2008-11-20,4200.0,4200.0,4200.0,4200.0,25,0.0,1.0
2008-11-21,4300.0,4300.0,4300.0,4300.0,2,0.0,1.0
2008-11-24,4675.0,4800.0,4675.0,4675.0,38,0.0,1.0
2008-11-25,5000.0,5000.0,5000.0,5000.0,29,0.0,1.0
2008-11-26,4900.0,4900.0,4900.0,4900.0,7,0.0,1.0
2008-11-28,4900.0,4900.0,4900.0,4900.0,0,0.0,1.0
2008-12-01,4800.0,4800.0,4800.0,4800.0,6,0.0,1.0
2008-12-02,4710.0,4750.0,4710.0,4750.0,5,0.0,1.0
2008-12-03,4610.0,4625.0,4610.0,4625.0,2,0.0,1.0
2008-12-04,4500.0,4500.0,4500.0,4500.0,9,0.0,1.0
2008-12-05,4350.0,4350.0,4350.0,4350.0,1,0.0,1.0
2008-12-08,4900.0,4950.0,4900.0,4900.0,10,0.0,1.0
2008-12-09,5100.0,5100.0,5100.0,5100.0,2,0.0,1.0
2008-12-10,5100.0,5100.0,5100.0,5100.0,0,0.0,1.0
2008-12-11,5125.0,5125.0,5125.0,5125.0,6,0.0,1.0
2008-12-12,5125.0,5125.0,5125.0,5125.0,0,0.0,1.0
