date,open_price,high_price,low_price,close_price,volume,dividend,split
2015-05-04,98.3,98.3,98.3,98.3,1300,0.0,1.0
2015-05-05,98.3,98.3,98.3,98.3,2900,0.0,1.0
2015-05-06,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-07,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-08,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-11,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-12,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-13,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-14,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-15,98.3,98.3,98.3,98.3,0,0.0,1.0
2015-05-18,107.65,107.73,107.65,107.73,4300,0.0,1.0
2015-05-19,107.73,107.73,107.73,107.73,0,0.0,1.0
2015-05-20,107.73,107.73,107.73,107.73,3072,0.0,1.0
2015-05-21,107.73,107.73,107.73,107.73,0,0.0,1.0
2015-05-22,107.73,107.73,107.73,107.73,0,0.0,1.0
2015-05-26,107.73,107.73,107.73,107.73,0,0.0,1.0
2015-05-27,107.73,107.73,107.73,107.73,0,0.0,1.0
2015-05-28,105.7,105.7,105.7,105.7,2200,0.0,1.0
2015-05-29,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-01,105.7,105.7,105.7,105.7,1241,0.0,1.0
2015-06-02,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-03,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-04,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-05,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-08,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-09,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-10,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-11,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-12,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-15,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-16,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-17,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-18,105.7,105.7,105.7,105.7,118,0.0,1.0
2015-06-19,105.7,105.7,105.7,105.7,0,0.0,1.0
2015-06-22,105.7,105.7,105.7,105.7,74,0.0,1.0
2015-06-23,107.4,107.4,107.4,107.4,400,0.0,1.0
2015-06-24,107.4,107.4,107.4,107.4,0,0.0,1.0
2015-06-25,103.57,103.57,103.57,103.57,1000,0.0,1.0
2015-06-26,103.57,103.57,103.57,103.57,127,0.0,1.0
2015-06-29,103.57,103.57,103.57,103.57,0,0.0,1.0
2015-06-30,103.57,103.57,103.57,103.57,3891,0.0,1.0
2015-07-01,103.57,103.57,103.57,103.57,55,0.0,1.0
2015-07-02,103.57,103.57,103.57,103.57,90,0.0,1.0
2015-07-06,103.57,103.57,103.57,103.57,0,0.0,1.0
2015-07-07,103.57,103.57,103.57,103.57,0,0.0,1.0
2015-07-08,103.57,103.57,103.57,103.57,0,0.0,1.0
2015-07-09,103.57,103.57,103.57,103.57,0,0.0,1.0
2015-07-10,108.5,108.5,108.46,108.46,1286,0.0,1.0
2015-07-13,108.74,108.74,108.74,108.74,140,0.0,1.0
2015-07-14,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-15,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-16,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-17,108.74,108.74,108.74,108.74,31,0.0,1.0
2015-07-20,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-21,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-22,108.74,108.74,108.74,108.74,0,0.0,1.0
2015-07-23,107.37,108.03,107.37,108.03,245,0.0,1.0
2015-07-24,110.0,110.0,110.0,110.0,222,0.0,1.0
2015-07-27,110.0,110.0,110.0,110.0,0,0.0,1.0
2015-07-28,113.73,113.77,113.68,113.77,566,0.0,1.0
2015-07-29,113.77,113.77,113.77,113.77,0,0.0,1.0
2015-07-30,108.78,108.85,108.66,108.66,607,0.0,1.0
2015-07-31,108.66,108.66,108.66,108.66,194,0.0,1.0
2015-08-03,108.66,108.66,108.66,108.66,0,0.0,1.0
2015-08-04,108.66,108.66,108.66,108.66,0,0.0,1.0
2015-08-05,108.66,108.66,108.66,108.66,15,0.0,1.0
2015-08-06,108.66,108.66,108.66,108.66,0,0.0,1.0
2015-08-07,108.66,108.66,108.66,108.66,0,0.0,1.0
2015-08-10,114.74,115.81,114.74,115.81,1194,0.0,1.0
2015-08-11,115.81,115.81,115.81,115.81,9,0.0,1.0
2015-08-12,115.81,115.81,115.81,115.81,44,0.0,1.0
2015-08-13,115.81,115.81,115.81,115.81,0,0.0,1.0
2015-08-14,115.81,115.81,115.81,115.81,0,0.0,1.0
2015-08-17,115.81,115.81,115.81,115.81,0,0.0,1.0
2015-08-18,115.81,115.81,115.81,115.81,425,0.0,1.0
2015-08-19,115.81,115.81,115.81,115.81,0,0.0,1.0
2015-08-20,115.81,115.81,115.81,115.81,0,0.0,1.0
2015-08-21,112.58,112.58,112.58,112.58,401,0.0,1.0
2015-08-24,112.58,112.58,112.58,112.58,35,0.0,1.0
2015-08-25,112.58,112.58,112.58,112.58,0,0.0,1.0
2015-08-26,112.58,112.58,112.58,112.58,0,0.0,1.0
2015-08-27,113.4,113.4,113.4,113.4,500,0.0,1.0
2015-08-28,113.4,113.4,113.4,113.4,0,0.0,1.0
2015-08-31,113.4,113.4,113.4,113.4,0,0.0,1.0
2015-09-01,111.29,111.29,111.29,111.29,450,0.0,1.0
2015-09-02,111.29,111.29,111.29,111.29,0,0.0,1.0
2015-09-03,111.29,111.29,111.29,111.29,0,0.0,1.0
2015-09-04,111.29,111.29,111.29,111.29,0,0.0,1.0
2015-09-08,111.29,111.29,111.29,111.29,0,0.0,1.0
2015-09-09,110.17,110.17,110.17,110.17,258,0.0,1.0
2015-09-10,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-11,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-14,110.17,110.17,110.17,110.17,9,0.0,1.0
2015-09-15,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-16,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-17,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-18,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-21,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-22,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-23,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-24,110.17,110.17,110.17,110.17,72,0.0,1.0
2015-09-25,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-28,110.17,110.17,110.17,110.17,0,0.0,1.0
2015-09-29,108.45,108.45,108.43,108.43,1012,0.0,1.0
2015-09-30,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-01,108.43,108.43,108.43,108.43,25,0.0,1.0
2015-10-02,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-05,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-06,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-07,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-08,108.43,108.43,108.43,108.43,51,0.0,1.0
2015-10-09,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-12,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-13,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-14,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-15,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-16,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-19,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-20,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-21,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-22,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-23,108.43,108.43,108.43,108.43,73,0.0,1.0
2015-10-26,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-27,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-28,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-29,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-10-30,108.43,108.43,108.43,108.43,0,0.0,1.0
2015-11-02,110.02,110.02,109.98,109.98,317,0.0,1.0
2015-11-03,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-04,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-05,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-06,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-09,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-10,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-11,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-12,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-13,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-16,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-17,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-18,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-19,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-20,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-23,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-24,109.98,109.98,109.98,109.98,33,0.0,1.0
2015-11-25,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-27,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-11-30,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-12-01,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-12-02,109.98,109.98,109.98,109.98,0,0.0,1.0
2015-12-03,109.98,109.98,109.98,109.98,0,0.0,1.0
