date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-09-13,1.16,1.16,1.16,1.16,2000,0.0,1.0
2007-09-14,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-17,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-18,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-19,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-20,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-21,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-24,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-25,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-26,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-27,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-09-28,1.16,1.16,1.16,1.16,0,0.0,1.0
2007-10-01,1.13,1.13,1.13,1.13,4000,0.0,1.0
2007-10-02,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-03,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-04,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-05,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-08,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-09,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-10,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-11,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-12,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-15,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-16,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-17,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-18,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-19,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-22,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-23,1.13,1.13,1.13,1.13,0,0.0,1.0
2007-10-24,1.52,1.52,1.52,1.52,4000,0.0,1.0
2007-10-25,1.1,1.1,1.1,1.1,2000,0.0,1.0
2007-10-26,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-10-29,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-10-30,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-10-31,1.55,1.55,1.55,1.55,10000,0.0,1.0
2007-11-01,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-11-02,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-11-05,1.55,1.55,1.55,1.55,0,0.0,1.0
2007-11-06,1.37,1.37,1.37,1.37,1000,0.0,1.0
2007-11-07,1.37,1.37,1.37,1.37,0,0.0,1.0
2007-11-08,1.28,1.28,1.28,1.28,5000,0.0,1.0
2007-11-09,1.28,1.28,1.28,1.28,1100,0.0,1.0
