date,open_price,high_price,low_price,close_price,volume,dividend,split
2014-05-02,18.15,18.75,18.0,18.6,7698200,0.0,1.0
2014-05-05,18.44,19.1,18.3,18.6,611400,0.0,1.0
2014-05-06,18.5,18.65,18.4,18.48,398400,0.0,1.0
2014-05-07,18.47,18.53,17.36,17.73,748800,0.0,1.0
2014-05-08,17.6,18.45,17.6,17.83,244300,0.0,1.0
2014-05-09,17.76,17.87,17.4,17.59,446000,0.0,1.0
2014-05-12,17.66,17.82,16.81,17.21,899700,0.0,1.0
2014-05-13,17.21,17.34,16.68,17.2,452800,0.0,1.0
2014-05-14,17.05,17.38,16.9,17.15,448900,0.0,1.0
2014-05-15,17.05,17.94,17.0,17.54,267800,0.0,1.0
2014-05-16,17.5,17.87,17.5,17.62,100000,0.0,1.0
2014-05-19,17.74,18.2,17.6,17.84,333800,0.0,1.0
2014-05-20,17.81,18.0,17.4,17.94,119000,0.0,1.0
2014-05-21,17.9,18.12,17.69,17.9,663000,0.0,1.0
2014-05-22,18.02,18.12,17.82,18.0,162800,0.0,1.0
2014-05-23,18.1,18.17,17.76,18.17,73600,0.0,1.0
2014-05-27,18.29,18.45,17.96,18.3,284400,0.0,1.0
2014-05-28,18.45,18.75,18.31,18.69,145200,0.0,1.0
2014-05-29,18.65,18.86,18.34,18.8,300000,0.0,1.0
2014-05-30,18.85,19.1,18.6,19.0,417900,0.0,1.0
2014-06-02,19.1,19.1,18.59,18.84,60500,0.0,1.0
2014-06-03,18.81,18.99,18.7,18.71,93900,0.0,1.0
2014-06-04,18.85,18.99,18.51,18.8,337100,0.0,1.0
2014-06-05,18.88,18.98,18.07,18.42,173900,0.0,1.0
2014-06-06,18.31,18.43,18.1,18.4,63900,0.0,1.0
2014-06-09,18.4,18.7,18.24,18.7,52800,0.0,1.0
2014-06-10,18.65,18.92,18.48,18.57,160000,0.0,1.0
2014-06-11,18.96,18.96,18.49,18.76,173800,0.0,1.0
2014-06-12,18.63,18.79,18.42,18.63,58400,0.0,1.0
2014-06-13,18.59,18.9,18.35,18.36,52200,0.0,1.0
2014-06-16,18.44,18.8,18.35,18.6,114200,0.0,1.0
2014-06-17,18.6,18.76,18.2,18.45,263500,0.0,1.0
2014-06-18,18.59,18.79,18.45,18.6,273100,0.0,1.0
2014-06-19,18.36,18.77,18.36,18.64,241500,0.0,1.0
2014-06-20,18.65,18.75,18.47,18.65,227700,0.0,1.0
2014-06-23,18.65,18.85,18.51,18.79,85200,0.0,1.0
2014-06-24,18.68,18.86,18.65,18.71,64900,0.0,1.0
2014-06-25,18.63,18.75,18.5,18.67,51700,0.0,1.0
2014-06-26,18.64,18.7,18.54,18.62,31100,0.0,1.0
2014-06-27,18.7,18.86,18.46,18.86,29800,0.0,1.0
2014-06-30,18.86,19.19,18.52,19.18,81200,0.0,1.0
2014-07-01,18.86,19.09,18.75,18.85,59100,0.0,1.0
2014-07-02,18.7,18.99,18.65,18.79,26000,0.0,1.0
2014-07-03,18.89,19.0,18.65,18.95,18500,0.0,1.0
2014-07-07,19.0,19.03,18.75,18.97,47200,0.0,1.0
2014-07-08,18.86,19.25,18.57,19.25,95500,0.0,1.0
2014-07-09,19.21,19.5,18.75,19.2,109600,0.0,1.0
2014-07-10,19.01,19.19,18.71,19.19,33100,0.0,1.0
2014-07-11,18.85,19.2,18.85,19.01,51000,0.0,1.0
2014-07-14,18.92,19.15,18.91,19.15,19600,0.0,1.0
2014-07-15,19.18,19.23,18.92,19.15,97300,0.0,1.0
2014-07-16,19.2,19.3,18.91,19.08,34100,0.0,1.0
2014-07-17,19.27,19.3,19.02,19.02,31700,0.0,1.0
2014-07-18,19.0,19.37,19.0,19.19,53300,0.0,1.0
2014-07-21,19.24,19.5,19.1,19.5,27700,0.0,1.0
2014-07-22,19.21,19.68,19.21,19.62,82000,0.0,1.0
2014-07-23,19.62,19.75,19.33,19.68,34800,0.0,1.0
2014-07-24,19.68,20.48,19.53,19.85,415000,0.0,1.0
2014-07-25,19.75,19.9,19.2,19.85,54900,0.0,1.0
2014-07-28,19.72,20.05,19.43,19.43,82200,0.0,1.0
2014-07-29,19.4,19.85,19.4,19.85,49100,0.0,1.0
2014-07-30,19.83,19.85,19.5,19.56,419100,0.0,1.0
2014-07-31,19.48,19.48,19.28,19.43,60100,0.0,1.0
2014-08-01,19.4,19.61,19.2,19.2,96100,0.0,1.0
2014-08-04,19.1,19.22,18.36,18.71,69700,0.0,1.0
2014-08-05,18.75,19.0,18.68,18.69,54200,0.0,1.0
2014-08-06,18.6,18.67,17.64,17.82,80900,0.0,1.0
2014-08-07,17.92,18.28,17.79,17.79,75300,0.0,1.0
2014-08-08,17.97,18.14,17.3,17.58,58000,0.0,1.0
2014-08-11,17.69,18.1,17.59,17.95,84300,0.0,1.0
2014-08-12,17.85,18.33,17.77,17.99,72700,0.0,1.0
2014-08-13,17.99,18.3,17.99,18.19,80100,0.0,1.0
2014-08-14,18.0,18.16,17.94,17.95,51800,0.0,1.0
2014-08-15,18.38,18.45,18.0,18.06,169600,0.0,1.0
2014-08-18,18.11,18.28,17.57,17.79,49800,0.0,1.0
2014-08-19,17.75,17.92,17.59,17.8,34000,0.0,1.0
2014-08-20,17.72,18.0,17.65,17.94,132800,0.0,1.0
2014-08-21,17.7,17.81,17.51,17.76,27900,0.18,1.0
2014-08-22,17.69,17.8,17.6,17.77,16700,0.0,1.0
2014-08-25,18.1,18.45,17.75,18.05,85300,0.0,1.0
2014-08-26,18.11,18.28,17.71,17.99,40700,0.0,1.0
2014-08-27,18.04,18.04,17.53,17.97,24500,0.0,1.0
2014-08-28,17.88,17.95,17.27,17.85,216000,0.0,1.0
2014-08-29,17.78,17.94,17.5,17.88,34700,0.0,1.0
2014-09-02,18.17,18.33,17.92,18.11,75800,0.0,1.0
2014-09-03,18.2,18.2,17.77,18.08,34700,0.0,1.0
2014-09-04,18.12,18.12,17.52,17.6,36800,0.0,1.0
2014-09-05,17.63,18.19,17.63,18.09,38400,0.0,1.0
2014-09-08,18.16,18.34,18.02,18.02,58700,0.0,1.0
2014-09-09,17.99,18.14,17.65,17.75,34000,0.0,1.0
2014-09-10,17.82,18.26,17.8,17.94,28600,0.0,1.0
2014-09-11,17.86,18.08,17.64,17.9,25200,0.0,1.0
2014-09-12,17.87,18.0,17.6,17.76,53500,0.0,1.0
2014-09-15,17.82,17.9,17.63,17.78,39000,0.0,1.0
2014-09-16,17.57,17.82,17.5,17.64,41400,0.0,1.0
2014-09-17,17.6,17.76,17.31,17.7,82700,0.0,1.0
2014-09-18,17.7,17.72,17.26,17.7,44000,0.0,1.0
2014-09-19,17.7,17.95,17.7,17.94,25100,0.0,1.0
2014-09-22,18.0,18.14,17.62,17.7,39754,0.0,1.0
2014-09-23,17.53,17.89,17.38,17.66,36829,0.0,1.0
2014-09-24,17.67,17.88,17.33,17.8,59815,0.0,1.0
2014-09-25,17.79,17.89,17.51,17.76,37188,0.0,1.0
2014-09-26,17.82,17.82,17.51,17.68,20263,0.0,1.0
2014-09-29,17.68,18.0,17.68,17.71,35199,0.0,1.0
2014-09-30,17.72,17.72,17.5,17.5,22116,0.0,1.0
2014-10-01,17.42,17.42,17.07,17.32,45634,0.0,1.0
2014-10-02,17.48,17.55,17.1,17.23,38337,0.0,1.0
2014-10-03,17.35,17.8,17.35,17.57,28340,0.0,1.0
2014-10-06,18.0,18.0,17.56,17.66,25036,0.0,1.0
2014-10-07,17.73,17.73,17.36,17.49,133682,0.0,1.0
2014-10-08,17.48,17.64,17.26,17.41,20580,0.0,1.0
2014-10-09,17.44,17.44,16.91,17.09,51474,0.0,1.0
2014-10-10,16.98,17.08,16.5,16.6,106750,0.0,1.0
2014-10-13,16.74,16.77,16.1,16.41,59705,0.0,1.0
2014-10-14,16.59,16.59,16.0,16.33,39781,0.0,1.0
2014-10-15,16.33,16.66,16.18,16.58,18422,0.0,1.0
2014-10-16,16.48,16.79,16.35,16.67,287126,0.0,1.0
2014-10-17,16.83,16.92,16.51,16.78,140136,0.0,1.0
2014-10-20,16.68,16.8,16.56,16.72,22996,0.0,1.0
2014-10-21,16.7,16.98,16.69,16.78,49289,0.0,1.0
2014-10-22,16.71,16.87,16.56,16.56,23593,0.0,1.0
2014-10-23,16.6,16.6,16.1,16.28,31455,0.0,1.0
2014-10-24,16.24,16.35,16.1,16.26,45061,0.0,1.0
2014-10-27,16.29,16.44,16.05,16.43,82781,0.0,1.0
2014-10-28,16.41,16.41,15.99,16.35,98676,0.0,1.0
2014-10-29,16.4,16.4,16.1,16.12,136040,0.0,1.0
2014-10-30,16.19,16.48,16.03,16.1,60851,0.0,1.0
2014-10-31,16.15,16.22,15.71,15.88,94299,0.0,1.0
2014-11-03,15.96,16.25,15.96,16.1,71759,0.0,1.0
2014-11-04,16.05,16.05,15.71,15.79,54663,0.0,1.0
2014-11-05,15.88,15.91,15.36,15.62,93583,0.0,1.0
2014-11-06,15.8,15.8,15.42,15.46,58372,0.0,1.0
2014-11-07,15.44,15.59,15.3,15.59,45753,0.0,1.0
2014-11-10,15.69,15.84,15.53,15.6,50266,0.0,1.0
2014-11-11,15.65,15.74,15.56,15.6,58325,0.0,1.0
2014-11-12,15.64,16.11,15.61,16.08,24407,0.0,1.0
2014-11-13,16.1,16.95,16.08,16.57,83164,0.0,1.0
2014-11-14,16.75,16.96,16.51,16.61,45347,0.0,1.0
2014-11-17,16.5,16.73,16.4,16.46,33761,0.0,1.0
2014-11-18,16.48,16.58,16.09,16.1,75349,0.0,1.0
2014-11-19,16.1,16.15,16.07,16.15,20942,0.0,1.0
2014-11-20,16.03,16.32,16.0,16.23,26202,0.24,1.0
2014-11-21,16.4,16.4,16.06,16.16,21788,0.0,1.0
2014-11-24,16.11,16.55,16.11,16.16,43143,0.0,1.0
2014-11-25,16.16,16.42,16.07,16.42,14401,0.0,1.0
2014-11-26,16.44,16.44,16.15,16.22,34456,0.0,1.0
2014-11-28,16.33,16.33,16.1,16.2,11348,0.0,1.0
2014-12-01,16.23,16.39,16.07,16.26,33067,0.0,1.0
2014-12-02,16.2,16.28,16.01,16.24,32092,0.0,1.0
2014-12-03,16.15,16.3,16.12,16.17,67692,0.0,1.0
2014-12-04,16.16,16.7,16.16,16.59,496129,0.0,1.0
2014-12-05,16.46,16.88,16.4,16.84,46477,0.0,1.0
2014-12-08,16.8,16.84,16.61,16.78,26203,0.0,1.0
2014-12-09,16.79,16.83,16.61,16.83,8733,0.0,1.0
2014-12-10,16.85,16.87,16.64,16.84,22267,0.0,1.0
2014-12-11,16.7,16.86,16.61,16.79,80524,0.0,1.0
2014-12-12,16.61,16.69,16.25,16.5,57004,0.0,1.0
