date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-12-12,20.25,23.42,20.1,22.7,6560000,0.0,1.0
2013-12-13,23.0,24.58,22.94,23.83,322400,0.0,1.0
2013-12-16,24.0,24.0,22.76,23.7,91400,0.0,1.0
2013-12-17,23.29,23.72,23.06,23.46,218200,0.0,1.0
2013-12-18,23.44,24.02,23.11,24.0,831900,0.0,1.0
2013-12-19,23.81,24.0,23.51,23.7,382900,0.0,1.0
2013-12-20,23.55,23.94,23.5,23.92,913000,0.0,1.0
2013-12-23,24.0,24.65,23.98,24.17,525300,0.0,1.0
2013-12-24,24.08,24.9,24.08,24.39,81900,0.0,1.0
2013-12-26,24.66,25.62,24.49,25.5,433500,0.0,1.0
2013-12-27,25.75,26.47,25.54,25.98,338900,0.0,1.0
2013-12-30,26.72,26.72,25.61,25.81,601900,0.0,1.0
2013-12-31,26.08,26.24,25.64,26.22,416800,0.0,1.0
2014-01-02,25.99,26.0,25.1,25.37,213000,0.0,1.0
2014-01-03,25.81,25.9,25.35,25.55,231200,0.0,1.0
2014-01-06,25.35,25.59,24.35,24.39,569100,0.0,1.0
2014-01-07,24.5,24.79,24.26,24.35,530700,0.0,1.0
2014-01-08,24.35,24.58,24.11,24.35,419700,0.0,1.0
2014-01-09,24.39,24.85,24.33,24.66,338700,0.0,1.0
2014-01-10,24.84,25.25,24.67,24.78,298600,0.0,1.0
2014-01-13,24.65,25.33,24.58,24.98,233700,0.0,1.0
2014-01-14,24.98,24.98,24.7,24.89,64400,0.0,1.0
2014-01-15,24.82,25.1,24.7,24.83,176200,0.0,1.0
2014-01-16,24.98,25.0,24.53,24.82,270600,0.0,1.0
2014-01-17,24.88,24.95,24.4,24.51,207800,0.0,1.0
2014-01-21,25.12,26.32,24.74,24.88,626600,0.0,1.0
2014-01-22,24.6,25.28,24.5,24.91,548200,0.0,1.0
2014-01-23,25.25,25.25,24.55,24.98,159100,0.0,1.0
2014-01-24,24.65,25.24,23.71,23.94,379800,0.0,1.0
2014-01-27,23.88,23.92,23.4,23.64,245700,0.0,1.0
2014-01-28,24.02,24.48,23.54,24.45,335300,0.0,1.0
2014-01-29,23.71,24.42,23.5,24.2,363500,0.0,1.0
2014-01-30,24.12,24.89,23.91,24.71,361400,0.0,1.0
2014-01-31,24.6,24.78,24.17,24.71,257900,0.0,1.0
2014-02-03,24.84,24.95,23.61,24.81,241000,0.0,1.0
2014-02-04,24.81,25.29,24.57,24.99,446400,0.0,1.0
2014-02-05,23.04,29.71,23.04,26.1,2551600,0.0,1.0
2014-02-06,27.0,27.0,25.63,25.85,560800,0.0,1.0
2014-02-07,26.02,26.02,25.28,25.61,247400,0.0,1.0
2014-02-10,25.74,26.56,25.0,26.45,269500,0.0,1.0
2014-02-11,26.29,26.79,26.04,26.72,249900,0.0,1.0
2014-02-12,26.89,28.0,26.66,27.64,794300,0.0,1.0
2014-02-13,27.58,28.09,27.04,28.0,464300,0.075,1.0
2014-02-14,28.18,28.44,27.9,28.05,624700,0.0,1.0
2014-02-18,28.47,28.78,28.11,28.37,349200,0.0,1.0
2014-02-19,28.23,28.45,28.22,28.38,233300,0.0,1.0
