date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-02-03,9.5,9.95,9.5,9.95,6904,0.0,1.0
2010-02-04,9.5,9.5,9.3,9.4,1234977,0.0,1.0
2010-02-05,9.5,9.5,8.75,8.9,3092535,0.0,1.0
2010-02-08,9.5,9.5,8.6,8.96,4760154,0.0,1.0
2010-02-09,9.5,9.5,8.6,9.4,6463158,0.0,1.0
2010-02-10,9.5,9.5,8.6,9.34,6619487,0.0,1.0
2010-02-11,9.5,9.5,8.6,9.34,6639611,0.0,1.0
2010-02-12,9.5,9.5,8.6,8.85,6652008,0.0,1.0
2010-02-16,9.5,9.5,8.6,9.25,6677082,0.0,1.0
2010-02-17,9.5,9.5,8.6,9.2,6685793,0.0,1.0
2010-02-18,9.5,9.5,8.6,9.2,6697253,0.0,1.0
2010-02-19,9.5,9.5,8.6,9.45,6706305,0.0,1.0
2010-02-22,9.5,9.5,8.6,9.5,6714424,0.0,1.0
2010-02-23,9.5,9.5,8.6,9.35,6720524,0.0,1.0
2010-02-24,9.5,9.5,8.6,9.45,6725868,0.0,1.0
2010-02-25,9.5,9.5,8.6,9.29,6747453,0.0,1.0
2010-02-26,9.5,9.5,8.6,9.5,6755725,0.0,1.0
2010-03-01,9.5,9.5,8.6,9.5,6840257,0.0,1.0
2010-03-02,9.5,9.85,8.6,9.85,8937199,0.0,1.0
2010-03-03,9.5,9.89,8.6,9.89,10077569,0.0,1.0
2010-03-04,9.5,9.7,8.6,9.7,10102958,0.0,1.0
2010-03-05,9.5,9.89,8.6,9.89,10135634,0.0,1.0
2010-03-08,9.5,9.98,8.6,9.98,10154096,0.0,1.0
2010-03-09,9.5,9.95,8.6,9.95,10162905,0.0,1.0
2010-03-19,9.5,9.8,8.6,9.8,10291227,0.0,1.0
2010-03-22,9.5,9.7,8.6,9.7,10308920,0.0,1.0
2010-03-24,9.5,9.75,8.6,9.75,10357536,0.0,1.0
2010-03-25,9.5,9.75,8.6,9.75,10377831,0.0,1.0
2010-03-26,9.5,9.65,8.6,9.65,10395395,0.0,1.0
2010-03-29,9.5,9.64,8.6,9.64,10408809,0.0,1.0
2010-03-30,9.5,9.5,8.6,9.5,10432910,0.0,1.0
2010-03-31,9.5,9.7,8.6,9.7,10454911,0.0,1.0
2010-04-01,9.5,9.85,8.6,9.85,10477519,0.0,1.0
2010-04-05,9.5,9.75,8.6,9.75,10498212,0.0,1.0
2010-04-06,9.5,9.8,8.6,9.8,10529749,0.0,1.0
2010-04-07,9.5,9.99,8.6,9.99,10541968,0.0,1.0
2010-04-08,9.5,9.85,8.6,9.85,10559106,0.0,1.0
