date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-10-30,26.5,26.5,26.5,26.5,2000,0.0,1.0
2009-11-02,26.5,26.5,26.5,26.5,0,0.0,1.0
2009-11-03,26.5,26.5,26.5,26.5,0,0.0,1.0
2009-11-04,26.5,26.5,26.5,26.5,0,0.0,1.0
2009-11-05,24.25,24.25,24.25,24.25,2000,0.0,1.0
2009-11-06,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-09,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-10,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-11,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-12,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-13,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-16,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-17,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-18,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-19,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-20,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-23,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-24,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-25,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-27,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-11-30,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-01,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-02,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-03,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-04,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-07,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-08,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-09,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-10,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-11,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-14,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-15,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-16,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-17,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-18,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-21,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-22,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-23,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-24,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-28,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-29,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-30,24.25,24.25,24.25,24.25,0,0.0,1.0
2009-12-31,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-04,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-05,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-06,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-07,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-08,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-11,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-12,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-13,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-14,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-15,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-19,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-20,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-21,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-22,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-25,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-26,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-27,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-28,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-01-29,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-01,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-02,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-03,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-04,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-05,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-08,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-09,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-10,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-11,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-12,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-16,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-17,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-18,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-19,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-22,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-23,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-24,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-25,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-02-26,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-01,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-02,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-03,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-04,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-05,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-08,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-09,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-10,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-11,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-12,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-15,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-16,24.25,24.25,24.25,24.25,0,0.0,1.0
2010-03-17,24.25,24.25,24.25,24.25,0,0.0,1.0
