date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,5.55,5.56,5.54,5.55,195052,0.0,1.0
2016-01-05,5.69,5.73,5.65,5.67,42777,0.0,1.0
2016-01-06,5.68,5.73,5.68,5.7,16218,0.0,1.0
2016-01-07,5.56,5.58,5.49,5.52,6912,0.0,1.0
2016-01-08,5.51,5.53,5.49,5.49,12998,0.0,1.0
2016-01-11,5.52,5.52,5.44,5.52,12727,0.0,1.0
2016-01-12,5.47,5.47,5.4,5.4,63844,0.0,1.0
2016-01-13,5.49,5.52,5.42,5.42,17845,0.0,1.0
2016-01-14,5.41,5.54,5.41,5.5,17540,0.0,1.0
2016-01-19,5.52,5.55,5.5,5.55,25127,0.0,1.0
2016-01-20,5.39,5.49,5.34,5.49,120758,0.0,1.0
2016-01-21,5.67,5.83,5.67,5.79,36431,0.0,1.0
2016-01-22,5.85,5.99,5.85,5.99,21814,0.0,1.0
2016-01-25,5.89,5.91,5.85,5.88,29609,0.0,1.0
2016-01-26,5.96,5.97,5.92,5.97,50016,0.0,1.0
2016-01-27,5.92,6.03,5.91,5.99,7007,0.0,1.0
2016-01-28,5.98,6.01,5.95,5.98,11970,0.0,1.0
2016-01-29,6.02,6.07,5.93,6.07,9910,0.0,1.0
2016-02-01,6.02,6.02,5.96,6.02,13670,0.0,1.0
2016-02-02,5.95,5.98,5.9,5.9,22137,0.0,1.0
2016-02-03,5.81,5.9,5.68,5.9,40121,0.0,1.0
2016-02-04,5.98,5.98,5.9,5.96,23574,0.0,1.0
2016-02-05,5.87,5.97,5.83,5.97,6109,0.0,1.0
2016-02-08,5.24,5.24,5.1,5.17,25613,0.0,1.0
2016-02-09,4.84,4.88,4.8,4.87,33417,0.0,1.0
2016-02-10,4.9,4.92,4.8,4.82,13421,0.0,1.0
2016-02-11,4.8,4.8,4.71,4.72,9547,0.0,1.0
2016-02-12,4.65,4.77,4.65,4.77,12668,0.0,1.0
2016-02-16,4.73,4.78,4.73,4.76,18012,0.0,1.0
2016-02-17,4.81,4.88,4.81,4.86,83522,0.0,1.0
2016-02-18,4.75,4.91,4.75,4.86,12498,0.0,1.0
2016-02-19,4.72,4.78,4.72,4.74,17228,0.0,1.0
2016-02-22,4.79,4.82,4.78,4.81,22460,0.0,1.0
2016-02-23,4.77,4.83,4.74,4.74,119150,0.0,1.0
2016-02-24,4.76,4.98,4.76,4.98,21824,0.0,1.0
2016-02-25,4.96,4.98,4.92,4.98,6562,0.0,1.0
2016-02-26,4.95,4.95,4.85,4.85,87255,0.0,1.0
2016-03-01,4.79,4.82,4.75,4.81,89639,0.0,1.0
2016-03-02,4.89,4.97,4.89,4.95,11039,0.0,1.0
2016-03-03,5.07,5.07,5.04,5.06,5353,0.0,1.0
2016-03-04,5.28,5.28,5.2,5.21,7110,0.0,1.0
2016-03-07,5.19,5.24,5.19,5.23,6137,0.0,1.0
2016-03-08,5.13,5.16,5.1,5.12,52608,0.0,1.0
2016-03-09,5.1,5.16,5.1,5.1,18438,0.0,1.0
2016-03-10,5.12,5.14,5.02,5.03,7675,0.0,1.0
2016-03-11,5.23,5.29,5.23,5.29,11162,0.0,1.0
2016-03-14,5.29,5.37,5.29,5.35,3696,0.0,1.0
2016-03-15,5.3,5.31,5.26,5.27,33035,0.0,1.0
2016-03-16,5.26,5.36,5.26,5.36,6682,0.0,1.0
2016-03-17,5.34,5.37,5.31,5.37,14975,0.0,1.0
2016-03-18,5.33,5.34,5.3,5.34,11287,0.0,1.0
2016-03-21,5.33,5.37,5.33,5.33,6150,0.0,1.0
2016-03-22,5.46,5.46,5.42,5.42,14008,0.0,1.0
2016-03-23,5.28,5.38,5.28,5.32,3631,0.0,1.0
2016-03-24,5.35,5.5,5.35,5.45,9234,0.0,1.0
2016-03-28,5.34,5.35,5.22,5.35,38492,0.0,1.0
2016-04-01,5.15,5.19,5.1,5.19,17231,0.0,1.0
2016-04-04,5.13,5.13,5.07,5.11,4866,0.0,1.0
2016-04-05,4.95,4.95,4.9,4.94,29710,0.0,1.0
2016-04-06,4.9,4.96,4.88,4.96,9103,0.0,1.0
2016-04-07,5.09,5.09,5.04,5.08,14099,0.0,1.0
2016-04-08,5.36,5.38,5.33,5.35,11140,0.0,1.0
2016-04-11,5.44,5.44,5.24,5.24,38119,0.0,1.0
2016-04-12,5.52,5.54,5.52,5.54,9723,0.0,1.0
2016-04-13,5.74,5.74,5.68,5.71,8622,0.0,1.0
2016-04-14,5.78,5.8,5.77,5.8,7752,0.0,1.0
2016-04-15,5.77,5.8,5.77,5.8,4764,0.0,1.0
2016-04-18,5.92,5.93,5.89,5.92,17201,0.0,1.0
2016-04-19,5.95,6.1,5.91,5.96,16508,0.0,1.0
2016-04-20,6.0,6.08,6.0,6.06,7875,0.0,1.0
2016-04-21,6.01,6.01,5.97,5.97,4349,0.0,1.0
2016-05-02,5.69,5.69,5.66,5.68,2950,0.0,1.0
2016-05-03,5.65,5.65,5.59,5.63,11012,0.0,1.0
2016-05-04,5.59,5.59,5.51,5.55,16470,0.0,1.0
2016-05-05,5.59,5.59,5.58,5.59,8057,0.0,1.0
2016-05-06,5.6,5.66,5.58,5.66,5485,0.0,1.0
2016-05-09,5.84,6.03,5.84,6.02,22411,0.0,1.0
2016-05-10,6.18,6.25,6.16,6.22,30751,0.0,1.0
2016-05-11,6.11,6.11,6.01,6.05,31774,0.0,1.0
2016-05-12,6.16,6.18,6.13,6.17,3739,0.0,1.0
2016-05-13,5.97,6.01,5.93,6.01,9049,0.0,1.0
2016-05-16,6.09,6.09,6.06,6.06,3015,0.0,1.0
2016-05-17,6.1,6.11,6.01,6.02,9039,0.0,1.0
2016-05-18,6.06,6.06,6.02,6.02,13701,0.0,1.0
2016-05-19,5.96,5.96,5.92,5.96,30595,0.0,1.0
2016-05-20,6.0,6.02,5.97,6.0,10049,0.0,1.0
2016-05-23,6.07,6.07,5.98,5.98,7079,0.0,1.0
2016-05-24,6.06,6.09,6.05,6.08,12365,0.0,1.0
2016-05-25,6.12,6.12,6.05,6.1,3522,0.0,1.0
2016-05-26,6.16,6.16,6.16,6.16,2437,0.0,1.0
2016-05-27,6.14,6.16,6.13,6.15,10694,0.0,1.0
2016-05-31,6.03,6.03,5.98,6.0,6504,0.0,1.0
2016-06-01,5.94,5.96,5.94,5.96,5977,0.0,1.0
2016-06-02,5.7,5.74,5.69,5.71,11183,0.0,1.0
2016-06-03,5.82,5.82,5.74,5.82,12964,0.0,1.0
2016-06-06,5.82,5.84,5.8,5.83,16185,0.0,1.0
2016-06-07,5.85,5.89,5.85,5.89,11255,0.0,1.0
2016-06-08,5.79,5.79,5.76,5.78,7267,0.0,1.0
2016-06-09,5.71,5.71,5.65,5.68,7267,0.0,1.0
2016-06-10,5.61,5.61,5.52,5.56,10014,0.0,1.0
2016-06-13,5.45,5.47,5.41,5.44,13052,0.0,1.0
2016-06-14,5.41,5.42,5.38,5.41,15997,0.0,1.0
2016-06-15,5.53,5.54,5.51,5.52,17247,0.0,1.0
2016-06-16,5.45,5.51,5.43,5.5,15341,0.0,1.0
2016-06-17,5.52,5.55,5.47,5.52,11527,0.0,1.0
2016-06-20,5.73,5.75,5.65,5.65,9447,0.0,1.0
2016-06-21,5.64,5.69,5.63,5.66,7343,0.0,1.0
2016-06-22,5.72,5.72,5.68,5.68,12942,0.0,1.0
2016-06-23,5.78,5.8,5.77,5.77,7640,0.0,1.0
2016-06-24,5.49,5.57,5.43,5.52,8653,0.0,1.0
2016-06-27,5.31,5.37,5.31,5.33,14781,0.0,1.0
2016-06-28,5.3,5.32,5.26,5.32,9515,0.0,1.0
2016-06-29,5.39,5.43,5.34,5.36,10543,0.0,1.0
2016-06-30,5.32,5.38,5.29,5.34,7432,0.0,1.0
2016-07-01,5.38,5.38,5.34,5.37,7968,0.0883,1.0
2016-07-05,5.31,5.31,5.25,5.28,10044,0.0,1.0
2016-07-06,5.24,5.3,5.2,5.27,10731,0.0,1.0
2016-07-07,5.22,5.22,5.2,5.22,9533,0.0,1.0
2016-07-08,4.87,4.91,4.87,4.9,3672,0.0,1.0
2016-07-11,5.09,5.12,5.08,5.1,10384,0.0,1.0
2016-07-12,5.13,5.17,5.12,5.12,25063,0.0,1.0
2016-07-13,5.18,5.22,5.18,5.22,17045,0.0,1.0
2016-07-14,5.35,5.55,5.34,5.52,26079,0.0,1.0
2016-07-15,5.43,5.54,5.43,5.54,2132,0.0,1.0
2016-07-18,5.49,5.54,5.49,5.5,4404,0.0,1.0
2016-07-19,5.66,5.66,5.58,5.62,3144,0.0,1.0
2016-07-20,5.55,5.63,5.55,5.63,27969,0.0,1.0
2016-07-21,5.55,5.55,5.51,5.52,1586,0.0,1.0
2016-07-22,5.6,5.62,5.58,5.62,1341,0.0,1.0
2016-07-25,5.5,5.51,5.5,5.51,3661,0.0,1.0
2016-07-26,5.56,5.56,5.45,5.46,47910,0.0,1.0
2016-07-27,5.66,5.66,5.63,5.66,8283,0.0,1.0
2016-07-28,5.66,5.66,5.55,5.63,21987,0.0,1.0
2016-07-29,5.67,5.68,5.66,5.66,2083,0.0,1.0
2016-08-01,5.71,5.73,5.59,5.73,6069,0.0,1.0
2016-08-02,5.84,5.85,5.8,5.85,8917,0.0,1.0
2016-08-03,5.76,5.79,5.76,5.78,10682,0.0,1.0
2016-08-04,5.83,5.88,5.83,5.88,5360,0.0,1.0
2016-08-05,5.98,5.98,5.95,5.97,2194,0.0,1.0
2016-08-08,6.06,6.08,6.06,6.06,3797,0.0,1.0
2016-08-09,6.11,6.11,6.04,6.11,12596,0.0,1.0
2016-08-10,6.12,6.13,6.12,6.12,910,0.0,1.0
2016-08-11,6.15,6.17,6.13,6.17,3668,0.0,1.0
2016-08-12,6.09,6.09,6.03,6.04,6751,0.0,1.0
2016-08-15,6.11,6.12,6.09,6.1,7339,0.0,1.0
2016-08-16,6.0,6.01,5.95,6.01,6449,0.0,1.0
2016-08-17,6.1,6.16,6.1,6.16,4081,0.0,1.0
2016-08-18,6.11,6.16,6.1,6.16,26135,0.0,1.0
2016-08-19,6.11,6.15,6.11,6.15,2063,0.0,1.0
