date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-02-04,7.2,7.2,7.2,7.2,1814,0.0,1.0
2009-02-05,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-06,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-09,7.2,7.2,7.2,7.2,15240,0.0,1.0
2009-02-10,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-11,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-12,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-13,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-17,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-18,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-19,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-20,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-23,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-24,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-25,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-26,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-02-27,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-02,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-03,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-04,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-05,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-06,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-09,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-10,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-11,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-12,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-13,7.2,7.2,7.2,7.2,0,0.0,1.0
2009-03-16,6.75,6.75,6.75,6.75,430,0.0,1.0
2009-03-17,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-18,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-19,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-20,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-23,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-24,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-03-25,7.6,7.6,7.6,7.6,215,0.0,1.0
2009-03-26,7.6,7.6,7.6,7.6,0,0.0,1.0
2009-03-27,7.6,7.6,7.6,7.6,0,0.0,1.0
2009-03-30,7.6,7.6,7.6,7.6,0,0.0,1.0
2009-03-31,7.6,7.6,7.6,7.6,0,0.0,1.0
2009-04-01,7.6,7.6,7.6,7.6,0,0.0,1.0
2009-04-02,8.05,8.05,8.05,8.05,1374,0.0,1.0
2009-04-03,8.05,8.05,8.05,8.05,0,0.0,1.0
2009-04-06,8.05,8.05,8.05,8.05,0,0.0,1.0
2009-04-07,8.05,8.05,8.05,8.05,0,0.0,1.0
2009-04-08,7.88,8.05,7.88,8.05,8986,0.0,1.0
2009-04-09,7.88,8.05,7.88,8.05,0,0.0,1.0
2009-04-13,7.88,8.05,7.88,8.05,0,0.0,1.0
2009-04-14,7.88,8.05,7.88,8.05,0,0.0,1.0
2009-04-15,8.1,8.15,8.1,8.15,1242,0.0,1.0
2009-04-16,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-17,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-20,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-21,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-22,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-23,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-24,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-27,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-28,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-29,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-04-30,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-05-01,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-05-04,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-05-05,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-05-06,8.1,8.15,8.1,8.15,0,0.0,1.0
2009-05-07,8.1,8.15,8.1,8.15,0,0.0,1.0
