date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,7.96,7.97,7.85,7.92,16871,0.0,1.0
2016-01-05,8.17,8.28,8.17,8.28,19104,0.0,1.0
2016-01-06,8.02,8.07,7.98,8.0,16620,0.0,1.0
2016-01-07,7.89,7.94,7.76,7.8,32773,0.0,1.0
2016-01-08,8.0,8.02,7.85,7.85,10735,0.0,1.0
2016-01-11,7.93,8.02,7.65,7.94,22014,0.0,1.0
2016-01-12,8.16,8.21,8.07,8.14,18155,0.0,1.0
2016-01-13,8.27,8.27,8.06,8.08,18774,0.0,1.0
2016-01-14,8.14,8.34,8.13,8.28,32246,0.0,1.0
2016-01-19,8.32,8.33,8.16,8.23,24425,0.0,1.0
2016-01-20,7.95,7.96,7.74,7.9,6037,0.0,1.0
2016-01-21,7.96,8.12,7.95,8.04,9435,0.0,1.0
2016-01-22,8.19,8.3,8.19,8.3,16047,0.0,1.0
2016-01-25,8.12,8.2,8.01,8.11,13423,0.0,1.0
2016-01-26,8.06,8.14,8.01,8.13,2265,0.0,1.0
2016-01-27,7.91,8.4,7.91,8.3,7506,0.0,1.0
2016-01-28,9.31,9.31,9.06,9.13,48598,0.0,1.0
2016-01-29,8.85,9.2,8.6,9.2,30485,0.0,1.0
2016-02-01,9.2,9.29,9.2,9.29,27872,0.0,1.0
2016-02-02,9.11,9.13,9.04,9.1,12595,0.0,1.0
2016-02-03,8.9,8.92,8.72,8.82,9058,0.0,1.0
2016-02-04,8.98,9.06,8.98,9.04,1814,0.0,1.0
2016-02-05,8.92,8.92,8.79,8.81,5128,0.0,1.0
2016-02-08,9.14,9.17,8.9,9.06,30683,0.0,1.0
2016-02-09,8.82,8.93,8.81,8.89,7431,0.0,1.0
2016-02-10,8.97,8.97,8.84,8.89,1431,0.0,1.0
2016-02-11,8.66,8.74,8.61,8.67,4176,0.0,1.0
2016-02-12,8.73,8.89,8.68,8.89,2485,0.0,1.0
2016-02-16,8.99,9.01,8.96,9.0,11776,0.0,1.0
2016-02-17,8.9,8.98,8.9,8.95,5904,0.0,1.0
2016-02-18,9.11,9.11,8.89,8.99,13246,0.0,1.0
2016-02-19,8.76,8.8,8.75,8.8,3435,0.0,1.0
2016-02-22,9.05,9.08,8.99,9.08,7378,0.0,1.0
2016-02-23,9.21,9.21,9.1,9.15,9090,0.0,1.0
2016-02-24,9.16,9.25,9.09,9.25,8467,0.0,1.0
2016-02-25,9.25,9.3,9.21,9.3,7277,0.0,1.0
2016-02-26,9.4,9.4,9.29,9.29,18589,0.0,1.0
2016-03-01,9.0,9.22,8.98,9.19,14641,0.0,1.0
2016-03-02,9.22,9.3,9.22,9.28,15771,0.0,1.0
2016-03-03,9.33,9.4,9.33,9.4,9004,0.0,1.0
2016-03-04,9.4,9.58,9.39,9.55,18370,0.0,1.0
2016-03-07,9.38,9.48,9.38,9.41,11553,0.0,1.0
2016-03-08,9.44,9.47,9.4,9.4,15363,0.0,1.0
2016-03-09,9.31,9.33,9.28,9.3,13173,0.0,1.0
2016-03-10,9.36,9.41,9.23,9.3,15935,0.0,1.0
2016-03-11,9.4,9.5,9.38,9.49,14794,0.0,1.0
2016-03-14,9.71,9.74,9.59,9.71,25483,0.0,1.0
2016-03-15,9.57,9.58,9.54,9.58,108768,0.0,1.0
2016-03-16,9.6,9.72,9.6,9.72,25423,0.0,1.0
2016-03-17,9.75,10.39,9.75,10.2,217981,0.0,1.0
2016-03-18,9.93,10.03,9.92,10.02,17716,0.0,1.0
2016-03-21,9.92,10.05,9.92,10.05,11593,0.0,1.0
2016-03-22,9.98,10.1,9.98,10.06,107074,0.0,1.0
2016-03-23,9.92,9.95,9.85,9.85,9062,0.0,1.0
2016-03-24,9.55,9.55,9.52,9.52,3743,0.0,1.0
2016-03-28,9.4,9.4,9.15,9.17,12227,0.0919,1.0
2016-04-01,9.01,9.01,8.76,8.77,7389,0.0,1.0
2016-04-04,8.65,8.7,8.62,8.69,14207,0.0,1.0
2016-04-05,8.48,8.48,8.29,8.29,11763,0.0,1.0
2016-04-06,8.34,8.49,8.34,8.46,16582,0.0,1.0
2016-04-07,8.55,8.62,8.48,8.55,22326,0.0,1.0
2016-04-08,8.63,8.94,8.63,8.82,34603,0.0,1.0
2016-04-11,9.0,9.01,8.93,8.95,16804,0.0,1.0
2016-04-12,9.27,9.36,9.24,9.36,10094,0.0,1.0
2016-04-13,9.67,9.73,9.65,9.73,15278,0.0,1.0
2016-04-14,9.61,9.61,9.21,9.45,21893,0.0,1.0
2016-04-15,9.4,9.42,9.33,9.37,10611,0.0,1.0
2016-04-18,9.34,9.39,9.28,9.32,12004,0.0,1.0
2016-04-19,9.61,9.63,9.52,9.6,20651,0.0,1.0
2016-04-20,9.64,9.72,9.59,9.64,30441,0.0,1.0
2016-04-21,9.92,9.93,9.77,9.8,23009,0.0,1.0
2016-04-22,9.83,9.85,9.83,9.85,6429,0.0,1.0
2016-04-28,9.62,9.75,9.47,9.47,1981,0.0,1.0
2016-04-29,9.74,9.74,9.26,9.26,2178,0.0,1.0
2016-05-02,9.5,9.55,9.45,9.45,5396,0.0,1.0
2016-05-03,9.45,9.45,9.45,9.45,138,0.0,1.0
2016-05-04,9.37,9.37,9.37,9.37,456,0.0,1.0
2016-05-05,9.37,9.37,9.37,9.37,2046,0.0,1.0
2016-05-06,9.37,9.37,9.37,9.37,10,0.0,1.0
2016-05-09,9.75,9.75,9.66,9.66,3240,0.0,1.0
2016-05-10,9.66,9.66,9.66,9.66,83,0.0,1.0
2016-05-11,9.76,9.76,9.76,9.76,1001,0.0,1.0
2016-05-12,9.82,9.82,9.76,9.77,2508,0.0,1.0
2016-05-13,9.6,9.6,9.6,9.6,185,0.0,1.0
2016-05-16,9.59,9.76,9.59,9.76,1594,0.0,1.0
2016-05-17,9.9,9.92,9.87,9.87,9379,0.0,1.0
2016-05-18,10.13,10.23,10.13,10.16,11299,0.0,1.0
2016-05-19,10.25,10.27,10.23,10.23,12198,0.0,1.0
2016-05-20,10.45,10.45,10.43,10.43,1078,0.0,1.0
2016-05-23,10.64,10.64,10.64,10.64,1958,0.0,1.0
2016-05-24,10.68,10.7,10.68,10.7,4154,0.0,1.0
2016-05-25,10.72,10.72,10.71,10.71,2612,0.0,1.0
2016-05-26,10.74,10.75,10.74,10.75,3148,0.0,1.0
2016-05-27,10.83,10.86,10.83,10.86,5142,0.0,1.0
2016-05-31,11.0,11.03,11.0,11.01,6325,0.0,1.0
2016-06-01,11.0,11.02,10.98,11.02,2162,0.0,1.0
2016-06-02,10.82,10.82,10.82,10.82,1466,0.0,1.0
2016-06-03,10.65,10.65,10.65,10.65,523,0.0,1.0
2016-06-06,10.83,10.83,10.75,10.75,4451,0.0,1.0
2016-06-07,11.07,11.07,11.02,11.07,3893,0.0,1.0
