date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-06-15,35.0,44.94,35.0,44.94,7882188,0.0,1.0
2018-06-18,46.51,53.64,42.52,44.11,4120677,0.0,1.0
2018-06-19,43.49,47.0,41.58,45.99,1142350,0.0,1.0
2018-06-20,46.94,47.0,43.21,45.01,741304,0.0,1.0
2018-06-21,44.55,59.4,40.63,51.04,5913762,0.0,1.0
2018-06-22,53.97,54.09,50.6,51.0,1148478,0.0,1.0
2018-06-25,49.9,53.1,48.5,49.6,967855,0.0,1.0
2018-06-26,50.06,50.93,45.94,47.85,584863,0.0,1.0
2018-06-27,48.05,49.74,45.5,45.7,391402,0.0,1.0
2018-06-28,45.53,46.76,42.55,44.58,557874,0.0,1.0
2018-06-29,44.58,53.4,44.58,53.37,1164108,0.0,1.0
2018-07-02,52.8,56.13,47.6,48.72,1361991,0.0,1.0
2018-07-03,48.44,51.89,48.15,49.59,305676,0.0,1.0
2018-07-05,50.29,51.92,48.77,49.1,304004,0.0,1.0
2018-07-06,49.2,50.06,47.01,47.39,268936,0.0,1.0
2018-07-09,47.75,48.2,45.35,47.5,361683,0.0,1.0
2018-07-10,46.16,46.8,44.81,44.96,555547,0.0,1.0
2018-07-11,44.47,44.61,42.34,42.4,589817,0.0,1.0
2018-07-12,42.53,44.88,42.35,43.99,547588,0.0,1.0
2018-07-13,44.48,44.5,43.19,43.75,242536,0.0,1.0
2018-07-16,43.43,44.42,42.38,43.62,446123,0.0,1.0
2018-07-17,43.32,44.35,42.65,44.17,293708,0.0,1.0
2018-07-18,44.39,44.39,42.59,43.07,354236,0.0,1.0
2018-07-19,43.0,43.18,41.71,42.29,323126,0.0,1.0
2018-07-20,42.2,43.65,42.2,42.93,273115,0.0,1.0
2018-07-23,42.73,43.58,42.0,42.26,139767,0.0,1.0
2018-07-24,42.33,42.98,40.21,41.19,401911,0.0,1.0
2018-07-25,41.03,44.41,41.03,44.35,326188,0.0,1.0
2018-07-26,44.03,46.38,42.66,45.31,324313,0.0,1.0
2018-07-27,45.5,46.0,42.22,42.82,268533,0.0,1.0
2018-07-30,42.93,42.93,39.85,40.4,483710,0.0,1.0
2018-07-31,40.72,41.33,38.13,38.34,329580,0.0,1.0
2018-08-01,38.39,39.77,37.61,38.18,335829,0.0,1.0
2018-08-02,37.93,38.04,37.01,37.13,282369,0.0,1.0
2018-08-03,37.5,37.5,36.16,37.16,191165,0.0,1.0
2018-08-06,37.0,41.39,36.99,40.75,381993,0.0,1.0
2018-08-07,41.21,42.63,40.56,42.21,249912,0.0,1.0
2018-08-08,42.4,43.28,41.65,42.51,201325,0.0,1.0
2018-08-09,43.29,46.17,42.8,45.97,628490,0.0,1.0
2018-08-10,38.2,44.1,38.2,42.41,1799413,0.0,1.0
2018-08-13,42.65,42.85,38.38,38.51,368012,0.0,1.0
2018-08-14,38.76,38.76,35.87,36.03,513301,0.0,1.0
2018-08-15,35.85,35.87,32.1,34.67,748987,0.0,1.0
2018-08-16,38.39,39.8,37.51,39.76,609680,0.0,1.0
