date,open_price,high_price,low_price,close_price,volume,dividend,split
2001-12-03,13.84,13.84,13.5,13.8,847400,0.0,1.0
2001-12-04,13.7,13.84,13.6,13.75,780700,0.0,1.0
2001-12-05,13.75,14.2,13.75,14.06,906200,0.0,1.0
2001-12-06,14.2,14.2,13.7,13.98,291300,0.0,1.0
2001-12-07,13.88,13.88,13.4,13.48,399500,0.0,1.0
2001-12-10,13.1,13.1,11.2,11.2,348800,0.0,1.0
2001-12-11,11.3,12.58,11.3,12.58,595400,0.0,1.0
2001-12-12,12.48,12.85,11.95,12.0,226700,0.0,1.0
2001-12-13,12.1,12.4,11.75,12.0,248600,0.0,1.0
2001-12-14,11.9,12.08,11.76,11.98,146000,0.0,1.0
2001-12-17,11.65,12.1,10.8,11.0,523600,0.0,1.0
2001-12-18,10.9,11.5,10.7,11.5,685500,0.0,1.0
2001-12-19,11.16,12.1,11.05,11.95,290400,0.0,1.0
2001-12-20,12.0,12.0,11.35,11.51,535400,0.0,1.0
2001-12-21,11.2,11.95,11.15,11.9,367700,0.0,1.0
2001-12-24,12.35,12.95,12.1,12.89,112300,0.0,1.0
2001-12-26,13.09,13.2,11.96,12.51,255900,0.0,1.0
2001-12-27,12.7,12.95,12.7,12.9,374500,0.0,1.0
2001-12-28,12.91,12.91,11.9,12.0,324500,0.0,1.0
2001-12-31,12.0,12.4,12.0,12.1,451000,0.0,1.0
2002-01-02,12.05,14.0,12.01,14.0,164700,0.0,1.0
2002-01-03,14.75,14.75,13.75,14.75,260000,0.0,1.0
2002-01-04,14.89,14.89,14.11,14.81,155700,0.0,1.0
2002-01-07,14.71,14.71,14.02,14.26,131100,0.0,1.0
2002-01-08,14.2,14.2,13.81,14.2,67500,0.0,1.0
2002-01-09,14.15,14.35,13.8,13.8,52200,0.0,1.0
2002-01-10,13.7,14.05,13.2,13.57,74500,0.0,1.0
2002-01-11,13.62,13.74,13.5,13.5,56100,0.0,1.0
2002-01-14,13.28,14.65,13.2,14.61,177500,0.0,1.0
2002-01-15,14.4,14.52,13.88,13.96,208500,0.15,1.0
2002-01-16,13.99,14.0,12.8,12.8,144600,0.0,1.0
2002-01-17,12.7,13.74,12.7,13.74,618900,0.0,1.0
2002-01-18,13.54,13.65,13.1,13.45,123300,0.0,1.0
2002-01-22,13.45,14.04,13.35,13.82,86000,0.0,1.0
2002-01-23,13.92,13.92,13.3,13.92,70300,0.0,1.0
2002-01-24,13.82,13.82,13.5,13.5,63000,0.0,1.0
2002-01-25,13.4,13.61,12.9,13.61,300500,0.0,1.0
2002-01-28,13.92,13.92,13.66,13.75,135600,0.0,1.0
2002-01-29,13.75,13.75,13.02,13.2,214400,0.0,1.0
2002-01-30,13.15,13.18,12.82,13.08,31600,0.0,1.0
2002-01-31,13.0,13.05,12.5,13.05,144700,0.0,1.0
2002-02-01,13.05,13.05,12.74,13.03,114100,0.0,1.0
2002-02-04,12.8,13.99,12.69,13.39,83400,0.0,1.0
2002-02-05,13.29,13.29,12.53,13.24,112700,0.0,1.0
2002-02-06,13.24,13.45,13.1,13.27,207500,0.0,1.0
2002-02-07,13.17,13.25,13.1,13.19,76500,0.0,1.0
2002-02-08,13.29,13.47,13.26,13.4,98900,0.0,1.0
2002-02-11,13.3,13.35,13.0,13.2,104900,0.0,1.0
2002-02-12,13.2,13.3,13.15,13.27,138700,0.0,1.0
2002-02-13,13.26,13.3,13.25,13.3,65400,0.0,1.0
2002-02-14,13.3,13.35,13.25,13.35,173400,0.0,1.0
2002-02-15,13.57,13.57,13.3,13.44,90300,0.0,1.0
2002-02-19,13.54,13.58,13.3,13.46,242600,0.0,1.0
2002-02-20,13.62,13.62,13.45,13.55,101100,0.0,1.0
2002-02-21,13.55,13.69,13.5,13.57,74100,0.0,1.0
2002-02-22,13.65,14.65,13.65,14.52,92600,0.0,1.0
2002-02-25,14.42,14.75,14.25,14.52,67300,0.0,1.0
2002-02-26,14.52,14.52,13.88,13.96,54500,0.0,1.0
2002-02-27,13.9,14.3,13.5,14.1,61000,0.0,1.0
2002-02-28,14.5,14.61,13.9,14.2,148300,0.0,1.0
2002-03-01,14.15,15.5,14.06,15.3,188500,0.0,1.0
2002-03-04,15.2,15.85,15.2,15.6,320000,0.0,1.0
2002-03-05,15.5,15.75,15.23,15.4,158400,0.0,1.0
2002-03-06,15.3,15.4,15.0,15.35,121500,0.0,1.0
2002-03-07,15.29,15.3,14.75,14.85,119300,0.0,1.0
2002-03-08,14.8,14.92,14.35,14.5,58600,0.0,1.0
2002-03-11,14.1,14.8,14.0,14.71,210400,0.0,1.0
2002-03-12,15.2,15.2,14.75,15.2,83300,0.0,1.0
2002-03-13,15.3,15.3,15.1,15.23,19800,0.0,1.0
2002-03-14,15.52,15.52,15.15,15.5,33200,0.0,1.0
2002-03-15,15.15,15.4,15.02,15.1,109100,0.0,1.0
2002-03-18,15.25,15.25,15.07,15.14,47400,0.0,1.0
2002-03-19,15.11,16.0,15.03,16.0,57400,0.0,1.0
2002-03-20,15.75,16.0,15.25,15.26,48600,0.0,1.0
2002-03-21,15.61,15.61,14.75,15.58,107200,0.0,1.0
2002-03-22,15.6,15.85,15.31,15.51,69500,0.0,1.0
2002-03-25,15.3,15.75,15.2,15.31,129900,0.0,1.0
2002-03-26,15.31,16.01,15.21,15.9,99400,0.0,1.0
2002-03-27,17.7,17.7,15.9,16.5,265200,0.0,1.0
2002-03-28,16.6,17.15,16.08,16.53,146700,0.0,1.0
2002-04-01,17.1,17.1,16.15,17.0,167700,0.0,1.0
2002-04-02,16.95,17.06,16.86,17.05,102200,0.0,1.0
2002-04-03,17.0,17.03,16.7,16.75,76800,0.0,1.0
2002-04-04,16.5,17.05,16.5,17.05,89000,0.0,1.0
2002-04-05,17.05,17.3,16.8,17.18,103300,0.0,1.0
2002-04-08,17.0,17.85,17.0,17.6,63900,0.0,1.0
2002-04-09,17.6,17.8,17.15,17.6,116300,0.0,1.0
2002-04-10,17.6,17.91,17.4,17.86,99300,0.0,1.0
2002-04-11,17.71,17.78,17.41,17.47,59700,0.15,1.0
2002-04-12,17.37,17.9,17.37,17.9,131000,0.0,1.0
2002-04-15,17.75,18.2,17.65,18.03,122900,0.0,1.0
2002-04-16,18.45,19.05,18.45,18.9,83500,0.0,1.0
2002-04-17,18.9,18.9,18.63,18.65,58400,0.0,1.0
2002-04-18,18.55,18.95,18.29,18.29,142500,0.0,1.0
2002-04-19,18.3,18.4,18.0,18.04,129000,0.0,1.0
2002-04-22,18.06,18.4,18.0,18.4,45900,0.0,1.0
2002-04-23,18.3,18.96,18.3,18.96,112400,0.0,1.0
2002-04-24,18.96,19.0,18.8,18.93,71200,0.0,1.0
2002-04-25,18.9,19.4,18.9,19.4,104300,0.0,1.0
2002-04-26,19.4,19.4,19.11,19.13,93800,0.0,1.0
2002-04-29,19.13,19.13,18.75,18.8,260800,0.0,1.0
2002-04-30,18.8,18.9,18.45,18.55,289700,0.0,1.0
2002-05-01,18.6,18.75,17.8,18.48,107700,0.0,1.0
2002-05-02,18.5,18.69,18.3,18.46,90200,0.0,1.0
2002-05-03,18.47,18.52,18.15,18.28,124900,0.0,1.0
2002-05-06,18.25,18.35,17.7,18.0,90400,0.0,1.0
2002-05-07,17.9,17.9,16.92,17.0,167100,0.0,1.0
2002-05-08,17.0,17.15,16.33,17.03,96300,0.0,1.0
