date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-04,0.46,0.46,0.46,0.46,5988,0.0,1.0
2016-01-05,0.42,0.42,0.42,0.42,100382,0.0,1.0
2016-01-06,0.41,0.41,0.41,0.41,30536,0.0,1.0
2016-01-07,0.41,0.41,0.4,0.4,23108,0.0,1.0
2016-01-08,0.43,0.43,0.42,0.42,39451,0.0,1.0
2016-01-11,0.41,0.41,0.41,0.41,95941,0.0,1.0
2016-01-12,0.42,0.42,0.41,0.41,186542,0.0,1.0
2016-01-13,0.4,0.4,0.4,0.4,18088,0.0,1.0
2016-01-14,0.39,0.4,0.39,0.4,14634,0.0,1.0
2016-01-19,0.39,0.39,0.38,0.38,97183,0.0,1.0
2016-01-20,0.38,0.38,0.37,0.38,220631,0.0,1.0
2016-01-21,0.37,0.39,0.37,0.39,120367,0.0,1.0
2016-01-22,0.39,0.39,0.39,0.39,2527,0.0,1.0
2016-01-25,0.39,0.39,0.39,0.39,86147,0.0,1.0
2016-01-26,0.39,0.39,0.39,0.39,31549,0.0,1.0
2016-01-27,0.38,0.38,0.38,0.38,7667,0.0,1.0
2016-01-28,0.38,0.38,0.37,0.37,76398,0.0,1.0
2016-01-29,0.38,0.41,0.38,0.4,229361,0.0,1.0
2016-02-01,0.39,0.39,0.39,0.39,6450130,0.0,1.0
2016-02-02,0.37,0.37,0.37,0.37,748328,0.0,1.0
2016-02-03,0.37,0.37,0.37,0.37,28500,0.0,1.0
2016-02-04,0.37,0.37,0.37,0.37,516,0.0,1.0
2016-02-05,0.4,0.4,0.4,0.4,100,0.0,1.0
2016-02-08,0.38,0.4,0.38,0.4,7870,0.0,1.0
2016-02-09,0.4,0.4,0.4,0.4,2000,0.0,1.0
2016-02-11,0.38,0.38,0.36,0.36,18832,0.0,1.0
2016-02-12,0.36,0.38,0.36,0.37,65924,0.0,1.0
2016-02-16,0.39,0.39,0.38,0.39,36058,0.0,1.0
2016-02-18,0.39,0.39,0.39,0.39,5000,0.0,1.0
2016-02-19,0.39,0.39,0.39,0.39,1018,0.0,1.0
2016-02-22,0.39,0.39,0.39,0.39,3069,0.0,1.0
2016-02-23,0.39,0.39,0.39,0.39,400,0.0,1.0
2016-02-25,0.37,0.38,0.37,0.38,3100,0.0,1.0
2016-02-26,0.39,0.39,0.39,0.39,950,0.0,1.0
2016-03-01,0.39,0.39,0.39,0.39,250,0.0,1.0
2016-03-02,0.38,0.38,0.38,0.38,24030,0.0,1.0
2016-03-03,0.38,0.38,0.38,0.38,19976,0.0,1.0
2016-03-04,0.4,0.4,0.4,0.4,83100,0.0,1.0
2016-03-07,0.41,0.41,0.4,0.4,16381,0.0,1.0
