date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,22.75,22.75,22.31,22.62,208700,0.0,1.0
1999-11-02,22.62,22.94,22.38,22.88,298000,0.0,1.0
1999-11-03,23.0,24.44,22.81,24.44,547500,0.0,1.0
1999-11-04,24.44,24.56,23.19,23.94,185800,0.0,1.0
1999-11-05,24.06,24.5,23.81,23.88,122200,0.0,1.0
1999-11-08,23.88,24.25,23.5,23.62,128600,0.0,1.0
1999-11-09,23.19,23.19,21.75,22.5,318100,0.0,1.0
1999-11-10,22.5,22.62,22.0,22.62,139100,0.0,1.0
1999-11-11,22.62,22.88,22.31,22.56,266600,0.0,1.0
1999-11-12,22.5,23.38,22.0,23.38,372000,0.0,1.0
1999-11-15,23.12,23.88,22.75,23.38,157400,0.0,1.0
1999-11-16,23.31,23.88,23.31,23.81,263800,0.0,1.0
1999-11-17,23.5,23.81,23.5,23.62,149000,0.0,1.0
1999-11-18,23.5,23.88,23.44,23.5,255600,0.0,1.0
1999-11-19,23.38,23.38,22.0,22.44,232400,0.0,1.0
1999-11-22,22.5,22.5,21.75,21.94,339400,0.13,1.0
1999-11-23,22.12,22.38,21.81,22.38,341700,0.0,1.0
1999-11-24,22.19,22.44,21.62,22.38,194300,0.0,1.0
1999-11-26,22.19,22.25,22.0,22.19,35600,0.0,1.0
1999-11-29,22.06,22.06,21.69,21.75,66000,0.0,1.0
1999-11-30,22.0,22.12,21.5,21.81,240400,0.0,1.0
1999-12-01,21.81,21.81,21.19,21.56,154000,0.0,1.0
1999-12-02,21.5,21.75,21.38,21.62,191300,0.0,1.0
1999-12-03,21.44,21.56,21.44,21.5,150900,0.0,1.0
1999-12-06,21.62,21.69,21.31,21.44,265000,0.0,1.0
1999-12-07,21.5,21.5,20.88,20.88,261100,0.0,1.0
1999-12-08,20.94,21.38,20.62,20.69,167000,0.0,1.0
1999-12-09,20.69,20.75,20.06,20.38,134200,0.0,1.0
1999-12-10,20.5,20.5,20.0,20.0,102700,0.0,1.0
1999-12-13,20.38,20.94,20.0,20.88,335700,0.0,1.0
1999-12-14,20.88,21.94,20.81,21.81,394600,0.0,1.0
1999-12-15,21.81,21.81,21.0,21.06,168900,0.0,1.0
1999-12-16,20.88,21.69,20.81,21.62,192700,0.0,1.0
1999-12-17,20.62,21.31,20.56,20.69,566600,0.0,1.0
1999-12-20,20.69,21.56,20.62,21.38,207300,0.0,1.0
1999-12-21,21.0,21.31,20.62,20.69,248700,0.0,1.0
1999-12-22,20.69,21.75,20.56,21.5,223400,0.0,1.0
1999-12-23,21.25,21.75,20.94,21.75,200600,0.0,1.0
1999-12-27,21.94,22.31,21.75,21.94,153000,0.0,1.0
1999-12-28,22.31,22.69,22.12,22.25,155900,0.0,1.0
1999-12-29,22.38,22.75,21.62,22.69,150400,0.0,1.0
1999-12-30,22.75,22.75,22.25,22.5,151200,0.0,1.0
1999-12-31,22.5,22.5,22.12,22.25,50000,0.0,1.0
2000-01-03,22.0,22.09,21.69,21.94,286700,0.0,1.0
2000-01-04,21.94,22.12,20.88,20.94,338700,0.0,1.0
2000-01-05,20.69,21.62,20.69,21.06,214000,0.0,1.0
2000-01-06,21.12,21.31,20.88,21.25,232700,0.0,1.0
2000-01-07,21.25,21.62,20.94,21.38,207800,0.0,1.0
2000-01-10,21.25,21.75,21.25,21.44,207000,0.0,1.0
2000-01-11,21.62,21.88,21.38,21.44,264300,0.0,1.0
2000-01-12,21.19,21.94,21.0,21.38,158200,0.0,1.0
2000-01-13,21.12,21.88,21.0,21.56,306500,0.0,1.0
2000-01-14,21.44,21.56,21.06,21.31,150100,0.0,1.0
2000-01-18,20.69,21.5,20.38,21.44,188500,0.0,1.0
2000-01-19,21.44,21.56,21.12,21.25,325200,0.0,1.0
2000-01-20,21.25,21.31,20.44,20.56,342400,0.0,1.0
2000-01-21,20.81,21.12,20.31,20.38,477200,0.0,1.0
2000-01-24,20.38,20.69,20.06,20.25,199900,0.0,1.0
2000-01-25,20.38,21.0,19.12,19.56,328200,0.0,1.0
2000-01-26,19.31,19.44,18.75,18.88,279000,0.0,1.0
2000-01-27,19.25,19.62,19.25,19.44,440600,0.0,1.0
2000-01-28,19.25,19.38,18.81,18.81,236900,0.0,1.0
2000-01-31,18.88,19.12,18.56,18.94,154700,0.0,1.0
2000-02-01,18.88,19.25,18.31,18.94,338100,0.0,1.0
2000-02-02,18.75,19.0,18.31,18.81,253400,0.0,1.0
2000-02-03,18.62,18.69,17.69,18.06,367500,0.0,1.0
2000-02-04,18.06,18.5,18.06,18.38,387600,0.0,1.0
2000-02-07,18.38,18.5,17.06,17.31,474800,0.0,1.0
2000-02-08,17.75,17.81,17.38,17.62,461300,0.0,1.0
2000-02-09,17.75,18.56,17.44,18.25,478300,0.0,1.0
2000-02-10,18.25,18.94,18.25,18.38,420200,0.0,1.0
2000-02-11,18.88,19.0,18.31,18.5,220100,0.0,1.0
2000-02-14,18.38,18.56,18.31,18.56,229500,0.0,1.0
2000-02-15,18.69,18.81,18.5,18.5,195500,0.0,1.0
2000-02-16,18.5,19.0,18.5,18.75,325600,0.0,1.0
2000-02-17,18.69,19.0,18.56,18.75,134900,0.0,1.0
2000-02-18,18.88,18.88,18.25,18.5,203700,0.0,1.0
2000-02-22,18.69,19.06,18.44,18.62,266300,0.0,1.0
2000-02-23,18.25,18.5,18.12,18.19,180500,0.13,1.0
2000-02-24,18.06,18.12,17.62,18.0,147600,0.0,1.0
2000-02-25,17.62,18.25,17.56,17.75,305300,0.0,1.0
2000-02-28,17.88,17.94,17.25,17.38,247300,0.0,1.0
2000-02-29,17.12,17.75,17.12,17.69,273000,0.0,1.0
2000-03-01,17.56,17.94,17.38,17.62,253200,0.0,1.0
2000-03-02,17.62,17.62,16.62,16.75,481100,0.0,1.0
2000-03-03,16.38,16.88,16.19,16.69,522500,0.0,1.0
2000-03-06,16.75,16.75,15.44,15.81,409300,0.0,1.0
2000-03-07,16.0,16.0,15.19,15.19,369900,0.0,1.0
2000-03-08,15.38,15.44,14.75,14.75,545300,0.0,1.0
2000-03-09,15.25,16.06,14.94,15.81,789600,0.0,1.0
2000-03-10,15.62,15.94,15.31,15.56,258200,0.0,1.0
2000-03-13,15.31,15.75,15.12,15.19,329000,0.0,1.0
2000-03-14,15.06,15.44,15.0,15.25,295500,0.0,1.0
2000-03-15,15.25,16.25,15.12,15.88,350700,0.0,1.0
2000-03-16,15.56,16.88,15.56,16.69,777700,0.0,1.0
2000-03-17,16.0,16.94,16.0,16.19,689900,0.0,1.0
2000-03-20,16.25,16.25,15.88,16.0,454000,0.0,1.0
2000-03-21,16.0,16.44,15.69,16.25,805400,0.0,1.0
2000-03-22,16.0,16.25,16.0,16.12,502000,0.0,1.0
2000-03-23,16.06,16.94,16.0,16.38,1456500,0.0,1.0
2000-03-24,16.56,19.5,16.5,19.5,2673900,0.0,1.0
2000-03-27,19.5,19.88,18.5,19.12,3906900,0.0,1.0
2000-03-28,19.31,19.5,18.19,18.19,397600,0.0,1.0
2000-03-29,18.25,18.56,16.69,17.25,962300,0.0,1.0
2000-03-30,17.5,19.12,17.5,18.56,546600,0.0,1.0
2000-03-31,18.75,19.25,18.19,18.94,441400,0.0,1.0
2000-04-03,18.94,19.06,17.62,17.75,829300,0.0,1.0
2000-04-04,18.25,19.19,17.81,18.31,825400,0.0,1.0
2000-04-05,17.94,18.62,17.94,18.5,274900,0.0,1.0
2000-04-06,18.75,19.12,18.25,18.62,329700,0.0,1.0
2000-04-07,18.56,18.81,18.19,18.25,305900,0.0,1.0
2000-04-10,18.38,18.75,18.12,18.31,374800,0.0,1.0
2000-04-11,18.44,19.12,18.31,19.12,642500,0.0,1.0
2000-04-12,19.12,19.62,19.12,19.44,528400,0.0,1.0
2000-04-13,19.56,19.62,19.25,19.31,820600,0.0,1.0
2000-04-14,19.12,19.44,17.88,17.94,779000,0.0,1.0
2000-04-17,18.0,18.81,18.0,18.75,395100,0.0,1.0
2000-04-18,18.56,18.69,18.25,18.69,375500,0.0,1.0
2000-04-19,18.44,19.06,18.44,18.62,279100,0.0,1.0
2000-04-20,18.5,19.5,18.5,18.94,265400,0.0,1.0
2000-04-24,19.19,19.31,18.31,18.5,333600,0.0,1.0
2000-04-25,18.25,19.62,18.25,19.5,330100,0.0,1.0
2000-04-26,19.5,19.5,18.94,19.12,192100,0.0,1.0
2000-04-27,19.0,19.12,18.44,18.81,186200,0.0,1.0
2000-04-28,18.56,19.19,18.56,19.19,252600,0.0,1.0
2000-05-01,19.06,19.62,18.88,19.5,229400,0.0,1.0
2000-05-02,19.25,19.25,18.62,18.81,427800,0.0,1.0
2000-05-03,19.06,19.69,18.94,19.5,317500,0.0,1.0
2000-05-04,19.25,19.38,19.0,19.06,170800,0.0,1.0
2000-05-05,18.81,19.5,18.75,19.44,280300,0.0,1.0
2000-05-08,19.44,19.5,19.0,19.12,167100,0.0,1.0
2000-05-09,19.12,19.12,18.69,19.12,261400,0.0,1.0
2000-05-10,19.12,19.12,18.69,19.0,243700,0.0,1.0
2000-05-11,19.12,19.62,18.38,19.56,287200,0.0,1.0
2000-05-12,19.44,19.75,19.12,19.69,299100,0.0,1.0
2000-05-15,19.75,19.81,18.94,19.19,351800,0.0,1.0
2000-05-16,19.12,19.75,19.12,19.56,629300,0.0,1.0
2000-05-17,19.56,19.88,19.31,19.75,522000,0.0,1.0
2000-05-18,19.62,20.0,19.44,19.94,187200,0.0,1.0
2000-05-19,19.75,19.81,19.0,19.38,241500,0.0,1.0
2000-05-22,19.38,19.38,19.12,19.31,219100,0.0,1.0
2000-05-23,19.38,19.94,19.38,19.62,255600,0.13,1.0
2000-05-24,19.62,19.88,19.38,19.56,243900,0.0,1.0
2000-05-25,19.44,19.88,19.38,19.5,213100,0.0,1.0
2000-05-26,19.5,19.88,19.31,19.31,179600,0.0,1.0
2000-05-30,19.31,19.5,19.25,19.44,153700,0.0,1.0
