date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,8.3,8.3,8.3,8.3,60142,0.0,1.0
2008-10-28,8.8,8.8,8.3,8.3,100000,0.0,1.0
2008-10-29,8.3,8.3,8.3,8.3,0,0.0,1.0
2008-10-30,10.35,10.35,10.35,10.35,100,0.0,1.0
2008-10-31,10.35,10.35,10.35,10.35,0,0.0,1.0
2008-11-03,9.95,9.95,9.95,9.95,300,0.1352,1.0
2008-11-04,9.95,9.95,9.95,9.95,200,0.0,1.0
2008-11-05,9.95,9.95,9.95,9.95,0,0.0,1.0
2008-11-06,10.46,10.51,10.46,10.51,5421,0.0,1.0
2008-11-07,9.95,9.95,9.95,9.95,0,0.0,1.0
2008-11-10,9.95,9.95,9.95,9.95,0,0.0,1.0
2008-11-11,9.95,9.95,9.95,9.95,0,0.0,1.0
2008-11-12,8.25,8.25,8.25,8.25,676,0.0,1.0
2008-11-13,8.25,8.25,8.25,8.25,875,0.0,1.0
2008-11-14,8.2,8.2,8.2,8.2,114,0.0,1.0
2008-11-17,7.5,7.6,7.5,7.6,765,0.0,1.0
2008-11-18,7.6,7.6,7.6,7.6,304,0.0,1.0
2008-11-19,6.7,6.7,6.6,6.6,1086,0.0,1.0
2008-11-20,6.6,6.6,6.6,6.6,0,0.0,1.0
2008-11-21,6.2,6.85,6.2,6.85,2067,0.0,1.0
2008-11-24,6.9,6.9,6.9,6.9,850,0.0,1.0
2008-11-25,6.9,6.9,6.9,6.9,0,0.0,1.0
2008-11-26,6.9,6.9,6.9,6.9,0,0.0,1.0
2008-11-28,8.05,8.05,8.03,8.03,75272,0.0,1.0
2008-12-01,7.5,7.5,7.5,7.5,718,0.0,1.0
2008-12-02,7.5,7.5,7.5,7.5,335,0.0,1.0
2008-12-03,7.5,7.5,7.5,7.5,0,0.0,1.0
2008-12-04,8.05,8.1,8.05,8.1,8244,0.0,1.0
2008-12-05,7.7,7.7,7.7,7.7,182,0.0,1.0
2008-12-08,7.7,7.7,7.7,7.7,0,0.0,1.0
2008-12-09,7.7,7.7,7.7,7.7,0,0.0,1.0
2008-12-10,7.7,7.7,7.7,7.7,0,0.0,1.0
2008-12-11,7.7,7.7,7.7,7.7,0,0.0,1.0
2008-12-12,8.55,8.55,8.55,8.55,109,0.0,1.0
2008-12-15,8.75,8.75,8.75,8.75,6250,0.0,1.0
2008-12-16,9.1,9.1,9.0,9.0,482,0.0,1.0
2008-12-17,9.0,9.0,9.0,9.0,0,0.0,1.0
2008-12-18,9.7,9.8,9.25,9.25,102536,0.0,1.0
2008-12-19,9.25,9.25,9.25,9.25,0,0.0,1.0
2008-12-22,9.6,9.6,9.6,9.6,774,0.0,1.0
2008-12-23,9.25,9.25,9.25,9.25,125,0.0,1.0
2008-12-24,9.25,9.25,9.25,9.25,0,0.0,1.0
