date,open_price,high_price,low_price,close_price,volume,dividend,split
2002-01-08,20.3,20.3,20.0,20.05,4700,0.0,1.0
2002-01-09,19.95,19.95,19.8,19.8,3000,0.0,1.0
2002-01-10,19.71,19.71,19.5,19.5,1500,0.0,1.0
2002-01-11,19.4,19.4,19.3,19.3,2500,0.0,1.0
2002-01-14,19.55,19.55,19.45,19.45,20200,0.0,1.0
2002-01-15,19.46,19.46,19.4,19.4,1100,0.0,1.0
2002-01-16,19.3,19.3,19.2,19.2,1000,0.0,1.0
2002-01-17,19.1,19.1,19.1,19.1,500,0.0,1.0
2002-01-18,18.8,18.8,18.6,18.6,2100,0.0,1.0
2002-01-22,18.6,18.65,18.6,18.65,2100,0.0,1.0
2002-01-23,18.4,18.4,18.0,18.0,4000,0.0,1.0
2002-01-24,18.0,18.16,18.0,18.16,54900,0.0,1.0
2002-01-25,18.15,18.15,18.15,18.15,200,0.0,1.0
2002-01-28,18.0,18.0,18.0,18.0,500,0.0,1.0
2002-01-29,18.0,18.0,18.0,18.0,0,0.0,1.0
2002-01-30,18.0,18.0,18.0,18.0,0,0.0,1.0
2002-01-31,17.95,17.95,17.95,17.95,5400,0.0,1.0
2002-02-01,17.95,17.95,17.9,17.9,6500,0.0,1.0
2002-02-04,17.55,17.55,17.48,17.48,1400,0.0,1.0
2002-02-05,17.5,17.5,17.5,17.5,200,0.0,1.0
2002-02-06,17.5,17.5,17.5,17.5,0,0.0,1.0
2002-02-07,16.6,17.15,16.6,17.0,139000,0.0,1.0
2002-02-08,17.1,17.12,17.0,17.0,6000,0.0,1.0
2002-02-11,17.0,17.0,17.0,17.0,0,0.0,1.0
2002-02-12,17.0,17.0,17.0,17.0,0,0.0,1.0
2002-02-13,16.92,16.92,16.92,16.92,4000,0.0,1.0
2002-02-14,16.85,16.85,16.8,16.8,2600,0.0,1.0
2002-02-15,16.9,16.9,16.8,16.86,7000,0.0,1.0
2002-02-19,16.8,16.8,16.66,16.66,20400,0.0,1.0
2002-02-20,16.7,16.7,16.7,16.7,7000,0.0,1.0
2002-02-21,16.8,16.8,16.7,16.7,11000,0.0,1.0
2002-02-22,16.69,16.69,16.55,16.55,1700,0.0,1.0
2002-02-25,16.4,16.4,16.3,16.3,1500,0.0,1.0
2002-02-26,16.2,16.2,16.2,16.2,500,0.0,1.0
