date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-12-03,18.5,18.5,18.5,18.5,2000,0.0,1.0
2009-12-04,18.35,18.35,18.35,18.35,32000,0.0,1.0
2009-12-07,18.35,18.35,18.35,18.35,0,0.0,1.0
2009-12-08,18.35,18.35,18.35,18.35,0,0.0,1.0
2009-12-09,18.5,18.5,18.5,18.5,1000,0.0,1.0
2009-12-10,18.5,18.5,18.5,18.5,0,0.0,1.0
2009-12-11,18.5,18.5,18.5,18.5,0,0.0,1.0
2009-12-14,18.4,18.4,18.33,18.4,6958,0.0,1.0
2009-12-15,18.3,18.7,18.25,18.7,38824,0.0,1.0
2009-12-16,18.3,18.55,18.3,18.5,21581,0.0,1.0
2009-12-17,17.5,17.5,17.5,17.5,1527,0.0,1.0
2009-12-18,17.4,18.2,16.5,16.5,52602,0.0,1.0
2009-12-21,17.5,17.5,17.4,17.5,6506,0.0,1.0
2009-12-22,17.4,17.4,17.4,17.4,6838,0.0,1.0
2009-12-23,16.0,17.0,16.0,17.0,1204,0.0,1.0
2009-12-24,17.0,17.0,17.0,17.0,404,0.0791,1.0
2009-12-28,17.75,17.75,17.36,17.75,34502,0.0,1.0
2009-12-29,17.5,18.0,17.4,18.0,20941,0.0,1.0
2009-12-30,17.5,17.5,16.5,17.5,4996,0.0,1.0
2009-12-31,18.0,18.0,18.0,18.0,9775,0.0,1.0
2010-01-04,18.25,18.25,18.25,18.25,10584,0.0,1.0
2010-01-05,18.25,18.25,17.25,18.25,79405,0.0,1.0
2010-01-06,17.5,18.25,17.5,18.25,3919,0.0,1.0
2010-01-07,18.0,18.0,17.0,17.38,81142,0.0,1.0
2010-01-08,17.25,18.0,17.25,18.0,2275,0.0,1.0
2010-01-11,18.0,18.5,18.0,18.25,9135,0.0,1.0
2010-01-12,17.5,18.25,17.5,17.5,4855,0.0,1.0
2010-01-13,17.95,18.25,17.85,18.25,3138,0.0,1.0
2010-01-14,17.9,17.95,17.2,17.9,13801,0.0,1.0
2010-01-15,17.9,17.92,17.3,17.5,41817,0.0,1.0
2010-01-19,16.75,17.5,16.75,17.5,13354,0.0,1.0
2010-01-20,17.5,17.5,16.5,17.3,4433,0.0,1.0
2010-01-21,17.15,17.2,15.75,15.75,11162,0.0,1.0
2010-01-22,16.4,16.4,16.0,16.4,26941,0.0,1.0
2010-01-25,16.5,17.0,16.5,17.0,4524,0.0,1.0
2010-01-26,16.0,17.0,15.65,15.9,33819,0.0,1.0
2010-01-27,18.4,18.7,14.5,14.5,680501,0.0,1.0
2010-01-28,18.4,18.7,14.5,15.4,698901,0.0,1.0
2010-01-29,15.4,15.65,15.0,15.5,598836,0.0,1.0
2010-02-01,15.75,17.25,15.6,16.65,984810,0.0,1.0
2010-02-02,17.25,17.3,16.75,17.05,676868,0.0,1.0
2010-02-03,16.8,17.25,16.4,16.55,743783,0.0,1.0
2010-02-04,16.1,16.25,15.0,15.9,905923,0.0,1.0
2010-02-05,15.5,15.8,14.8,15.0,887140,0.0,1.0
2010-02-08,15.0,15.54,15.0,15.4,43431,0.0,1.0
2010-02-09,16.0,17.05,16.0,16.72,62630,0.0,1.0
2010-02-10,15.9,16.55,15.9,16.55,7705,0.0,1.0
2010-02-11,16.69,17.39,16.33,17.3,78068,0.0,1.0
2010-02-12,16.49,16.95,16.0,16.32,13829,0.0,1.0
2010-02-16,16.6,17.34,16.5,17.2,10342,0.0,1.0
2010-02-17,17.34,17.56,16.85,17.16,15741,0.0,1.0
2010-02-18,16.75,17.61,16.5,16.67,37670,0.0,1.0
2010-02-19,16.5,17.89,16.5,17.89,10122,0.0,1.0
2010-02-22,17.75,17.75,16.85,17.0,7640,0.0,1.0
2010-02-23,16.51,17.2,16.39,16.87,16797,0.0,1.0
2010-02-24,16.41,16.95,16.41,16.57,12498,0.0,1.0
2010-02-25,16.57,16.76,16.05,16.3,9841,0.0,1.0
2010-02-26,16.75,16.85,16.45,16.54,4188,0.0,1.0
2010-03-01,16.4,17.37,16.4,16.9,22276,0.0,1.0
2010-03-02,17.0,17.47,16.9,16.9,34886,0.0,1.0
2010-03-03,17.0,17.25,16.6,16.68,61622,0.0031,1.0
2010-03-04,16.67,16.94,16.51,16.78,55093,0.0,1.0
2010-03-05,16.81,17.18,16.81,17.14,81721,0.0,1.0
2010-03-08,16.85,17.36,16.85,16.91,133336,0.0,1.0
2010-03-09,17.08,17.5,16.95,17.2,56206,0.0,1.0
2010-03-10,17.18,17.5,17.18,17.45,31705,0.0,1.0
2010-03-11,17.15,17.55,17.15,17.55,47651,0.0,1.0
2010-03-12,17.73,17.73,17.24,17.24,12817,0.0,1.0
2010-03-15,17.41,17.52,17.22,17.52,40529,0.0,1.0
2010-03-16,17.48,17.6,17.34,17.44,41960,0.0,1.0
2010-03-17,17.5,17.79,17.27,17.39,43992,0.0,1.0
2010-03-18,17.29,17.29,16.88,17.07,26042,0.0,1.0
2010-03-19,17.0,17.08,16.74,16.75,11643,0.0,1.0
2010-03-22,16.71,16.99,16.64,16.85,13762,0.0,1.0
2010-03-23,16.71,17.0,16.66,16.94,27673,0.0,1.0
2010-03-24,16.7,16.98,16.61,16.8,52080,0.0,1.0
2010-03-25,16.69,16.9,16.65,16.7,15179,0.0827,1.0
2010-03-26,16.49,17.1,16.0,16.51,10513,0.0,1.0
2010-03-29,16.96,16.99,16.76,16.83,6885,0.0,1.0
2010-03-30,16.87,17.2,16.78,17.2,18848,0.0,1.0
2010-03-31,16.84,17.21,16.84,16.86,11976,0.0,1.0
2010-04-01,17.25,17.36,16.9,17.0,18322,0.0,1.0
2010-04-05,17.3,17.3,17.0,17.24,19655,0.0,1.0
2010-04-06,17.29,17.54,17.15,17.45,25699,0.0,1.0
2010-04-07,17.26,17.51,17.03,17.39,17153,0.0,1.0
2010-04-08,17.24,17.69,16.85,17.49,10638,0.0,1.0
2010-04-09,17.77,17.89,17.55,17.71,12191,0.0,1.0
2010-04-12,17.9,18.14,17.73,18.0,11671,0.0,1.0
2010-04-13,17.87,18.14,17.75,17.85,31823,0.0,1.0
2010-04-14,17.55,17.83,17.55,17.64,15327,0.0,1.0
2010-04-15,17.64,18.31,17.64,18.06,15879,0.0,1.0
2010-04-16,18.01,18.01,17.55,17.83,14112,0.0,1.0
2010-04-19,17.59,17.77,17.41,17.6,46097,0.0,1.0
2010-04-20,17.6,17.67,17.34,17.59,22415,0.0,1.0
2010-04-21,17.5,17.57,17.35,17.5,34859,0.0,1.0
2010-04-22,17.29,17.29,16.92,17.21,70578,0.0,1.0
2010-04-23,17.03,17.41,17.01,17.41,7781,0.0,1.0
2010-04-26,17.54,17.61,17.27,17.27,19023,0.0,1.0
2010-04-27,17.34,17.34,16.6,16.82,28092,0.0,1.0
2010-04-28,16.94,17.29,16.5,17.0,14822,0.0,1.0
2010-04-29,17.4,17.79,17.17,17.74,15783,0.0,1.0
2010-04-30,17.66,17.86,17.52,17.52,7906,0.0,1.0
2010-05-03,17.69,17.75,17.4,17.51,14430,0.0,1.0
2010-05-04,16.82,16.97,16.18,16.18,39287,0.0,1.0
2010-05-05,16.15,16.49,15.87,16.06,20945,0.0,1.0
2010-05-06,15.93,16.16,14.95,15.32,17204,0.0,1.0
2010-05-07,15.2,15.43,14.5,14.99,21111,0.0,1.0
2010-05-10,16.29,16.56,15.95,16.56,19540,0.0,1.0
2010-05-11,16.28,16.38,15.85,15.88,47708,0.0,1.0
2010-05-12,16.2,16.2,15.79,16.2,31546,0.0,1.0
2010-05-13,15.95,16.07,15.81,15.81,10253,0.0,1.0
2010-05-14,15.55,15.55,14.88,14.95,15284,0.0,1.0
2010-05-17,14.83,15.36,14.65,14.9,7533,0.0,1.0
2010-05-18,15.5,15.69,15.0,15.0,16422,0.0,1.0
2010-05-19,14.5,14.51,14.13,14.2,37045,0.0,1.0
2010-05-20,13.7,14.26,13.35,14.15,125718,0.0,1.0
2010-05-21,13.39,14.22,13.35,13.82,21574,0.0,1.0
2010-05-24,14.1,14.29,13.75,13.9,16634,0.1,1.0
2010-05-25,12.98,13.85,12.92,13.73,28358,0.0881,1.0
2010-05-26,13.72,14.3,13.47,13.9,37591,0.0,1.0
2010-05-27,14.18,14.86,14.18,14.5,63457,0.0,1.0
2010-05-28,14.45,14.57,14.17,14.55,187982,0.0,1.0
2010-06-01,14.46,14.83,14.2,14.38,24280,0.0,1.0
2010-06-02,14.53,14.95,14.19,14.95,12827,0.0,1.0
2010-06-03,15.14,15.75,14.71,15.2,118156,0.0,1.0
2010-06-04,14.55,15.3,14.5,14.5,73550,0.0,1.0
2010-06-07,14.36,14.62,14.2,14.28,101581,0.0,1.0
2010-06-08,14.16,14.76,14.16,14.49,31687,0.0,1.0
2010-06-09,14.71,14.85,14.47,14.83,50689,0.0,1.0
2010-06-10,14.76,15.35,14.76,15.11,16348,0.0,1.0
2010-06-11,14.9,15.24,14.84,15.22,62543,0.0,1.0
2010-06-14,15.34,15.59,15.06,15.3,71557,0.0,1.0
2010-06-15,15.2,15.61,15.2,15.4,14783,0.0,1.0
2010-06-16,15.15,15.69,15.15,15.45,11392,0.0,1.0
2010-06-17,15.5,15.92,15.36,15.69,79974,0.0,1.0
2010-06-18,15.5,15.99,15.3,15.84,99465,0.0,1.0
2010-06-21,15.7,16.5,15.7,16.4,145885,0.0,1.0
2010-06-22,16.5,16.9,15.95,15.95,106553,0.0,1.0
2010-06-23,15.86,15.9,15.48,15.6,6276,0.0,1.0
2010-06-24,15.56,16.02,15.1,15.95,48739,0.0,1.0
2010-06-25,15.63,15.95,15.33,15.48,34430,0.0,1.0
2010-06-28,15.43,15.6,15.13,15.4,81145,0.0,1.0
2010-06-29,14.75,15.09,14.25,14.35,67566,0.0,1.0
2010-06-30,14.65,14.65,14.0,14.0,114452,0.0,1.0
2010-07-01,14.55,15.16,14.35,15.02,120561,0.0,1.0
2010-07-02,15.15,15.22,14.74,15.22,546010,0.0,1.0
2010-07-06,15.09,15.51,15.08,15.31,18556,0.0,1.0
2010-07-07,15.16,16.15,15.16,16.14,29690,0.0,1.0
2010-07-08,15.91,16.28,15.91,15.91,13358,0.0,1.0
2010-07-09,15.73,16.17,15.5,15.95,15619,0.0,1.0
2010-07-12,15.86,16.34,15.86,16.04,496169,0.0,1.0
2010-07-13,16.18,16.78,16.18,16.78,512081,0.0,1.0
2010-07-14,16.56,16.56,16.1,16.45,104650,0.0,1.0
2010-07-15,16.27,16.57,16.18,16.5,54081,0.0,1.0
2010-07-16,16.63,16.63,15.9,16.07,49038,0.0,1.0
2010-07-19,16.1,16.26,15.88,16.05,457143,0.0,1.0
2010-07-20,16.0,16.3,16.0,16.25,16624,0.0,1.0
2010-07-21,16.16,16.41,16.0,16.05,279999,0.0,1.0
2010-07-22,16.49,16.93,16.49,16.75,25232,0.0,1.0
2010-07-23,16.73,17.0,16.58,16.84,15407,0.0,1.0
2010-07-26,16.92,17.0,16.57,16.61,14976,0.0,1.0
2010-07-27,16.7,16.8,16.32,16.32,102525,0.0,1.0
2010-07-28,16.4,17.05,16.38,16.94,57566,0.0,1.0
2010-07-29,17.1,17.44,17.09,17.19,23643,0.0,1.0
2010-07-30,16.95,17.69,16.95,17.69,22869,0.0,1.0
2010-08-02,17.69,17.87,17.5,17.7,93658,0.0,1.0
2010-08-03,17.68,17.68,17.1,17.21,83641,0.0,1.0
2010-08-04,17.15,17.25,16.93,17.02,111517,0.0,1.0
2010-08-05,16.76,17.43,16.76,17.42,16797,0.0,1.0
2010-08-06,17.29,17.52,17.16,17.49,34503,0.0,1.0
