date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,20.81,20.81,20.25,20.31,117900,0.0,1.0
1999-11-02,19.94,20.31,19.94,20.19,31300,0.1479,1.0
1999-11-03,20.5,20.63,20.44,20.63,152600,0.0,1.0
1999-11-04,21.25,21.5,21.25,21.31,14400,0.0,1.0
1999-11-05,21.44,21.44,20.75,20.75,53400,0.0,1.0
1999-11-08,20.5,20.63,20.38,20.56,38200,0.0,1.0
1999-11-09,20.63,20.88,20.63,20.63,21400,0.0,1.0
1999-11-10,21.13,21.44,21.0,21.25,21000,0.0,1.0
1999-11-11,21.5,21.63,21.44,21.5,30700,0.0,1.0
1999-11-12,22.0,22.19,21.94,22.06,25800,0.0,1.0
1999-11-15,22.63,22.63,22.44,22.63,30100,0.0,1.0
1999-11-16,22.81,23.25,22.81,23.25,60500,0.0,1.0
1999-11-17,23.13,23.13,22.75,22.94,76400,0.0,1.0
1999-11-18,23.44,23.5,23.38,23.44,35900,0.0,1.0
1999-11-19,23.5,23.63,23.44,23.63,51600,0.0,1.0
1999-11-22,23.56,23.56,23.44,23.5,152400,0.0,1.0
1999-11-23,23.38,23.38,23.13,23.25,140400,0.0,1.0
1999-11-24,22.5,22.75,22.38,22.69,244900,0.0,1.0
1999-11-26,22.63,22.75,22.56,22.75,42100,0.0,1.0
1999-11-29,22.63,23.0,22.56,23.0,64600,0.0,1.0
1999-11-30,22.13,22.25,21.75,21.88,22500,0.0,1.0
1999-12-01,22.13,22.25,21.88,22.13,48900,0.0,1.0
1999-12-02,22.5,22.75,22.44,22.69,40400,0.0,1.0
1999-12-03,22.94,23.0,22.75,23.0,36300,0.0,1.0
1999-12-06,22.75,22.75,22.19,22.31,118100,0.0,1.0
1999-12-07,22.25,22.44,22.25,22.38,75100,0.0,1.0
1999-12-08,22.13,22.38,22.0,22.25,18500,0.0,1.0
1999-12-09,22.44,22.63,22.38,22.38,16300,0.0,1.0
1999-12-10,22.38,22.38,22.19,22.31,11500,0.0,1.0
1999-12-13,22.25,22.25,21.75,22.0,68900,0.0,1.0
1999-12-14,22.31,22.63,22.31,22.5,58200,0.0,1.0
1999-12-15,22.75,23.38,22.63,23.25,41700,0.0,1.0
1999-12-16,23.94,24.25,23.94,24.25,214100,0.0,1.0
1999-12-17,25.12,25.5,25.06,25.37,355600,0.0,1.0
1999-12-20,25.75,26.0,25.63,25.88,489000,0.0,1.0
1999-12-21,25.5,25.69,25.44,25.56,98900,0.0,1.0
1999-12-22,25.31,25.63,25.06,25.38,56300,0.0,1.0
1999-12-23,25.63,25.94,25.63,25.94,42900,0.0,1.0
1999-12-27,25.5,25.81,25.5,25.5,40200,0.0,1.0
1999-12-28,25.69,25.88,25.44,25.88,50100,0.0,1.0
1999-12-29,25.81,26.13,25.81,26.06,47000,0.0,1.0
1999-12-30,26.0,26.25,25.75,26.25,32200,0.0,1.0
1999-12-31,26.25,26.56,26.13,26.56,26200,0.0,1.0
2000-01-03,26.56,26.56,25.88,25.88,57600,0.0,1.0
2000-01-04,27.06,27.06,26.63,26.81,94500,0.0,1.0
2000-01-05,26.75,27.0,26.5,26.94,198400,0.0,1.0
2000-01-06,26.88,27.0,26.38,26.69,40800,0.0,1.0
2000-01-07,27.5,28.5,27.5,28.5,247600,0.0,1.0
2000-01-10,28.25,28.5,28.06,28.25,86100,0.0,1.0
2000-01-11,27.25,27.5,26.94,27.0,56100,0.0,1.0
2000-01-12,27.13,27.25,26.75,27.06,133600,0.0,1.0
2000-01-13,27.31,27.31,26.88,27.25,76400,0.0,1.0
2000-01-14,27.19,27.25,27.13,27.25,17500,0.0,1.0
2000-01-18,26.5,26.75,26.06,26.75,53800,0.0,1.0
2000-01-19,26.31,26.31,25.88,26.19,35100,0.0,1.0
2000-01-20,26.5,27.06,26.5,26.88,23300,0.0,1.0
2000-01-21,26.38,26.38,26.0,26.0,46800,0.0,1.0
2000-01-24,25.75,25.75,25.25,25.25,149500,0.0,1.0
2000-01-25,25.38,25.75,25.25,25.25,26000,0.0,1.0
2000-01-26,25.25,25.44,24.94,24.94,46800,0.0,1.0
2000-01-27,24.75,25.0,24.5,24.69,37100,0.0,1.0
2000-01-28,24.75,24.75,23.88,23.88,29100,0.0,1.0
2000-01-31,23.63,23.88,23.31,23.69,106300,0.0,1.0
2000-02-01,23.69,23.75,23.38,23.75,53200,0.0,1.0
2000-02-02,23.75,23.75,23.63,23.63,53200,0.0,1.0
2000-02-03,23.69,23.69,23.25,23.38,15400,0.0,1.0
2000-02-04,23.38,23.63,22.88,23.63,27200,0.0,1.0
2000-02-07,23.75,24.0,23.38,23.44,137500,0.0,1.0
2000-02-08,24.0,24.13,23.75,23.81,25800,0.0,1.0
2000-02-09,23.06,23.06,22.75,22.75,49100,0.0,1.0
2000-02-10,22.38,22.38,22.13,22.31,22500,0.0,1.0
2000-02-11,21.75,22.13,21.75,21.94,51600,0.0,1.0
2000-02-14,21.31,21.94,21.31,21.69,59600,0.0,1.0
2000-02-15,22.13,22.44,21.94,22.19,103800,0.0,1.0
2000-02-16,21.75,22.0,21.56,22.0,35100,0.0,1.0
2000-02-17,21.69,21.88,21.5,21.88,122200,0.0,1.0
2000-02-18,21.25,21.38,20.88,21.06,59400,0.0,1.0
2000-02-22,21.13,21.69,21.13,21.63,239700,0.0,1.0
2000-02-23,20.75,20.88,20.5,20.63,198800,0.0,1.0
2000-02-24,20.63,21.5,20.63,20.81,393600,0.0,1.0
2000-02-25,20.75,21.31,20.75,21.06,248600,0.0,1.0
2000-02-28,19.88,20.0,19.63,19.94,127200,0.0,1.0
2000-02-29,19.94,20.0,19.69,20.0,226500,0.0,1.0
2000-03-01,19.75,19.88,19.69,19.88,70200,0.0,1.0
2000-03-02,20.13,20.38,20.0,20.25,61300,0.0,1.0
2000-03-03,20.13,20.25,19.88,20.19,30300,0.0,1.0
2000-03-06,19.38,19.38,18.75,18.75,101100,0.0,1.0
2000-03-07,19.63,19.94,19.56,19.88,24500,0.0,1.0
2000-03-08,19.75,20.06,19.63,19.88,58800,0.0,1.0
2000-03-09,20.63,20.75,20.44,20.75,47400,0.0,1.0
2000-03-10,20.88,20.88,20.63,20.63,46800,0.0,1.0
2000-03-13,20.75,21.13,20.75,20.88,47000,0.0,1.0
2000-03-14,21.75,21.75,21.56,21.56,27600,0.0,1.0
2000-03-15,21.38,21.81,21.31,21.75,50100,0.0,1.0
2000-03-16,22.13,22.63,22.13,22.44,99100,0.0,1.0
2000-03-17,22.0,22.0,21.38,21.44,20800,0.0,1.0
2000-03-20,21.75,22.06,21.44,21.94,99300,0.0,1.0
2000-03-21,21.75,21.94,21.56,21.56,46600,0.0,1.0
2000-03-22,21.56,21.75,21.38,21.75,107500,0.0,1.0
2000-03-23,21.13,21.5,21.06,21.5,50800,0.0,1.0
2000-03-24,21.0,21.56,21.0,21.56,29500,0.0,1.0
2000-03-27,21.19,21.5,21.13,21.38,170300,0.0,1.0
2000-03-28,21.38,21.75,21.25,21.56,36300,0.0,1.0
2000-03-29,21.38,21.88,21.31,21.88,43900,0.0,1.0
2000-03-30,21.88,22.13,21.75,22.13,19600,0.0,1.0
2000-03-31,21.5,21.81,21.5,21.75,64600,0.0,1.0
