date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,21.13,21.13,21.13,21.13,0,0.0,1.0
1999-11-02,21.13,21.25,21.13,21.19,9700,0.0,1.0
1999-11-03,21.38,21.75,21.38,21.75,14400,0.0,1.0
1999-11-04,21.75,21.75,21.25,21.5,3800,0.0,1.0
1999-11-05,21.75,21.75,21.0,21.13,32400,0.0,1.0
1999-11-08,21.56,21.56,20.88,20.88,25200,0.0,1.0
1999-11-09,21.13,21.13,21.13,21.13,2500,0.0,1.0
1999-11-10,21.0,21.75,21.0,21.75,9000,0.0,1.0
1999-11-11,21.69,21.72,21.69,21.69,700,0.0,1.0
1999-11-12,21.75,21.75,21.69,21.69,3900,0.0,1.0
1999-11-15,21.72,21.75,21.0,21.0,8800,0.0,1.0
1999-11-16,21.38,21.75,21.0,21.5,17400,0.0,1.0
1999-11-17,21.13,21.63,21.13,21.56,17300,0.0,1.0
1999-11-18,21.63,21.75,21.58,21.75,36900,0.0,1.0
1999-11-19,21.75,21.75,21.19,21.5,21800,0.0,1.0
1999-11-22,21.44,21.44,21.25,21.31,4000,0.0,1.0
1999-11-23,21.31,21.56,21.31,21.56,11300,0.0,1.0
1999-11-24,21.25,21.25,21.25,21.25,200,0.0,1.0
1999-11-26,21.75,21.75,21.25,21.25,5600,0.0,1.0
1999-11-29,21.25,21.25,21.25,21.25,400,0.0,1.0
1999-11-30,21.25,21.38,21.25,21.31,23400,0.0,1.0
1999-12-01,21.19,21.25,20.81,20.81,16200,0.0,1.0
1999-12-02,20.88,21.13,20.44,20.5,68300,0.0,1.0
1999-12-03,20.81,20.88,20.81,20.83,2600,0.0,1.0
1999-12-06,20.81,20.81,19.88,20.0,12100,0.0,1.0
1999-12-07,20.25,20.5,19.38,19.94,12200,0.0,1.0
1999-12-08,19.25,20.0,19.25,20.0,7900,0.0,1.0
1999-12-09,20.0,20.25,20.0,20.0,19000,0.0,1.0
1999-12-10,20.25,20.25,19.5,20.0,38300,0.0,1.0
1999-12-13,19.88,20.88,19.69,20.88,30900,0.0,1.0
1999-12-14,20.38,20.81,19.88,20.81,12300,0.0,1.0
1999-12-15,20.56,20.94,20.56,20.88,10000,0.0,1.0
1999-12-16,20.63,21.0,20.63,20.69,25100,0.0,1.0
1999-12-17,21.0,21.0,20.81,20.94,39500,0.0,1.0
1999-12-20,20.88,20.94,20.0,20.5,17700,0.0,1.0
1999-12-21,20.94,20.94,19.81,19.81,11200,0.0,1.0
1999-12-22,20.88,20.94,20.0,20.5,26900,0.0,1.0
1999-12-23,20.25,20.5,20.25,20.44,12900,0.0,1.0
1999-12-27,20.94,20.94,20.0,20.94,8800,0.0,1.0
1999-12-28,20.94,20.94,20.39,20.75,14000,0.0,1.0
1999-12-29,20.91,20.94,19.75,20.19,22500,0.0,1.0
1999-12-30,20.03,20.94,20.03,20.94,10400,0.0,1.0
1999-12-31,20.2,20.2,20.2,20.2,1400,0.0,1.0
2000-01-03,20.19,20.94,19.94,20.44,23100,0.0,1.0
2000-01-04,19.97,20.0,19.94,19.94,2700,0.0,1.0
2000-01-05,19.69,20.5,19.69,20.5,5300,0.0,1.0
