date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,12.46,12.46,12.46,12.46,15279,0.0,1.0
2007-07-16,12.46,12.46,12.46,12.46,0,0.0,1.0
2007-07-17,12.46,12.46,12.46,12.46,0,0.0,1.0
2007-07-18,12.34,12.34,12.25,12.34,3999,0.0,1.0
2007-07-19,12.34,12.34,12.34,12.34,0,0.0,1.0
2007-07-20,12.34,12.34,12.34,12.34,0,0.0,1.0
2007-07-23,12.34,12.34,12.34,12.34,0,0.0,1.0
2007-07-24,12.0,12.0,12.0,12.0,625,0.0,1.0
2007-07-25,11.9,11.9,11.9,11.9,246,0.0,1.0
2007-07-26,11.9,11.9,11.9,11.9,0,0.0,1.0
2007-07-27,11.9,11.9,11.9,11.9,0,0.0,1.0
2007-07-30,11.9,11.9,11.9,11.9,0,0.0,1.0
2007-07-31,11.9,11.9,11.9,11.9,0,0.0,1.0
2007-08-01,11.9,11.9,11.9,11.9,0,0.0,1.0
2007-08-02,11.25,11.25,11.25,11.25,6638,0.0,1.0
2007-08-03,11.2,11.2,11.2,11.2,1400,0.0,1.0
2007-08-06,11.2,11.2,11.2,11.2,0,0.0,1.0
2007-08-07,11.13,11.13,11.0,11.13,1200,0.0,1.0
2007-08-08,11.13,11.13,11.13,11.13,0,0.6495,1.0
2007-08-09,11.13,11.13,11.13,11.13,0,0.0,1.0
2007-08-10,10.77,10.77,10.77,10.77,1230,0.0,1.0
2007-08-13,10.77,10.77,10.77,10.77,0,0.0,1.0
2007-08-14,10.77,10.77,10.77,10.77,0,0.0,1.0
2007-08-15,10.7,10.7,10.7,10.7,9050,0.0,1.0
2007-08-16,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-17,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-20,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-21,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-22,10.7,10.7,10.7,10.7,1000,0.0,1.0
2007-08-23,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-24,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-27,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-28,10.7,10.7,10.7,10.7,0,0.0,1.0
2007-08-29,10.8,10.8,10.8,10.8,2130,0.0,1.0
2007-08-30,10.8,10.8,10.8,10.8,0,0.0,1.0
2007-08-31,10.8,10.8,10.8,10.8,0,0.0,1.0
2007-09-04,11.05,11.05,11.05,11.05,200,0.0,1.0
2007-09-05,11.05,11.05,11.05,11.05,0,0.0,1.0
2007-09-06,11.05,11.05,11.05,11.05,0,0.0,1.0
2007-09-07,11.6,11.6,11.6,11.6,200,0.0,1.0
2007-09-10,11.6,11.6,11.6,11.6,0,0.0,1.0
2007-09-11,11.65,11.65,11.56,11.65,450,0.0,1.0
2007-09-12,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-13,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-14,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-17,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-18,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-19,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-20,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-21,11.65,11.65,11.65,11.65,0,0.0,1.0
2007-09-24,11.75,11.81,11.75,11.75,13844,0.0,1.0
2007-09-25,11.75,11.75,11.75,11.75,0,0.0,1.0
2007-09-26,11.27,11.65,11.27,11.27,8950,0.0,1.0
2007-09-27,11.3,11.4,11.3,11.3,1272,0.0,1.0
2007-09-28,11.3,11.3,11.3,11.3,0,0.0,1.0
2007-10-01,11.4,11.4,11.4,11.4,9301,0.0,1.0
2007-10-02,11.38,11.38,11.38,11.38,5000,0.0,1.0
2007-10-03,11.38,11.38,11.38,11.38,0,0.0,1.0
2007-10-04,11.4,11.4,11.4,11.4,608530,0.0,1.0
2007-10-05,11.4,11.4,11.4,11.4,0,0.0,1.0
2007-10-08,11.4,11.4,11.4,11.4,0,0.0,1.0
2007-10-09,11.4,11.4,11.4,11.4,0,0.0,1.0
2007-10-10,11.4,11.4,11.4,11.4,0,0.0,1.0
2007-10-11,12.0,12.0,12.0,12.0,10563,0.0,1.0
2007-10-12,12.5,12.6,12.3,12.5,1998,0.0,1.0
2007-10-15,12.55,12.65,12.55,12.55,4175,0.0,1.0
2007-10-16,12.6,12.6,12.6,12.6,1500,0.0,1.0
2007-10-17,12.6,12.6,12.6,12.6,0,0.0,1.0
2007-10-18,12.6,12.6,12.6,12.6,0,0.0,1.0
2007-10-19,12.6,12.6,12.6,12.6,0,0.0,1.0
2007-10-22,12.15,12.15,12.15,12.15,268,0.0,1.0
2007-10-23,12.45,12.45,12.4,12.45,3400,0.0,1.0
2007-10-24,12.45,12.45,12.45,12.45,0,0.0,1.0
2007-10-25,12.61,12.61,12.61,12.61,4352,0.0,1.0
2007-10-26,12.85,12.85,12.85,12.85,10000,0.0,1.0
2007-10-29,12.85,12.85,12.85,12.85,0,0.0,1.0
2007-10-30,12.85,12.85,12.85,12.85,0,0.0,1.0
2007-10-31,12.92,12.92,12.78,12.92,1368,0.0,1.0
2007-11-01,12.92,12.92,12.92,12.92,0,0.0,1.0
2007-11-02,13.0,13.0,13.0,13.0,300,0.0,1.0
2007-11-05,13.0,13.0,13.0,13.0,4788,0.0,1.0
2007-11-06,13.0,13.0,13.0,13.0,0,0.0,1.0
2007-11-07,13.0,13.0,13.0,13.0,500,0.6495,1.0
2007-11-08,13.0,13.0,13.0,13.0,0,0.0,1.0
2007-11-09,12.4,12.4,12.4,12.4,3296,0.0,1.0
2007-11-12,12.4,12.4,12.4,12.4,0,0.0,1.0
2007-11-13,11.95,12.0,11.95,11.95,1689,0.0,1.0
2007-11-14,11.95,11.95,11.95,11.95,0,0.0,1.0
2007-11-15,11.9,11.9,11.9,11.9,298,0.0,1.0
2007-11-16,11.75,11.75,11.75,11.75,372,0.0,1.0
2007-11-19,11.8,11.8,11.72,11.8,605000,0.0,1.0
2007-11-20,11.8,11.8,11.8,11.8,0,0.0,1.0
2007-11-21,11.8,11.8,11.8,11.8,605000,0.0,1.0
2007-11-23,11.8,11.8,11.7,11.8,605000,0.0,1.0
2007-11-26,11.7,11.7,11.7,11.7,2500,0.0,1.0
2007-11-27,11.7,11.7,11.7,11.7,0,0.0,1.0
2007-11-28,11.9,11.9,11.85,11.9,2250,0.0,1.0
2007-11-29,11.95,11.95,11.95,11.95,210,0.0,1.0
2007-11-30,12.05,12.05,11.95,12.05,1000,0.0,1.0
2007-12-03,12.05,12.05,11.95,12.05,0,0.0,1.0
2007-12-04,12.1,12.14,12.1,12.1,5388,0.0,1.0
2007-12-05,12.15,12.15,12.15,12.15,100,0.0,1.0
2007-12-06,12.0,12.25,12.0,12.0,6810,0.0,1.0
2007-12-07,12.4,12.4,12.4,12.4,3966,0.0,1.0
2007-12-10,12.4,12.4,12.4,12.4,0,0.0,1.0
2007-12-11,12.63,12.63,12.63,12.63,1000,0.0,1.0
2007-12-12,12.63,12.63,12.63,12.63,0,0.0,1.0
2007-12-13,12.2,12.6,12.2,12.2,2095,0.0,1.0
2007-12-14,12.3,12.3,12.3,12.3,300,0.0,1.0
2007-12-17,12.2,12.2,12.2,12.2,158,0.0,1.0
2007-12-18,12.2,12.2,12.2,12.2,0,0.0,1.0
2007-12-19,12.2,12.2,12.2,12.2,0,0.0,1.0
2007-12-20,12.0,12.0,12.0,12.0,12122,0.0,1.0
2007-12-21,12.23,12.29,12.23,12.23,36147,0.0,1.0
2007-12-24,12.23,12.29,12.23,12.23,0,0.0,1.0
2007-12-26,12.05,12.05,12.05,12.05,3925,0.0,1.0
2007-12-27,12.27,12.27,12.27,12.27,16174,0.0,1.0
2007-12-28,12.25,12.25,12.15,12.25,903,0.0,1.0
2007-12-31,12.25,12.25,12.25,12.25,0,0.0,1.0
2008-01-02,12.25,12.25,12.25,12.25,0,0.0,1.0
2008-01-03,12.25,12.25,12.25,12.25,0,0.0,1.0
2008-01-04,12.25,12.54,12.25,12.25,4436,0.0,1.0
2008-01-07,12.4,12.4,12.4,12.4,259,0.0,1.0
2008-01-08,12.4,12.4,12.4,12.4,0,0.0,1.0
2008-01-09,11.82,11.82,11.82,11.82,2000,0.0,1.0
2008-01-10,11.75,11.75,11.75,11.75,590,0.0,1.0
2008-01-11,11.75,11.75,11.75,11.75,0,0.0,1.0
2008-01-14,11.55,11.55,11.55,11.55,300,0.0,1.0
2008-01-15,11.0,11.0,11.0,11.0,1205,0.0,1.0
2008-01-16,11.0,11.0,11.0,11.0,0,0.0,1.0
2008-01-17,11.0,11.0,11.0,11.0,0,0.0,1.0
2008-01-18,10.7,10.9,10.7,10.7,2188,0.0,1.0
2008-01-22,10.7,10.9,10.7,10.7,0,0.0,1.0
2008-01-23,9.45,9.45,9.45,9.45,4070,0.0,1.0
2008-01-24,9.45,9.45,9.45,9.45,0,0.0,1.0
2008-01-25,9.45,9.45,9.45,9.45,0,0.0,1.0
2008-01-28,10.48,10.48,10.35,10.48,12926,0.0,1.0
2008-01-29,10.45,10.56,10.4,10.45,151857,0.0,1.0
2008-01-30,10.34,10.35,10.34,10.34,3352,0.0,1.0
2008-01-31,10.34,10.34,10.34,10.34,0,0.0,1.0
2008-02-01,10.44,10.44,10.44,10.44,27725,0.0,1.0
2008-02-04,10.65,10.65,10.65,10.65,807,0.0,1.0
2008-02-05,10.55,10.55,10.55,10.55,636,0.0,1.0
2008-02-06,10.55,10.58,10.55,10.55,2255,0.0,1.0
2008-02-07,10.3,10.3,10.3,10.3,1968,0.0,1.0
2008-02-08,10.5,10.5,10.5,10.5,372,0.0,1.0
2008-02-11,10.55,10.55,10.55,10.55,965,0.0,1.0
2008-02-12,10.95,10.95,10.85,10.95,3784,0.0,1.0
2008-02-13,10.9,10.9,10.9,10.9,150,0.0,1.0
2008-02-14,10.9,10.9,10.9,10.9,0,0.0,1.0
2008-02-15,10.9,10.9,10.9,10.9,0,0.0,1.0
2008-02-19,10.9,10.9,10.9,10.9,0,0.0,1.0
2008-02-20,10.9,10.9,10.9,10.9,0,0.8115,1.0
2008-02-21,10.65,10.65,10.65,10.65,3669,0.0,1.0
2008-02-22,10.89,10.89,10.89,10.89,25000,0.0,1.0
2008-02-25,10.95,10.95,10.95,10.95,150,0.0,1.0
2008-02-26,10.95,10.95,10.95,10.95,0,0.0,1.0
2008-02-27,10.95,10.95,10.95,10.95,0,0.0,1.0
2008-02-28,10.95,10.95,10.95,10.95,0,0.0,1.0
2008-02-29,10.75,10.75,10.6,10.75,5840,0.0,1.0
2008-03-03,10.75,10.75,10.75,10.75,0,0.0,1.0
2008-03-04,10.5,10.58,10.45,10.5,153222,0.0,1.0
2008-03-05,10.95,10.95,10.5,10.95,0,0.0,1.0
2008-03-06,10.95,10.95,10.5,10.95,0,0.0,1.0
2008-03-07,10.95,10.95,10.5,10.95,1800,0.0,1.0
2008-03-10,10.95,10.95,10.5,10.95,0,0.0,1.0
2008-03-11,10.7,10.85,10.65,10.7,5116,0.0,1.0
2008-03-12,10.95,10.95,10.9,10.95,1700,0.0,1.0
2008-03-13,10.95,10.95,10.9,10.95,0,0.0,1.0
2008-03-14,10.95,10.95,10.9,10.95,0,0.0,1.0
2008-03-17,10.95,10.95,10.9,10.95,0,0.0,1.0
2008-03-18,10.95,10.95,10.4,10.95,1781,0.0,1.0
2008-03-19,10.95,10.95,10.5,10.95,2900,0.0,1.0
2008-03-20,10.95,10.95,10.5,10.95,0,0.0,1.0
2008-03-24,10.95,10.95,10.5,10.95,0,0.0,1.0
2008-03-25,10.95,10.95,10.15,10.95,1200,0.0,1.0
2008-03-26,10.95,10.95,10.15,10.95,0,0.0,1.0
2008-03-27,10.95,10.95,10.15,10.95,0,0.0,1.0
2008-03-28,10.95,10.95,10.0,10.95,5150,0.0,1.0
2008-03-31,10.95,10.95,10.0,10.95,0,0.0,1.0
2008-04-01,10.95,10.95,10.0,10.95,433,0.0,1.0
2008-04-02,10.95,10.95,10.0,10.95,0,0.0,1.0
2008-04-03,10.95,10.95,10.0,10.95,0,0.0,1.0
2008-04-04,10.95,10.95,10.0,10.95,0,0.0,1.0
2008-04-07,10.95,10.95,10.5,10.95,433,0.0,1.0
2008-04-08,10.95,10.95,10.4,10.95,6060,0.0,1.0
2008-04-09,10.95,10.95,10.4,10.95,0,0.0,1.0
2008-04-10,10.7,10.75,10.7,10.7,3207,0.0,1.0
2008-04-11,10.7,10.7,10.7,10.7,0,0.0,1.0
2008-04-14,10.8,10.8,10.8,10.8,2018,0.0,1.0
2008-04-15,10.7,10.7,10.7,10.7,167,0.0,1.0
2008-04-16,11.0,11.1,11.0,11.0,400,0.0,1.0
2008-04-28,11.4,11.4,11.4,11.4,1600,0.0,1.0
2008-04-30,12.0,12.0,11.95,12.0,4587,0.0,1.0
2008-05-01,11.75,11.75,11.75,11.75,260,0.0,1.0
2008-05-02,11.9,11.9,11.85,11.9,700,0.0,1.0
2008-05-15,12.0,12.0,12.0,12.0,2743,0.0,1.0
2008-05-16,12.25,12.3,12.25,12.25,4196,0.0,1.0
2008-05-19,12.5,12.5,12.45,12.5,1000,0.0,1.0
2008-05-20,12.5,12.5,12.5,12.5,0,0.0,1.0
2008-05-21,12.7,12.73,12.7,12.7,240500,0.0,1.0
2008-05-29,12.05,12.05,12.0,12.05,5420,0.0,1.0
2008-05-30,12.05,12.05,12.05,12.05,0,0.0,1.0
2008-06-02,11.65,11.65,11.65,11.65,4329,0.0,1.0
2008-06-03,11.75,11.75,11.75,11.75,1432,0.0,1.0
2008-06-10,11.46,11.46,11.45,11.46,1184,0.0,1.0
2008-06-19,11.2,11.2,11.2,11.2,15000,0.0,1.0
2008-06-20,11.1,11.26,11.1,11.1,44918,0.0,1.0
2008-06-23,11.45,11.45,11.1,11.45,28397,0.0,1.0
2008-06-26,11.2,11.2,11.15,11.2,36601,0.0,1.0
2008-06-27,11.1,11.1,11.1,11.1,984,0.0,1.0
2008-07-01,11.25,11.25,11.25,11.25,500,0.0,1.0
2008-07-02,11.12,11.12,11.12,11.12,500,0.0,1.0
2008-07-03,10.95,10.95,10.9,10.95,1980,0.0,1.0
2008-07-07,11.1,11.1,11.1,11.1,1300,0.0,1.0
2008-07-08,10.95,10.95,10.75,10.95,3840,0.0,1.0
2008-07-09,10.95,10.95,10.75,10.95,0,0.0,1.0
2008-07-10,10.6,10.6,10.6,10.6,5040,0.0,1.0
2008-07-11,10.95,10.95,10.85,10.95,1600,0.0,1.0
2008-07-14,10.95,10.95,10.85,10.95,1600,0.0,1.0
2008-07-15,10.95,10.95,10.85,10.95,0,0.0,1.0
2008-07-16,10.95,10.95,10.13,10.95,2700,0.0,1.0
2008-07-17,10.95,10.95,10.13,10.95,0,0.0,1.0
2008-07-18,10.2,10.55,10.18,10.2,318316,0.0,1.0
2008-07-21,10.37,10.37,10.37,10.37,240000,0.0,1.0
2008-07-22,10.95,10.95,10.9,10.95,2000,0.0,1.0
2008-07-23,10.95,10.95,10.9,10.95,0,0.0,1.0
2008-07-24,10.95,10.95,10.9,10.95,0,0.0,1.0
2008-07-25,10.95,10.95,10.2,10.95,2456,0.0,1.0
2008-07-28,10.95,10.95,10.2,10.95,0,0.0,1.0
2008-07-29,10.95,10.95,10.05,10.95,26664,0.0,1.0
2008-07-30,10.95,10.95,10.05,10.95,0,0.0,1.0
2008-07-31,10.95,10.95,10.24,10.95,6368,0.0,1.0
2008-08-01,10.95,10.95,10.24,10.95,0,0.0,1.0
2008-08-04,10.95,10.95,10.24,10.95,0,0.0,1.0
2008-08-05,10.95,10.95,10.24,10.95,0,0.0,1.0
2008-08-06,10.95,10.95,10.24,10.95,0,0.0,1.0
2008-08-07,10.2,10.2,10.2,10.2,2976,0.0,1.0
2008-08-08,9.95,9.95,9.95,9.95,11776,0.0,1.0
2008-08-11,10.95,10.95,10.0,10.95,1552,0.0,1.0
2008-08-12,10.95,10.95,10.0,10.95,0,0.0,1.0
2008-08-13,9.78,9.78,9.78,9.78,3736,0.84,1.0
2008-08-14,10.95,10.95,9.75,10.95,489,0.0,1.0
2008-08-15,10.95,10.95,9.75,10.95,0,0.0,1.0
2008-08-18,10.95,10.95,9.75,10.95,0,0.0,1.0
2008-08-19,10.95,10.95,9.75,10.95,0,0.0,1.0
2008-08-20,10.95,10.95,9.75,10.95,0,0.0,1.0
2008-08-21,10.95,10.95,9.75,10.95,0,0.0,1.0
2008-08-22,10.95,10.95,9.7,10.95,100,0.0,1.0
2008-08-25,10.95,10.95,9.7,10.95,0,0.0,1.0
2008-08-26,10.95,10.95,9.35,10.95,3932,0.0,1.0
2008-08-27,9.35,9.35,9.35,9.35,0,0.0,1.0
2008-08-28,10.95,10.95,9.4,10.95,9840,0.0,1.0
2008-08-29,10.95,10.95,9.4,10.95,0,0.0,1.0
2008-09-02,10.95,10.95,9.4,10.95,0,0.0,1.0
2008-09-03,10.95,10.95,8.9,10.95,2450,0.0,1.0
2008-09-04,9.0,9.0,9.0,9.0,240000,0.0,1.0
2008-09-05,8.68,8.76,8.68,8.68,5466,0.0,1.0
2008-09-08,8.85,9.0,8.85,8.85,695,0.0,1.0
2008-09-09,10.95,10.95,8.75,10.95,300,0.0,1.0
2008-09-10,10.95,10.95,8.75,10.95,0,0.0,1.0
2008-09-11,10.95,10.95,8.65,10.95,645,0.0,1.0
2008-09-12,10.95,10.95,8.65,10.95,0,0.0,1.0
2008-09-15,10.95,10.95,8.65,10.95,110,0.0,1.0
2008-09-16,10.95,10.95,8.2,10.95,1416,0.0,1.0
2008-09-17,10.95,10.95,8.2,10.95,0,0.0,1.0
2008-09-18,8.35,8.35,8.35,8.35,3500,0.0,1.0
2008-09-19,8.89,8.89,8.89,8.89,11021,0.0,1.0
2008-09-22,9.2,9.2,9.15,9.2,1552,0.0,1.0
2008-09-23,9.2,9.2,9.2,9.2,0,0.0,1.0
2008-09-24,8.8,8.8,8.8,8.8,350,0.0,1.0
2008-09-25,9.04,9.04,9.04,9.04,2078,0.0,1.0
2008-09-26,10.95,10.95,9.15,10.95,120,0.0,1.0
2008-09-29,10.95,10.95,9.15,10.95,0,0.0,1.0
2008-09-30,10.95,10.95,9.15,10.95,0,0.0,1.0
2008-10-01,10.95,10.95,9.15,10.95,0,0.0,1.0
2008-10-02,10.95,10.95,9.15,10.95,0,0.0,1.0
2008-10-03,10.95,10.95,8.1,10.95,350,0.0,1.0
2008-10-06,10.95,10.95,8.1,10.95,0,0.0,1.0
2008-10-07,7.81,7.81,7.81,7.81,2312,0.0,1.0
2008-10-08,7.1,7.35,7.1,7.1,2704,0.0,1.0
2008-10-09,7.1,7.1,7.1,7.1,0,0.0,1.0
2008-10-10,10.95,10.95,5.9,10.95,12500,0.0,1.0
2008-10-13,5.9,5.9,5.9,5.9,0,0.0,1.0
2008-10-14,10.95,10.95,7.5,10.95,6595,0.0,1.0
2008-10-15,7.5,7.5,7.5,7.5,0,0.0,1.0
2008-10-16,6.75,6.75,6.5,6.75,4346,0.0,1.0
2008-10-17,6.75,6.75,6.75,6.75,0,0.0,1.0
2008-10-20,7.95,7.95,7.95,7.95,2000,0.0,1.0
2008-10-21,10.95,10.95,8.1,10.95,1400,0.0,1.0
2008-10-22,10.95,10.95,8.1,10.95,500,0.0,1.0
2008-10-23,7.48,7.48,7.35,7.48,1274,0.0,1.0
2008-10-24,10.95,10.95,7.48,10.95,0,0.0,1.0
2008-10-27,10.95,10.95,7.48,10.95,0,0.0,1.0
2008-10-28,7.15,7.15,7.15,7.15,697,0.0,1.0
2008-10-29,8.0,8.0,8.0,8.0,590,0.0,1.0
2008-10-30,7.95,7.95,7.95,7.95,15275,0.0,1.0
2008-10-31,7.95,7.95,7.95,7.95,7872,0.0,1.0
2008-11-03,7.95,7.95,7.95,7.95,0,0.0,1.0
2008-11-04,7.95,7.95,7.95,7.95,0,0.0,1.0
