date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,33.75,33.75,32.81,33.38,8500,0.0,1.0
1999-11-02,33.19,33.19,33.06,33.13,4300,0.13,1.0
1999-11-03,33.06,34.0,33.06,34.0,6600,0.0,1.0
1999-11-04,33.88,34.25,33.75,34.25,1800,0.0,1.0
1999-11-05,34.5,34.5,34.38,34.5,800,0.0,1.0
1999-11-08,34.38,34.88,34.38,34.69,3900,0.0,1.0
1999-11-09,34.63,35.56,34.63,35.56,8900,0.0,1.0
1999-11-10,35.44,35.75,35.38,35.44,10100,0.0,1.0
1999-11-11,35.19,35.38,35.19,35.38,15900,0.0,1.0
1999-11-12,35.31,36.25,35.31,36.13,7100,0.0,1.0
1999-11-15,36.25,36.88,36.25,36.88,9200,0.0,1.0
1999-11-16,36.88,37.31,36.88,37.19,17200,0.0,1.0
1999-11-17,37.31,37.38,37.25,37.31,3000,0.0,1.0
1999-11-18,37.44,37.69,37.44,37.63,12900,0.0,1.0
1999-11-19,37.75,37.81,37.69,37.69,25000,0.0,1.0
1999-11-22,37.69,37.69,37.69,37.69,7500,0.0,1.0
1999-11-23,37.88,38.0,37.69,38.0,17300,0.0,1.0
1999-11-24,38.0,38.38,37.81,38.38,33700,0.0,1.0
1999-11-26,38.38,38.5,38.25,38.5,5000,0.0,1.0
1999-11-29,38.69,38.69,38.69,38.69,1000,0.0,1.0
1999-11-30,38.88,39.0,38.56,39.0,13000,0.0,1.0
1999-12-01,39.25,39.25,39.0,39.13,19700,0.0,1.0
1999-12-02,39.13,39.25,38.13,38.13,6200,0.0,1.0
1999-12-03,38.19,38.5,38.0,38.0,1200,0.0,1.0
1999-12-06,38.06,38.06,37.94,38.0,3100,0.0,1.0
1999-12-07,38.13,38.38,37.44,37.44,6900,0.0,1.0
1999-12-08,37.56,37.56,37.31,37.5,2200,0.0,1.0
1999-12-09,37.63,37.63,36.88,36.88,11200,0.0,1.0
1999-12-10,37.0,37.25,35.5,36.5,50000,0.0,1.0
1999-12-13,36.75,37.38,36.63,37.38,12300,0.0,1.0
1999-12-14,37.25,38.88,37.25,38.88,23500,0.0,1.0
1999-12-15,38.88,40.19,38.88,39.75,32200,0.0,1.0
1999-12-16,39.75,40.25,39.63,40.13,16100,0.0,1.0
1999-12-17,40.06,40.34,39.69,39.69,17700,0.0,1.0
1999-12-20,39.81,39.94,39.38,39.88,28700,0.0,1.0
1999-12-21,40.13,40.63,39.0,39.0,20400,0.0,1.0
1999-12-22,38.75,38.88,37.56,37.94,19800,0.0,1.0
1999-12-23,38.06,38.56,38.0,38.25,12000,0.0,1.0
1999-12-27,38.25,38.25,38.0,38.0,2500,0.0,1.0
1999-12-28,37.75,38.0,37.25,37.25,3500,0.0,1.0
