date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,19.7,19.7,19.7,19.7,2500,0.0,1.0
2007-07-16,19.7,19.7,19.7,19.7,0,0.0,1.0
2007-07-17,19.7,19.7,19.7,19.7,0,0.0,1.0
2007-07-18,19.45,19.45,19.45,19.45,600,0.0,1.0
2007-07-19,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-20,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-23,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-24,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-25,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-26,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-27,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-30,19.45,19.45,19.45,19.45,0,0.0,1.0
2007-07-31,18.8,18.8,18.8,18.8,420,0.0,1.0
2007-08-01,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-02,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-03,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-06,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-07,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-08,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-09,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-10,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-13,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-14,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-15,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-16,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-17,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-20,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-21,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-22,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-23,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-24,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-27,18.8,18.8,18.8,18.8,0,0.0,1.0
2007-08-28,18.5,18.5,18.5,18.5,444,0.0,1.0
2007-08-29,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-08-30,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-08-31,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-09-04,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-09-05,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-09-06,18.5,18.5,18.5,18.5,0,0.0,1.0
2007-09-07,18.15,18.15,18.15,18.15,1162,0.0,1.0
2007-09-10,18.15,18.15,18.15,18.15,0,0.0,1.0
2007-09-11,17.75,17.75,17.75,17.75,345,0.0,1.0
2007-09-12,17.75,17.75,17.75,17.75,0,0.0,1.0
2007-09-13,17.75,17.75,17.75,17.75,0,0.0,1.0
2007-09-14,16.85,16.85,16.85,16.85,493,0.0,1.0
2007-09-17,15.5,15.5,15.5,15.5,871,0.0,1.0
2007-09-18,15.5,15.5,15.5,15.5,0,0.0,1.0
2007-09-19,16.41,16.41,16.41,16.41,1598,0.0,1.0
2007-09-20,16.41,16.41,16.41,16.41,0,0.0,1.0
2007-09-21,15.7,15.7,15.7,15.7,550,0.0,1.0
2007-09-24,15.7,15.7,15.7,15.7,0,0.0,1.0
2007-09-25,15.7,15.7,15.7,15.7,0,0.0,1.0
2007-09-26,15.7,15.7,15.7,15.7,0,0.0,1.0
2007-09-27,15.7,15.7,15.7,15.7,0,0.0,1.0
