date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-06-22,36.45,38.0,34.25,35.06,113095700,0.0,1.0
2007-06-25,35.74,35.77,31.9,32.44,35668600,0.0,1.0
2007-06-26,32.28,32.49,30.32,30.75,29614000,0.0,1.0
2007-06-27,30.4,30.75,29.13,29.92,18087600,0.0,1.0
2007-06-28,29.61,30.98,29.54,29.69,8660300,0.0,1.0
2007-06-29,30.0,30.2,28.75,29.27,7559700,0.0,1.0
2007-07-02,29.27,29.74,29.08,29.27,3175900,0.0,1.0
2007-07-03,29.5,29.88,29.42,29.72,2763700,0.0,1.0
2007-07-05,30.95,30.97,30.2,30.63,6950900,0.0,1.0
2007-07-06,30.9,31.7,30.8,31.5,7652900,0.0,1.0
2007-07-09,31.9,31.99,31.39,31.48,4301400,0.0,1.0
2007-07-10,31.28,31.34,29.84,29.93,6388700,0.0,1.0
2007-07-11,29.94,30.08,28.96,29.18,5982800,0.0,1.0
2007-07-12,29.5,30.29,29.31,30.0,5144200,0.0,1.0
2007-07-13,29.88,30.0,29.28,29.85,3318400,0.0,1.0
2007-07-16,29.85,29.98,29.33,29.69,3109000,0.0,1.0
2007-07-17,29.69,29.85,29.11,29.21,2666800,0.0,1.0
2007-07-18,29.0,29.1,28.0,28.4,5156100,0.0,1.0
2007-07-19,28.4,28.5,27.0,27.33,9902100,0.0,1.0
2007-07-20,27.0,27.11,25.63,25.95,9614600,0.0,1.0
2007-07-23,25.83,26.9,25.51,26.37,6372700,0.0,1.0
2007-07-24,25.91,26.45,25.6,25.71,5614800,0.0,1.0
2007-07-25,25.76,26.05,25.25,25.51,4737600,0.0,1.0
2007-07-26,25.18,25.95,23.27,25.7,11174800,0.0,1.0
2007-07-27,24.66,24.85,23.68,24.3,9253500,0.0,1.0
2007-07-30,24.42,24.88,23.55,24.48,5226600,0.0,1.0
2007-07-31,24.97,25.21,23.81,24.01,5088700,0.0,1.0
2007-08-01,24.34,24.5,23.6,24.31,6489200,0.0,1.0
2007-08-02,25.25,25.58,24.43,25.33,8273800,0.0,1.0
2007-08-03,25.39,25.47,24.2,24.39,5322900,0.0,1.0
2007-08-06,24.68,24.68,22.76,24.53,7314800,0.0,1.0
2007-08-07,24.5,25.98,24.01,24.9,5855100,0.0,1.0
2007-08-08,25.64,25.9,25.0,25.27,4775000,0.0,1.0
2007-08-09,24.99,25.39,24.5,24.92,4345000,0.0,1.0
2007-08-10,24.5,25.79,23.98,25.28,4781400,0.0,1.0
2007-08-13,27.26,27.26,25.65,25.71,10928800,0.0,1.0
2007-08-14,26.0,26.0,24.28,24.57,5373500,0.0,1.0
2007-08-15,24.4,24.69,23.6,23.69,4758100,0.0,1.0
2007-08-16,23.11,23.9,22.04,23.9,7714200,0.0,1.0
2007-08-17,24.71,25.38,23.9,24.08,7715300,0.0,1.0
2007-08-20,24.1,24.74,23.05,23.39,5682700,0.0,1.0
2007-08-21,23.5,23.76,23.11,23.51,2324900,0.0,1.0
2007-08-22,23.9,25.0,23.9,24.94,3957200,0.0,1.0
2007-08-23,25.23,25.66,24.86,25.27,3318700,0.0,1.0
2007-08-24,25.06,25.12,24.36,24.42,3022100,0.0,1.0
2007-08-27,24.42,24.55,23.65,23.8,3043900,0.0,1.0
2007-08-28,23.55,23.61,22.91,23.04,3580800,0.0,1.0
2007-08-29,23.38,23.44,22.87,22.98,3489700,0.0,1.0
2007-08-30,22.74,23.13,22.55,22.74,3920200,0.0,1.0
2007-08-31,23.12,23.27,22.8,23.13,3050000,0.0,1.0
2007-09-04,23.09,23.3,23.03,23.11,3441600,0.0,1.0
2007-09-05,23.0,23.0,21.95,21.98,8045500,0.0,1.0
2007-09-06,22.01,22.39,21.97,22.16,4475400,0.0,1.0
2007-09-07,21.69,21.89,21.3,21.54,5580800,0.0,1.0
2007-09-10,21.75,22.0,21.32,21.88,2727300,0.0,1.0
2007-09-11,22.34,23.0,22.2,22.89,5993300,0.0,1.0
2007-09-12,22.79,23.5,22.62,23.26,3485100,0.0,1.0
2007-09-13,23.49,23.74,23.31,23.41,2364200,0.0,1.0
2007-09-14,23.37,24.0,22.8,23.92,2549300,0.0,1.0
2007-09-17,23.7,24.35,23.55,23.65,2530200,0.0,1.0
2007-09-18,23.83,24.6,23.31,24.55,5219100,0.0,1.0
2007-09-19,24.73,26.0,24.57,25.66,9381600,0.0,1.0
2007-09-20,25.92,26.79,25.6,25.95,6117700,0.0,1.0
2007-09-21,26.48,26.5,25.01,25.32,4168300,0.0,1.0
2007-09-24,25.39,25.44,24.46,24.53,3019700,0.0,1.0
2007-09-25,24.42,24.67,24.0,24.39,3427200,0.0,1.0
2007-09-26,24.75,25.05,24.31,24.89,5567600,0.0,1.0
2007-09-27,25.0,25.35,24.58,25.11,4444300,0.0,1.0
2007-09-28,24.9,25.44,24.86,25.08,2179100,0.0,1.0
2007-10-01,24.72,25.74,24.7,25.58,2571700,0.0,1.0
2007-10-02,25.77,26.4,25.35,26.08,3068500,0.0,1.0
2007-10-03,26.0,27.65,25.98,27.17,5524800,0.0,1.0
2007-10-04,27.25,28.0,27.25,27.58,3997000,0.0,1.0
2007-10-05,28.05,29.1,27.86,29.08,5094500,0.0,1.0
2007-10-08,29.49,29.75,28.21,28.22,5069100,0.0,1.0
2007-10-09,28.61,28.64,28.02,28.45,3392800,0.0,1.0
2007-10-10,28.63,28.67,28.01,28.66,2061600,0.0,1.0
2007-10-11,29.0,29.38,28.08,28.35,3274200,0.0,1.0
2007-10-12,28.11,28.27,27.7,27.75,1895600,0.0,1.0
2007-10-15,27.75,28.0,26.95,27.09,1927000,0.0,1.0
2007-10-16,26.74,26.75,25.53,26.05,4527300,0.0,1.0
2007-10-17,26.49,26.68,25.82,26.42,3001600,0.0,1.0
2007-10-18,26.34,26.5,25.96,26.5,1811100,0.0,1.0
2007-10-19,26.33,26.43,25.5,25.51,2338500,0.0,1.0
2007-10-22,25.5,26.25,25.0,26.06,1874800,0.0,1.0
2007-10-23,26.2,26.5,26.08,26.36,1571600,0.0,1.0
