date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-03-01,15.7,15.85,15.7,15.85,12800,0.0,1.0
2010-03-02,15.8,15.8,15.8,15.8,578,0.0,1.0
2010-03-03,15.85,15.85,15.85,15.85,200,0.0,1.0
2010-03-04,15.75,15.75,15.7,15.7,5648,0.0,1.0
2010-03-05,15.76,16.0,15.76,16.0,369,0.0,1.0
2010-03-08,15.79,15.79,15.79,15.79,100,0.0,1.0
2010-03-09,15.9,15.9,15.9,15.9,980,0.0,1.0
2010-03-10,15.85,15.85,15.85,15.85,538,0.0,1.0
2010-03-11,15.8,15.88,15.8,15.88,936,0.0,1.0
2010-03-12,15.7,16.02,15.7,16.02,22187,0.0,1.0
2010-03-15,15.7,16.02,15.7,16.02,0,0.0,1.0
2010-03-16,15.7,16.05,15.7,16.05,22387,0.0,1.0
2010-03-17,15.7,16.05,15.7,16.05,0,0.0,1.0
2010-03-18,15.7,16.65,15.7,16.65,22893,0.0,1.0
2010-03-19,16.7,16.7,16.5,16.5,597,0.0,1.0
2010-03-22,16.65,16.65,16.65,16.65,220,0.0,1.0
2010-03-23,16.98,17.02,16.9,16.9,4079,0.0,1.0
2010-03-24,15.7,17.02,15.7,16.45,27928,0.0,1.0
2010-03-25,15.7,17.02,15.7,16.45,0,0.0,1.0
2010-03-26,15.7,17.02,15.7,16.45,0,0.0803,1.0
2010-03-29,15.7,17.02,15.7,16.45,0,0.0,1.0
2010-03-30,15.7,17.02,15.7,16.45,300,0.0,1.0
2010-03-31,16.6,16.6,16.6,16.6,325,0.0,1.0
2010-04-01,17.0,17.0,16.6,16.6,773,0.0,1.0
2010-04-05,17.0,17.0,16.6,16.6,617,0.0,1.0
2010-04-06,15.7,17.02,15.7,16.84,30193,0.0,1.0
2010-04-07,15.7,17.02,15.7,16.84,0,0.0,1.0
2010-04-08,16.98,16.98,16.98,16.98,400,0.0,1.0
2010-04-09,15.7,17.02,15.7,17.0,31193,0.0,1.0
2010-04-12,15.7,17.02,15.7,17.0,0,0.0,1.0
2010-04-13,15.7,17.02,15.7,17.0,0,0.0,1.0
2010-04-14,15.7,17.02,15.7,17.0,0,0.0,1.0
2010-04-15,16.6,16.6,16.6,16.6,177,0.0,1.0
2010-04-16,16.6,16.6,16.15,16.15,564,0.0,1.0
2010-04-19,16.15,16.15,16.15,16.15,0,0.0,1.0
2010-04-20,16.4,16.4,16.4,16.4,7300,0.0,1.0
2010-04-21,16.6,16.6,16.45,16.45,2269,0.0,1.0
2010-04-22,16.45,16.45,16.45,16.45,0,0.0,1.0
2010-04-23,15.7,17.02,15.7,16.41,42681,0.0,1.0
2010-04-26,15.7,17.02,15.7,16.41,0,0.0,1.0
2010-04-27,16.29,16.3,16.15,16.15,4204,0.0,1.0
2010-04-28,16.0,16.0,15.75,15.75,600,0.0,1.0
