date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-01-04,59.5,59.5,59.5,59.5,150,0.0,1.0
2011-01-05,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-06,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-07,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-10,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-11,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-12,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-13,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-14,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-18,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-19,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-20,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-21,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-24,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-25,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-26,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-27,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-28,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-01-31,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-01,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-02,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-03,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-04,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-07,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-08,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-09,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-10,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-11,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-14,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-15,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-16,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-17,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-18,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-22,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-23,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-24,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-25,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-02-28,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-01,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-02,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-03,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-04,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-07,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-08,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-09,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-10,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-11,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-14,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-15,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-16,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-17,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-18,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-21,59.5,59.5,59.5,59.5,0,0.0,1.0
2011-03-22,58.5,58.5,58.5,58.5,2010,0.0,1.0
2011-03-23,58.5,58.5,58.5,58.5,0,0.0,1.0
2011-03-24,58.5,58.5,58.5,58.5,0,0.0,1.0
2011-03-25,58.5,58.5,58.5,58.5,0,0.0,1.0
2011-03-28,58.5,58.5,58.5,58.5,0,0.0,1.0
2011-03-29,58.5,58.5,58.5,58.5,0,0.0,1.0
2011-03-30,58.5,58.5,58.5,58.5,0,0.0,1.0
