date,open_price,high_price,low_price,close_price,volume,dividend,split
2020-01-02,7.5,7.5,7.5,7.5,10000,0.0,1.0
2020-04-07,7.5,7.5,7.5,7.5,200,0.0,1.0
2020-04-15,17.6,17.6,17.6,17.6,333,0.0,1.0
2020-04-16,20.0,20.0,15.8,15.8,1971,0.0,1.0
2020-04-17,17.6,17.61,16.9,17.6,2527,0.0,1.0
2020-04-20,18.0,18.0,18.0,18.0,348,0.0,1.0
2020-04-21,18.0,18.1,17.9,18.0,2414,0.0,1.0
2020-04-22,18.5,18.5,18.0,18.0,427,0.0,1.0
2020-04-23,18.0,18.0,17.5,17.5,2089,0.0,1.0
2020-04-24,17.55,17.55,17.55,17.55,100,0.0,1.0
2020-04-27,18.0,23.0,18.0,23.0,2090,0.0,1.0
2020-04-28,23.0,23.0,19.8,22.0,2710,0.0,1.0
2020-04-29,21.5,22.0,21.5,21.5,1235,0.0,1.0
2020-04-30,21.5,21.5,21.4,21.5,401,0.0,1.0
2020-05-01,21.5,26.0,21.5,21.5,1425,0.0,1.0
2020-05-04,21.5,21.5,20.0,20.0,1281,0.0,1.0
2020-05-05,20.0,21.5,20.0,21.5,1730,0.0,1.0
2020-05-06,21.5,21.5,21.5,21.5,2948,0.0,1.0
2020-05-07,16.08,20.0,16.08,16.08,621,0.0,1.0
2020-05-08,20.0,22.2,19.0,22.2,2839,0.0,1.0
2020-05-11,21.4,22.22,21.2,21.2,1863,0.0,1.0
2020-05-12,22.45,26.0,22.0,22.4,4801,0.0,1.0
2020-05-13,25.0,25.0,20.0,23.51,3892,0.0,1.0
2020-05-14,22.5,24.0,22.5,23.2,1741,0.0,1.0
2020-05-15,25.5,28.0,25.0,28.0,2540,0.0,1.0
2020-05-18,28.0,59.99,28.0,33.0,9089,0.0,1.0
2020-05-19,33.0,33.0,28.51,32.49,24602,0.0,1.0
2020-05-20,32.5,37.0,30.0,32.25,7441,0.0,1.0
2020-05-21,30.0,31.9,28.0,29.0,102885,0.0,1.0
2020-05-22,29.0,31.0,29.0,30.5,7459,0.0,1.0
2020-05-26,24.05,34.6,21.05,23.5,34393,0.0,1.0
2020-05-27,24.5,24.5,21.6,22.0,14064,0.0,1.0
2020-05-28,22.1,22.1,21.0,21.71,5176,0.0,1.0
2020-05-29,23.88,25.73,23.6,23.8,7343,0.0,1.0
2020-06-01,23.8,26.25,23.8,24.39,2244,0.0,1.0
2020-06-02,24.57,25.02,24.51,24.51,3972,0.0,1.0
2020-06-03,23.54,24.5,23.54,24.5,936,0.0,1.0
2020-06-04,24.5,24.83,24.1,24.81,854,0.0,1.0
2020-06-05,22.62,25.01,22.07,22.51,1807,0.0,1.0
2020-06-08,23.5,23.5,22.1,22.5,8884,0.0,1.0
2020-06-09,23.5,24.5,23.3,23.67,6081,0.0,1.0
2020-06-10,23.0,23.0,22.6,22.6,7758,0.0,1.0
2020-06-11,22.5,24.59,22.5,24.59,1231,0.0,1.0
2020-06-12,23.81,23.81,22.51,23.57,2096,0.0,1.0
2020-06-15,23.69,24.37,23.69,24.37,2440,0.0,1.0
2020-06-16,25.58,26.0,25.42,25.94,2945,0.0,1.0
2020-06-17,25.48,25.48,24.4,24.4,5071,0.0,1.0
2020-06-18,23.74,23.77,23.71,23.71,2826,0.0,1.0
2020-06-19,23.71,24.17,23.5,23.5,1044,0.0,1.0
2020-06-22,25.46,25.53,24.78,24.78,1974,0.0,1.0
2020-06-23,25.17,25.18,24.5,24.93,2123,0.0,1.0
2020-06-24,27.95,29.61,27.5,27.87,24547,0.0,1.0
2020-06-25,27.95,28.5,27.02,28.5,9113,0.0,1.0
2020-06-26,28.35,28.75,27.75,27.88,4717,0.0,1.0
2020-06-29,28.22,28.91,27.89,28.7,13734,0.0,1.0
2020-06-30,28.41,28.43,27.6,28.0,10444,0.0,1.0
2020-07-01,28.52,28.79,28.01,28.48,4350,0.0,1.0
2020-07-02,28.79,28.79,28.0,28.19,9330,0.0,1.0
2020-07-06,29.46,30.0,28.61,29.25,11300,0.0,1.0
2020-07-07,29.86,29.86,28.62,29.0,4600,0.0,1.0
2020-07-08,29.5,29.5,29.45,29.45,890,0.0,1.0
2020-07-09,29.51,30.52,28.82,28.89,3600,0.0,1.0
2020-07-10,29.4,29.4,28.5,29.32,5400,0.0,1.0
2020-07-13,33.0,33.0,31.0,32.7,11000,0.0,1.0
2020-07-14,32.01,32.01,30.34,31.5,7600,0.0,1.0
2020-07-15,31.42,31.7,30.53,31.7,30100,0.0,1.0
2020-07-16,29.36,29.36,27.9,28.6,13700,0.0,1.0
2020-07-17,27.33,28.21,26.0,27.56,26600,0.0,1.0
2020-07-20,27.93,28.2,27.0,28.2,18100,0.0,1.0
2020-07-21,28.25,28.25,27.86,28.25,48200,0.0,1.0
2020-07-22,29.08,29.64,28.5,29.49,22900,0.0,1.0
2020-07-23,29.64,29.7,28.74,28.92,14891,0.0,1.0
2020-07-24,28.0,28.75,28.0,28.24,6212,0.0,1.0
2020-07-27,28.35,28.41,28.0,28.0,10047,0.0,1.0
2020-07-28,28.27,28.4,28.0,28.25,2507,0.0,1.0
2020-07-29,31.59,31.8,31.07,31.75,11971,0.0,1.0
2020-07-30,32.93,34.58,32.93,34.58,14102,0.0,1.0
2020-07-31,35.0,35.4,34.36,34.4,13129,0.0,1.0
2020-08-03,34.59,34.59,33.31,33.37,8500,0.0,1.0
2020-08-04,33.46,33.46,32.86,33.2,5804,0.0,1.0
2020-08-05,33.35,33.35,32.63,32.65,3531,0.0,1.0
2020-08-06,32.58,32.77,31.91,32.04,6473,0.0,1.0
2020-08-07,31.0,31.05,30.25,30.41,7302,0.0,1.0
2020-08-10,29.89,29.89,28.24,29.0,19154,0.0,1.0
2020-08-11,29.4,29.5,28.33,28.44,4786,0.0,1.0
2020-08-12,27.62,28.28,27.25,27.43,14174,0.0,1.0
2020-08-13,26.79,26.79,26.0,26.05,11297,0.0,1.0
2020-08-14,24.85,25.64,24.85,25.36,6176,0.0,1.0
2020-08-17,28.7,31.5,27.84,30.01,53173,0.0,1.0
2020-08-18,27.82,27.82,26.18,27.34,28990,0.0,1.0
2020-08-19,26.95,26.95,26.0,26.25,7196,0.0,1.0
2020-08-20,26.1,26.2,26.0,26.15,8223,0.0,1.0
2020-08-21,26.0,26.15,26.0,26.1,2252,0.0,1.0
2020-08-24,25.34,25.34,24.84,25.03,11442,0.0,1.0
2020-08-25,24.24,24.24,23.4,23.84,18245,0.0,1.0
2020-08-26,23.13,23.65,23.1,23.1,7127,0.0,1.0
2020-08-27,22.92,24.4,22.92,24.4,7807,0.0,1.0
2020-08-28,23.04,23.04,22.5,22.9,14255,0.0,1.0
2020-08-31,21.62,21.62,21.0,21.55,20950,0.0,1.0
2020-09-01,21.0,21.36,20.35,20.67,35330,0.0,1.0
2020-09-02,19.75,20.33,19.75,20.07,8522,0.0,1.0
2020-09-03,22.0,22.01,21.5,21.98,5390,0.0,1.0
2020-09-04,22.61,22.61,21.24,21.24,7500,0.0,1.0
2020-09-08,21.43,21.53,21.43,21.53,756,0.0,1.0
2020-09-09,24.26,24.26,23.32,23.6,6733,0.0,1.0
2020-09-10,21.39,21.55,21.35,21.55,1707,0.0,1.0
2020-09-11,22.75,22.8,22.75,22.8,498,0.0,1.0
2020-09-14,23.5,23.5,22.52,22.52,1407,0.0,1.0
2020-09-15,22.65,23.2,22.65,22.95,1257,0.0,1.0
2020-09-16,23.24,23.45,23.17,23.44,1458,0.0,1.0
2020-09-17,22.91,22.91,22.37,22.72,2538,0.0,1.0
2020-09-18,22.67,22.67,22.67,22.67,1831,0.0,1.0
2020-09-21,22.2,22.2,22.0,22.0,2592,0.0,1.0
2020-09-22,20.74,21.98,20.74,20.86,1936,0.0,1.0
2020-09-23,23.05,23.95,23.05,23.55,3807,0.0,1.0
2020-09-24,23.55,23.55,23.55,23.55,285,0.0,1.0
2020-09-25,21.59,21.59,21.42,21.42,527,0.0,1.0
2020-09-28,21.0,21.04,21.0,21.03,2421,0.0,1.0
2020-09-29,20.55,20.63,20.55,20.63,327,0.0,1.0
2020-09-30,20.64,21.1,20.64,21.1,454,0.0,1.0
2020-10-01,21.02,21.21,21.02,21.21,2392,0.0,1.0
2020-10-02,21.4,21.4,21.13,21.13,1055,0.0,1.0
2020-10-05,21.51,21.76,21.38,21.76,4722,0.0,1.0
2020-10-06,22.26,22.34,22.26,22.28,82860,0.0,1.0
2020-10-07,22.36,22.58,22.36,22.38,15069,0.0,1.0
2020-10-08,23.06,23.45,22.13,22.5,19815,0.0,1.0
2020-10-09,22.27,22.9,22.27,22.9,85020,0.0,1.0
2020-10-12,23.32,23.32,23.15,23.15,44615,0.0,1.0
2020-10-13,24.1,24.1,23.03,23.03,1783,0.0,1.0
2020-10-14,23.05,23.05,23.05,23.05,210,0.0,1.0
2020-10-15,22.54,23.19,22.54,23.19,1500,0.0,1.0
2020-10-16,22.64,22.75,22.64,22.7,876,0.0,1.0
2020-10-19,23.0,24.0,22.85,23.75,4366,0.0,1.0
2020-10-20,23.9,23.9,23.3,23.3,2329,0.0,1.0
2020-10-21,23.89,24.4,23.89,24.3,5652,0.0,1.0
2020-10-22,24.03,24.03,23.3,23.38,5150,0.0,1.0
2020-10-23,22.1,22.18,22.1,22.14,615,0.0,1.0
2020-10-26,21.81,22.01,21.77,21.77,1565,0.0,1.0
2020-10-27,21.75,21.75,21.38,21.38,1013,0.0,1.0
2020-10-28,20.25,20.25,19.87,19.87,1905,0.0,1.0
2020-10-29,20.3,20.53,19.92,20.53,3610,0.0,1.0
2020-10-30,19.8,19.8,19.31,19.37,6739,0.0,1.0
2020-11-02,18.11,18.57,18.11,18.57,413,0.0,1.0
2020-11-03,18.6,19.12,18.6,18.78,849,0.0,1.0
2020-11-04,19.33,20.0,19.33,20.0,2341,0.0,1.0
2020-11-05,20.34,20.87,20.34,20.87,846,0.0,1.0
2020-11-06,20.07,20.07,20.07,20.07,301,0.0,1.0
2020-11-09,20.9,21.54,20.9,20.94,8879,0.0,1.0
2020-11-10,20.5,20.5,19.5,20.0,1949,0.0,1.0
2020-11-11,19.32,19.32,18.24,19.32,2378,0.0,1.0
2020-11-12,19.84,19.84,19.64,19.78,1895,0.0,1.0
2020-11-13,20.2,20.27,20.15,20.27,1431,0.0,1.0
2020-11-16,20.55,20.55,19.72,20.02,2182,0.0,1.0
2020-11-17,19.26,19.26,18.64,19.09,2899,0.0,1.0
2020-11-18,19.62,19.63,19.62,19.62,701,0.0,1.0
2020-11-19,20.48,20.48,19.27,20.0,5058,0.0,1.0
2020-11-20,20.04,20.29,20.04,20.16,1555,0.0,1.0
2020-11-23,21.38,21.38,21.08,21.11,2285,0.0,1.0
2020-11-24,20.0,20.5,20.0,20.25,2366,0.0,1.0
2020-11-25,20.33,20.5,20.21,20.21,785,0.0,1.0
2020-11-27,20.22,21.2,20.22,20.9,1188,0.0,1.0
2020-11-30,21.42,21.75,20.73,21.18,6962,0.0,1.0
2020-12-01,21.86,22.52,21.75,22.52,5210,0.0,1.0
2020-12-02,21.09,22.15,21.09,21.75,3263,0.0,1.0
2020-12-03,22.0,22.9,22.0,22.6,4479,0.0,1.0
2020-12-04,24.04,24.04,22.96,23.48,3484,0.0,1.0
2020-12-07,23.52,23.52,22.26,22.26,3241,0.0,1.0
