date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-10-16,13.06,13.06,13.06,13.06,100,0.0,1.0
2017-10-18,13.01,13.01,13.01,13.01,2096,0.0,1.0
2017-10-20,12.89,12.89,12.89,12.89,228,0.0,1.0
2017-11-16,12.89,12.89,12.89,12.89,2250,0.0,1.0
2017-11-22,13.41,13.41,13.41,13.41,200,0.0,1.0
2017-12-18,13.41,13.41,13.41,13.41,85,0.0,1.0
2018-01-03,12.69,12.69,12.69,12.69,172,0.0,1.0
2018-06-21,12.9,12.9,12.9,12.9,200,0.0,1.0
2018-07-05,12.9,12.9,12.9,12.9,92,0.0,1.0
2018-07-06,12.9,12.9,12.9,12.9,92,0.0,1.0
2018-08-20,12.9,12.9,12.9,12.9,60,0.0,1.0
2018-08-29,12.9,12.9,12.9,12.9,30,0.0,1.0
2018-09-11,11.88,11.88,11.88,11.88,200,0.0,1.0
2018-10-05,12.63,12.63,12.63,12.63,200,0.0,1.0
2018-12-28,11.74,11.74,11.74,11.74,200,0.0,1.0
2018-12-31,11.92,11.92,11.92,11.92,200,0.0,1.0
2019-03-25,12.71,12.71,12.71,12.71,1050,0.0,1.0
2019-04-18,12.71,12.71,12.71,12.71,1,0.0,1.0
2019-05-23,11.87,11.87,11.87,11.87,440,0.0,1.0
2019-05-24,11.36,11.36,11.36,11.36,250,0.5647,1.0
2019-05-30,11.0,11.0,11.0,11.0,440,0.0,1.0
2019-06-19,11.1,11.1,11.1,11.1,175,0.0,1.0
2019-09-06,11.1,11.1,11.1,11.1,1,0.0,1.0
2019-09-10,11.1,11.1,11.1,11.1,1,0.0,1.0
2019-09-30,10.55,10.55,10.55,10.55,100,0.0,1.0
2019-11-19,11.31,11.31,11.31,11.31,250,0.0,1.0
2019-12-09,11.18,11.18,11.18,11.18,406,0.0,1.0
2019-12-23,11.18,11.18,11.18,11.18,1,0.0,1.0
2019-12-26,11.18,11.18,11.18,11.18,1,0.0,1.0
2019-12-30,11.18,11.18,11.18,11.18,25,0.0,1.0
2020-01-23,11.18,11.18,11.18,11.18,1,0.0,1.0
2020-01-31,11.18,11.18,11.18,11.18,1,0.0,1.0
2020-02-13,11.18,11.18,11.18,11.18,28,0.0,1.0
2020-03-12,11.18,11.18,11.18,11.18,1,0.0,1.0
2020-03-23,11.18,11.18,11.18,11.18,40,0.0,1.0
2020-03-30,11.18,11.18,11.18,11.18,1000,0.0,1.0
2020-03-31,11.18,11.18,11.18,11.18,2,0.0,1.0
2020-04-01,11.18,11.18,11.18,11.18,2,0.0,1.0
2020-04-07,10.19,10.63,9.8,9.8,3000,0.0,1.0
2020-04-13,9.68,9.68,9.68,9.68,257,0.0,1.0
2020-04-17,9.48,9.48,9.09,9.09,2000,0.0,1.0
2020-04-20,9.42,9.42,9.09,9.09,258,0.0,1.0
2020-05-15,9.09,9.09,9.09,9.09,60,0.0,1.0
2020-05-26,8.53,8.53,8.53,8.53,3,0.0,1.0
2020-06-19,8.53,8.53,8.53,8.53,1,0.0,1.0
2020-07-13,9.11,9.11,9.11,9.11,2000,0.0,1.0
2020-07-15,9.11,9.11,9.11,9.11,30,0.0,1.0
2020-07-22,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-07-23,9.11,9.11,9.11,9.11,28,0.0,1.0
2020-07-24,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-07-27,9.11,9.11,9.11,9.11,9,0.0,1.0
2020-07-28,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-07-29,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-07-30,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-07-31,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-03,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-04,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-05,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-06,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-07,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-10,9.11,9.11,9.11,9.11,1,0.0,1.0
2020-08-11,9.11,9.11,9.11,9.11,0,0.0,1.0
2020-08-12,9.11,9.11,9.11,9.11,50,0.0,1.0
2020-08-13,9.07,9.07,9.07,9.07,100,0.0,1.0
2020-08-14,8.76,8.76,8.76,8.76,100,0.0,1.0
2020-08-17,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-18,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-19,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-20,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-21,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-24,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-25,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-26,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-27,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-28,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-08-31,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-01,8.76,8.76,8.76,8.76,15,0.0,1.0
2020-09-02,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-03,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-04,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-08,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-09,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-10,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-11,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-14,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-15,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-16,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-17,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-18,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-21,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-22,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-23,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-24,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-25,8.76,8.76,8.76,8.76,1,0.0,1.0
2020-09-28,8.76,8.76,8.76,8.76,0,0.0,1.0
2020-09-29,8.76,8.76,8.76,8.76,0,0.0,1.0
