date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,26.38,26.94,26.31,26.38,219267,0.0,1.0
1999-11-02,26.75,28.13,26.75,28.06,121867,0.0,1.0
1999-11-03,28.13,29.5,27.75,28.0,336400,0.0,1.0
1999-11-04,28.13,29.38,28.0,29.38,157800,0.0,1.0
1999-11-05,29.75,30.13,28.63,29.06,245200,0.07,1.0
1999-11-08,29.06,29.06,28.0,28.5,90267,0.0,1.0
1999-11-09,28.38,28.69,28.19,28.38,56600,0.0,1.0
1999-11-10,28.38,28.94,28.13,28.31,86400,0.0,1.0
1999-11-11,28.44,28.69,28.25,28.63,70000,0.0,1.0
1999-11-12,28.63,29.5,28.63,29.44,188800,0.0,1.0
1999-11-15,29.56,29.75,29.06,29.75,94800,0.0,1.0
1999-11-16,29.63,30.19,29.38,30.19,159467,0.0,1.0
1999-11-17,30.0,30.13,29.13,29.81,191867,0.0,1.0
1999-11-18,29.56,29.94,29.19,29.75,113000,0.0,1.0
1999-11-19,29.63,29.69,29.25,29.56,92600,0.0,1.0
1999-11-22,29.56,29.88,29.44,29.56,47400,0.0,1.0
1999-11-23,29.63,29.94,28.56,28.56,157067,0.0,1.0
1999-11-24,28.56,29.31,28.44,28.75,131000,0.0,1.0
1999-11-26,28.88,28.88,28.69,28.81,31867,0.0,1.0
1999-11-29,28.69,28.69,26.94,27.88,117067,0.0,1.0
1999-11-30,27.88,28.38,27.63,28.0,89800,0.0,1.0
1999-12-01,28.0,28.0,27.69,28.0,81200,0.0,1.0
1999-12-02,28.0,28.06,28.0,28.06,197800,0.0,1.0
1999-12-03,28.13,28.13,27.88,28.0,100600,0.0,1.0
1999-12-06,28.0,28.0,27.69,27.88,107600,0.0,1.0
1999-12-07,27.81,27.81,26.63,27.19,102467,0.0,1.0
1999-12-08,27.06,27.44,26.75,27.19,98467,0.0,1.0
1999-12-09,27.13,27.13,26.31,26.38,81600,0.0,1.0
1999-12-10,26.5,26.5,25.75,26.13,107400,0.0,1.0
1999-12-13,25.75,26.63,25.56,26.19,119267,0.0,1.0
1999-12-14,25.94,25.94,25.63,25.63,71267,0.0,1.0
1999-12-15,25.69,26.31,25.56,26.13,86000,0.0,1.0
1999-12-16,26.31,27.13,26.31,27.13,135067,0.0,1.0
1999-12-17,26.87,27.75,26.69,27.25,121600,0.0,1.0
1999-12-20,27.0,27.44,26.81,27.25,77600,0.0,1.0
1999-12-21,27.25,27.44,26.94,27.44,87667,0.0,1.0
1999-12-22,27.44,28.13,27.44,27.75,155467,0.0,1.0
1999-12-23,27.94,29.0,27.88,28.19,109000,0.0,1.0
1999-12-27,28.44,28.5,27.25,27.69,68400,0.0,1.0
1999-12-28,27.56,27.75,26.25,26.88,88400,0.0,1.0
1999-12-29,26.94,26.94,26.56,26.69,70667,0.0,1.0
1999-12-30,26.63,26.75,25.75,26.25,229067,0.0,1.0
1999-12-31,26.44,26.94,25.94,26.69,76267,0.0,1.0
2000-01-03,27.06,27.19,25.25,26.0,119867,0.0,1.0
2000-01-04,26.0,26.19,25.19,25.38,136067,0.0,1.0
2000-01-05,25.5,25.75,25.25,25.44,127800,0.0,1.0
2000-01-06,25.38,26.38,25.25,26.25,161667,0.0,1.0
2000-01-07,26.25,27.25,26.25,27.25,78400,0.0,1.0
2000-01-10,27.38,27.44,26.56,26.88,51067,0.0,1.0
2000-01-11,27.0,27.13,26.44,26.63,99867,0.0,1.0
2000-01-12,26.69,26.88,25.94,26.13,69200,0.0,1.0
2000-01-13,26.63,27.38,26.13,27.31,89067,0.0,1.0
2000-01-14,27.25,27.75,27.0,27.06,93667,0.0,1.0
2000-01-18,26.94,26.94,25.25,26.19,87467,0.0,1.0
2000-01-19,26.06,26.13,25.5,25.88,47800,0.0,1.0
2000-01-20,26.0,26.13,25.44,25.75,46667,0.0,1.0
2000-01-21,25.81,25.81,24.75,24.81,90600,0.0,1.0
2000-01-24,24.81,25.06,23.94,24.31,105867,0.0,1.0
2000-01-25,24.25,24.5,21.75,22.88,232600,0.0,1.0
2000-01-26,23.13,23.38,23.0,23.31,69600,0.0,1.0
2000-01-27,23.75,23.94,22.88,22.94,97467,0.0,1.0
2000-01-28,23.13,23.38,22.13,22.19,99400,0.0,1.0
2000-01-31,22.25,22.63,21.69,22.06,104600,0.0,1.0
2000-02-01,22.19,22.19,20.56,20.56,197867,0.0,1.0
2000-02-02,20.75,21.81,20.75,21.25,125467,0.0,1.0
2000-02-03,21.5,21.81,20.44,20.69,121667,0.0,1.0
2000-02-04,20.81,20.88,19.81,20.25,108400,0.0,1.0
2000-02-07,20.0,20.13,19.38,19.38,207667,0.0,1.0
2000-02-08,19.0,19.69,17.0,18.25,388267,0.07,1.0
2000-02-09,18.0,18.0,15.25,16.44,886000,0.0,1.0
2000-02-10,16.5,17.25,15.75,16.38,532067,0.0,1.0
2000-02-11,16.38,16.75,15.63,15.94,240667,0.0,1.0
2000-02-14,16.31,16.81,16.19,16.81,260000,0.0,1.0
2000-02-15,17.06,18.5,17.06,18.5,243867,0.0,1.0
2000-02-16,18.38,19.69,17.38,18.06,241200,0.0,1.0
2000-02-17,18.19,18.31,17.5,18.06,100800,0.0,1.0
2000-02-18,17.88,18.31,17.0,17.06,141467,0.0,1.0
2000-02-22,16.94,17.56,16.69,17.19,106800,0.0,1.0
2000-02-23,17.63,17.63,17.25,17.31,139267,0.0,1.0
2000-02-24,17.25,17.5,16.81,16.88,123200,0.0,1.0
2000-02-25,16.81,17.0,16.56,16.63,86667,0.0,1.0
2000-02-28,16.75,17.38,16.31,17.19,170067,0.0,1.0
2000-02-29,17.13,17.63,17.06,17.06,241667,0.0,1.0
2000-03-01,17.06,17.5,16.88,17.06,112800,0.0,1.0
2000-03-02,17.06,17.31,16.81,16.94,104467,0.0,1.0
2000-03-03,16.88,17.63,16.88,17.63,327600,0.0,1.0
2000-03-06,17.88,18.13,17.56,17.88,174200,0.0,1.0
2000-03-07,17.75,17.81,17.0,17.13,174667,0.0,1.0
2000-03-08,17.13,17.63,16.81,16.81,168267,0.0,1.0
2000-03-09,16.94,17.44,16.88,16.94,141600,0.0,1.0
2000-03-10,16.44,16.63,14.94,14.94,318400,0.0,1.0
2000-03-13,15.0,15.5,14.69,15.0,273200,0.0,1.0
2000-03-14,15.0,15.38,14.75,14.81,270067,0.0,1.0
2000-03-15,14.94,15.44,14.69,15.19,292800,0.0,1.0
2000-03-16,15.31,16.5,15.25,15.75,403667,0.0,1.0
2000-03-17,15.38,16.13,15.25,15.31,258467,0.0,1.0
2000-03-20,15.25,16.06,14.75,16.0,458000,0.0,1.0
2000-03-21,15.88,15.94,15.38,15.94,141200,0.0,1.0
2000-03-22,15.88,16.0,15.63,15.81,64267,0.0,1.0
2000-03-23,15.75,16.63,15.69,16.13,124400,0.0,1.0
2000-03-24,16.19,16.31,15.31,15.38,158467,0.0,1.0
2000-03-27,15.5,15.63,15.25,15.25,84200,0.0,1.0
2000-03-28,15.38,15.38,15.0,15.0,249600,0.0,1.0
2000-03-29,15.13,15.38,15.0,15.06,101800,0.0,1.0
2000-03-30,15.19,16.88,15.19,16.44,209200,0.0,1.0
2000-03-31,16.5,17.5,16.31,17.19,306800,0.0,1.0
2000-04-03,17.19,17.88,16.56,17.88,122867,0.0,1.0
2000-04-04,17.88,17.94,16.69,17.06,109400,0.0,1.0
2000-04-05,16.88,17.38,16.75,17.06,77400,0.0,1.0
2000-04-06,17.0,17.19,16.63,16.69,54800,0.0,1.0
2000-04-07,16.63,16.69,16.38,16.5,99467,0.0,1.0
2000-04-10,16.63,17.25,16.63,17.0,85467,0.0,1.0
2000-04-11,17.25,17.25,16.69,16.81,58200,0.0,1.0
2000-04-12,16.94,17.38,16.5,16.63,219067,0.0,1.0
2000-04-13,16.75,17.25,16.63,17.13,107800,0.0,1.0
2000-04-14,17.06,17.06,16.06,16.38,201600,0.0,1.0
2000-04-17,16.56,17.13,16.38,16.75,214000,0.0,1.0
2000-04-18,16.69,16.69,16.25,16.63,84467,0.0,1.0
2000-04-19,16.56,16.56,16.0,16.38,127467,0.0,1.0
2000-04-20,16.38,17.0,16.25,16.75,76000,0.0,1.0
2000-04-24,16.63,17.06,16.5,16.88,85667,0.0,1.0
2000-04-25,16.81,16.81,16.13,16.13,115267,0.0,1.0
2000-04-26,16.13,16.75,16.0,16.69,79467,0.0,1.0
2000-04-27,16.31,16.81,16.06,16.81,73267,0.0,1.0
2000-04-28,17.06,18.38,17.06,17.88,223600,0.0,1.0
2000-05-01,17.94,19.06,17.88,18.88,170200,0.0,1.0
2000-05-02,18.63,19.06,18.38,19.0,78867,0.0,1.0
2000-05-03,19.0,19.0,18.56,18.81,47267,0.0,1.0
2000-05-04,18.88,19.5,18.88,19.19,87000,0.0,1.0
2000-05-05,19.13,19.69,19.06,19.63,70800,0.0,1.0
2000-05-08,19.63,19.63,18.94,19.19,85800,0.0,1.0
2000-05-09,19.38,19.38,18.63,19.06,124067,0.0,1.0
2000-05-10,19.0,19.0,18.38,18.94,80867,0.07,1.0
2000-05-11,19.06,19.19,18.81,19.19,72867,0.0,1.0
2000-05-12,19.25,19.25,18.13,18.19,92667,0.0,1.0
2000-05-15,18.19,18.56,17.81,18.56,112067,0.0,1.0
2000-05-16,18.75,18.88,18.06,18.44,75200,0.0,1.0
2000-05-17,18.44,18.5,18.13,18.25,35800,0.0,1.0
2000-05-18,18.19,18.38,18.06,18.25,41200,0.0,1.0
2000-05-19,18.13,18.19,17.56,17.88,56200,0.0,1.0
2000-05-22,17.75,17.94,17.5,17.81,44000,0.0,1.0
2000-05-23,17.81,18.0,17.56,17.63,37667,0.0,1.0
2000-05-24,17.69,18.44,17.63,18.19,53000,0.0,1.0
2000-05-25,18.19,18.56,17.5,17.5,75667,0.0,1.0
2000-05-26,17.56,17.88,17.44,17.69,31000,0.0,1.0
2000-05-30,17.56,18.13,17.56,17.94,33800,0.0,1.0
2000-05-31,17.94,18.0,17.81,17.94,80400,0.0,1.0
2000-06-01,18.13,19.5,18.13,19.0,112667,0.0,1.0
2000-06-02,19.13,19.5,18.75,18.94,47867,0.0,1.0
2000-06-05,18.5,18.75,18.31,18.5,39467,0.0,1.0
2000-06-06,18.38,19.0,18.38,18.44,43400,0.0,1.0
2000-06-07,18.56,18.94,18.25,18.38,44200,0.0,1.0
2000-06-08,18.44,18.63,18.06,18.44,67067,0.0,1.0
2000-06-09,18.44,18.63,18.31,18.56,74067,0.0,1.0
2000-06-12,18.69,19.0,18.38,19.0,72800,0.0,1.0
2000-06-13,19.0,19.44,18.75,19.44,79467,0.0,1.0
2000-06-14,19.44,19.44,19.0,19.19,37000,0.0,1.0
2000-06-15,19.25,20.5,19.13,20.38,142400,0.0,1.0
2000-06-16,20.5,20.88,19.44,19.44,204200,0.0,1.0
2000-06-19,19.19,19.56,19.0,19.56,54067,0.0,1.0
2000-06-20,19.81,19.81,19.38,19.69,78067,0.0,1.0
2000-06-21,19.75,19.88,19.56,19.63,46067,0.0,1.0
2000-06-22,19.63,19.63,18.81,18.88,85467,0.0,1.0
2000-06-23,18.69,18.94,18.25,18.56,136667,0.0,1.0
2000-06-26,18.56,19.38,18.44,19.38,56800,0.0,1.0
2000-06-27,19.38,19.63,18.81,19.0,75667,0.0,1.0
2000-06-28,19.0,19.5,18.31,19.44,178667,0.0,1.0
2000-06-29,19.31,19.31,19.0,19.06,50867,0.0,1.0
2000-06-30,19.13,19.13,18.0,18.0,144467,0.0,1.0
2000-07-03,17.75,19.0,17.75,18.88,123267,0.0,1.0
2000-07-05,18.88,18.94,18.44,18.44,77867,0.0,1.0
2000-07-06,18.5,18.63,18.31,18.31,115667,0.0,1.0
2000-07-07,18.31,18.81,18.25,18.44,215400,0.0,1.0
2000-07-10,18.5,19.19,18.5,19.0,65667,0.0,1.0
2000-07-11,19.0,19.63,18.75,18.88,84000,0.0,1.0
2000-07-12,18.88,19.38,18.88,18.88,40467,0.0,1.0
2000-07-13,18.75,18.81,18.0,18.06,60067,0.0,1.0
2000-07-14,18.13,18.81,18.13,18.25,64067,0.0,1.0
2000-07-17,18.31,18.44,18.13,18.31,33400,0.0,1.0
2000-07-18,18.13,18.88,18.13,18.31,78067,0.0,1.0
2000-07-19,18.25,18.94,18.25,18.5,73067,0.0,1.0
2000-07-20,18.75,18.75,18.25,18.44,33000,0.0,1.0
2000-07-21,18.38,18.63,17.94,18.06,79267,0.0,1.0
2000-07-24,18.06,18.13,17.69,17.69,49467,0.0,1.0
2000-07-25,17.81,18.88,17.69,18.63,68667,0.0,1.0
2000-07-26,18.56,18.94,18.25,18.94,54467,0.0,1.0
2000-07-27,18.75,18.81,18.19,18.19,39667,0.0,1.0
2000-07-28,18.25,18.5,18.06,18.19,27067,0.0,1.0
2000-07-31,18.19,18.44,17.63,17.75,59667,0.0,1.0
2000-08-01,17.69,18.13,17.56,18.06,26600,0.0,1.0
2000-08-02,18.0,18.0,17.56,17.63,64867,0.0,1.0
2000-08-03,17.63,19.5,17.63,18.81,158800,0.0,1.0
2000-08-04,18.88,19.31,18.88,19.13,113267,0.0,1.0
2000-08-07,19.25,19.38,17.81,17.88,166800,0.0,1.0
2000-08-08,17.88,18.0,17.56,17.56,45667,0.0,1.0
2000-08-09,17.5,17.69,17.31,17.56,96200,0.07,1.0
2000-08-10,18.0,18.63,18.0,18.31,104400,0.0,1.0
2000-08-11,18.31,18.94,18.31,18.81,69667,0.0,1.0
2000-08-14,18.81,19.19,18.81,18.88,38400,0.0,1.0
2000-08-15,18.88,19.0,18.63,18.63,54667,0.0,1.0
2000-08-16,18.75,18.75,18.0,18.06,38467,0.0,1.0
2000-08-17,18.13,18.13,18.0,18.06,22867,0.0,1.0
2000-08-18,18.06,18.13,17.88,17.94,60067,0.0,1.0
2000-08-21,17.94,18.13,17.81,17.94,23467,0.0,1.0
2000-08-22,18.0,18.19,17.81,17.88,52067,0.0,1.0
2000-08-23,17.94,18.0,17.94,17.94,27867,0.0,1.0
2000-08-24,17.81,18.0,17.81,18.0,39400,0.0,1.0
2000-08-25,18.0,18.0,17.81,17.94,31467,0.0,1.0
2000-08-28,17.94,18.13,17.75,17.75,113600,0.0,1.0
2000-08-29,17.63,17.94,17.63,17.94,39200,0.0,1.0
