date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,115.8,118.8,115.1,115.7,799950,0.0,1.0
1999-11-02,115.0,117.3,113.6,116.9,923250,0.0,1.0
1999-11-03,117.5,122.8,116.9,120.6,1091550,0.0,1.0
1999-11-04,120.9,124.3,120.6,122.1,820050,0.0,1.0
1999-11-05,124.2,135.4,124.0,132.8,1112100,0.0,1.0
1999-11-08,132.3,136.9,126.1,128.5,981300,0.0,1.0
1999-11-09,131.0,134.5,129.5,131.4,1431600,0.0,1.0
1999-11-10,131.0,133.9,129.1,130.8,1168800,0.0,1.0
1999-11-11,132.5,139.0,131.5,138.0,1401450,0.0,1.0
1999-11-12,136.1,139.0,121.4,127.6,2527200,0.0,1.0
1999-11-15,127.3,127.3,121.9,122.2,679050,0.0,1.0
1999-11-16,125.0,127.0,118.0,125.8,898200,0.0,1.0
1999-11-17,122.5,128.1,121.9,123.4,766200,0.0,1.0
1999-11-18,125.1,125.7,123.3,125.0,307800,0.0,1.0
1999-11-19,128.0,130.0,123.3,129.0,693750,0.0,1.0
1999-11-22,127.3,135.8,127.3,130.8,660300,0.0,1.0
1999-11-23,130.8,131.3,123.0,125.0,642150,0.0,1.0
1999-11-24,125.1,135.4,121.8,133.3,757800,0.0,1.0
1999-11-26,135.8,145.0,131.8,145.0,870600,0.0,1.0
1999-11-29,144.3,146.9,139.7,143.8,747900,0.0,1.0
1999-11-30,143.6,144.0,137.9,141.6,939450,0.0,1.0
1999-12-01,143.0,149.8,140.6,147.6,1120200,0.0,1.0
1999-12-02,149.1,167.5,149.0,163.3,1773450,0.0,1.0
1999-12-03,165.8,170.6,160.0,168.1,1175250,0.0,1.0
1999-12-06,168.7,169.1,164.8,167.6,658650,0.0,1.0
1999-12-07,168.6,187.5,167.4,176.3,1378800,0.0,1.0
1999-12-08,179.5,193.5,179.4,192.5,1017900,0.0,1.0
1999-12-09,199.5,208.2,187.4,202.9,1715400,0.0,1.0
1999-12-10,204.5,204.9,200.2,200.2,877200,0.0,1.0
1999-12-13,200.5,223.5,199.4,209.1,1666350,0.0,1.0
1999-12-14,211.6,212.9,185.5,191.4,1167600,0.0,1.0
1999-12-15,184.0,199.7,177.0,198.9,1688850,0.0,1.0
1999-12-16,201.1,205.4,190.0,196.9,834000,0.0,1.0
1999-12-17,206.0,206.1,194.4,198.0,540150,0.0,1.0
1999-12-20,204.8,205.0,185.0,192.8,813900,0.0,1.0
1999-12-21,197.5,197.9,189.8,193.4,377250,0.0,1.0
1999-12-22,194.2,196.0,184.0,187.3,539700,0.0,1.0
1999-12-23,185.3,188.5,180.3,185.0,419850,0.0,1.0
1999-12-27,186.3,189.9,174.6,183.4,577650,0.0,1.0
1999-12-28,184.1,195.5,178.3,187.8,506400,0.0,1.0
1999-12-29,189.0,194.0,189.0,192.1,319650,0.0,1.0
1999-12-30,196.3,198.0,193.2,195.1,284550,0.0,1.0
1999-12-31,195.5,203.6,193.0,198.8,167100,0.0,1.0
2000-01-03,205.0,218.5,198.8,218.5,801300,0.0,1.0
2000-01-04,212.8,217.9,194.0,198.8,812100,0.0,1.0
2000-01-05,197.0,200.9,186.0,196.0,1186500,0.0,1.0
2000-01-06,191.5,195.5,174.5,183.2,842550,0.0,1.0
2000-01-07,182.8,197.0,176.0,191.9,946800,0.0,1.0
2000-01-10,201.0,213.0,201.0,211.8,826950,0.0,1.0
2000-01-11,204.0,218.5,201.0,202.5,677850,0.0,1.0
2000-01-12,206.1,206.9,189.5,190.5,606150,0.0,1.0
2000-01-13,195.6,198.0,190.6,197.9,536250,0.0,1.0
2000-01-14,211.1,239.0,209.6,236.0,1394550,0.0,1.0
2000-01-18,234.3,249.0,227.1,242.3,643500,0.0,1.0
2000-01-19,250.6,254.5,239.8,241.0,816900,0.0,1.0
2000-01-20,245.0,248.2,237.0,241.5,622350,0.0,1.0
2000-01-21,241.0,250.0,239.0,246.8,832950,0.0,1.0
2000-01-24,251.3,273.0,247.8,255.6,1207350,0.0,1.0
2000-01-25,252.0,283.8,249.0,279.4,995250,0.0,1.0
2000-01-26,278.0,284.0,258.1,262.0,604500,0.0,1.0
