date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-07-28,7.65,7.65,7.65,7.65,500,0.0,1.0
2009-07-29,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-07-30,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-07-31,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-08-03,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-08-04,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-08-05,7.65,7.65,7.65,7.65,0,0.0,1.0
2009-08-06,7.85,7.85,7.85,7.85,1000,0.0,1.0
2009-08-07,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-10,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-11,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-12,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-13,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-14,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-17,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-18,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-19,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-20,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-21,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-24,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-25,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-26,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-27,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-28,7.85,7.85,7.85,7.85,0,0.0,1.0
2009-08-31,6.2,6.2,6.2,6.2,5769,0.0,1.0
2009-09-01,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-09-02,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-09-03,6.25,6.25,6.25,6.25,127,0.0,1.0
2009-09-04,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-08,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-09,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-10,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-11,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-14,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-15,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-16,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-17,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-18,6.25,6.25,6.25,6.25,0,0.0,1.0
2009-09-21,6.1,6.1,6.1,6.1,5769,0.0,1.0
2009-09-22,6.1,6.1,6.1,6.1,0,0.0,1.0
2009-09-23,6.1,6.1,6.1,6.1,0,0.0,1.0
2009-09-24,6.1,6.1,6.1,6.1,0,0.0,1.0
2009-09-25,6.1,6.1,6.1,6.1,0,0.0,1.0
2009-09-28,6.1,6.1,6.1,6.1,0,0.0,1.0
2009-09-29,6.2,6.2,6.2,6.2,1650,0.0,1.0
2009-09-30,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-01,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-02,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-05,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-06,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-07,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-08,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-09,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-12,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-13,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-14,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-15,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-16,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-19,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-20,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-21,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-22,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-23,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-26,6.2,6.2,6.2,6.2,0,0.0,1.0
2009-10-27,6.76,6.76,6.76,6.76,16375,0.0,1.0
2009-10-28,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-10-29,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-10-30,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-02,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-03,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-04,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-05,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-06,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-09,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-10,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-11,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-12,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-13,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-16,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-17,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-18,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-19,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-20,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-23,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-24,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-25,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-27,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-11-30,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-01,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-02,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-03,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-04,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-07,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-08,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-09,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-10,6.76,6.76,6.76,6.76,0,0.0,1.0
2009-12-11,6.76,6.76,6.76,6.76,0,0.0,1.0
