date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,14.88,15.19,14.88,15.12,503500,0.0,1.0
1999-11-02,15.0,15.0,14.75,14.75,265100,0.0,1.0
1999-11-03,14.62,14.62,14.12,14.56,384300,0.0,1.0
1999-11-04,14.69,15.06,14.69,14.88,244100,0.0,1.0
1999-11-05,14.94,15.19,14.88,15.06,333300,0.0,1.0
1999-11-08,15.0,15.12,14.12,14.38,354100,0.0,1.0
1999-11-09,14.56,14.62,14.25,14.31,235700,0.0,1.0
1999-11-10,14.38,14.38,13.69,13.69,243300,0.0,1.0
1999-11-11,13.56,13.75,13.19,13.19,253600,0.0,1.0
1999-11-12,13.19,14.94,13.19,14.38,310200,0.0,1.0
1999-11-15,14.38,14.38,13.88,14.0,124000,0.0,1.0
1999-11-16,14.0,14.5,13.81,14.44,283000,0.0,1.0
1999-11-17,14.31,14.69,14.25,14.69,191100,0.0,1.0
1999-11-18,14.56,14.56,14.06,14.06,286500,0.0,1.0
1999-11-19,14.19,14.19,13.56,13.75,406300,0.0,1.0
1999-11-22,13.88,13.94,13.25,13.5,301600,0.0,1.0
1999-11-23,13.62,13.62,13.31,13.5,199600,0.0,1.0
1999-11-24,13.5,13.69,13.0,13.56,267200,0.0,1.0
1999-11-26,13.62,13.62,13.38,13.44,62300,0.0,1.0
1999-11-29,13.5,13.56,13.06,13.5,208700,0.0,1.0
1999-11-30,13.38,13.5,12.88,12.88,329400,0.0,1.0
1999-12-01,12.94,13.19,12.75,12.94,162000,0.0,1.0
1999-12-02,12.94,13.0,12.44,12.62,362200,0.0,1.0
1999-12-03,12.75,13.12,12.75,13.0,196700,0.0,1.0
1999-12-06,13.0,13.06,12.81,12.94,367300,0.0,1.0
1999-12-07,12.88,13.25,12.88,13.0,312300,0.0,1.0
1999-12-08,12.94,13.0,12.62,12.62,229900,0.0,1.0
1999-12-09,12.5,13.5,12.38,13.12,470600,0.0,1.0
1999-12-10,13.12,13.5,13.0,13.5,200500,0.0,1.0
