date,open_price,high_price,low_price,close_price,volume,dividend,split
2021-04-01,21.25,22.11,19.75,20.15,13577628,0.0,1.0
2021-04-05,21.1,21.1,17.5,18.59,7173746,0.0,1.0
2021-04-06,18.78,19.55,18.15,18.7,2272740,0.0,1.0
2021-04-07,18.57,18.97,17.0,17.2,2626558,0.0,1.0
2021-04-08,17.25,17.86,16.75,16.81,1531614,0.0,1.0
2021-04-09,16.75,17.56,16.5,17.31,999478,0.0,1.0
2021-04-12,17.45,17.49,16.95,17.11,984782,0.0,1.0
2021-04-13,17.25,17.82,17.13,17.52,711669,0.0,1.0
2021-04-14,17.46,18.24,17.36,17.99,951965,0.0,1.0
2021-04-15,18.24,18.38,17.8,18.27,724915,0.0,1.0
2021-04-16,18.25,18.35,17.9,18.03,807999,0.0,1.0
2021-04-19,18.17,18.64,17.08,17.78,1005357,0.0,1.0
2021-04-20,17.68,17.75,17.0,17.22,1300467,0.0,1.0
2021-04-21,17.15,17.72,17.1,17.7,872859,0.0,1.0
2021-04-22,17.87,17.91,17.33,17.5,767795,0.0,1.0
2021-04-23,17.42,17.95,17.42,17.62,420842,0.0,1.0
2021-04-26,18.25,18.47,17.93,18.0,963115,0.0,1.0
2021-04-27,17.85,18.1,17.67,18.0,571995,0.0,1.0
2021-04-28,18.14,18.73,18.06,18.73,802090,0.0,1.0
2021-04-29,19.14,19.4,18.73,18.83,998550,0.0,1.0
2021-04-30,18.7,19.24,18.7,19.02,537924,0.0,1.0
2021-05-03,19.37,19.39,18.25,18.28,308463,0.0,1.0
