date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,43.75,45.88,43.44,45.0,1640000,0.0,1.0
1999-11-02,45.5,46.25,44.88,45.25,853300,0.0,1.0
1999-11-03,46.38,47.0,44.81,45.81,473100,0.0,1.0
1999-11-04,46.0,46.63,43.63,44.25,315500,0.0,1.0
1999-11-05,44.75,47.0,44.75,45.13,383200,0.0,1.0
1999-11-08,46.25,50.13,45.63,50.06,796200,0.0,1.0
1999-11-09,51.13,58.75,50.63,56.75,2684700,0.0,1.0
1999-11-10,56.0,63.56,55.06,61.13,2314300,0.0,1.0
1999-11-11,61.44,62.5,54.38,57.63,1336700,0.0,1.0
1999-11-12,57.0,57.63,51.75,57.44,1015300,0.0,1.0
1999-11-15,57.75,61.38,57.5,58.31,495800,0.0,1.0
1999-11-16,59.13,59.5,56.56,56.88,412200,0.0,1.0
1999-11-17,56.88,58.75,53.5,54.5,581600,0.0,1.0
1999-11-18,54.5,61.88,54.25,61.5,698800,0.0,1.0
1999-11-19,60.75,61.44,58.13,59.13,460500,0.0,1.0
1999-11-22,59.13,59.5,58.0,58.81,301700,0.0,1.0
1999-11-23,58.0,59.0,55.0,56.38,473200,0.0,1.0
1999-11-24,56.5,57.38,54.13,56.5,520100,0.0,1.0
1999-11-26,57.0,59.44,56.63,59.0,247500,0.0,1.0
1999-11-29,59.38,60.5,56.88,57.56,528500,0.0,1.0
1999-11-30,57.75,60.75,56.0,57.13,459900,0.0,1.0
1999-12-01,57.38,58.75,55.25,56.06,521300,0.0,1.0
1999-12-02,56.25,60.13,56.0,59.88,486800,0.0,1.0
1999-12-03,61.5,68.38,61.13,65.88,1313700,0.0,1.0
1999-12-06,68.5,72.0,66.5,68.75,726400,0.0,1.0
1999-12-07,69.75,72.0,66.56,69.81,438700,0.0,1.0
1999-12-08,70.0,74.5,69.75,73.63,489600,0.0,1.0
1999-12-09,75.25,75.94,71.13,74.0,583200,0.0,1.0
1999-12-10,74.0,75.0,70.0,70.13,350200,0.0,1.0
1999-12-13,70.13,74.75,70.13,71.75,349300,0.0,1.0
1999-12-14,72.0,72.5,70.25,71.19,297700,0.0,1.0
1999-12-15,69.0,70.0,63.63,66.13,657900,0.0,1.0
1999-12-16,66.0,71.0,65.25,68.63,449900,0.0,1.0
1999-12-17,70.5,72.88,69.63,70.5,527500,0.0,1.0
1999-12-20,70.63,71.75,68.25,69.75,209700,0.0,1.0
1999-12-21,69.0,77.88,68.63,75.88,464000,0.0,1.0
1999-12-22,76.0,76.0,71.75,75.75,383400,0.0,1.0
1999-12-23,75.88,79.0,75.63,75.75,373900,0.0,1.0
1999-12-27,77.0,80.06,74.38,77.38,232200,0.0,1.0
1999-12-28,77.38,80.25,76.13,79.13,371800,0.0,1.0
1999-12-29,79.75,88.5,79.0,86.38,562100,0.0,1.0
1999-12-30,89.0,89.25,84.5,84.88,225500,0.0,1.0
1999-12-31,86.0,86.38,83.38,85.38,74400,0.0,1.0
2000-01-03,85.38,85.38,85.38,85.38,645200,0.0,1.0
2000-01-04,81.81,82.5,76.56,76.56,477200,0.0,1.0
2000-01-05,73.5,76.81,67.13,75.38,860700,0.0,1.0
2000-01-06,73.0,75.13,66.63,66.69,691300,0.0,1.0
2000-01-07,67.25,74.06,67.13,74.06,824800,0.0,1.0
2000-01-10,78.0,83.0,77.5,82.75,522800,0.0,1.0
2000-01-11,83.25,83.63,78.38,79.56,775100,0.0,1.0
2000-01-12,77.75,85.0,77.63,83.63,943300,0.0,1.0
2000-01-13,84.81,85.88,83.0,85.19,475000,0.0,1.0
2000-01-14,86.38,87.5,85.38,86.25,2215700,0.0,1.0
2000-01-18,85.81,91.5,84.13,90.69,2017900,0.0,1.0
2000-01-19,90.5,97.38,87.75,94.63,1298100,0.0,1.0
2000-01-20,98.0,102.1,96.13,99.25,725100,0.0,1.0
2000-01-21,100.1,103.9,100.0,102.8,407200,0.0,1.0
2000-01-24,105.1,107.0,91.0,91.38,719200,0.0,1.0
2000-01-25,95.0,105.0,92.63,104.3,846000,0.0,1.0
