date,open_price,high_price,low_price,close_price,volume,dividend,split
2003-10-24,24.05,25.03,23.4,24.65,4516300,0.0,1.0
2003-10-27,24.75,26.4,24.71,25.8,700100,0.0,1.0
2003-10-28,26.2,28.3,26.2,28.3,739200,0.0,1.0
2003-10-29,28.5,29.9,27.2,27.81,390400,0.0,1.0
2003-10-30,28.06,28.7,26.9,27.25,222600,0.0,1.0
2003-10-31,27.3,28.0,25.9,28.0,436300,0.0,1.0
2003-11-03,28.0,28.78,27.77,28.38,140600,0.0,1.0
2003-11-04,28.48,28.92,28.3,28.59,102900,0.0,1.0
2003-11-05,28.55,28.69,28.3,28.69,32300,0.0,1.0
2003-11-06,28.79,28.85,28.6,28.7,73400,0.0,1.0
2003-11-07,28.85,28.94,28.64,28.66,174000,0.0,1.0
2003-11-10,28.55,28.64,28.4,28.55,200800,0.0,1.0
2003-11-11,28.5,28.54,28.4,28.4,142200,0.0,1.0
2003-11-12,28.41,29.4,28.41,28.9,126700,0.0,1.0
2003-11-13,28.9,28.9,28.4,28.75,150500,0.0,1.0
2003-11-14,28.75,28.75,28.4,28.4,86600,0.0,1.0
2003-11-17,28.4,28.4,27.65,27.8,72400,0.0,1.0
2003-11-18,27.8,27.95,26.35,26.4,147600,0.0,1.0
2003-11-19,26.15,26.15,24.75,25.1,289700,0.0,1.0
2003-11-20,24.5,25.15,23.8,24.74,324700,0.0,1.0
2003-11-21,24.74,25.68,24.6,25.64,324400,0.0,1.0
2003-11-24,26.0,28.61,25.73,27.92,344000,0.0,1.0
2003-11-25,27.92,28.0,26.7,27.4,95000,0.0,1.0
2003-11-26,27.4,27.44,26.65,27.07,82700,0.0,1.0
2003-11-28,27.01,27.2,27.0,27.18,35500,0.0,1.0
2003-12-01,27.3,27.9,27.15,27.75,119200,0.0,1.0
2003-12-02,27.65,28.2,27.5,27.9,97500,0.0,1.0
2003-12-03,28.0,28.5,26.3,26.4,263700,0.0,1.0
2003-12-04,26.55,27.0,25.45,26.0,259100,0.0,1.0
2003-12-05,25.5,25.85,25.5,25.55,140200,0.0,1.0
2003-12-08,25.0,25.3,24.34,24.4,232300,0.0,1.0
2003-12-09,24.5,24.95,24.5,24.6,226200,0.0,1.0
2003-12-10,24.65,25.6,24.6,25.24,212900,0.0,1.0
2003-12-11,25.25,25.45,25.25,25.29,128000,0.0,1.0
2003-12-12,25.2,25.2,24.6,24.8,170600,0.0,1.0
2003-12-15,24.9,25.0,24.76,24.8,49200,0.0,1.0
2003-12-16,24.8,25.0,24.78,24.99,75400,0.0,1.0
2003-12-17,25.0,25.4,24.99,25.1,110400,0.0,1.0
2003-12-18,25.15,25.55,25.1,25.35,101200,0.0,1.0
2003-12-19,25.5,25.5,25.35,25.35,9400,0.0,1.0
2003-12-22,25.1,25.42,25.1,25.25,59200,0.0,1.0
2003-12-23,25.25,25.49,25.25,25.4,35300,0.0,1.0
2003-12-24,25.45,25.55,25.4,25.44,19200,0.0,1.0
2003-12-26,25.54,25.9,25.5,25.9,10600,0.0,1.0
2003-12-29,25.9,26.0,25.85,25.93,41500,0.0,1.0
2003-12-30,25.94,26.1,25.85,25.9,80700,0.0,1.0
2003-12-31,25.9,25.9,25.45,25.45,29500,0.0,1.0
2004-01-02,25.46,25.75,25.05,25.14,33900,0.0,1.0
2004-01-05,25.19,25.35,25.05,25.34,56800,0.0,1.0
2004-01-06,25.35,25.65,25.34,25.55,49800,0.0,1.0
2004-01-07,25.5,26.2,25.5,26.2,73800,0.0,1.0
2004-01-08,26.2,26.35,26.06,26.25,38000,0.0,1.0
2004-01-09,26.22,26.22,25.2,25.35,100700,0.0,1.0
2004-01-12,25.3,25.3,25.0,25.0,39700,0.0,1.0
2004-01-13,25.0,25.3,24.91,25.3,55400,0.0,1.0
2004-01-14,25.25,25.35,24.9,25.05,31200,0.0,1.0
2004-01-15,25.0,25.99,24.9,25.99,262000,0.0,1.0
2004-01-16,25.99,27.1,25.95,27.1,100500,0.0,1.0
2004-01-20,27.1,27.3,26.8,26.9,60000,0.0,1.0
2004-01-21,26.85,27.05,26.8,27.05,36500,0.0,1.0
2004-01-22,27.05,27.15,26.8,27.15,18200,0.0,1.0
2004-01-23,27.15,27.73,27.15,27.65,29300,0.0,1.0
2004-01-26,27.7,28.09,27.1,28.05,32000,0.0,1.0
2004-01-27,28.05,28.05,27.8,27.81,12200,0.0,1.0
2004-01-28,27.75,28.55,27.75,28.26,66000,0.0,1.0
2004-01-29,28.2,28.23,28.05,28.15,9900,0.0,1.0
2004-01-30,28.1,28.1,27.94,28.0,26000,0.0,1.0
2004-02-02,28.0,28.3,27.85,27.9,44500,0.0,1.0
2004-02-03,27.9,27.92,27.45,27.45,92000,0.0,1.0
2004-02-04,27.5,27.5,27.0,27.06,78000,0.0,1.0
2004-02-05,27.1,27.25,27.04,27.25,68900,0.0,1.0
2004-02-06,27.3,27.77,27.3,27.66,39500,0.0,1.0
2004-02-09,27.7,28.5,27.7,28.5,65100,0.0,1.0
2004-02-10,28.5,28.63,28.4,28.63,17300,0.0,1.0
2004-02-11,28.6,29.0,28.45,29.0,31900,0.0,1.0
2004-02-12,28.9,29.0,28.8,28.86,19000,0.0,1.0
2004-02-13,28.86,29.2,28.5,28.66,43600,0.0,1.0
2004-02-17,28.7,28.7,28.35,28.6,49300,0.0,1.0
