date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,7.15,7.63,7.15,7.63,431,0.0,1.0
2008-10-28,7.5,7.5,7.5,7.5,306,0.0,1.0
2008-10-29,8.85,8.85,8.59,8.59,729,0.0,1.0
2008-10-30,8.25,8.25,8.25,8.25,532,0.0,1.0
2008-10-31,8.25,8.25,8.25,8.25,378,0.0,1.0
2008-11-03,8.25,8.25,8.25,8.25,0,0.0,1.0
2008-11-04,8.25,8.25,8.25,8.25,0,0.0,1.0
2008-11-05,8.0,8.0,8.0,8.0,206,0.0,1.0
2008-11-06,8.03,8.03,8.03,8.03,114,0.0,1.0
2008-11-07,8.03,8.03,8.03,8.03,0,0.0,1.0
2008-11-10,8.25,8.35,8.25,8.35,4486,0.0,1.0
2008-11-11,7.75,8.02,7.75,8.02,820,0.0,1.0
2008-11-12,7.75,7.85,7.65,7.85,1110,0.0,1.0
2008-11-13,8.2,8.2,8.2,8.2,670,0.0,1.0
2008-11-14,8.04,8.15,7.75,8.15,1787,0.0,1.0
2008-11-17,7.35,7.35,7.35,7.35,374,0.0,1.0
2008-11-18,7.84,7.84,7.65,7.7,2852,0.0,1.0
2008-11-19,7.7,7.7,7.4,7.4,3436,0.0,1.0
2008-11-20,7.37,7.37,7.37,7.37,996,0.0,1.0
2008-11-21,7.3,7.3,7.07,7.07,5538,0.0,1.0
2008-11-24,7.4,8.0,7.4,7.92,5453,0.0,1.0
2008-11-25,8.0,8.02,7.9,7.9,7375,0.0,1.0
2008-11-26,7.8,7.8,7.35,7.47,1372,0.0,1.0
2008-11-28,7.4,7.8,7.3,7.3,2327,0.0,1.0
2008-12-01,7.4,7.4,7.4,7.4,1317,0.0,1.0
2008-12-02,7.08,7.45,7.04,7.2,1582,0.0,1.0
2008-12-03,7.05,7.43,7.05,7.43,1404,0.0,1.0
2008-12-04,7.1,7.7,7.1,7.35,3517,0.0,1.0
2008-12-05,6.85,7.25,6.61,6.81,1311,0.0,1.0
2008-12-08,7.65,7.65,7.39,7.48,9242,0.0,1.0
2008-12-09,7.95,8.0,7.45,7.47,2974,0.0,1.0
2008-12-10,7.4,7.4,7.4,7.4,1497,0.0,1.0
2008-12-11,7.6,7.6,7.5,7.5,1686,0.0,1.0
2008-12-12,7.4,7.75,7.4,7.4,2378,0.0,1.0
2008-12-15,7.7,8.15,7.51,7.51,1596,0.0,1.0
2008-12-16,7.65,7.91,7.65,7.75,1879,0.0,1.0
