date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,73.9,74.74,73.9,73.9,3208,0.0,1.0
2007-07-16,74.25,74.88,74.25,74.25,3615,0.0,1.0
2007-07-17,74.35,74.94,74.35,74.35,1751,0.0,1.0
2007-07-18,72.65,73.36,72.65,72.65,40959,0.0,1.0
2007-07-19,71.85,72.63,71.85,71.85,8401,0.0,1.0
2007-07-20,70.1,70.6,70.1,70.1,12330,0.0,1.0
2007-07-23,70.15,70.35,70.15,70.15,24656,0.0,1.0
2007-07-24,68.0,69.51,68.0,68.0,35451,0.0,1.0
2007-07-25,67.0,68.12,67.0,67.0,3963,0.0,1.0
2007-07-26,63.25,64.9,63.25,63.25,2806,0.0,1.0
2007-07-27,65.05,65.05,65.05,65.05,1818,0.0,1.0
2007-07-30,64.0,65.0,64.0,64.0,1100,0.0,1.0
2007-07-31,66.4,67.15,66.4,66.4,8908,0.0,1.0
2007-08-01,62.5,65.15,62.5,62.5,4183,0.0,1.0
2007-08-02,66.5,67.65,66.5,66.5,5819,0.0,1.0
2007-08-03,65.5,67.62,65.5,65.5,35873,0.0,1.0
2007-08-06,66.75,67.15,66.75,66.75,20416,0.0,1.0
2007-08-07,69.75,70.23,69.75,69.75,28309,0.0,1.0
2007-08-08,71.0,71.56,71.0,71.0,8746,0.0,1.0
2007-08-09,68.75,69.6,68.75,68.75,14090,0.0,1.0
2007-08-10,67.25,68.0,67.25,67.25,7242,0.0,1.0
2007-08-13,67.8,69.39,67.8,67.8,3227,0.0,1.0
2007-08-14,66.1,67.34,66.1,66.1,15855,0.0,1.0
2007-08-15,64.1,64.6,64.1,64.1,3250,0.0,1.0
2007-08-16,63.0,63.69,63.0,63.0,14532,0.0,1.0
2007-08-17,66.5,66.94,66.5,66.5,7382,0.0,1.0
2007-08-20,65.45,65.86,65.45,65.45,14695,0.0,1.0
2007-08-21,65.5,65.5,65.5,65.5,19789,0.0,1.0
2007-08-22,66.25,66.27,66.25,66.25,7302,0.0,1.0
2007-08-23,65.75,65.85,65.75,65.75,2694,0.0,1.0
2007-08-24,66.6,66.6,66.6,66.6,11606,0.0,1.0
2007-08-27,66.3,66.48,66.3,66.3,4151,0.0,1.0
2007-08-28,65.0,65.58,65.0,65.0,1800,0.0,1.0
2007-08-29,65.5,65.5,65.5,65.5,9637,0.0,1.0
2007-08-30,64.7,65.0,64.7,64.7,14934,0.0,1.0
2007-08-31,65.5,66.32,65.5,65.5,14070,0.0,1.0
2007-09-04,67.25,67.25,67.25,67.25,24230,0.0,1.0
2007-09-05,66.0,66.15,66.0,66.0,14276,0.0,1.0
2007-09-06,65.7,65.75,65.7,65.7,1581,0.0,1.0
2007-09-07,64.75,64.75,64.75,64.75,25349,0.0,1.0
2007-09-10,64.5,64.7,64.5,64.5,9641,0.0,1.0
2007-09-11,64.5,64.6,64.5,64.5,8902,0.0,1.0
2007-09-12,64.9,65.0,64.9,64.9,5701,0.0,1.0
2007-09-13,65.25,65.7,65.25,65.25,3425,0.0,1.0
2007-09-14,64.5,64.5,64.5,64.5,5037,0.0,1.0
2007-09-17,63.5,63.76,63.5,63.5,22804,0.0,1.0
2007-09-18,65.5,65.75,65.5,65.5,16348,0.0,1.0
2007-09-19,67.1,67.88,67.1,67.1,27504,0.0,1.0
2007-09-20,67.25,67.53,67.25,67.25,6309,0.0,1.0
2007-09-21,66.0,66.5,66.0,66.0,920,0.0,1.0
2007-09-24,65.88,65.9,65.88,65.88,12396,0.0,1.0
2007-09-25,65.5,65.5,65.5,65.5,6718,0.0,1.0
2007-09-26,65.25,65.25,65.25,65.25,11036,0.0,1.0
2007-09-27,65.82,65.82,65.82,65.82,5825,0.0,1.0
2007-09-28,66.25,66.25,66.25,66.25,1050,0.0,1.0
2007-10-01,67.75,67.86,67.75,67.75,12390,0.0,1.0
2007-10-02,68.6,68.78,68.6,68.6,5527,0.0,1.0
2007-10-03,68.8,69.46,68.8,68.8,7176,0.0,1.0
2007-10-04,69.1,69.34,69.1,69.1,3510,0.0,1.0
2007-10-05,69.5,69.5,69.5,69.5,5291,0.0,1.0
2007-10-08,68.7,69.1,68.7,68.7,7304,0.0,1.0
2007-10-09,68.5,68.5,68.5,68.5,8775,0.0,1.0
2007-10-10,69.0,69.2,69.0,69.0,151276,0.0,1.0
2007-10-11,68.85,69.0,68.85,68.85,18911,0.0,1.0
2007-10-12,68.65,68.65,68.65,68.65,1288,0.0,1.0
2007-10-15,68.0,68.5,68.0,68.0,1459,0.0,1.0
2007-10-16,67.21,67.21,67.21,67.21,1768,0.0,1.0
2007-10-17,67.55,67.75,67.55,67.55,1931,0.0,1.0
2007-10-18,67.3,67.35,67.3,67.3,2792,0.0,1.0
2007-10-19,65.75,66.25,65.75,65.75,9848,0.0,1.0
2007-10-22,65.5,65.5,65.5,65.5,1448,0.0,1.0
2007-10-23,65.75,65.89,65.75,65.75,2103,0.0,1.0
2007-10-24,65.25,65.25,65.25,65.25,2375,0.0,1.0
2007-10-25,65.07,65.07,65.07,65.07,1151,0.0,1.0
2007-10-26,65.75,65.75,65.75,65.75,1730,0.0,1.0
2007-10-29,65.77,65.77,65.77,65.77,500,0.0,1.0
2007-10-30,66.3,66.3,66.3,66.3,4370,0.0,1.0
2007-10-31,67.1,67.1,67.1,67.1,400,0.0,1.0
2007-11-01,63.5,63.5,63.5,63.5,809,0.0,1.0
2007-11-02,62.44,63.28,62.44,62.44,4742,0.0,1.0
2007-11-05,61.6,61.7,61.6,61.6,8010,0.0,1.0
2007-11-06,62.25,62.75,62.25,62.25,4079,0.0,1.0
2007-11-07,60.5,61.59,60.5,60.5,7625,0.0,1.0
2007-11-08,60.5,61.02,60.5,60.5,8212,0.0,1.0
