date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,33.13,33.19,32.5,32.75,125200,0.0,1.0
1999-11-02,32.75,33.0,32.69,32.81,101300,0.0,1.0
1999-11-03,33.0,33.13,31.94,32.0,180300,0.0,1.0
1999-11-04,32.13,32.44,31.75,31.94,191800,0.0,1.0
1999-11-05,32.06,32.75,32.0,32.13,105200,0.0,1.0
1999-11-08,32.13,32.13,31.63,31.94,143400,0.0,1.0
1999-11-09,31.94,32.5,31.75,31.88,154000,0.0,1.0
1999-11-10,32.0,33.31,32.0,32.88,113200,0.0,1.0
1999-11-11,32.88,33.31,32.13,32.69,189500,0.0,1.0
1999-11-12,32.63,32.88,32.44,32.69,95600,0.18,1.0
1999-11-15,32.69,33.13,32.25,33.06,106200,0.0,1.0
1999-11-16,33.31,33.56,32.56,33.5,97700,0.0,1.0
1999-11-17,33.38,34.0,33.19,33.69,124300,0.0,1.0
1999-11-18,33.81,34.81,33.81,34.06,89000,0.0,1.0
1999-11-19,34.56,34.56,33.0,33.44,132500,0.0,1.0
1999-11-22,33.31,34.06,33.0,33.06,116000,0.0,1.0
1999-11-23,33.13,33.13,31.94,32.19,305500,0.0,1.0
1999-11-24,31.88,33.0,31.5,32.81,163900,0.0,1.0
1999-11-26,32.69,33.5,32.69,33.31,30600,0.0,1.0
1999-11-29,33.13,33.38,32.81,33.19,137500,0.0,1.0
1999-11-30,33.06,33.63,33.06,33.56,182400,0.0,1.0
1999-12-01,33.75,35.75,33.63,35.19,194800,0.0,1.0
1999-12-02,35.13,35.69,35.0,35.13,106200,0.0,1.0
1999-12-03,35.13,35.63,35.0,35.31,89300,0.0,1.0
1999-12-06,35.25,35.25,34.69,34.81,163400,0.0,1.0
1999-12-07,34.75,35.13,34.69,34.88,110700,0.0,1.0
1999-12-08,34.88,35.0,34.31,34.69,76200,0.0,1.0
1999-12-09,34.69,35.25,34.69,35.0,165200,0.0,1.0
1999-12-10,35.0,35.31,34.88,34.88,103900,0.0,1.0
1999-12-13,34.63,34.81,34.13,34.38,206100,0.0,1.0
1999-12-14,34.25,34.25,33.75,33.88,203500,0.0,1.0
1999-12-15,33.88,33.88,33.38,33.56,204500,0.0,1.0
1999-12-16,33.31,34.25,33.31,34.19,105000,0.0,1.0
1999-12-17,34.63,34.63,34.63,34.63,237100,0.0,1.0
1999-12-20,34.63,34.94,34.38,34.75,127800,0.0,1.0
1999-12-21,34.75,35.06,34.56,34.81,115300,0.0,1.0
1999-12-22,34.63,34.88,34.06,34.31,115700,0.0,1.0
1999-12-23,34.31,34.88,34.13,34.69,116500,0.0,1.0
1999-12-27,34.56,34.69,32.75,34.0,237100,0.0,1.0
1999-12-28,34.13,35.13,33.81,34.75,77200,0.0,1.0
1999-12-29,34.88,35.88,34.81,35.75,73700,0.0,1.0
1999-12-30,35.56,36.0,35.0,35.25,66300,0.0,1.0
1999-12-31,35.31,36.06,35.06,36.0,27100,0.0,1.0
2000-01-03,35.75,35.88,34.19,34.5,74300,0.0,1.0
2000-01-04,34.25,34.31,33.25,33.5,101900,0.0,1.0
2000-01-05,33.75,34.81,33.44,34.56,68800,0.0,1.0
2000-01-06,34.5,35.81,34.31,35.56,77400,0.0,1.0
2000-01-07,35.5,35.5,34.0,35.0,102700,0.0,1.0
2000-01-10,35.0,35.0,33.94,34.13,87900,0.0,1.0
