date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-01-22,121.5,121.5,121.5,121.5,120,0.0,1.0
2007-01-23,121.5,121.5,121.5,121.5,0,0.0,1.0
2007-01-24,121.5,121.5,121.5,121.5,0,0.0,1.0
2007-01-25,121.5,121.5,121.5,121.5,0,0.0,1.0
2007-01-26,121.5,121.5,121.5,121.5,0,0.0,1.0
2007-01-29,119.25,119.25,118.25,119.25,200,0.0,1.0
2007-01-30,119.25,119.25,119.25,119.25,100,0.0,1.0
2007-01-31,119.25,119.25,119.25,119.25,0,0.0,1.0
2007-02-01,119.25,119.25,119.25,119.25,0,0.0,1.0
2007-02-02,119.25,119.25,119.25,119.25,0,0.0,1.0
2007-02-05,119.25,119.25,119.25,119.25,0,0.0,1.0
2007-02-06,119.25,119.25,119.25,119.25,0,0.0,1.0
2007-02-07,125.22,125.22,125.19,125.22,44900,0.0,1.0
2007-02-08,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-09,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-12,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-13,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-14,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-15,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-16,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-20,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-21,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-22,125.22,125.22,125.22,125.22,0,0.0,1.0
2007-02-23,128.12,128.12,128.12,128.12,30000,0.0,1.0
2007-02-26,128.12,128.12,128.12,128.12,0,0.0,1.0
2007-02-27,128.12,128.12,128.12,128.12,0,0.0,1.0
2007-02-28,125.5,125.5,125.5,125.5,300,0.0,1.0
2007-03-01,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-02,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-05,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-06,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-07,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-08,125.5,125.5,125.5,125.5,0,0.0,1.0
2007-03-09,125.5,125.5,125.5,125.5,0,0.0,1.0
