date,open_price,high_price,low_price,close_price,volume,dividend,split
2004-10-22,17.0,17.1,16.5,16.73,5590100,0.0,1.0
2004-10-25,16.6,16.7,16.4,16.5,896200,0.0,1.0
2004-10-26,16.5,16.6,16.45,16.58,526700,0.0,1.0
2004-10-27,16.59,16.8,16.5,16.55,393400,0.0,1.0
2004-10-28,16.5,16.68,16.5,16.6,409400,0.0,1.0
2004-10-29,16.55,16.75,16.54,16.71,280500,0.0,1.0
2004-11-01,16.8,17.03,16.55,17.0,498400,0.0,1.0
2004-11-02,17.1,17.15,16.9,16.91,244900,0.0,1.0
2004-11-03,17.0,17.15,17.0,17.06,192500,0.0,1.0
2004-11-04,17.11,17.19,17.0,17.17,259500,0.0,1.0
2004-11-05,17.1,17.1,16.75,16.9,569100,0.0,1.0
2004-11-08,16.9,17.0,16.75,16.94,170000,0.0,1.0
2004-11-09,16.94,17.0,16.81,17.0,194200,0.0,1.0
2004-11-10,16.9,17.05,16.8,17.0,243300,0.0,1.0
2004-11-11,16.92,17.04,16.81,17.0,263800,0.0,1.0
2004-11-12,17.05,17.14,16.99,17.0,359900,0.0,1.0
2004-11-15,16.95,17.2,16.9,17.2,174400,0.0,1.0
2004-11-16,17.2,17.33,17.05,17.15,245000,0.0,1.0
2004-11-17,17.16,17.77,17.15,17.35,320400,0.0,1.0
2004-11-18,17.4,17.45,17.1,17.11,180900,0.0,1.0
2004-11-19,17.2,17.45,16.85,17.45,304100,0.0,1.0
2004-11-22,17.2,17.43,16.9,17.35,204100,0.0,1.0
2004-11-23,17.35,17.48,16.9,17.26,207400,0.0,1.0
2004-11-24,17.35,17.45,17.2,17.39,161700,0.0,1.0
2004-11-26,17.4,17.48,17.2,17.39,50600,0.0,1.0
2004-11-29,17.45,17.55,16.99,17.01,305100,0.0,1.0
2004-11-30,17.01,17.3,17.0,17.06,658000,0.0,1.0
2004-12-01,17.05,17.5,16.9,17.41,301400,0.0,1.0
2004-12-02,17.25,17.5,17.22,17.4,242400,0.0,1.0
2004-12-03,17.25,17.45,17.0,17.45,193300,0.0,1.0
2004-12-06,17.4,17.45,17.15,17.3,179400,0.0,1.0
2004-12-07,17.3,17.46,17.15,17.24,161300,0.0,1.0
2004-12-08,17.24,17.24,17.0,17.16,172100,0.0,1.0
2004-12-09,17.24,17.29,17.05,17.1,400600,0.0,1.0
2004-12-10,17.1,17.21,17.02,17.06,110700,0.0,1.0
2004-12-13,17.2,17.23,16.87,17.01,244700,0.0,1.0
2004-12-14,17.0,17.12,16.6,16.94,173900,0.0,1.0
2004-12-15,16.8,17.03,16.75,16.93,168400,0.0,1.0
2004-12-16,16.85,16.99,16.4,16.9,204300,0.0,1.0
2004-12-17,16.85,17.1,16.5,17.1,1366900,0.0,1.0
2004-12-20,17.13,17.13,16.8,17.02,247200,0.0,1.0
2004-12-21,17.0,17.15,16.95,17.12,186100,0.0,1.0
2004-12-22,17.15,17.3,17.05,17.16,352400,0.0,1.0
2004-12-23,17.25,17.42,17.0,17.0,204700,0.0,1.0
2004-12-27,17.1,17.18,16.87,16.9,267400,0.0,1.0
2004-12-28,17.0,17.25,16.9,17.2,147000,0.0,1.0
2004-12-29,17.2,17.28,17.1,17.2,72700,0.0,1.0
2004-12-30,17.05,17.4,17.02,17.32,172200,0.0,1.0
2004-12-31,17.34,17.45,17.17,17.35,212800,0.0,1.0
2005-01-03,17.28,17.45,17.0,17.29,142200,0.0,1.0
2005-01-04,17.29,17.38,16.7,17.24,193000,0.0,1.0
2005-01-05,17.23,17.23,16.58,16.65,244100,0.0,1.0
2005-01-06,16.41,16.89,16.31,16.34,99600,0.2009,1.0
2005-01-07,16.45,16.52,15.9,16.34,116900,0.0,1.0
2005-01-10,16.3,16.48,16.07,16.25,115600,0.0,1.0
2005-01-11,16.19,16.26,15.9,16.1,188500,0.0,1.0
2005-01-12,16.0,16.2,15.91,16.02,179600,0.0,1.0
2005-01-13,16.03,16.25,16.02,16.1,99000,0.0,1.0
2005-01-14,16.15,16.3,16.03,16.29,63800,0.0,1.0
2005-01-18,16.2,16.47,16.1,16.36,167600,0.0,1.0
2005-01-19,16.36,16.93,16.36,16.7,215500,0.0,1.0
2005-01-20,16.7,16.75,16.25,16.4,100200,0.0,1.0
2005-01-21,16.45,16.7,16.31,16.45,76700,0.0,1.0
2005-01-24,16.5,16.52,16.32,16.4,80800,0.0,1.0
2005-01-25,16.4,16.5,16.3,16.35,118500,0.0,1.0
2005-01-26,16.35,16.53,16.26,16.42,160300,0.0,1.0
2005-01-27,16.34,16.42,16.02,16.2,118100,0.0,1.0
2005-01-28,16.3,16.34,16.0,16.17,64200,0.0,1.0
2005-01-31,16.31,16.45,16.2,16.4,149500,0.0,1.0
2005-02-01,16.39,16.65,16.38,16.6,194000,0.0,1.0
2005-02-02,16.67,16.83,16.52,16.83,440300,0.0,1.0
2005-02-03,16.8,16.8,16.33,16.52,70400,0.0,1.0
2005-02-04,16.5,16.8,16.38,16.7,224700,0.0,1.0
2005-02-07,16.7,16.7,16.46,16.55,56800,0.0,1.0
2005-02-08,16.56,16.69,16.42,16.68,99500,0.0,1.0
2005-02-09,16.7,16.79,16.5,16.51,78500,0.0,1.0
2005-02-10,16.5,16.62,16.4,16.45,58000,0.0,1.0
2005-02-11,16.47,16.79,16.37,16.67,87100,0.0,1.0
2005-02-14,16.7,16.8,16.5,16.68,56000,0.0,1.0
2005-02-15,16.72,16.86,16.45,16.72,100600,0.0,1.0
2005-02-16,16.8,16.95,16.7,16.88,45000,0.0,1.0
2005-02-17,16.8,16.96,16.69,16.78,102500,0.0,1.0
2005-02-18,16.7,16.85,16.5,16.5,95500,0.0,1.0
2005-02-22,16.53,16.65,16.38,16.4,637100,0.0,1.0
2005-02-23,16.45,16.65,16.3,16.36,369300,0.0,1.0
2005-02-24,16.31,16.47,16.3,16.46,46100,0.0,1.0
2005-02-25,16.52,16.61,16.42,16.43,83400,0.0,1.0
2005-02-28,16.4,16.65,16.3,16.43,122200,0.0,1.0
2005-03-01,16.6,16.82,16.43,16.75,143500,0.0,1.0
2005-03-02,16.5,16.81,16.4,16.7,53700,0.0,1.0
2005-03-03,16.77,16.83,16.52,16.7,42900,0.0,1.0
2005-03-04,16.77,16.99,16.62,16.92,143800,0.0,1.0
2005-03-07,16.9,17.18,16.9,17.1,137400,0.0,1.0
2005-03-08,17.0,17.19,16.96,17.15,176700,0.0,1.0
2005-03-09,17.08,17.19,16.91,16.98,116700,0.0,1.0
2005-03-10,16.97,17.5,16.94,17.25,194600,0.0,1.0
2005-03-11,17.2,17.35,17.06,17.27,100000,0.0,1.0
2005-03-14,17.27,17.4,17.16,17.3,79200,0.0,1.0
2005-03-15,17.5,17.58,17.0,17.29,383500,0.0,1.0
2005-03-16,17.35,17.35,17.05,17.22,92400,0.0,1.0
2005-03-17,17.23,17.39,16.85,17.2,65700,0.0,1.0
2005-03-18,17.3,17.36,16.9,17.35,166500,0.0,1.0
2005-03-21,17.37,17.4,17.01,17.15,80000,0.0,1.0
2005-03-22,17.07,17.35,17.03,17.11,420400,0.0,1.0
2005-03-23,17.11,17.15,16.74,16.82,168900,0.0,1.0
2005-03-24,16.82,17.3,16.57,16.78,193600,0.0,1.0
2005-03-28,16.63,16.85,16.58,16.76,84400,0.0,1.0
2005-03-29,16.7,17.04,16.58,16.84,100000,0.0,1.0
2005-03-30,16.75,17.33,16.62,17.3,76500,0.0,1.0
2005-03-31,17.32,17.4,17.0,17.4,144600,0.0,1.0
2005-04-01,17.47,17.49,16.64,17.25,169300,0.0,1.0
2005-04-04,17.2,17.49,16.81,17.41,50300,0.0,1.0
2005-04-05,17.2,17.39,17.1,17.17,87700,0.0,1.0
2005-04-06,17.25,17.28,16.9,17.24,482700,0.0,1.0
2005-04-07,17.01,17.23,16.87,17.12,413900,0.28,1.0
2005-04-08,17.05,17.12,16.83,16.83,98700,0.0,1.0
2005-04-11,16.86,17.08,16.75,16.99,93700,0.0,1.0
2005-04-12,16.94,17.25,16.7,17.15,63200,0.0,1.0
2005-04-13,17.22,17.22,17.04,17.1,89600,0.0,1.0
2005-04-14,17.1,17.3,17.06,17.15,68900,0.0,1.0
2005-04-15,17.15,17.26,17.0,17.09,135000,0.0,1.0
2005-04-18,17.15,17.35,17.0,17.1,115000,0.0,1.0
2005-04-19,17.1,17.4,17.0,17.14,119500,0.0,1.0
2005-04-20,17.14,17.3,16.94,17.1,112400,0.0,1.0
2005-04-21,17.3,17.38,17.11,17.28,142300,0.0,1.0
2005-04-22,17.28,17.3,17.03,17.14,137500,0.0,1.0
