date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-11-17,25.0,25.0,25.0,25.0,100,0.0,1.0
2009-11-18,25.0,25.0,25.0,25.0,0,0.0,1.0
2009-11-19,25.2,25.2,25.2,25.2,100,0.0,1.0
2009-11-20,25.39,25.45,25.35,25.44,5100,0.0,1.0
2009-11-23,25.44,25.44,25.44,25.44,0,0.0,1.0
2009-11-24,25.44,25.44,25.44,25.44,0,0.0,1.0
2009-11-25,25.44,25.44,25.44,25.44,0,0.0,1.0
2009-11-27,24.75,26.0,24.5,26.0,1100,0.0,1.0
2009-11-30,26.0,26.0,26.0,26.0,0,0.0,1.0
2009-12-01,26.0,26.0,26.0,26.0,0,0.0,1.0
2009-12-02,25.75,25.75,25.02,25.02,400,0.0,1.0
2009-12-03,25.06,25.06,24.26,24.66,9000,0.0,1.0
2009-12-04,25.01,25.43,24.5,24.75,7900,0.0,1.0
2009-12-07,24.42,24.62,24.24,24.62,2300,0.0,1.0
2009-12-08,24.25,24.29,23.75,23.75,4900,0.0,1.0
2009-12-09,23.55,24.08,23.5,23.5,1754600,0.0,1.0
2009-12-10,23.37,24.29,23.37,24.0,1316100,0.0,1.0
2009-12-11,24.5,24.52,24.15,24.52,1267900,0.0,1.0
2009-12-14,24.35,25.0,23.42,24.95,1398200,0.0,1.0
2009-12-15,24.51,25.64,24.15,25.44,2306200,0.0,1.0
2009-12-16,25.7,25.7,25.18,25.52,1603700,0.0,1.0
2009-12-17,25.1,25.13,24.29,24.44,2110300,0.2,1.0
2009-12-18,24.45,24.54,23.58,23.97,1182100,0.0,1.0
2009-12-21,24.17,24.18,23.7,24.03,2474400,0.0,1.0
2009-12-22,23.84,24.45,23.84,24.31,2029500,0.0,1.0
2009-12-23,24.51,24.51,24.19,24.4,1604600,0.0,1.0
2009-12-24,24.34,24.66,24.12,24.38,433600,0.0,1.0
2009-12-28,24.19,24.55,23.93,24.27,631200,0.0,1.0
2009-12-29,24.56,24.79,24.37,24.52,1329000,0.0,1.0
2009-12-30,24.45,24.67,24.15,24.64,1492200,0.0,1.0
2009-12-31,24.75,25.48,24.75,25.2,1592200,0.0,1.0
2010-01-04,26.06,26.68,25.54,26.6,2117700,0.0,1.0
2010-01-05,26.73,26.79,26.2,26.37,1140700,0.0,1.0
2010-01-06,26.36,26.69,25.8,26.14,1145600,0.0,1.0
2010-01-07,25.87,26.13,25.73,25.99,873100,0.0,1.0
2010-01-08,25.91,26.26,25.66,26.23,985300,0.0,1.0
2010-01-11,26.2,26.43,25.92,26.15,1759200,0.0,1.0
2010-01-12,25.52,25.88,25.24,25.75,1394500,0.0,1.0
2010-01-13,25.64,25.86,25.38,25.81,853600,0.0,1.0
2010-01-14,25.84,25.96,25.58,25.73,974000,0.0,1.0
2010-01-15,25.77,25.83,25.01,25.25,1361400,0.0,1.0
2010-01-19,25.14,25.26,24.94,25.2,1060900,0.0,1.0
2010-01-20,24.81,24.81,24.02,24.28,1605100,0.0,1.0
2010-01-21,24.25,24.39,23.93,24.24,2198900,0.0,1.0
2010-01-22,24.18,24.21,23.63,23.72,1228700,0.0,1.0
2010-01-25,23.58,24.05,23.57,23.76,1113700,0.0,1.0
2010-01-26,23.41,23.41,23.06,23.21,1000900,0.0,1.0
2010-01-27,23.19,23.43,22.96,23.19,1461900,0.0,1.0
2010-01-28,23.46,23.62,23.07,23.5,1229100,0.0,1.0
2010-01-29,23.65,24.59,23.1,23.15,1411600,0.0,1.0
2010-02-01,23.3,24.38,23.29,24.36,1215900,0.0,1.0
2010-02-02,24.39,24.93,24.03,24.8,1329200,0.0,1.0
2010-02-03,24.42,25.13,24.2,24.96,1002100,0.0,1.0
2010-02-04,24.49,24.61,24.13,24.26,1033900,0.0,1.0
2010-02-05,24.14,24.35,23.3,23.74,1052400,0.0,1.0
2010-02-08,23.74,23.96,23.22,23.27,936000,0.0,1.0
2010-02-09,23.6,24.19,23.34,23.74,753900,0.0,1.0
2010-02-10,23.76,23.95,23.0,23.3,723600,0.0,1.0
2010-02-11,22.96,24.37,22.87,24.08,813300,0.0,1.0
2010-02-12,23.99,24.07,23.71,23.94,741400,0.0,1.0
2010-02-16,24.25,25.41,24.13,25.19,852800,0.0,1.0
2010-02-17,25.44,25.8,25.03,25.73,897700,0.0,1.0
2010-02-18,25.53,25.87,25.42,25.54,674900,0.0,1.0
2010-02-19,25.4,26.58,25.32,26.45,786800,0.0,1.0
2010-02-22,26.26,26.54,25.4,25.61,1257900,0.0,1.0
2010-02-23,25.34,25.5,24.34,24.48,764100,0.0,1.0
2010-02-24,24.53,24.72,24.04,24.29,1357400,0.0,1.0
2010-02-25,23.97,24.2,23.54,24.06,1411500,0.0,1.0
2010-02-26,24.13,24.6,23.92,24.5,755600,0.0,1.0
2010-03-01,24.75,24.78,24.46,24.6,511500,0.0,1.0
2010-03-02,24.7,25.11,24.7,25.07,582500,0.0,1.0
2010-03-03,25.11,25.76,25.07,25.4,464900,0.0,1.0
2010-03-04,25.39,25.56,24.97,25.17,486400,0.0,1.0
2010-03-05,25.51,25.85,25.37,25.78,370900,0.0,1.0
2010-03-08,25.86,26.22,25.59,25.79,460900,0.0,1.0
2010-03-09,25.69,25.94,25.3,25.57,459000,0.0,1.0
2010-03-10,25.46,26.02,25.45,25.92,477700,0.0,1.0
2010-03-11,25.82,26.25,25.47,26.21,1110900,0.2,1.0
2010-03-12,26.35,26.68,25.77,25.87,340300,0.0,1.0
2010-03-15,25.77,26.0,25.1,25.43,466300,0.0,1.0
2010-03-16,25.57,25.93,25.43,25.83,323200,0.0,1.0
2010-03-17,25.87,26.2,25.78,25.99,665800,0.0,1.0
2010-03-18,25.99,26.14,25.37,25.51,363600,0.0,1.0
2010-03-19,25.59,25.59,24.61,24.86,922300,0.0,1.0
2010-03-22,24.54,24.86,24.37,24.72,652600,0.0,1.0
2010-03-23,24.71,25.24,24.58,25.17,800300,0.0,1.0
2010-03-24,24.89,24.89,24.6,24.77,679700,0.0,1.0
2010-03-25,24.78,25.17,24.5,24.5,520400,0.0,1.0
2010-03-26,24.51,24.68,24.21,24.43,523200,0.0,1.0
2010-03-29,24.7,25.13,24.61,25.12,547100,0.0,1.0
2010-03-30,25.23,25.86,25.09,25.77,575200,0.0,1.0
2010-03-31,25.96,26.25,25.81,26.21,494200,0.0,1.0
2010-04-01,26.53,27.85,26.49,27.85,1244600,0.0,1.0
2010-04-05,28.34,28.7,28.28,28.58,572500,0.0,1.0
2010-04-06,28.37,28.81,28.16,28.48,676400,0.0,1.0
2010-04-07,28.35,28.4,27.43,27.57,721800,0.0,1.0
2010-04-08,27.23,28.77,27.07,28.43,736400,0.0,1.0
2010-04-09,28.35,29.3,28.17,28.89,605900,0.0,1.0
2010-04-12,28.27,29.79,28.27,29.16,497300,0.0,1.0
2010-04-13,29.15,30.25,28.47,29.9,825500,0.0,1.0
2010-04-14,29.98,30.33,29.94,30.16,709200,0.0,1.0
2010-04-15,29.95,30.66,29.84,30.0,486000,0.0,1.0
2010-04-16,29.75,29.78,28.77,28.81,680100,0.0,1.0
2010-04-19,28.22,29.05,27.51,28.24,614600,0.0,1.0
2010-04-20,28.87,29.64,28.7,29.05,699100,0.0,1.0
2010-04-21,29.07,29.31,27.94,29.0,1621700,0.0,1.0
2010-04-22,28.46,28.74,27.52,28.35,847000,0.0,1.0
2010-04-23,28.27,29.41,28.12,29.35,762600,0.0,1.0
2010-04-26,29.21,29.94,28.8,29.48,888700,0.0,1.0
2010-04-27,29.27,29.52,28.46,28.54,1237900,0.0,1.0
2010-04-28,28.64,28.89,28.0,28.41,632800,0.0,1.0
2010-04-29,28.85,30.29,28.82,29.83,981100,0.0,1.0
2010-04-30,29.74,29.98,28.69,29.3,1756400,0.0,1.0
2010-05-03,29.88,30.1,29.14,29.23,1545600,0.0,1.0
2010-05-04,28.89,28.89,27.73,28.03,1236700,0.0,1.0
2010-05-05,27.32,28.04,26.53,27.01,1449500,0.0,1.0
2010-05-06,26.61,27.34,24.26,26.49,1652800,0.0,1.0
2010-05-07,26.52,26.88,25.54,26.25,1417600,0.0,1.0
2010-05-10,28.21,28.21,27.32,27.94,865200,0.0,1.0
2010-05-11,27.7,28.61,27.49,28.02,500600,0.0,1.0
2010-05-12,28.24,28.82,28.0,28.36,846300,0.0,1.0
2010-05-13,28.37,28.41,27.53,27.74,1099100,0.0,1.0
