date,open_price,high_price,low_price,close_price,volume,dividend,split
2002-10-16,12.24,13.48,12.16,13.16,4133900,0.0,1.0
2002-10-17,14.48,14.72,14.0,14.4,448200,0.0,1.0
2002-10-18,14.48,15.0,14.48,14.96,330700,0.0,1.0
2002-10-21,14.96,14.96,14.08,14.56,236800,0.0,1.0
2002-10-22,14.48,14.48,14.08,14.48,103900,0.0,1.0
2002-10-23,14.4,15.16,14.4,15.08,177000,0.0,1.0
2002-10-24,15.56,16.8,15.48,16.32,430100,0.0,1.0
2002-10-25,16.24,16.4,15.72,16.16,102500,0.0,1.0
2002-10-28,16.0,16.32,16.0,16.24,51200,0.0,1.0
2002-10-29,16.32,16.32,16.0,16.0,104000,0.0,1.0
2002-10-30,16.08,16.4,16.0,16.16,68200,0.0,1.0
2002-10-31,16.32,16.56,16.16,16.4,107600,0.0,1.0
2002-11-01,16.42,16.46,15.65,15.89,310900,0.0,1.0
2002-11-04,15.99,16.12,15.79,16.02,60100,0.0,1.0
2002-11-05,16.1,16.18,16.01,16.07,7200,0.0,1.0
2002-11-06,16.2,16.74,16.16,16.69,113600,0.0,1.0
2002-11-07,16.99,17.1,16.65,16.98,64500,0.0,1.0
2002-11-08,16.8,16.98,16.14,16.2,162700,0.0,1.0
2002-11-11,16.4,16.5,16.26,16.45,54200,0.0,1.0
2002-11-12,16.49,16.65,16.4,16.5,51100,0.0,1.0
2002-11-13,16.55,16.6,16.26,16.5,49300,0.0,1.0
2002-11-14,16.4,16.6,16.35,16.6,33500,0.0,1.0
2002-11-15,16.6,17.6,16.6,17.41,82300,0.0,1.0
2002-11-18,17.66,18.1,17.4,17.4,167500,0.0,1.0
2002-11-19,17.55,18.0,17.55,17.95,143100,0.0,1.0
2002-11-20,18.05,18.05,17.81,17.86,76800,0.0,1.0
2002-11-21,17.92,18.8,17.92,18.5,218100,0.0,1.0
2002-11-22,18.6,20.35,18.6,19.9,218200,0.0,1.0
2002-11-25,20.5,21.15,20.3,20.85,275700,0.0,1.0
2002-11-26,21.35,21.8,20.0,20.0,309200,0.0,1.0
2002-11-27,20.25,20.6,19.85,20.55,186300,0.0,1.0
2002-11-29,20.79,21.02,20.7,21.01,66000,0.0,1.0
2002-12-02,21.6,22.8,21.1,22.51,328500,0.0,1.0
2002-12-03,22.76,23.15,22.1,22.54,168600,0.0,1.0
2002-12-04,22.5,22.6,21.9,22.18,134100,0.0,1.0
2002-12-05,22.25,22.45,21.65,21.7,45800,0.0,1.0
2002-12-06,21.4,21.84,20.63,21.8,114500,0.0,1.0
2002-12-09,21.95,22.7,21.95,22.4,97200,0.0,1.0
2002-12-10,22.55,22.75,22.11,22.2,40800,0.0,1.0
2002-12-11,22.26,22.26,21.85,21.96,24300,0.0,1.0
2002-12-12,21.76,21.76,21.06,21.4,77600,0.0,1.0
2002-12-13,21.15,21.2,19.7,19.99,163400,0.0,1.0
2002-12-16,19.74,20.42,19.74,20.2,178400,0.0,1.0
2002-12-17,20.15,20.2,19.7,19.88,43600,0.0,1.0
2002-12-18,19.75,19.75,17.8,18.85,238400,0.0,1.0
2002-12-19,18.5,18.9,18.46,18.5,47800,0.0,1.0
2002-12-20,18.5,19.6,18.5,19.6,64700,0.0,1.0
2002-12-23,19.7,20.0,19.61,20.0,31300,0.0,1.0
2002-12-24,20.0,20.0,19.19,19.21,36100,0.0,1.0
2002-12-26,19.21,19.29,19.01,19.05,48500,0.0,1.0
2002-12-27,19.05,19.3,19.05,19.1,178300,0.0,1.0
2002-12-30,19.08,19.15,19.02,19.04,47900,0.0,1.0
2002-12-31,19.08,19.4,19.08,19.2,19000,0.0,1.0
2003-01-02,19.2,20.05,19.05,20.02,86100,0.0,1.0
2003-01-03,20.0,20.0,19.8,19.85,159800,0.0,1.0
2003-01-06,19.97,21.54,19.85,21.45,592300,0.0,1.0
2003-01-07,21.45,22.19,20.95,20.95,241700,0.0,1.0
2003-01-08,20.9,21.08,20.6,21.0,162100,0.0,1.0
2003-01-09,21.0,21.53,20.9,21.39,230100,0.0,1.0
2003-01-10,21.29,22.0,21.29,21.5,91200,0.0,1.0
