date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-02-08,37.5,37.5,37.5,37.5,800,0.0,1.0
2017-02-09,37.46,37.46,37.46,37.46,130334,0.0,1.0
2017-02-10,37.5,37.5,37.5,37.5,250,0.0,1.0
2017-02-13,37.5,37.5,37.5,37.5,4000,0.0,1.0
2017-02-14,37.5,37.5,37.5,37.5,0,0.0,1.0
2017-02-15,37.5,37.5,37.5,37.5,450,0.0,1.0
2017-02-16,37.5,37.5,37.5,37.5,0,0.0,1.0
2017-02-17,37.5,37.5,37.5,37.5,0,0.0,1.0
2017-02-21,37.5,37.5,37.5,37.5,0,0.0,1.0
2017-02-22,36.5,36.5,36.5,36.5,1000,0.0,1.0
2017-02-23,36.86,36.86,36.86,36.86,1357,0.0,1.0
2017-02-24,36.86,36.86,36.86,36.86,0,0.0,1.0
2017-02-27,36.86,36.86,36.86,36.86,70,0.0,1.0
2017-02-28,36.86,36.86,36.86,36.86,0,0.0,1.0
2017-03-01,36.86,36.86,36.86,36.86,0,0.0,1.0
2017-03-02,36.7,36.7,36.7,36.7,150,0.0,1.0
2017-03-03,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-06,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-07,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-08,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-09,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-10,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-13,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-14,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-15,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-16,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-17,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-20,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-21,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-22,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-23,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-24,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-27,36.7,36.7,36.7,36.7,6,0.0,1.0
2017-03-28,36.7,36.7,36.7,36.7,2000,0.0,1.0
2017-03-29,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-30,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-03-31,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-03,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-04,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-05,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-06,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-07,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-10,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-11,36.7,36.7,36.7,36.7,0,0.0,1.0
2017-04-12,36.7,36.7,36.7,36.7,0,0.0,1.0
