date,open_price,high_price,low_price,close_price,volume,dividend,split
2016-01-06,17.87,17.87,17.87,17.87,1990,0.0,1.0
2016-01-07,17.41,17.41,17.23,17.23,887458,0.0,1.0
2016-01-08,17.46,17.46,17.46,17.46,100,0.0,1.0
2016-01-11,17.14,17.14,16.92,17.07,3553,0.0,1.0
2016-01-13,17.25,17.25,17.01,17.01,2980,0.0,1.0
2016-01-20,16.09,16.09,16.09,16.09,1281,0.0,1.0
2016-01-21,16.44,16.44,16.44,16.44,19200,0.0,1.0
2016-01-25,17.24,17.24,17.24,17.24,235,0.0,1.0
2016-01-26,17.24,17.24,17.24,17.24,893,0.0,1.0
2016-01-27,17.39,17.39,17.39,17.39,947,0.0,1.0
2016-01-28,17.39,17.39,17.39,17.39,93800,0.0,1.0
2016-02-01,17.39,17.41,17.35,17.37,1791,0.0,1.0
2016-02-02,17.38,17.38,17.17,17.17,11351,0.0,1.0
2016-02-03,17.22,17.29,17.22,17.29,1291,0.0,1.0
2016-02-04,17.3,17.3,17.3,17.3,990,0.0,1.0
2016-02-05,16.51,16.51,16.51,16.51,1230,0.0,1.0
2016-02-08,16.04,16.04,15.93,15.93,1870,0.0,1.0
2016-02-10,15.93,15.93,15.93,15.93,5,0.0,1.0
2016-02-12,16.33,16.33,16.33,16.33,100,0.0,1.0
2016-02-17,16.67,16.67,16.67,16.67,22280,0.0,1.0
2016-02-18,16.99,16.99,16.99,16.99,165,0.0,1.0
2016-02-22,17.17,17.21,17.17,17.21,2004,0.0,1.0
2016-02-23,16.88,16.88,16.88,16.88,1160,0.0,1.0
2016-02-24,16.88,16.88,16.88,16.88,78000,0.0,1.0
2016-02-25,16.9,16.9,16.9,16.9,788,0.0,1.0
2016-02-26,16.69,16.69,16.69,16.69,414,0.0,1.0
2016-03-02,17.03,17.05,17.0,17.05,4764,0.0,1.0
2016-03-03,17.05,17.05,17.05,17.05,626,0.0,1.0
2016-03-04,16.99,17.04,16.99,17.04,1194,0.0,1.0
2016-03-07,16.75,16.75,16.75,16.75,498,0.0,1.0
2016-03-09,16.84,16.84,16.84,16.84,2634,0.0,1.0
2016-03-10,17.45,17.45,17.45,17.45,1260,0.0,1.0
2016-03-14,17.72,17.72,17.72,17.72,100,0.0,1.0
2016-03-15,17.7,17.7,17.7,17.7,102,0.0,1.0
2016-03-16,17.7,17.78,17.7,17.78,1300,0.0,1.0
2016-03-17,17.77,17.77,17.77,17.77,2500,0.0,1.0
2016-03-22,17.49,17.49,17.49,17.49,2000,0.0,1.0
2016-03-23,17.53,17.53,17.53,17.53,1734,0.0,1.0
2016-03-24,17.34,17.34,17.3,17.3,1538,0.0,1.0
2016-03-28,17.3,17.3,17.3,17.3,10,0.0,1.0
2016-04-04,17.42,17.46,17.42,17.46,202,0.0,1.0
2016-04-06,17.26,17.26,17.26,17.26,1300,0.0,1.0
2016-04-07,17.2,17.23,17.2,17.23,250,0.0,1.0
2016-04-08,17.3,17.3,17.11,17.11,8914,0.0,1.0
2016-04-11,17.37,17.37,17.37,17.37,1310,0.0,1.0
2016-04-12,17.37,17.37,17.37,17.37,43284,0.0,1.0
2016-04-13,17.48,17.48,17.46,17.46,1364,0.0,1.0
2016-04-18,17.46,17.46,17.46,17.46,2794,0.0,1.0
2016-04-20,18.19,18.19,18.19,18.19,100,0.0,1.0
2016-05-02,17.72,17.72,17.72,17.72,100,0.0,1.0
2016-05-03,17.56,17.56,17.56,17.56,162,0.0,1.0
2016-05-04,17.01,17.01,17.01,17.01,1915,0.0,1.0
2016-05-05,17.16,17.16,17.08,17.14,4790,0.0,1.0
2016-05-09,17.14,17.14,17.14,17.14,80,0.0,1.0
2016-05-11,17.97,17.97,17.92,17.92,877,0.0,1.0
2016-05-12,18.04,18.04,18.04,18.04,500,0.0,1.0
2016-05-13,17.96,17.96,17.87,17.87,630,0.0,1.0
2016-05-16,17.78,17.78,17.78,17.78,1782,0.0,1.0
2016-05-17,18.18,18.18,18.18,18.18,300,0.0,1.0
2016-05-19,18.18,18.18,18.18,18.18,54,0.0,1.0
2016-05-20,17.77,17.86,17.73,17.86,1144,0.0,1.0
2016-05-23,17.81,17.81,17.81,17.81,2560,0.55,1.0
2016-05-24,17.86,17.86,17.86,17.86,107,0.0,1.0
2016-05-25,18.32,18.32,18.32,18.32,735,0.0,1.0
2016-05-26,17.79,17.79,17.79,17.79,200,0.0,1.0
2016-05-27,17.69,17.69,17.69,17.69,100,0.0,1.0
2016-05-31,17.83,17.83,17.68,17.68,1027,0.0,1.0
2016-06-01,17.6,17.6,17.6,17.6,385,0.0,1.0
2016-06-07,17.88,17.88,17.88,17.88,25250,0.0,1.0
2016-06-08,17.88,17.88,17.88,17.88,705,0.0,1.0
2016-06-13,16.48,16.48,16.48,16.48,100,0.0,1.0
2016-06-14,16.08,16.08,16.07,16.07,1592,0.0,1.0
2016-06-15,16.23,16.23,16.09,16.09,1041,0.0,1.0
2016-06-16,15.89,15.89,15.89,15.89,108,0.0,1.0
2016-06-17,15.89,15.89,15.89,15.89,25,0.0,1.0
2016-06-20,16.44,16.44,16.44,16.44,200,0.0,1.0
2016-06-21,16.22,16.36,16.22,16.36,1409,0.0,1.0
2016-06-22,16.23,16.23,16.23,16.23,592,0.0,1.0
2016-06-23,16.76,16.76,16.76,16.76,311,0.0,1.0
2016-06-24,15.85,15.85,15.49,15.49,4810,0.0,1.0
2016-06-27,15.32,15.32,15.32,15.32,2500,0.0,1.0
2016-06-28,15.32,15.32,15.32,15.32,73,0.0,1.0
2016-06-29,16.62,16.62,16.62,16.62,220,0.0,1.0
2016-06-30,17.04,17.04,17.04,17.04,115,0.0,1.0
2016-07-01,16.88,16.88,16.88,16.88,3113,0.0,1.0
2016-07-05,16.4,16.4,16.4,16.4,930,0.0,1.0
2016-07-06,16.13,16.13,15.96,16.01,36790,0.0,1.0
2016-07-08,16.35,16.35,16.29,16.29,365,0.0,1.0
2016-07-11,16.46,16.46,16.46,16.46,125,0.0,1.0
2016-07-12,16.46,16.46,16.46,16.46,85,0.0,1.0
2016-07-13,16.64,16.71,16.64,16.71,51903,0.0,1.0
2016-07-14,17.07,17.07,17.04,17.04,18610,0.0,1.0
2016-07-15,17.22,17.22,17.05,17.05,89337,0.0,1.0
2016-07-18,17.05,17.05,17.05,17.05,1,0.0,1.0
2016-07-19,16.75,16.76,16.75,16.76,15652,0.0,1.0
2016-07-20,16.83,16.83,16.83,16.83,676,0.0,1.0
2016-07-22,16.77,16.77,16.75,16.75,1500,0.0,1.0
