date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,33.2,33.2,33.2,33.2,2500,0.0,1.0
2007-07-16,33.05,33.4,33.05,33.05,4402,0.0,1.0
2007-07-17,32.7,32.83,32.7,32.7,2868,0.0,1.0
2007-07-18,32.6,32.6,32.6,32.6,750,0.0,1.0
2007-07-19,32.5,32.85,32.5,32.5,800,0.0,1.0
2007-07-20,32.15,32.15,32.15,32.15,500,0.0,1.0
2007-07-23,32.4,32.4,32.4,32.4,310,0.0,1.0
2007-07-24,31.6,31.6,31.6,31.6,2700,0.0,1.0
2007-07-25,31.45,31.95,31.45,31.45,2300,0.0,1.0
2007-07-26,30.65,30.8,30.65,30.65,1400,0.0,1.0
2007-07-27,30.45,30.45,30.45,30.45,100,0.0,1.0
2007-07-30,30.45,30.45,30.45,30.45,0,0.0,1.0
2007-07-31,30.35,30.4,30.35,30.35,2250,0.0,1.0
2007-08-01,30.15,30.15,30.15,30.15,400,0.0,1.0
2007-08-02,30.15,30.15,30.15,30.15,0,0.0,1.0
2007-08-03,30.15,30.15,30.15,30.15,0,0.0,1.0
2007-08-06,29.45,29.45,29.45,29.45,100,0.0,1.0
2007-08-07,28.8,28.8,28.8,28.8,150,0.0,1.0
2007-08-08,30.2,30.25,30.2,30.2,155700,0.0,1.0
2007-08-09,29.25,29.25,29.25,29.25,150,0.0,1.0
2007-08-10,28.55,30.0,28.55,28.55,1998,0.0,1.0
2007-08-13,28.9,29.1,28.9,28.9,4600,0.0,1.0
2007-08-14,29.0,29.0,29.0,29.0,1100,0.0,1.0
2007-08-15,28.13,28.13,28.13,28.13,101390,0.0,1.0
2007-08-16,27.45,27.9,27.45,27.45,1886,0.0,1.0
2007-08-17,26.95,26.95,26.95,26.95,101111,0.0,1.0
2007-08-20,27.5,27.55,27.5,27.5,2000,0.0,1.0
2007-08-21,27.65,27.65,27.65,27.65,300,0.0,1.0
2007-08-22,28.5,28.5,28.5,28.5,500,0.0,1.0
2007-08-23,28.5,28.5,28.5,28.5,0,0.0,1.0
2007-08-24,28.85,28.85,28.85,28.85,600,0.0,1.0
2007-08-27,29.4,29.4,29.4,29.4,100,0.0,1.0
2007-08-28,28.95,29.0,28.95,28.95,9900,0.0,1.0
2007-08-29,28.95,29.0,28.95,28.95,0,0.0,1.0
2007-08-30,29.0,29.0,29.0,29.0,500,0.0,1.0
2007-08-31,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-04,29.65,29.65,29.65,29.65,200,0.0,1.0
2007-09-05,29.31,29.31,29.31,29.31,5823,0.0,1.0
2007-09-06,29.31,29.31,29.31,29.31,0,0.0,1.0
2007-09-07,29.31,29.31,29.31,29.31,0,0.0,1.0
2007-09-10,28.0,28.0,28.0,28.0,100,0.0,1.0
2007-09-11,28.0,28.0,28.0,28.0,0,0.0,1.0
2007-09-12,28.4,28.4,28.4,28.4,140,0.0,1.0
2007-09-13,28.4,28.4,28.4,28.4,0,0.0,1.0
2007-09-14,28.4,28.4,28.4,28.4,0,0.0,1.0
2007-09-17,28.2,28.25,28.2,28.2,685,0.0,1.0
2007-09-18,28.2,28.25,28.2,28.2,0,0.0,1.0
2007-09-19,28.65,28.71,28.65,28.65,1000100,0.0,1.0
2007-09-20,28.35,28.75,28.35,28.35,300,0.0,1.0
2007-09-21,28.85,28.85,28.85,28.85,11750,0.0,1.0
2007-09-24,28.85,28.85,28.85,28.85,0,0.0,1.0
2007-09-25,29.5,29.5,29.5,29.5,100,0.0,1.0
2007-09-26,29.5,29.5,29.5,29.5,0,0.0,1.0
2007-09-27,30.0,30.1,30.0,30.0,1300,0.0,1.0
2007-09-28,30.55,31.0,30.55,30.55,1565,0.0,1.0
2007-10-01,30.55,31.0,30.55,30.55,0,0.0,1.0
2007-10-02,30.55,31.0,30.55,30.55,0,0.0,1.0
2007-10-03,30.35,30.5,30.35,30.35,1140,0.0,1.0
