date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-11-19,11.45,11.65,10.7,10.75,231400,0.0,1.0
2008-11-20,10.53,10.8,9.4,9.8,280300,0.0,1.0
2008-11-21,10.98,11.99,9.88,11.89,618700,0.0,1.0
2008-11-24,11.54,11.95,10.45,10.98,286600,0.0,1.0
2008-11-25,11.68,11.77,10.87,11.33,291500,0.0,1.0
2008-11-26,11.33,12.75,11.11,12.1,216100,0.0,1.0
2008-11-28,12.03,12.03,11.34,11.54,138000,0.0,1.0
2008-12-01,11.0,11.53,10.71,10.77,414400,0.0,1.0
2008-12-02,11.21,11.35,10.79,11.25,255700,0.0,1.0
2008-12-03,11.09,11.39,10.5,10.91,157400,0.0,1.0
2008-12-04,10.94,11.22,10.46,10.97,148800,0.0,1.0
2008-12-05,10.63,11.98,10.56,11.71,204900,0.0,1.0
2008-12-08,12.09,12.28,11.5,11.66,312800,0.0,1.0
2008-12-09,11.66,12.02,11.38,11.57,198900,0.0,1.0
2008-12-10,11.74,12.05,11.25,11.42,206400,0.0,1.0
2008-12-11,11.54,12.11,11.26,11.26,162100,0.0,1.0
2008-12-12,11.26,12.16,11.25,12.0,182000,0.0,1.0
2008-12-15,11.77,11.88,11.35,11.48,169600,0.0,1.0
2008-12-16,11.63,12.4,11.48,12.14,243700,0.0,1.0
2008-12-17,11.68,11.76,11.25,11.44,211500,0.0,1.0
2008-12-18,11.79,12.11,11.44,11.78,359600,0.0,1.0
2008-12-19,12.15,13.32,11.92,12.13,1287000,0.0,1.0
2008-12-22,12.02,12.07,11.3,11.59,377400,0.0,1.0
2008-12-23,11.51,11.52,10.62,10.85,396100,0.0,1.0
2008-12-24,10.37,11.13,10.37,10.78,89900,0.0,1.0
2008-12-26,11.05,11.22,10.94,11.2,110400,0.0,1.0
2008-12-29,10.73,10.77,10.42,10.63,162000,0.0,1.0
2008-12-30,11.07,11.39,10.79,11.04,189600,0.0,1.0
2008-12-31,10.73,11.71,10.71,11.17,144600,0.0,1.0
2009-01-02,11.08,11.99,11.06,11.6,191800,0.0,1.0
2009-01-05,11.61,12.3,11.61,12.14,271600,0.0,1.0
2009-01-06,12.05,12.2,11.7,11.97,382400,0.0,1.0
2009-01-07,11.72,11.86,11.31,11.65,115000,0.0,1.0
