date,open_price,high_price,low_price,close_price,volume,dividend,split
2014-10-22,13.45,13.45,13.45,13.45,200,0.0,1.0
2014-10-23,13.45,13.45,13.45,13.45,0,0.0,1.0
2014-10-24,13.45,13.45,13.45,13.45,0,0.0,1.0
2014-10-27,13.45,13.45,13.45,13.45,0,0.0,1.0
2014-10-28,13.45,13.45,13.45,13.45,0,0.0,1.0
2014-10-29,13.55,13.55,13.55,13.55,624,0.0,1.0
2014-10-30,13.55,13.55,13.55,13.55,0,0.0,1.0
2014-10-31,13.55,13.55,13.55,13.55,123,0.0,1.0
2014-11-03,13.55,13.55,13.45,13.55,3525,0.0,1.0
2014-11-04,13.55,13.6,13.2,13.6,2238,0.0,1.0
2014-11-05,13.55,13.6,13.2,13.6,0,0.0,1.0
2014-11-06,13.6,13.6,13.4,13.55,947,0.0,1.0
2014-11-07,13.6,13.6,13.4,13.55,0,0.0,1.0
2014-11-10,13.6,13.6,13.4,13.55,0,0.0,1.0
2014-11-11,13.6,13.6,13.4,13.55,0,0.0,1.0
2014-11-12,13.6,13.6,13.4,13.55,0,0.0,1.0
2014-11-13,14.15,14.15,14.15,14.15,286,0.0,1.0
2014-11-14,13.96,13.96,13.96,13.96,145,0.0,1.0
2014-11-17,13.96,13.96,13.96,13.96,0,0.0,1.0
2014-11-18,14.15,14.15,14.15,14.15,157,0.0,1.0
2014-11-19,14.15,14.15,14.15,14.15,0,0.0,1.0
2014-11-20,14.0,14.0,14.0,14.0,398,0.0,1.0
2014-11-21,14.0,14.0,14.0,14.0,0,0.0,1.0
2014-11-24,14.0,14.0,14.0,14.0,0,0.0,1.0
2014-11-25,14.8,14.8,14.8,14.8,145,0.0,1.0
2014-11-26,14.8,14.8,14.8,14.8,0,0.0,1.0
2014-11-28,14.8,14.8,14.8,14.8,0,0.0,1.0
2014-12-01,14.2,14.2,14.2,14.2,136,0.0,1.0
2014-12-02,14.55,14.6,14.55,14.6,11206,0.0,1.0
2014-12-03,14.55,14.6,14.55,14.6,0,0.0,1.0
2014-12-04,14.8,14.88,14.8,14.88,36532,0.0,1.0
2014-12-05,14.8,15.08,14.8,15.08,22963,0.0,1.0
2014-12-08,14.5,14.5,14.5,14.5,151,0.0,1.0
2014-12-09,14.5,14.5,14.5,14.5,0,0.0,1.0
2014-12-10,15.0,15.0,15.0,15.0,220,0.0,1.0
2014-12-11,14.5,15.01,14.5,15.01,6265,0.0,1.0
2014-12-12,14.6,14.6,14.6,14.6,219,0.0,1.0
2014-12-15,14.0,14.25,14.0,14.25,4181,0.0,1.0
2014-12-16,14.4,14.4,14.4,14.4,605,0.0,1.0
2014-12-17,14.4,14.4,14.4,14.4,0,0.0,1.0
2014-12-18,14.2,14.2,13.75,13.75,1031,0.0,1.0
2014-12-19,13.68,14.2,13.68,14.2,433,0.0,1.0
2014-12-22,13.75,14.0,13.75,14.0,302,0.0,1.0
2014-12-23,14.5,14.5,14.0,14.0,1591,0.0,1.0
2014-12-24,14.5,14.5,14.0,14.0,0,0.0,1.0
2014-12-26,14.59,14.59,14.59,14.59,877,0.0,1.0
2014-12-29,14.59,14.59,14.59,14.59,0,0.0,1.0
2014-12-30,14.34,14.34,14.34,14.34,534,0.0,1.0
2014-12-31,13.25,13.5,13.25,13.5,503,0.0,1.0
2015-01-02,13.5,13.5,13.5,13.5,1189,0.0,1.0
2015-01-05,13.5,13.5,13.5,13.5,0,0.0,1.0
2015-01-06,13.35,13.35,13.35,13.35,278,0.0,1.0
2015-01-07,13.35,13.35,13.35,13.35,0,0.0,1.0
2015-01-08,13.0,13.0,13.0,13.0,132,0.0,1.0
2015-01-09,13.1,13.1,13.1,13.1,576,0.0,1.0
2015-01-12,13.0,13.07,13.0,13.07,355,0.0,1.0
2015-01-13,12.75,12.75,12.75,12.75,133,0.0,1.0
2015-01-14,13.0,13.45,13.0,13.45,304,0.0,1.0
2015-01-15,13.0,13.45,13.0,13.45,0,0.0,1.0
2015-01-16,13.0,13.45,13.0,13.45,0,0.0,1.0
2015-01-20,14.1,14.1,13.95,13.95,569,0.0,1.0
2015-01-21,13.96,13.96,13.96,13.96,1382,0.0,1.0
2015-01-22,13.96,13.96,13.96,13.96,0,0.0,1.0
2015-01-23,14.44,14.48,14.44,14.48,790,0.0,1.0
2015-01-26,15.32,15.32,14.89,14.9,23249,0.0,1.0
2015-01-27,14.38,14.54,14.38,14.54,1393,0.0,1.0
2015-01-28,14.49,14.49,14.49,14.49,1069,0.0,1.0
2015-01-29,14.22,14.22,14.22,14.22,235,0.0,1.0
2015-01-30,14.74,14.74,14.74,14.74,2274,0.0,1.0
2015-02-02,14.58,14.58,14.58,14.58,548,0.0,1.0
2015-02-03,14.58,14.58,14.58,14.58,0,0.0,1.0
2015-02-04,15.07,15.07,14.49,14.49,590,0.0,1.0
2015-02-05,15.07,15.07,14.49,14.49,0,0.0,1.0
2015-02-06,14.8,14.8,14.8,14.8,718,0.0,1.0
