date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-08-15,32.25,32.25,32.25,32.25,1939,0.0,1.0
2007-08-16,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-17,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-20,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-21,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-22,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-23,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-24,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-27,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-28,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-29,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-30,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-08-31,32.25,32.25,32.25,32.25,0,0.0,1.0
2007-09-04,34.06,34.06,34.06,34.06,500,0.0,1.0
2007-09-05,34.06,34.06,34.06,34.06,0,0.0,1.0
2007-09-06,34.06,34.06,34.06,34.06,0,0.0,1.0
2007-09-07,34.04,34.04,34.04,34.04,500,0.0,1.0
2007-09-10,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-11,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-12,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-13,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-14,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-17,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-18,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-19,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-20,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-21,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-24,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-25,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-26,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-27,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-09-28,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-01,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-02,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-03,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-04,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-05,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-08,34.04,34.04,34.04,34.04,0,0.0,1.0
2007-10-09,36.98,37.47,36.98,36.98,2700,0.0,1.0
2007-10-10,36.98,37.47,36.98,36.98,0,0.0,1.0
2007-10-11,36.98,37.47,36.98,36.98,0,0.0,1.0
2007-10-12,36.98,37.47,36.98,36.98,0,0.0,1.0
2007-10-15,36.98,37.47,36.98,36.98,0,0.0,1.0
2007-10-16,37.6,37.6,37.6,37.6,325,0.0,1.0
2007-10-17,37.6,37.6,37.6,37.6,0,0.0,1.0
2007-10-18,37.6,37.6,37.6,37.6,0,0.0,1.0
2007-10-19,37.6,37.6,37.6,37.6,0,0.0,1.0
2007-10-22,37.6,37.6,37.6,37.6,0,0.0,1.0
2007-10-23,37.6,37.6,37.6,37.6,0,0.0,1.0
2007-10-24,35.0,35.0,35.0,35.0,240,0.0,1.0
2007-10-25,35.58,35.58,35.58,35.58,1000,0.0,1.0
2007-10-26,35.58,35.58,35.58,35.58,0,0.0,1.0
2007-10-29,35.58,35.58,35.58,35.58,0,0.0,1.0
2007-10-30,35.58,35.58,35.58,35.58,0,0.0,1.0
2007-10-31,35.58,35.58,35.58,35.58,0,0.0,1.0
2007-11-01,35.58,35.58,35.58,35.58,0,0.0,1.0
2007-11-02,35.4,35.4,35.4,35.4,750,0.0,1.0
2007-11-05,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-06,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-07,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-08,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-09,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-12,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-14,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-15,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-16,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-19,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-21,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-23,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-26,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-27,35.23,35.23,35.23,35.23,0,0.0,1.0
2007-11-28,35.23,35.23,35.23,35.23,700,0.0,1.0
2007-11-29,35.15,35.15,35.15,35.15,792,0.0,1.0
2007-11-30,35.15,35.15,35.15,35.15,792,0.0,1.0
2007-12-03,35.15,35.15,35.15,35.15,0,0.0,1.0
2007-12-04,35.15,35.15,35.15,35.15,0,0.0,1.0
2007-12-05,35.15,35.15,35.15,35.15,0,0.0,1.0
2007-12-06,35.15,35.15,35.15,35.15,0,0.0,1.0
2007-12-07,35.15,35.15,35.15,35.15,0,0.0,1.0
2007-12-10,36.3,36.4,36.3,36.3,1748,0.0,1.0
2007-12-11,35.9,35.97,35.9,35.9,400000,0.0,1.0
2007-12-12,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-13,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-14,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-17,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-18,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-19,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-20,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-21,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-24,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-26,35.9,35.97,35.9,35.9,0,0.0,1.0
2007-12-27,36.1,36.1,36.1,36.1,155,0.0,1.0
2007-12-28,35.34,35.34,35.34,35.34,155,0.0,1.0
2007-12-31,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-02,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-03,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-04,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-07,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-08,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-09,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-10,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-11,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-14,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-15,35.34,35.34,35.34,35.34,0,0.0,1.0
2008-01-16,35.02,36.12,35.02,35.02,203875,0.0,1.0
2008-01-17,35.02,36.12,35.02,35.02,0,0.0,1.0
