date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,47.5,49.0,47.5,47.9,1301,0.0,1.0
2008-10-28,47.25,48.75,47.25,48.75,2721,0.0,1.0
2008-10-29,46.3,46.3,45.3,45.55,478,0.0,1.0
2008-10-30,48.2,48.9,48.1,48.1,2701,0.0,1.0
2008-10-31,47.6,47.6,46.8,46.8,1329,0.0,1.0
2008-11-03,46.4,48.05,46.4,48.0,2808,0.0,1.0
2008-11-04,48.05,49.5,47.5,47.95,5938,0.0,1.0
2008-11-05,46.55,48.1,46.0,48.1,2235,0.0,1.0
2008-11-06,47.15,48.55,45.0,45.0,4760,0.0,1.0
2008-11-07,47.35,48.15,47.35,47.35,760,0.0,1.0
2008-11-10,47.05,47.85,47.05,47.05,1049,0.0,1.0
2008-11-11,46.8,48.0,45.55,46.0,1280,0.0,1.0
2008-11-12,49.5,49.95,49.5,49.5,2277,0.0,1.0
2008-11-13,52.15,54.15,51.55,54.15,2175,0.0,1.0
2008-11-14,51.7,51.8,51.0,51.0,607,0.0,1.0
2008-11-17,51.6,52.4,50.85,50.85,1399,0.0,1.0
2008-11-18,52.9,53.8,51.95,53.8,870,0.0,1.0
2008-11-19,50.85,52.65,50.85,52.63,10583,0.0,1.0
2008-11-20,52.75,54.0,52.25,54.0,16883,0.0,1.0
2008-11-21,50.55,52.5,50.55,52.5,29779,0.0,1.0
2008-11-24,52.5,56.0,50.5,55.1,59138,0.0,1.0
2008-11-25,52.0,53.2,51.35,52.61,21127,0.0,1.0
2008-11-26,52.35,53.5,52.35,53.35,42060,0.0,1.0
2008-11-28,51.85,52.1,51.3,51.5,13031,0.0,1.0
2008-12-01,50.85,51.55,50.5,50.5,40247,0.0,1.0
2008-12-02,52.0,54.4,52.0,54.05,62227,0.0,1.0
2008-12-03,53.02,53.25,52.0,53.25,30889,0.0,1.0
2008-12-04,51.15,51.15,50.5,50.6,36357,0.0,1.0
2008-12-05,50.3,50.4,49.9,49.9,1296,0.0,1.0
2008-12-08,49.0,51.25,49.0,49.2,40143,0.0,1.0
2008-12-09,48.5,48.75,47.95,48.4,2647,0.0,1.0
2008-12-10,47.0,47.0,46.25,46.25,3311,0.0,1.0
2008-12-11,47.95,48.0,45.75,45.75,5755,0.0,1.0
2008-12-12,48.45,48.45,47.35,47.35,4363,0.0,1.0
2008-12-15,48.85,49.65,48.85,48.85,5004,0.0,1.0
2008-12-16,48.95,49.1,48.2,48.9,4160,0.0,1.0
2008-12-17,51.15,52.2,51.0,51.3,8123,0.0,1.0
2008-12-18,51.9,51.9,50.8,51.6,48111,0.0,1.0
2008-12-19,51.15,51.15,50.7,51.1,6586,0.0,1.0
2008-12-22,50.7,51.2,50.7,51.15,5887,0.0,1.0
2008-12-23,51.2,51.2,49.55,49.55,4192,0.0,1.0
2008-12-24,50.4,51.2,50.4,50.5,3683,0.0,1.0
2008-12-26,51.75,51.95,51.05,51.95,3258,0.0,1.0
2008-12-29,51.25,51.4,50.85,51.25,5459,0.0,1.0
2008-12-30,50.55,51.5,50.55,51.5,2718,0.0,1.0
2008-12-31,51.1,52.75,51.0,52.75,3417,0.0,1.0
2009-01-02,52.9,53.0,52.85,53.0,1377,0.0,1.0
2009-01-05,50.0,53.9,46.0,49.0,4173,0.0,1.0
2009-01-06,13.45,13.45,12.6,12.65,20211,0.0,1.0
2009-01-07,12.01,12.65,12.01,12.02,32379,0.0,1.0
2009-01-08,12.01,12.01,11.66,12.0,24944,0.0,1.0
2009-01-09,11.8,12.1,11.8,12.05,22209,0.0,1.0
2009-01-12,12.0,12.25,11.85,11.9,52577,0.0,1.0
2009-01-13,11.8,12.15,11.8,12.15,22399,0.0,1.0
2009-01-14,11.75,12.2,11.75,12.2,181362,0.0,1.0
2009-01-15,12.4,12.54,12.05,12.35,1288921,0.0,1.0
2009-01-16,12.45,12.5,12.3,12.38,65934,0.0,1.0
2009-01-20,11.8,12.1,11.8,11.94,138917,0.0,1.0
2009-01-21,11.75,12.45,11.75,12.4,730160,0.0,1.0
2009-01-22,11.8,12.3,11.8,12.1,161615,0.0,1.0
2009-01-23,12.1,12.1,11.8,11.95,36261,0.0,1.0
2009-01-26,11.85,12.2,11.85,12.15,39824,0.0,1.0
2009-01-27,12.0,12.3,12.0,12.3,56334,0.0,1.0
2009-01-28,11.85,12.1,11.8,11.85,23379,0.0,1.0
2009-01-29,11.6,11.65,11.25,11.55,40665,0.0,1.0
2009-01-30,11.15,11.6,11.15,11.55,31114,0.0,1.0
2009-02-02,11.2,11.2,11.0,11.15,25287,0.0,1.0
2009-02-03,10.75,11.05,10.75,11.05,47182,0.0,1.0
2009-02-04,10.85,11.15,10.85,11.15,46297,0.0,1.0
2009-02-05,10.6,10.95,10.6,10.75,57615,0.0,1.0
2009-02-06,10.3,10.7,10.3,10.55,39303,0.0,1.0
