date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-09-20,32.25,36.01,32.05,36.0,40182749,0.0,1.0
2018-09-21,34.56,35.49,33.88,34.1,9269454,0.0,1.0
2018-09-24,34.1,35.65,33.7,34.9,2769119,0.0,1.0
2018-09-25,34.76,34.99,34.06,34.58,3152188,0.0,1.0
2018-09-26,34.35,35.98,34.25,35.5,5835634,0.0,1.0
2018-09-27,37.61,37.61,35.67,36.19,2949670,0.0,1.0
2018-09-28,36.0,36.21,34.75,34.89,1321539,0.0,1.0
2018-10-01,35.48,35.48,32.71,33.73,4374385,0.0,1.0
2018-10-02,33.64,34.35,32.89,33.42,2128171,0.0,1.0
2018-10-03,33.4,34.3,32.75,34.25,1116557,0.0,1.0
2018-10-04,34.21,35.41,33.04,34.02,1226713,0.0,1.0
2018-10-05,34.14,34.5,33.25,34.34,1488787,0.0,1.0
2018-10-08,34.0,34.64,33.85,34.01,963236,0.0,1.0
2018-10-09,34.01,34.95,33.55,34.32,1131637,0.0,1.0
2018-10-10,34.45,34.48,33.25,33.53,1610454,0.0,1.0
2018-10-11,33.51,33.76,31.76,32.39,1504195,0.0,1.0
2018-10-12,32.66,33.86,32.0,32.58,1324881,0.0,1.0
2018-10-15,32.49,32.49,31.5,32.46,2530077,0.0,1.0
2018-10-16,32.54,32.8,32.01,32.61,892481,0.0,1.0
2018-10-17,32.49,32.93,31.44,32.93,721330,0.0,1.0
2018-10-18,32.5,32.75,31.4,31.8,1102878,0.0,1.0
2018-10-19,31.87,32.38,31.33,31.61,890137,0.0,1.0
2018-10-22,31.54,32.24,31.2,31.88,747138,0.0,1.0
2018-10-23,31.8,32.88,31.26,32.44,1717995,0.0,1.0
2018-10-24,32.44,33.41,31.62,31.74,1596603,0.0,1.0
2018-10-25,31.74,32.51,31.31,31.96,927449,0.0,1.0
2018-10-26,31.73,32.86,31.6,32.43,861080,0.0,1.0
2018-10-29,32.42,32.89,30.59,30.91,1611992,0.0,1.0
2018-10-30,30.6,31.07,30.1,30.85,1496889,0.0,1.0
