date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-22,17.14,17.14,17.14,17.14,55,0.0,1.0
2017-09-25,17.3,17.3,17.2,17.2,510,0.0,1.0
2017-09-26,17.16,17.16,17.16,17.16,732,0.0,1.0
2017-09-28,16.77,16.82,16.77,16.82,30043,0.0,1.0
2017-10-02,16.82,16.82,16.82,16.82,9096,0.0,1.0
2017-10-03,16.8,16.84,16.8,16.84,30000,0.0,1.0
2017-10-04,17.0,17.0,17.0,17.0,1074,0.0,1.0
2017-10-06,16.72,16.82,16.72,16.82,39000,0.0,1.0
2017-10-09,16.82,16.82,16.82,16.82,37,0.0,1.0
2017-10-11,17.08,17.12,17.08,17.12,30040,0.35,1.0
2017-10-12,16.9,16.9,16.9,16.9,980,0.0,1.0
2017-10-13,16.9,16.9,16.9,16.9,230,0.0,1.0
2017-10-16,16.65,16.65,16.65,16.65,297,0.0,1.0
2017-10-17,16.6,16.85,16.6,16.85,1598,0.0,1.0
2017-10-18,16.51,16.51,16.51,16.51,147,0.0,1.0
2017-10-19,16.51,16.51,16.51,16.51,4100,0.0,1.0
2017-10-20,16.51,16.51,16.51,16.51,31,0.0,1.0
2017-10-23,16.51,16.51,16.51,16.51,100,0.0,1.0
2017-10-25,16.56,16.56,16.55,16.55,1656,0.0,1.0
2017-10-26,16.65,16.65,16.65,16.65,55273,0.0,1.0
2017-10-27,16.65,16.65,16.65,16.65,1388,0.0,1.0
2017-10-30,16.64,16.64,16.64,16.64,102,0.0,1.0
2017-10-31,16.66,16.94,16.66,16.68,5713,0.0,1.0
2017-11-01,16.75,16.75,16.75,16.75,313,0.0,1.0
2017-11-02,16.75,16.75,16.75,16.75,179,0.0,1.0
2017-11-03,16.71,16.95,16.71,16.95,4623,0.0,1.0
2017-11-06,16.84,16.84,16.84,16.84,3246,0.0,1.0
2017-11-07,16.84,16.84,16.84,16.84,10,0.0,1.0
2017-11-09,16.84,16.84,16.84,16.84,790,0.0,1.0
2017-11-10,16.84,16.84,16.84,16.84,54,0.0,1.0
2017-11-13,16.84,16.84,16.84,16.84,430,0.0,1.0
2017-11-14,16.84,16.84,16.84,16.84,1753,0.0,1.0
2017-11-15,16.95,17.03,16.95,17.03,400,0.0,1.0
2017-11-16,16.92,17.16,16.8,17.16,15601,0.0,1.0
2017-11-17,16.67,16.72,16.67,16.72,320,0.0,1.0
2017-11-20,16.68,16.68,16.68,16.68,1454,0.0,1.0
2017-11-21,16.8,16.8,16.8,16.8,1454,0.0,1.0
2017-11-24,17.05,17.05,17.05,17.05,150,0.0,1.0
2017-11-27,17.01,17.01,17.01,17.01,2195,0.0,1.0
2017-11-28,17.25,17.25,17.25,17.25,1362,0.0,1.0
2017-11-29,17.25,17.25,17.25,17.25,320,0.0,1.0
2017-11-30,17.3,17.4,17.3,17.3,2993,0.0,1.0
2017-12-01,17.25,17.25,17.25,17.25,22681,0.0,1.0
2017-12-04,17.22,17.22,17.22,17.22,218,0.0,1.0
2017-12-05,17.27,17.3,17.27,17.3,2328,0.0,1.0
2017-12-06,17.3,17.31,17.3,17.31,2363,0.0,1.0
2017-12-07,17.39,17.9,17.39,17.9,12138,0.0,1.0
2017-12-08,17.9,17.9,17.9,17.9,21,0.0,1.0
2017-12-11,17.16,17.16,17.16,17.16,250,0.0,1.0
2017-12-12,17.17,17.17,17.17,17.17,800,0.0,1.0
2017-12-13,17.28,17.55,17.05,17.3,3191,0.0,1.0
2017-12-14,17.05,17.25,17.05,17.25,266,0.0,1.0
2017-12-15,17.25,17.25,17.25,17.25,547,0.0,1.0
2017-12-18,17.25,17.25,17.25,17.25,2529,0.0,1.0
2017-12-19,16.91,16.91,16.91,16.91,650,0.0,1.0
2017-12-20,17.24,17.24,17.24,17.24,622,0.0,1.0
2017-12-21,17.21,17.21,16.97,16.97,1359,0.0,1.0
2017-12-26,16.93,16.93,16.93,16.93,1428,0.0,1.0
2017-12-27,16.98,17.0,16.98,17.0,1302,0.0,1.0
2017-12-28,17.0,17.0,17.0,17.0,90,0.0,1.0
2017-12-29,17.0,17.0,17.0,17.0,70,0.0,1.0
