date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-08-21,10.75,10.75,10.75,10.75,351,0.0,1.0
2018-09-21,11.38,11.46,11.38,11.46,351,0.0,1.0
2018-09-26,11.49,11.49,11.49,11.49,1000,0.0,1.0
2018-10-01,11.26,11.26,11.26,11.26,1060,0.0,1.0
2018-10-15,10.49,10.59,10.49,10.59,351,0.0,1.0
2018-10-17,10.38,10.8,10.38,10.6,1099378,0.0,1.0
2018-10-18,10.49,10.67,10.4,10.56,440848,0.0,1.0
2018-10-19,9.98,10.3,9.75,10.29,54035,0.0,1.0
2018-10-22,10.24,10.5,10.08,10.34,1050527,0.0,1.0
2018-10-23,9.75,9.87,9.6,9.87,6858,0.0,1.0
2018-10-24,9.88,9.88,9.52,9.78,10518,0.0,1.0
2018-10-25,9.08,9.2,9.0,9.15,28560,0.0,1.0
2018-10-26,8.54,8.8,8.39,8.4,13480,0.0,1.0
2018-10-29,8.81,8.81,8.61,8.72,15986,0.0,1.0
2018-10-30,8.53,8.71,8.44,8.69,4093,0.0,1.0
2018-10-31,8.72,8.97,8.72,8.97,16052,0.0,1.0
2018-11-01,8.8,8.92,8.75,8.75,7000,0.0,1.0
2018-11-02,9.01,9.31,8.95,8.96,9540,0.0,1.0
2018-11-05,8.73,8.9,8.61,8.76,9267,0.0,1.0
2018-11-06,8.75,8.77,8.63,8.77,8861,0.0,1.0
2018-11-07,8.77,8.98,8.73,8.74,12129,0.0,1.0
2018-11-08,8.72,8.75,8.56,8.73,9953,0.0,1.0
2018-11-09,8.28,8.49,8.21,8.29,18533,0.0,1.0
2018-11-12,8.48,8.5,8.1,8.1,10952,0.0,1.0
2018-11-13,8.6,8.86,8.57,8.57,7542,0.0,1.0
2018-11-14,8.83,8.88,8.51,8.56,7657,0.0,1.0
2018-11-15,8.66,8.96,8.5,8.54,8646,0.0,1.0
2018-11-16,8.88,9.11,8.68,9.07,9743,0.0,1.0
2018-11-19,8.78,8.96,8.6,8.92,3759,0.0,1.0
2018-11-20,8.37,8.72,8.28,8.28,15734,0.0,1.0
2018-11-21,8.33,8.73,8.31,8.31,10558,0.0,1.0
2018-11-23,8.09,8.24,7.91,8.21,7710,0.0,1.0
2018-11-26,8.3,8.63,8.3,8.55,11811,0.0,1.0
2018-11-27,8.01,8.24,7.85,8.0,9462,0.0,1.0
2018-11-28,8.04,8.24,7.94,8.16,8475,0.0,1.0
2018-11-29,8.22,8.38,7.98,7.98,10806,0.0,1.0
2018-11-30,8.07,8.42,8.07,8.41,480696,0.0,1.0
2018-12-03,8.51,8.74,8.5,8.74,245621,0.0,1.0
2018-12-04,8.89,8.91,8.71,8.9,2426197,0.0,1.0
2018-12-06,8.47,8.47,8.0,8.17,111177,0.0,1.0
2018-12-07,8.2,8.35,8.07,8.21,83926,0.0,1.0
2018-12-10,8.16,8.37,8.07,8.16,43619,0.0,1.0
2018-12-11,8.38,8.56,8.23,8.56,166311,0.0,1.0
2018-12-12,8.52,8.99,8.52,8.67,24351,0.0,1.0
2018-12-13,8.66,8.79,8.46,8.79,322176,0.0,1.0
2018-12-14,8.46,8.54,8.34,8.34,458044,0.0,1.0
2018-12-17,8.35,8.63,8.33,8.33,616966,0.0,1.0
2018-12-18,8.74,8.74,8.49,8.51,66739,0.0,1.0
2018-12-19,8.78,8.78,8.4,8.56,147447,0.0,1.0
2018-12-20,8.64,8.75,8.48,8.74,39475,0.0,1.0
2018-12-21,8.73,8.9,8.69,8.69,1422093,0.0,1.0
2018-12-24,8.67,8.87,8.57,8.65,89120,0.0,1.0
2018-12-26,8.55,8.83,8.38,8.61,33259,0.0,1.0
2018-12-27,8.88,9.12,8.82,9.08,434989,0.0,1.0
2018-12-28,9.3,9.43,9.15,9.17,777519,0.0,1.0
2018-12-31,9.13,9.57,9.13,9.42,36154,0.0,1.0
2019-01-02,9.57,9.66,9.46,9.56,35759,0.0,1.0
2019-01-03,9.41,9.44,9.22,9.33,929882,0.0,1.0
2019-01-04,9.45,9.74,9.45,9.69,352465,0.0,1.0
2019-01-07,9.73,9.93,9.64,9.93,76544,0.0,1.0
2019-01-08,9.67,9.67,9.4,9.44,32187,0.0,1.0
2019-01-09,9.59,9.59,9.42,9.58,56428,0.0,1.0
2019-01-10,9.44,9.56,9.35,9.4,32983,0.0,1.0
2019-01-11,9.51,9.66,9.46,9.62,153537,0.0,1.0
2019-01-14,9.2,9.29,9.12,9.2,62825,0.0,1.0
2019-01-15,9.4,9.4,9.21,9.25,15492,0.0,1.0
2019-01-16,9.31,9.49,9.25,9.25,22005,0.0,1.0
2019-01-17,9.3,9.56,9.3,9.56,27506,0.0,1.0
2019-01-18,9.68,9.82,9.68,9.82,32246,0.0,1.0
2019-01-22,9.7,9.94,9.67,9.81,70994,0.0,1.0
2019-01-23,9.79,9.79,9.52,9.58,30024,0.0,1.0
2019-01-24,9.52,9.7,9.46,9.55,34935,0.0,1.0
2019-01-25,9.66,9.86,9.6,9.62,18719,0.0,1.0
2019-01-28,9.6,9.71,9.47,9.55,52169,0.0,1.0
2019-01-29,9.51,9.7,9.51,9.65,24498,0.0,1.0
2019-01-30,9.46,9.63,9.4,9.63,17678,0.0,1.0
2019-01-31,9.44,9.69,9.44,9.69,28366,0.0,1.0
2019-02-01,9.69,9.89,9.66,9.88,19132,0.0,1.0
2019-02-04,9.76,9.97,9.76,9.97,18051,0.0,1.0
2019-02-05,9.62,9.63,9.36,9.53,20647,0.0,1.0
2019-02-06,9.16,9.29,9.06,9.25,18363,0.0,1.0
2019-02-07,9.27,9.27,9.04,9.15,16867,0.0,1.0
2019-02-08,9.27,9.44,9.16,9.35,50219,0.0,1.0
2019-02-11,9.33,9.46,9.23,9.29,23089,0.0,1.0
2019-02-12,9.51,9.51,9.36,9.38,10112,0.0,1.0
2019-02-13,9.72,9.76,9.64,9.7,15830,0.0,1.0
2019-02-14,9.69,9.78,9.63,9.72,20840,0.0,1.0
2019-02-15,9.71,9.89,9.67,9.75,28657,0.0,1.0
2019-02-19,9.64,9.8,9.62,9.74,42166,0.0,1.0
2019-02-20,9.7,10.0,9.69,10.0,23382,0.0,1.0
2019-02-21,9.88,9.94,9.7,9.7,12762,0.0,1.0
2019-02-22,9.78,9.88,9.78,9.86,18502,0.0,1.0
2019-02-25,9.88,10.13,9.84,10.0,156233,0.0,1.0
2019-02-26,9.92,10.11,9.91,9.97,32082,0.0,1.0
2019-02-27,9.93,10.11,9.91,9.95,16531,0.0,1.0
2019-02-28,9.89,10.13,9.89,9.94,16168,0.0,1.0
2019-03-01,9.88,10.01,9.81,9.81,13956,0.0,1.0
2019-03-04,10.13,10.13,9.95,10.1,24555,0.0,1.0
2019-03-05,10.1,10.3,10.09,10.3,19043,0.0,1.0
2019-03-06,10.29,10.44,10.2,10.32,31766,0.0,1.0
2019-03-07,9.84,9.84,9.65,9.65,23276,0.0,1.0
2019-03-08,9.6,9.76,9.59,9.66,24432,0.0,1.0
2019-03-11,9.85,10.01,9.84,9.95,695625,0.0,1.0
2019-03-12,9.81,10.06,9.81,9.91,871024,0.0,1.0
2019-03-13,9.94,9.99,9.93,9.95,100810,0.0,1.0
2019-03-14,9.87,9.87,9.65,9.65,117252,0.0,1.0
2019-03-15,9.82,10.02,9.77,9.92,49663,0.0,1.0
2019-03-18,10.06,10.13,9.96,9.98,1049904,0.0,1.0
2019-03-19,10.03,10.14,9.94,9.94,1756708,0.0,1.0
2019-03-20,9.97,10.09,9.86,10.03,52956,0.0,1.0
2019-03-21,10.08,10.11,9.92,9.96,22928,0.0,1.0
2019-03-22,9.73,9.76,9.55,9.61,655787,0.0,1.0
2019-03-25,9.74,9.87,9.69,9.72,565181,0.0,1.0
2019-03-26,9.73,9.93,9.72,9.77,477404,0.0,1.0
2019-03-27,9.69,9.94,9.69,9.94,744847,0.0,1.0
2019-03-28,10.01,10.02,9.85,9.98,421416,0.0,1.0
2019-03-29,10.01,10.16,9.99,10.05,34725,0.0,1.0
2019-04-01,10.28,10.41,10.28,10.34,29249,0.0,1.0
2019-04-02,10.23,10.38,10.19,10.23,42470,0.0,1.0
2019-04-03,10.42,10.61,10.4,10.44,32673,0.0,1.0
2019-04-04,10.33,10.44,10.33,10.44,31520,0.0,1.0
2019-04-05,10.56,10.63,10.54,10.57,58128,0.0,1.0
2019-04-08,10.5,10.56,10.47,10.51,64029,0.0,1.0
2019-04-09,10.49,10.63,10.4,10.45,27078,0.0,1.0
2019-04-10,10.24,10.34,10.24,10.28,22563,0.0,1.0
2019-04-11,10.36,10.37,10.28,10.34,24523,0.0,1.0
2019-04-12,10.42,10.6,10.42,10.53,22506,0.0,1.0
2019-04-15,10.37,10.55,10.33,10.35,38219,0.0,1.0
2019-04-16,10.5,10.57,10.45,10.5,36023,0.0,1.0
2019-04-17,10.76,10.87,10.69,10.72,39916,0.0,1.0
2019-04-18,10.88,10.97,10.84,10.97,53000,0.0,1.0
2019-04-22,10.75,11.0,10.75,10.93,23755,0.0,1.0
2019-04-23,10.67,10.8,10.62,10.72,23718,0.0,1.0
2019-04-24,10.73,10.75,10.67,10.7,36540,0.0,1.0
2019-04-25,10.63,10.66,10.58,10.65,27022,0.0,1.0
2019-04-26,10.61,10.75,10.6,10.7,30370,0.0,1.0
2019-04-29,10.75,10.96,10.75,10.86,19235,0.0,1.0
2019-04-30,10.35,10.5,10.27,10.37,33225,0.0,1.0
2019-05-01,10.4,10.48,10.22,10.24,19974,0.0,1.0
2019-05-02,10.17,10.29,10.09,10.29,21682,0.0,1.0
2019-05-03,10.03,10.32,10.03,10.32,30650,0.0,1.0
2019-05-06,10.0,10.28,10.0,10.15,31498,0.0,1.0
2019-05-07,9.97,10.05,9.77,9.79,64670,0.0,1.0
2019-05-08,9.83,9.95,9.83,9.9,34229,0.0,1.0
2019-05-09,9.66,9.84,9.61,9.84,34031,0.0,1.0
2019-05-10,9.73,9.86,9.62,9.85,41425,0.1132,1.0
2019-05-13,9.53,9.56,9.44,9.45,20012,0.0,1.0
2019-05-14,9.49,9.57,9.49,9.53,62692,0.0,1.0
2019-05-15,9.57,9.65,9.55,9.63,36310,0.0,1.0
2019-05-16,9.75,9.89,9.75,9.82,26702,0.0,1.0
2019-05-17,9.76,9.98,9.76,9.76,15232,0.0,1.0
2019-05-20,9.68,9.85,9.66,9.85,17346,0.0,1.0
2019-05-21,9.82,9.99,9.77,9.88,22977,0.0,1.0
2019-05-22,9.82,9.92,9.76,9.77,23874,0.0,1.0
2019-05-23,9.56,9.66,9.51,9.54,37279,0.0,1.0
2019-05-24,9.65,9.78,9.63,9.7,57009,0.0,1.0
2019-05-28,9.66,9.83,9.64,9.74,41573,0.0,1.0
2019-05-29,9.72,9.76,9.51,9.61,47860,0.0,1.0
2019-05-30,9.62,9.82,9.62,9.76,19042,0.0,1.0
2019-05-31,9.15,9.4,9.06,9.33,32555,0.0,1.0
2019-06-03,9.15,9.51,9.15,9.34,51797,0.0,1.0
2019-06-04,9.66,9.86,9.62,9.8,30814,0.0,1.0
2019-06-05,9.65,9.81,9.64,9.66,23749,0.0,1.0
2019-06-06,9.51,9.76,9.51,9.71,26001,0.0,1.0
2019-06-07,9.81,9.89,9.81,9.89,29066,0.0,1.0
2019-06-10,9.82,9.85,9.73,9.78,39454,0.0,1.0
2019-06-11,9.93,9.95,9.81,9.86,59414,0.0,1.0
2019-06-12,9.84,9.84,9.73,9.77,44131,0.0,1.0
2019-06-13,9.89,9.94,9.86,9.9,23552,0.0,1.0
2019-06-14,9.64,9.64,9.56,9.58,29514,0.0,1.0
2019-06-17,9.58,9.63,9.58,9.59,27399,0.0,1.0
2019-06-18,9.55,9.72,9.55,9.64,37207,0.0,1.0
2019-06-19,9.92,10.02,9.91,10.02,38885,0.0,1.0
2019-06-20,10.28,10.39,10.27,10.35,33587,0.0,1.0
2019-06-21,10.32,10.4,10.28,10.33,19208,0.0,1.0
2019-06-24,10.37,10.38,10.32,10.34,67189,0.0,1.0
2019-06-25,10.47,10.61,10.38,10.38,16576,0.0,1.0
2019-06-26,10.47,10.57,10.42,10.45,26084,0.0,1.0
2019-06-27,10.34,10.53,10.34,10.39,39004,0.0,1.0
2019-06-28,10.4,10.4,10.28,10.33,45694,0.0,1.0
2019-07-01,10.4,10.47,10.3,10.39,21073,0.0,1.0
2019-07-02,10.29,10.38,10.29,10.36,26044,0.0,1.0
2019-07-03,10.37,10.37,10.28,10.31,30369,0.0,1.0
2019-07-05,9.89,9.94,9.83,9.91,25149,0.0,1.0
2019-07-08,9.85,9.85,9.78,9.83,24592,0.0,1.0
2019-07-09,9.68,9.73,9.63,9.72,31183,0.0,1.0
2019-07-10,9.72,9.78,9.67,9.75,23135,0.0,1.0
2019-07-11,9.66,9.73,9.66,9.7,29495,0.0,1.0
2019-07-12,9.85,10.09,9.85,9.91,21896,0.0,1.0
2019-07-15,10.02,10.14,10.01,10.1,98411,0.0,1.0
2019-07-16,10.09,10.17,10.08,10.12,75182,0.0,1.0
2019-07-17,10.1,10.29,10.1,10.12,165998,0.0,1.0
2019-07-18,10.7,10.78,10.61,10.78,418765,0.0,1.0
2019-07-19,10.95,10.98,10.85,10.91,26901,0.0,1.0
2019-07-22,11.06,11.09,11.04,11.06,321597,0.0,1.0
2019-07-23,11.2,11.34,11.2,11.34,288383,0.0,1.0
2019-07-24,11.17,11.25,11.17,11.24,462516,0.0,1.0
2019-07-25,11.05,11.17,11.01,11.08,320324,0.0,1.0
2019-07-26,11.06,11.12,11.04,11.11,123109,0.0,1.0
2019-07-29,11.06,11.12,11.0,11.1,46264,0.0,1.0
2019-07-30,10.86,10.91,10.82,10.91,43368,0.0,1.0
2019-07-31,10.98,11.11,10.84,10.84,74999,0.0,1.0
2019-08-01,10.79,10.92,10.61,10.71,41018,0.0,1.0
2019-08-02,10.5,10.5,10.34,10.5,41516,0.0,1.0
2019-08-05,10.13,10.16,10.0,10.02,34048,0.0,1.0
2019-08-06,10.24,10.24,10.11,10.16,53385,0.0,1.0
2019-08-07,10.07,10.27,10.07,10.27,46963,0.0,1.0
2019-08-08,10.3,10.43,10.3,10.35,48809,0.0,1.0
2019-08-09,10.23,10.36,10.2,10.36,46551,0.0,1.0
2019-08-12,10.07,10.11,9.97,10.02,61315,0.0,1.0
