date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-10-02,13.05,13.49,13.05,13.1,28047500,0.0,1.0
2013-10-03,13.16,13.27,13.1,13.2,3345600,0.0,1.0
2013-10-04,13.25,13.27,13.1,13.15,1327700,0.0,1.0
2013-10-07,13.21,13.29,13.11,13.29,1846400,0.0,1.0
2013-10-08,13.29,13.36,13.15,13.28,2933100,0.0,1.0
2013-10-09,13.35,13.39,12.65,13.27,2773600,0.0,1.0
2013-10-10,13.3,13.38,13.25,13.38,1983600,0.0,1.0
2013-10-11,13.31,13.65,13.31,13.6,672100,0.0,1.0
2013-10-14,13.6,13.65,13.5,13.63,453500,0.0,1.0
2013-10-15,13.63,13.74,13.5,13.68,742300,0.0,1.0
2013-10-16,13.6,13.75,13.55,13.67,677200,0.0,1.0
2013-10-17,13.74,13.92,13.64,13.9,624300,0.0,1.0
2013-10-18,14.31,14.31,13.95,13.95,1150500,0.0,1.0
2013-10-21,14.0,14.05,13.81,13.94,447100,0.0,1.0
2013-10-22,13.9,13.9,13.65,13.81,1181800,0.0,1.0
2013-10-23,13.68,14.0,13.62,14.0,584800,0.0,1.0
2013-10-24,14.63,14.9,13.91,14.09,486400,0.0,1.0
2013-10-25,14.12,14.56,14.12,14.55,655900,0.0,1.0
2013-10-28,14.59,14.6,14.31,14.4,296000,0.0,1.0
2013-10-29,14.36,14.36,14.05,14.17,252800,0.0,1.0
2013-10-30,14.0,14.15,13.86,13.94,331000,0.0,1.0
2013-10-31,13.99,14.2,13.99,14.15,400200,0.0,1.0
2013-11-01,14.09,14.25,13.82,14.01,225500,0.0,1.0
2013-11-04,14.05,14.14,13.82,14.1,424200,0.0,1.0
2013-11-05,14.07,14.16,13.92,13.96,127100,0.0,1.0
2013-11-06,14.45,14.59,13.85,14.0,377900,0.0,1.0
2013-11-07,14.0,14.14,13.7,13.73,502300,0.0,1.0
2013-11-08,13.8,13.82,13.2,13.51,628000,0.0,1.0
2013-11-11,13.46,13.52,13.24,13.51,390000,0.0,1.0
2013-11-12,13.5,13.68,13.25,13.65,249400,0.0,1.0
2013-11-13,13.8,14.07,13.73,14.04,386700,0.0,1.0
2013-11-14,13.97,14.26,13.83,14.23,479200,0.0,1.0
2013-11-15,14.17,14.23,14.02,14.2,242700,0.0,1.0
2013-11-18,14.2,14.23,13.99,14.01,162000,0.0,1.0
2013-11-19,13.95,14.05,13.65,13.94,386400,0.0,1.0
2013-11-20,14.0,14.1,13.8,14.01,104700,0.0,1.0
2013-11-21,14.1,14.14,13.9,14.06,158300,0.0,1.0
2013-11-22,14.08,14.08,13.71,13.87,197600,0.0,1.0
2013-11-25,13.93,13.99,13.7,13.98,72500,0.0,1.0
2013-11-26,13.99,14.25,13.8,14.08,202400,0.0,1.0
2013-11-27,14.07,14.49,13.93,14.43,275700,0.0,1.0
2013-11-29,14.49,14.49,14.32,14.45,148500,0.0,1.0
2013-12-02,14.5,14.52,14.11,14.28,541400,0.0,1.0
2013-12-03,14.21,14.23,13.88,14.01,481300,0.0,1.0
2013-12-04,13.88,14.52,13.84,14.46,1004400,0.0,1.0
2013-12-05,14.51,14.52,14.31,14.49,616700,0.0,1.0
2013-12-06,14.5,14.52,14.24,14.39,378300,0.0,1.0
2013-12-09,14.43,14.69,14.42,14.6,675600,0.0,1.0
2013-12-10,14.62,14.7,14.26,14.46,690600,0.0,1.0
2013-12-11,14.4,14.54,14.01,14.05,686800,0.0,1.0
2013-12-12,13.95,14.38,13.95,14.1,918000,0.0795,1.0
2013-12-13,14.09,14.45,14.05,14.37,819400,0.0,1.0
2013-12-16,14.58,14.75,14.43,14.49,1284100,0.0,1.0
2013-12-17,14.56,14.76,14.13,14.58,1369100,0.0,1.0
2013-12-18,14.58,15.07,14.54,14.98,1982400,0.0,1.0
