date,open_price,high_price,low_price,close_price,volume,dividend,split
2018-10-17,17.01,17.16,16.85,17.08,7903041,0.0,1.0
2018-10-18,16.94,17.43,16.78,16.82,29571044,0.0,1.0
2018-10-19,16.96,17.45,16.82,17.06,15288218,0.0,1.0
2018-10-22,16.99,16.99,16.42,16.47,19149886,0.0,1.0
2018-10-23,16.03,16.15,15.59,16.08,15721650,0.0,1.0
2018-10-24,16.06,16.06,15.17,15.34,14829243,0.0,1.0
2018-10-25,15.51,15.86,15.21,15.69,14770893,0.0,1.0
2018-10-26,15.54,15.67,15.16,15.46,9284211,0.0,1.0
2018-10-29,15.55,15.66,14.75,14.84,14082514,0.0,1.0
2018-10-30,14.9,15.03,14.63,15.0,12452589,0.0,1.0
2018-10-31,15.45,15.7,15.39,15.54,10248139,0.0,1.0
2018-11-01,15.58,15.98,15.46,15.83,7451056,0.0,1.0
2018-11-02,15.92,15.95,15.35,15.66,8533129,0.0,1.0
2018-11-05,15.82,15.98,15.62,15.97,10459253,0.0,1.0
2018-11-06,15.91,16.0,15.58,15.9,7047825,0.0,1.0
2018-11-07,15.89,16.0,15.47,15.97,9533048,0.305,1.0
2018-11-08,16.21,17.04,15.89,16.06,14780283,0.0,1.0
2018-11-09,15.9,15.98,15.48,15.66,10989298,0.0,1.0
2018-11-12,15.66,15.95,15.38,15.4,7089006,0.0,1.0
2018-11-13,15.38,15.68,14.87,14.93,13648411,0.0,1.0
2018-11-14,15.25,15.25,14.47,14.57,13809455,0.0,1.0
2018-11-15,14.69,14.95,14.63,14.75,9206705,0.0,1.0
2018-11-16,14.83,15.1,14.68,14.8,9622461,0.0,1.0
2018-11-19,15.0,15.07,14.8,14.8,11981690,0.0,1.0
2018-11-20,14.71,14.75,14.07,14.3,19056961,0.0,1.0
2018-11-21,14.49,14.89,14.41,14.68,11393884,0.0,1.0
2018-11-23,14.38,14.46,14.01,14.23,4962793,0.0,1.0
2018-11-26,14.47,14.68,14.31,14.42,7602095,0.0,1.0
2018-11-27,14.33,14.67,14.33,14.49,9027935,0.0,1.0
2018-11-28,14.5,14.68,14.27,14.62,7228030,0.0,1.0
2018-11-29,14.6,14.95,14.55,14.73,12869376,0.0,1.0
2018-11-30,14.62,14.73,14.45,14.57,10718557,0.0,1.0
2018-12-03,14.78,15.3,14.77,15.16,9617067,0.0,1.0
2018-12-04,15.2,15.2,14.26,14.26,15164385,0.0,1.0
2018-12-06,14.11,14.33,13.71,14.22,15867776,0.0,1.0
2018-12-07,14.44,14.78,14.13,14.25,12597055,0.0,1.0
2018-12-10,14.15,14.22,13.48,13.85,12473186,0.0,1.0
2018-12-11,13.99,14.26,13.68,14.08,10454691,0.0,1.0
2018-12-12,14.17,14.63,14.04,14.31,8120309,0.0,1.0
2018-12-13,14.19,14.69,14.17,14.57,10102608,0.0,1.0
2018-12-14,14.47,14.64,14.01,14.07,14441687,0.0,1.0
2018-12-17,14.22,14.22,13.25,13.4,17077509,0.0,1.0
2018-12-18,13.62,13.62,12.75,12.94,27552500,0.0,1.0
2018-12-19,13.0,13.48,12.9,12.97,19001896,0.0,1.0
2018-12-20,12.91,13.1,12.47,12.84,23727264,0.0,1.0
2018-12-21,12.9,13.12,12.23,12.24,29381533,0.0,1.0
2018-12-24,11.99,12.23,11.68,11.8,13872639,0.0,1.0
2018-12-26,12.02,12.95,11.9,12.94,17969704,0.0,1.0
2018-12-27,12.68,12.95,12.36,12.84,23481569,0.0,1.0
2018-12-28,13.0,13.19,12.69,12.77,12629858,0.0,1.0
2018-12-31,12.83,13.23,12.75,13.21,13681566,0.0,1.0
2019-01-02,13.0,13.45,12.97,13.25,10460813,0.0,1.0
2019-01-03,13.21,13.58,13.05,13.34,14132919,0.0,1.0
2019-01-04,13.74,14.33,13.69,14.18,22378875,0.0,1.0
2019-01-07,14.39,14.69,14.32,14.46,24016291,0.0,1.0
2019-01-08,14.68,14.9,14.38,14.78,24461715,0.0,1.0
2019-01-09,14.96,15.28,14.91,15.11,22522220,0.0,1.0
2019-01-10,15.0,15.18,14.85,15.1,16524231,0.0,1.0
2019-01-11,15.0,15.11,14.85,15.04,16142131,0.0,1.0
2019-01-14,14.84,14.91,14.59,14.71,22237133,0.0,1.0
2019-01-15,14.71,14.94,14.71,14.87,10588904,0.0,1.0
2019-01-16,14.88,14.94,14.55,14.65,9296454,0.0,1.0
2019-01-17,14.5,14.77,14.36,14.61,14450610,0.0,1.0
2019-01-18,14.61,14.85,14.51,14.57,16315802,0.0,1.0
2019-01-22,14.5,14.51,13.95,14.1,12060540,0.0,1.0
2019-01-23,14.17,14.38,13.96,14.04,12791857,0.0,1.0
2019-01-24,14.03,14.43,13.9,14.12,7968261,0.0,1.0
2019-01-25,14.3,14.39,14.09,14.34,14165523,0.0,1.0
2019-01-28,14.25,14.27,14.02,14.2,7931977,0.0,1.0
2019-01-29,14.3,14.56,14.24,14.28,13547597,0.0,1.0
2019-01-30,14.46,14.74,14.15,14.67,13159844,0.0,1.0
2019-01-31,14.7,14.94,14.6,14.71,8987977,0.0,1.0
2019-02-01,14.77,15.04,14.75,15.04,10624383,0.0,1.0
2019-02-04,14.96,15.11,14.74,15.08,10222900,0.0,1.0
2019-02-05,15.06,15.19,14.99,15.1,11351945,0.0,1.0
2019-02-06,15.05,15.2,14.94,14.98,6598639,0.0,1.0
2019-02-07,14.75,14.75,14.11,14.41,14982508,0.305,1.0
2019-02-08,14.32,14.39,14.0,14.36,6597431,0.0,1.0
2019-02-11,14.28,14.3,14.11,14.25,6928304,0.0,1.0
2019-02-12,14.45,14.67,14.39,14.54,9028036,0.0,1.0
