date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-08-10,27.1,27.1,27.1,27.1,108,0.0,1.0
2017-08-11,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-14,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-15,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-16,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-17,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-18,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-21,27.1,27.1,27.1,27.1,12,0.0,1.0
2017-08-22,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-23,27.1,27.1,27.1,27.1,460,0.0,1.0
2017-08-24,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-25,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-28,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-29,27.1,27.1,27.1,27.1,0,0.0,1.0
2017-08-30,27.55,27.55,27.55,27.55,200,0.0,1.0
2017-08-31,27.8,27.8,27.8,27.8,16531,0.0,1.0
2017-09-01,28.0,28.0,28.0,28.0,1317,0.0,1.0
2017-09-05,28.0,28.0,28.0,28.0,0,0.0,1.0
2017-09-06,27.7,27.7,27.7,27.7,1200,0.0,1.0
2017-09-07,28.14,28.2,28.14,28.2,450,0.0,1.0
2017-09-08,28.2,28.2,28.2,28.2,850,0.0,1.0
2017-09-11,27.75,27.75,27.75,27.75,250,0.0,1.0
2017-09-12,27.91,27.91,27.91,27.91,1233,0.0,1.0
2017-09-13,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-14,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-15,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-18,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-19,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-20,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-21,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-22,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-25,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-26,27.91,27.91,27.91,27.91,0,0.0,1.0
2017-09-27,26.76,26.76,26.76,26.76,16531,0.0,1.0
2017-09-29,26.7,26.7,26.7,26.7,250,0.0,1.0
2017-10-02,26.7,26.7,26.7,26.7,50,0.0,1.0
2017-10-05,28.33,28.33,28.33,28.33,1325,0.0,1.0
2017-10-06,28.33,28.33,28.33,28.33,325,0.0,1.0
2017-10-10,28.89,28.89,28.89,28.89,300,0.0,1.0
2017-10-13,28.5,28.5,28.5,28.5,300,0.0,1.0
